rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.4 1.0 1.0 91.4 92.0 0.20652173 0.25391784 0.30769232 0.8255814 0.88488376 0.94186044
100 0.51 0.604 0.68 1.0 63.0 71.0 0.3448276 0.41354737 0.47692308 0.54651165 0.6441861 0.73255813
200 0.625 0.68799996 0.74 1.0 49.5 57.0 0.47272727 0.58061683 0.6792453 0.38372093 0.47790694 0.5697674
300 0.7133333 0.758 0.78 1.0 43.0 47.0 0.6086956 0.68819743 0.7826087 0.3139535 0.40697676 0.47674417
400 0.775 0.80324996 0.82 1.0 38.9 44.0 0.6363636 0.7916411 0.9444444 0.25581396 0.36162788 0.40697673
500 0.818 0.838 0.852 1.0 37.0 41.0 0.71794873 0.84009635 0.9714286 0.23255815 0.34302324 0.40697673
600 0.8466667 0.8626667 0.875 1.0 36.0 41.0 0.775 0.8710343 0.9714286 0.23255815 0.33255813 0.40697673
700 0.8657143 0.8809999 0.89285713 1.0 35.3 41.0 0.775 0.8921363 1.0 0.23255815 0.322093 0.40697673
800 0.8825 0.89537495 0.90625 1.0 35.0 41.0 0.7948718 0.90382385 1.0 0.23255815 0.31744185 0.39534885
900 0.89555556 0.90677774 0.9166667 1.0 34.8 41.0 0.7948718 0.90880984 1.0 0.23255815 0.31511626 0.39534885
1000 0.905 0.9158 0.925 1.0 34.5 41.0 0.8378378 0.91528594 1.0 0.23255815 0.31162792 0.39534885
1100 0.9136364 0.92336357 0.9318182 1.0 34.5 41.0 0.85714287 0.91798866 1.0 0.23255815 0.3104651 0.39534885
1200 0.92083335 0.9297501 0.9375 1.0 34.5 41.0 0.85714287 0.91798866 1.0 0.23255815 0.3104651 0.39534885
1300 0.9269231 0.9351538 0.9423077 1.0 34.5 41.0 0.85714287 0.91798866 1.0 0.23255815 0.3104651 0.39534885
1400 0.93214285 0.93978566 0.9464286 1.0 34.5 41.0 0.85714287 0.91798866 1.0 0.23255815 0.3104651 0.39534885
1500 0.93666667 0.9438 0.95 1.0 34.5 41.0 0.85714287 0.91798866 1.0 0.23255815 0.3104651 0.39534885
1600 0.940625 0.9473125 0.953125 1.0 34.5 41.0 0.85714287 0.91798866 1.0 0.23255815 0.3104651 0.39534885
1700 0.94411767 0.9504118 0.9558824 1.0 34.5 41.0 0.85714287 0.91798866 1.0 0.23255815 0.3104651 0.39534885
1800 0.94722223 0.95316666 0.9583333 1.0 34.5 41.0 0.85714287 0.91798866 1.0 0.23255815 0.3104651 0.39534885
1900 0.95 0.95563155 0.9605263 1.0 34.5 41.0 0.85714287 0.91798866 1.0 0.23255815 0.3104651 0.39534885
2000 0.9525 0.95785 0.9625 1.0 34.5 41.0 0.85714287 0.91798866 1.0 0.23255815 0.3104651 0.39534885
2100 0.9547619 0.9598571 0.96428573 1.0 34.5 41.0 0.85714287 0.91798866 1.0 0.23255815 0.3104651 0.39534885
2200 0.95681816 0.9616817 0.96590906 1.0 34.5 41.0 0.85714287 0.91798866 1.0 0.23255815 0.3104651 0.39534885
2300 0.95869565 0.9633478 0.9673913 1.0 34.5 41.0 0.85714287 0.91798866 1.0 0.23255815 0.3104651 0.39534885
2400 0.9604167 0.96487504 0.96875 1.0 34.5 41.0 0.85714287 0.91798866 1.0 0.23255815 0.3104651 0.39534885
