rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.4 1.0 1.0 91.8 92.0 0.20652173 0.25493312 0.3043478 0.8255814 0.8860465 0.94186044
100 0.5 0.582 0.66 1.0 84.8 90.0 0.29885057 0.33845317 0.4 0.81395346 0.8755814 0.90697676
200 0.555 0.6265 0.685 1.0 75.4 85.0 0.35526314 0.42653742 0.5 0.6976744 0.777907 0.89534885
300 0.62 0.6716667 0.71 1.0 68.2 78.0 0.42307693 0.4924888 0.56164384 0.5813953 0.6965116 0.81395346
400 0.66 0.70124996 0.7375 1.0 60.7 67.0 0.50769234 0.57403713 0.63265306 0.45348838 0.60813946 0.74418604
500 0.71 0.7324 0.768 1.0 55.4 64.0 0.5689655 0.6429762 0.73333335 0.37209302 0.5093023 0.627907
600 0.74 0.75983334 0.785 1.0 51.9 58.0 0.6181818 0.6963562 0.76744187 0.3488372 0.47906977 0.59302324
700 0.7714286 0.7847143 0.80714285 1.0 49.2 56.0 0.6415094 0.7386675 0.8 0.3139535 0.45348835 0.53488374
800 0.79 0.805875 0.825 1.0 47.2 54.0 0.7 0.7771224 0.825 0.3139535 0.43372092 0.5116279
900 0.8088889 0.8241111 0.84 1.0 45.4 52.0 0.7446808 0.81008166 0.85106385 0.29069766 0.41162786 0.5
1000 0.828 0.84099996 0.856 1.0 45.0 52.0 0.76086956 0.8174176 0.8648649 0.29069766 0.4069767 0.5
1100 0.84363633 0.8543636 0.8690909 1.0 44.6 52.0 0.7777778 0.82421523 0.8648649 0.29069766 0.40348834 0.5
1200 0.8566667 0.8658334 0.88 1.0 44.4 52.0 0.7826087 0.8337272 0.9166667 0.27906978 0.39767438 0.5
1300 0.8676923 0.87592304 0.8892308 1.0 44.1 52.0 0.7826087 0.8392583 0.9166667 0.27906978 0.394186 0.5
1400 0.87714285 0.88457143 0.8971428 1.0 44.1 52.0 0.7826087 0.8392583 0.9166667 0.27906978 0.394186 0.5
1500 0.88533336 0.8920668 0.904 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
1600 0.8925 0.8988126 0.91 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
1700 0.8988235 0.90476483 0.9152941 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
1800 0.90444446 0.9100555 0.92 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
1900 0.90947366 0.9147895 0.92421055 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
2000 0.914 0.91905004 0.928 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
2100 0.91809523 0.9229047 0.93142855 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
2200 0.9218182 0.9264091 0.93454546 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
2300 0.9252174 0.9296085 0.9373913 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
2400 0.92833334 0.9325417 0.94 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
2500 0.9312 0.93524 0.9424 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
2600 0.9338462 0.93773067 0.94461536 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
2700 0.9362963 0.9400371 0.94666666 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
2800 0.93857145 0.9421786 0.94857144 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
2900 0.9406897 0.9441725 0.9503448 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
3000 0.94266665 0.9460333 0.952 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
3100 0.9445161 0.9477741 0.9535484 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
3200 0.94625 0.94940627 0.955 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
3300 0.9478788 0.95093936 0.9563636 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
3400 0.94941175 0.9523824 0.9576471 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
3500 0.95085716 0.95374286 0.9588571 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
3600 0.9522222 0.95502776 0.96 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
3700 0.9535135 0.9562432 0.9610811 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
3800 0.9547368 0.9573948 0.9621053 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
3900 0.95589745 0.95848715 0.96307695 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
4000 0.957 0.959525 0.964 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
4100 0.95804876 0.96051216 0.964878 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
4200 0.9590476 0.96145236 0.9657143 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
4300 0.96 0.96234876 0.9665116 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
4400 0.96090907 0.96320456 0.9672727 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
4500 0.9617778 0.96402216 0.968 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
4600 0.9626087 0.9648043 0.96869564 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
4700 0.96340424 0.96555316 0.9693617 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
4800 0.96416664 0.9662709 0.97 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
4900 0.96489793 0.9669593 0.9706122 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
5000 0.9656 0.9676201 0.9712 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
5100 0.9662745 0.96825486 0.9717647 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
5200 0.96692306 0.9688655 0.9723077 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
5300 0.9675472 0.96945286 0.9728302 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
5400 0.9681482 0.97001857 0.97333336 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
5500 0.9687273 0.9705636 0.9738182 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
5600 0.9692857 0.97108924 0.9742857 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
5700 0.96982455 0.97159654 0.97473687 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
5800 0.97034484 0.97208613 0.9751724 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
5900 0.9708474 0.97255933 0.9755932 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
6000 0.9713333 0.9730166 0.976 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
6100 0.9718033 0.97345906 0.97639346 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
6200 0.9722581 0.9738871 0.9767742 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
6300 0.9726984 0.97430164 0.9771429 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
6400 0.973125 0.9747032 0.9775 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
6500 0.97353846 0.9750923 0.97784615 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
6600 0.9739394 0.97546977 0.97818184 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
6700 0.97432834 0.9758359 0.97850746 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
6800 0.9747059 0.97619116 0.97882354 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
6900 0.97507244 0.97653615 0.97913045 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
7000 0.9754286 0.9768715 0.9794286 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
7100 0.97577465 0.9771972 0.9797183 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
7200 0.9761111 0.9775139 0.98 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
7300 0.97643834 0.97782195 0.98027396 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
7400 0.97675675 0.9781216 0.9805405 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
7500 0.9770667 0.9784133 0.9808 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
7600 0.9773684 0.9786974 0.98105264 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
7700 0.9776623 0.978974 0.9812987 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
7800 0.9779487 0.97924364 0.9815385 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
7900 0.97822785 0.9795063 0.9817721 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
8000 0.9785 0.97976255 0.982 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
8100 0.9787654 0.9800123 0.9822222 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
8200 0.9790244 0.9802562 0.98243904 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
8300 0.97927713 0.9804939 0.9826506 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
8400 0.97952384 0.98072624 0.98285717 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
8500 0.9797647 0.98095304 0.9830588 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
8600 0.98 0.98117435 0.9832558 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
8700 0.9802299 0.9813908 0.98344827 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
8800 0.98045456 0.9816023 0.9836364 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
8900 0.98067415 0.981809 0.9838202 1.0 44.0 52.0 0.7826087 0.84119624 0.9166667 0.27906978 0.39302322 0.5
