rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.4 1.0 1.0 91.4 92.0 0.20652173 0.25391784 0.30769232 0.8255814 0.88488376 0.94186044
100 0.56 0.62799996 0.68 1.0 54.8 60.0 0.38333333 0.42335978 0.47457626 0.40697673 0.5686046 0.6976744
200 0.685 0.7255 0.765 1.0 37.1 45.0 0.51111114 0.6337127 0.7241379 0.26744187 0.3465116 0.4651163
300 0.77 0.79700005 0.81666666 1.0 31.1 37.0 0.6216216 0.75636494 0.9130435 0.15116279 0.27093023 0.3372093
400 0.825 0.84050006 0.8575 1.0 28.2 35.0 0.6571429 0.8341886 1.0 0.13953489 0.2395349 0.3255814
500 0.86 0.87060004 0.882 1.0 27.3 33.0 0.71875 0.85841304 1.0 0.13953489 0.22906975 0.3255814
600 0.8833333 0.891 0.90166664 1.0 26.6 33.0 0.72727275 0.8787545 1.0 0.13953489 0.21976745 0.3255814
700 0.9 0.90599996 0.91571426 1.0 26.2 33.0 0.72727275 0.89312756 1.0 0.13953489 0.2139535 0.3255814
800 0.91125 0.9174999 0.925 1.0 26.0 32.0 0.75 0.89951277 1.0 0.13953489 0.21046512 0.30232558
900 0.9211111 0.92655545 0.93333334 1.0 25.9 32.0 0.75 0.90317947 1.0 0.13953489 0.20930234 0.30232558
1000 0.929 0.93369997 0.939 1.0 25.7 31.0 0.8 0.90817946 1.0 0.13953489 0.20697674 0.27906978
1100 0.93545455 0.93963623 0.94454545 1.0 25.6 31.0 0.8214286 0.9109381 1.0 0.13953489 0.20465116 0.27906978
1200 0.94083333 0.9446667 0.94916666 1.0 25.6 31.0 0.8214286 0.9109381 1.0 0.13953489 0.20465116 0.27906978
1300 0.9453846 0.9489231 0.9530769 1.0 25.6 31.0 0.8214286 0.9109381 1.0 0.13953489 0.20465116 0.27906978
1400 0.9492857 0.9525714 0.9564286 1.0 25.6 31.0 0.8214286 0.9109381 1.0 0.13953489 0.20465116 0.27906978
1500 0.95266664 0.9557334 0.95933336 1.0 25.6 31.0 0.8214286 0.9109381 1.0 0.13953489 0.20465116 0.27906978
1600 0.955625 0.9585001 0.961875 1.0 25.6 31.0 0.8214286 0.9109381 1.0 0.13953489 0.20465116 0.27906978
1700 0.9582353 0.9609412 0.96411765 1.0 25.6 31.0 0.8214286 0.9109381 1.0 0.13953489 0.20465116 0.27906978
1800 0.96055555 0.9631111 0.9661111 1.0 25.6 31.0 0.8214286 0.9109381 1.0 0.13953489 0.20465116 0.27906978
1900 0.9626316 0.9650527 0.96789473 1.0 25.6 31.0 0.8214286 0.9109381 1.0 0.13953489 0.20465116 0.27906978
2000 0.9645 0.96680003 0.9695 1.0 25.6 31.0 0.8214286 0.9109381 1.0 0.13953489 0.20465116 0.27906978
2100 0.96619046 0.9683809 0.9709524 1.0 25.6 31.0 0.8214286 0.9109381 1.0 0.13953489 0.20465116 0.27906978
2200 0.96772724 0.96981823 0.97227275 1.0 25.6 31.0 0.8214286 0.9109381 1.0 0.13953489 0.20465116 0.27906978
2300 0.96913046 0.9711305 0.97347826 1.0 25.6 31.0 0.8214286 0.9109381 1.0 0.13953489 0.20465116 0.27906978
2400 0.97041667 0.9723333 0.9745833 1.0 25.6 31.0 0.8214286 0.9109381 1.0 0.13953489 0.20465116 0.27906978
2500 0.9716 0.97344005 0.9756 1.0 25.6 31.0 0.8214286 0.9109381 1.0 0.13953489 0.20465116 0.27906978
2600 0.9726923 0.97446144 0.9765385 1.0 25.6 31.0 0.8214286 0.9109381 1.0 0.13953489 0.20465116 0.27906978
2700 0.9737037 0.9754073 0.9774074 1.0 25.6 31.0 0.8214286 0.9109381 1.0 0.13953489 0.20465116 0.27906978
2800 0.9746429 0.97628576 0.97821426 1.0 25.6 31.0 0.8214286 0.9109381 1.0 0.13953489 0.20465116 0.27906978
2900 0.9755172 0.9771034 0.9789655 1.0 25.6 31.0 0.8214286 0.9109381 1.0 0.13953489 0.20465116 0.27906978
3000 0.9763333 0.97786665 0.97966665 1.0 25.6 31.0 0.8214286 0.9109381 1.0 0.13953489 0.20465116 0.27906978
3100 0.9770968 0.97858065 0.9803226 1.0 25.6 31.0 0.8214286 0.9109381 1.0 0.13953489 0.20465116 0.27906978
3200 0.9778125 0.97924995 0.9809375 1.0 25.6 31.0 0.8214286 0.9109381 1.0 0.13953489 0.20465116 0.27906978
3300 0.97848487 0.9798788 0.98151517 1.0 25.6 31.0 0.8214286 0.9109381 1.0 0.13953489 0.20465116 0.27906978
3400 0.97911763 0.98047054 0.9820588 1.0 25.6 31.0 0.8214286 0.9109381 1.0 0.13953489 0.20465116 0.27906978
3500 0.9797143 0.98102856 0.9825714 1.0 25.6 31.0 0.8214286 0.9109381 1.0 0.13953489 0.20465116 0.27906978
3600 0.9802778 0.9815556 0.98305553 1.0 25.6 31.0 0.8214286 0.9109381 1.0 0.13953489 0.20465116 0.27906978
3700 0.9808108 0.98205405 0.98351353 1.0 25.6 31.0 0.8214286 0.9109381 1.0 0.13953489 0.20465116 0.27906978
3800 0.9813158 0.9825262 0.9839474 1.0 25.6 31.0 0.8214286 0.9109381 1.0 0.13953489 0.20465116 0.27906978
3900 0.9817949 0.98297435 0.98435897 1.0 25.6 31.0 0.8214286 0.9109381 1.0 0.13953489 0.20465116 0.27906978
4000 0.98225 0.9834 0.98475 1.0 25.6 31.0 0.8214286 0.9109381 1.0 0.13953489 0.20465116 0.27906978
4100 0.98268294 0.9838049 0.98512197 1.0 25.6 31.0 0.8214286 0.9109381 1.0 0.13953489 0.20465116 0.27906978
