rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.10949495 0.11111111 0.8372093 0.88720924 0.95348835
2 0.0 0.25 0.5 1.0 55.5 56.0 0.10714286 0.10811689 0.10909091 0.8372093 0.8860464 0.95348835
3 0.0 0.23333332 0.6666667 1.0 56.3 57.0 0.10526316 0.11191161 0.125 0.8372093 0.8860464 0.95348835
4 0.0 0.3 0.5 1.0 56.9 58.0 0.10344828 0.11076615 0.125 0.8372093 0.88720924 0.95348835
5 0.0 0.3 0.6 1.0 57.6 59.0 0.10169491 0.109396696 0.12280702 0.8372093 0.88720924 0.95348835
6 0.0 0.3 0.5 1.0 58.2 60.0 0.1 0.108325586 0.12280702 0.8372093 0.88720924 0.95348835
7 0.0 0.3 0.42857143 1.0 58.9 61.0 0.09836066 0.10870321 0.12068965 0.8372093 0.8860465 0.95348835
8 0.0 0.3 0.5 1.0 59.5 62.0 0.09677419 0.10933615 0.12068965 0.8372093 0.8860465 0.95348835
9 0.0 0.3333333 0.5555556 1.0 59.9 63.0 0.0952381 0.110237285 0.12903225 0.8372093 0.8860465 0.95348835
10 0.0 0.33 0.6 1.0 60.6 64.0 0.09375 0.113884725 0.14285715 0.8372093 0.8860465 0.95348835
11 0.09090909 0.3272727 0.54545456 1.0 61.3 64.0 0.09375 0.11416759 0.15 0.8372093 0.88488376 0.95348835
12 0.083333336 0.325 0.5 1.0 61.9 65.0 0.09375 0.11295964 0.14754099 0.8372093 0.88488376 0.95348835
13 0.07692308 0.32307696 0.53846157 1.0 62.5 65.0 0.09677419 0.11516209 0.14754099 0.8372093 0.88139534 0.95348835
14 0.14285715 0.32142857 0.5 1.0 63.1 66.0 0.0952381 0.114068404 0.14516129 0.8372093 0.8837209 0.95348835
15 0.13333334 0.31333333 0.46666667 1.0 63.6 67.0 0.09375 0.11792757 0.15873016 0.8372093 0.8848837 0.95348835
16 0.125 0.30625 0.5 1.0 64.4 68.0 0.092307694 0.12105086 0.15625 0.8372093 0.8848837 0.95348835
17 0.11764706 0.30588236 0.47058824 1.0 64.9 68.0 0.09090909 0.121815525 0.15625 0.8372093 0.8848837 0.95348835
18 0.11111111 0.3 0.44444445 1.0 65.5 69.0 0.09090909 0.12066563 0.15625 0.8372093 0.8848837 0.95348835
19 0.10526316 0.29473683 0.47368422 1.0 66.1 70.0 0.09090909 0.119511545 0.15384616 0.8372093 0.883721 0.95348835
20 0.1 0.29500002 0.45 1.0 66.5 70.0 0.09090909 0.118807 0.15384616 0.8372093 0.883721 0.95348835
21 0.14285715 0.30476192 0.47619048 1.0 66.7 70.0 0.09090909 0.12134458 0.15151516 0.8372093 0.88255817 0.95348835
22 0.13636364 0.3090909 0.5 1.0 67.2 71.0 0.09090909 0.12346755 0.15151516 0.8372093 0.88255817 0.95348835
23 0.13043478 0.29565212 0.47826087 1.0 68.0 71.0 0.09090909 0.12341599 0.14925373 0.8372093 0.88255817 0.95348835
24 0.125 0.29583332 0.5 1.0 68.5 72.0 0.08955224 0.12253861 0.14705883 0.8372093 0.88255817 0.95348835
25 0.12 0.296 0.52 1.0 68.9 73.0 0.10294118 0.124748394 0.14705883 0.8372093 0.8860466 0.95348835
26 0.115384616 0.29230767 0.5 1.0 69.6 74.0 0.10294118 0.12348139 0.14705883 0.8372093 0.8860466 0.95348835
27 0.11111111 0.2925926 0.5185185 1.0 69.9 75.0 0.10294118 0.12576959 0.14492753 0.8372093 0.8860466 0.95348835
28 0.10714286 0.28928572 0.5 1.0 70.4 76.0 0.10144927 0.1262137 0.14492753 0.8372093 0.88488376 0.95348835
29 0.10344828 0.28275862 0.51724136 1.0 71.1 77.0 0.1 0.12624311 0.15584415 0.8372093 0.883721 0.95348835
30 0.13333334 0.29 0.5 1.0 71.5 77.0 0.09859155 0.12555887 0.15584415 0.8372093 0.883721 0.95348835
31 0.12903225 0.29677418 0.48387095 1.0 71.7 77.0 0.09859155 0.12662557 0.15584415 0.8372093 0.883721 0.95348835
32 0.125 0.296875 0.46875 1.0 72.1 78.0 0.097222224 0.12736546 0.15384616 0.8372093 0.883721 0.95348835
33 0.15151516 0.2969697 0.45454547 1.0 72.6 78.0 0.097222224 0.12650888 0.15384616 0.8372093 0.88255817 0.95348835
34 0.14705883 0.29705882 0.44117647 1.0 72.9 79.0 0.09589041 0.12601998 0.15189873 0.8255814 0.8802325 0.95348835
35 0.14285715 0.3 0.42857143 1.0 73.3 80.0 0.09589041 0.12666379 0.15 0.8255814 0.8790697 0.95348835
36 0.1388889 0.3 0.41666666 1.0 73.9 81.0 0.0945946 0.12567207 0.14864865 0.8255814 0.88139534 0.95348835
37 0.13513513 0.2972973 0.4054054 1.0 74.2 82.0 0.10810811 0.12645689 0.14864865 0.8255814 0.88255817 0.95348835
38 0.13157895 0.29473686 0.42105263 1.0 74.6 82.0 0.10666667 0.1270374 0.15853658 0.8255814 0.88139534 0.95348835
39 0.12820514 0.2974359 0.41025642 1.0 74.9 82.0 0.10666667 0.12654127 0.15853658 0.8255814 0.8860465 0.95348835
40 0.125 0.305 0.425 1.0 75.2 82.0 0.10666667 0.12601885 0.15853658 0.8255814 0.883721 0.95348835
41 0.12195122 0.30487806 0.4390244 1.0 75.6 83.0 0.10666667 0.12665094 0.15662651 0.8255814 0.8860465 0.95348835
42 0.14285715 0.3 0.42857143 1.0 75.9 83.0 0.10526316 0.12887162 0.16 0.8255814 0.8872093 0.95348835
43 0.1627907 0.3 0.41860464 1.0 76.2 83.0 0.10526316 0.12965222 0.15789473 0.8255814 0.8872093 0.95348835
44 0.18181819 0.30227274 0.4318182 1.0 76.5 83.0 0.103896104 0.13053365 0.15789473 0.8255814 0.8872093 0.95348835
45 0.2 0.30666667 0.42222223 1.0 76.8 83.0 0.11392405 0.13392879 0.16883117 0.8255814 0.8837209 0.95348835
46 0.19565217 0.30869564 0.41304347 1.0 77.3 83.0 0.1125 0.13304 0.16666667 0.8255814 0.8837209 0.95348835
47 0.19148937 0.30851063 0.42553192 1.0 77.5 83.0 0.11111111 0.13526075 0.16867469 0.8255814 0.8860465 0.95348835
48 0.20833333 0.30833334 0.4375 1.0 78.1 83.0 0.11111111 0.13807844 0.16867469 0.8255814 0.8860465 0.95348835
49 0.20408164 0.3040816 0.4489796 1.0 78.7 83.0 0.1097561 0.13971622 0.16867469 0.8255814 0.8860465 0.95348835
50 0.2 0.304 0.46 1.0 79.1 83.0 0.10843374 0.1390799 0.16867469 0.8255814 0.8860465 0.95348835
51 0.21568628 0.30784315 0.47058824 1.0 79.4 83.0 0.10843374 0.13982497 0.17721519 0.8255814 0.8860465 0.95348835
52 0.21153846 0.30576926 0.46153846 1.0 79.8 84.0 0.10843374 0.14166702 0.18987341 0.8255814 0.88488376 0.9302326
53 0.20754717 0.30566037 0.4528302 1.0 80.1 84.0 0.10843374 0.14120248 0.18987341 0.8255814 0.88139546 0.9302326
54 0.2037037 0.30370373 0.44444445 1.0 80.3 84.0 0.10843374 0.14079109 0.1875 0.8255814 0.88023263 0.9302326
55 0.21818182 0.3018182 0.43636364 1.0 80.9 84.0 0.10714286 0.1397835 0.1875 0.8255814 0.88023263 0.9302326
56 0.21428572 0.3 0.42857143 1.0 81.2 85.0 0.105882354 0.14182153 0.1875 0.8255814 0.8779071 0.9302326
57 0.21052632 0.3 0.42105263 1.0 81.5 85.0 0.105882354 0.14130273 0.18518518 0.81395346 0.87558144 0.9302326
58 0.20689656 0.3 0.43103448 1.0 81.9 85.0 0.105882354 0.14310136 0.18518518 0.8255814 0.8767443 0.9302326
59 0.20338982 0.2983051 0.42372882 1.0 82.0 85.0 0.105882354 0.14417069 0.1875 0.81395346 0.87558144 0.9302326
60 0.21666667 0.30333334 0.41666666 1.0 82.3 85.0 0.105882354 0.14360467 0.18518518 0.81395346 0.87558144 0.9302326
61 0.21311475 0.30163935 0.40983605 1.0 82.7 85.0 0.11764706 0.14403197 0.18292683 0.81395346 0.8709303 0.9186047
