rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.11313131 0.12727273 0.8372093 0.88720924 0.95348835
2 0.0 0.25 0.5 1.0 55.4 56.0 0.10714286 0.11188312 0.125 0.8372093 0.88255817 0.95348835
3 0.0 0.23333332 0.6666667 1.0 56.2 57.0 0.10526316 0.11742538 0.125 0.8372093 0.88255805 0.95348835
4 0.0 0.275 0.5 1.0 56.6 58.0 0.10526316 0.12012035 0.14035088 0.8372093 0.88255805 0.95348835
5 0.0 0.28000003 0.6 1.0 57.2 58.0 0.10526316 0.12232953 0.14035088 0.8372093 0.8837209 0.95348835
6 0.0 0.28333333 0.5 1.0 57.9 59.0 0.10344828 0.12775385 0.15517241 0.8372093 0.88139534 0.95348835
7 0.0 0.28571433 0.42857143 1.0 58.6 60.0 0.118644066 0.12972724 0.15517241 0.8488372 0.88139534 0.94186044
8 0.0 0.2875 0.5 1.0 59.2 61.0 0.11666667 0.13175198 0.15254237 0.8255814 0.8755814 0.94186044
9 0.0 0.3222222 0.5555556 1.0 59.6 62.0 0.118644066 0.13255802 0.15254237 0.8255814 0.8802325 0.94186044
10 0.0 0.32000002 0.6 1.0 60.3 63.0 0.11666667 0.13602339 0.15254237 0.8255814 0.88139534 0.94186044
11 0.09090909 0.3181818 0.54545456 1.0 61.0 63.0 0.114754096 0.13610487 0.15 0.8255814 0.88023263 0.94186044
12 0.083333336 0.325 0.5 1.0 61.5 64.0 0.114754096 0.13665304 0.15 0.8255814 0.8790698 0.94186044
13 0.07692308 0.32307693 0.46153846 1.0 62.1 64.0 0.125 0.13696054 0.14754099 0.81395346 0.8744186 0.94186044
14 0.14285715 0.3214286 0.5 1.0 62.6 65.0 0.125 0.13593256 0.15 0.81395346 0.8790698 0.94186044
15 0.13333334 0.32 0.53333336 1.0 63.0 66.0 0.12307692 0.13673306 0.16393442 0.81395346 0.87325585 0.94186044
16 0.125 0.3125 0.5 1.0 63.8 67.0 0.12307692 0.14284882 0.17741935 0.81395346 0.872093 0.94186044
