rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.0 54.0 0.11111111 0.11111112 0.11111111 0.8372093 0.88837206 0.95348835
2 0.0 0.25 0.5 1.0 53.9 54.0 0.11111111 0.11317261 0.12962963 0.8023256 0.87674415 0.94186044
3 0.0 0.23333332 0.6666667 1.0 53.9 54.0 0.11111111 0.11317261 0.12962963 0.8255814 0.8767443 0.94186044
4 0.0 0.3 0.5 1.0 54.0 55.0 0.10909091 0.11482245 0.12962963 0.8023256 0.87325585 0.94186044
5 0.0 0.3 0.6 1.0 53.9 55.0 0.10909091 0.1150321 0.12962963 0.8023256 0.8709303 0.9302326
6 0.0 0.28333333 0.5 1.0 53.8 55.0 0.10909091 0.11524174 0.12962963 0.8023256 0.86162794 0.9302326
7 0.0 0.28571433 0.42857143 1.0 53.8 55.0 0.10909091 0.118945435 0.12962963 0.8023256 0.86046517 0.9302326
8 0.0 0.275 0.5 1.0 53.8 55.0 0.10909091 0.118945435 0.12962963 0.8023256 0.8523256 0.90697676
9 0.0 0.31111112 0.5555556 1.0 53.8 55.0 0.10909091 0.11891939 0.12962963 0.8023256 0.8523256 0.90697676
10 0.0 0.31 0.5 1.0 53.8 55.0 0.10909091 0.11891939 0.12962963 0.8023256 0.855814 0.90697676
11 0.09090909 0.3 0.45454547 1.0 53.9 55.0 0.10909091 0.120570496 0.13207547 0.7906977 0.85 0.90697676
12 0.083333336 0.29999998 0.5 1.0 53.9 55.0 0.10909091 0.12242235 0.14814815 0.8023256 0.8488372 0.89534885
13 0.07692308 0.2923077 0.46153846 1.0 53.9 55.0 0.10909091 0.12242235 0.14814815 0.7790698 0.8441861 0.89534885
14 0.071428575 0.2857143 0.42857143 1.0 54.0 56.0 0.10714286 0.124045715 0.14814815 0.76744187 0.8430233 0.89534885
15 0.06666667 0.27333337 0.4 1.0 54.0 56.0 0.10714286 0.12589756 0.16666667 0.73255813 0.8348838 0.88372093
16 0.0625 0.2625 0.375 1.0 54.0 56.0 0.10714286 0.12589756 0.16666667 0.7209302 0.8290698 0.88372093
17 0.05882353 0.27058822 0.4117647 1.0 54.0 56.0 0.10714286 0.12589756 0.16666667 0.7093023 0.82325584 0.88372093
18 0.055555556 0.27222222 0.44444445 1.0 54.0 56.0 0.11111111 0.12768327 0.16666667 0.7093023 0.8197675 0.88372093
19 0.05263158 0.26842102 0.42105263 1.0 53.9 56.0 0.11111111 0.12799774 0.16981132 0.73255813 0.8151163 0.88372093
20 0.1 0.27 0.4 1.0 53.9 56.0 0.10909091 0.1299271 0.16981132 0.74418604 0.81279075 0.872093
21 0.0952381 0.27619046 0.42857143 1.0 53.9 56.0 0.10909091 0.1299271 0.16981132 0.74418604 0.8023256 0.8604651
22 0.09090909 0.27727276 0.4090909 1.0 53.9 56.0 0.10909091 0.1299271 0.16981132 0.74418604 0.7976744 0.8372093
23 0.13043478 0.2695652 0.39130434 1.0 53.9 56.0 0.10909091 0.1299271 0.16981132 0.74418604 0.78720933 0.8372093
24 0.125 0.2708333 0.41666666 1.0 53.9 56.0 0.10909091 0.1299271 0.16981132 0.73255813 0.78372097 0.8372093
25 0.12 0.272 0.4 1.0 53.8 56.0 0.11320755 0.13196298 0.16981132 0.6976744 0.7755814 0.8372093
26 0.115384616 0.26153848 0.3846154 1.0 53.8 56.0 0.115384616 0.13384978 0.16981132 0.6976744 0.7755814 0.8372093
27 0.14814815 0.26296297 0.4074074 1.0 53.9 56.0 0.125 0.13554558 0.16981132 0.6976744 0.7755814 0.8255814
28 0.14285715 0.2607143 0.39285713 1.0 53.8 56.0 0.125 0.13577285 0.16981132 0.6976744 0.772093 0.81395346
29 0.13793103 0.25517243 0.41379312 1.0 53.8 56.0 0.125 0.13769594 0.16981132 0.6976744 0.76627904 0.81395346
30 0.13333334 0.25333336 0.4 1.0 54.1 56.0 0.12727273 0.1387022 0.16981132 0.7093023 0.7755814 0.81395346
31 0.16129032 0.26451612 0.38709676 1.0 54.1 56.0 0.12727273 0.1387022 0.16981132 0.73255813 0.7755814 0.81395346
32 0.15625 0.26875 0.375 1.0 54.1 56.0 0.12727273 0.1387022 0.16981132 0.73255813 0.7709303 0.8023256
33 0.15151516 0.26969698 0.36363637 1.0 54.1 56.0 0.12727273 0.1387022 0.16981132 0.7093023 0.7616279 0.7906977
34 0.14705883 0.27058822 0.38235295 1.0 54.4 56.0 0.12727273 0.1379424 0.16981132 0.6976744 0.7581395 0.7906977
35 0.14285715 0.26857144 0.37142858 1.0 54.5 56.0 0.12727273 0.13768266 0.16981132 0.6976744 0.75930226 0.81395346
36 0.1388889 0.26944444 0.3888889 1.0 54.5 56.0 0.12727273 0.13953452 0.16981132 0.6976744 0.75348836 0.8023256
37 0.13513513 0.272973 0.4054054 1.0 54.7 56.0 0.125 0.13903789 0.16981132 0.6976744 0.75348836 0.81395346
38 0.15789473 0.27105263 0.39473686 1.0 54.8 56.0 0.125 0.13872342 0.16666667 0.6976744 0.7430233 0.8023256
39 0.15384616 0.27435896 0.3846154 1.0 54.9 56.0 0.125 0.13846368 0.16666667 0.6976744 0.74883723 0.81395346
40 0.15 0.27 0.375 1.0 54.7 56.0 0.125 0.14077729 0.16666667 0.68604654 0.7406976 0.8255814
41 0.14634146 0.27317074 0.3902439 1.0 54.7 57.0 0.12280702 0.14080258 0.16666667 0.6627907 0.73837215 0.8255814
42 0.16666667 0.27142856 0.3809524 1.0 54.8 57.0 0.12280702 0.14591023 0.16666667 0.68604654 0.7418605 0.8023256
43 0.1627907 0.26976746 0.37209302 1.0 54.8 57.0 0.12280702 0.14776209 0.16666667 0.68604654 0.73255813 0.7790698
44 0.18181819 0.27272728 0.38636363 1.0 54.8 57.0 0.12280702 0.14776209 0.16666667 0.68604654 0.73255813 0.7906977
45 0.17777778 0.2711111 0.4 1.0 54.8 57.0 0.12962963 0.15308903 0.1754386 0.68604654 0.72906977 0.7790698
46 0.17391305 0.2695652 0.41304347 1.0 54.8 57.0 0.12962963 0.15308903 0.1754386 0.6627907 0.7232558 0.7790698
47 0.17021276 0.2680851 0.40425533 1.0 54.9 57.0 0.12727273 0.15285334 0.1754386 0.6511628 0.7139535 0.76744187
48 0.16666667 0.26458332 0.39583334 1.0 54.9 57.0 0.12727273 0.15285334 0.1754386 0.6511628 0.71279067 0.76744187
49 0.1632653 0.26122445 0.3877551 1.0 54.8 57.0 0.12727273 0.15504315 0.1754386 0.627907 0.6953488 0.76744187
50 0.16 0.26200002 0.4 1.0 55.0 57.0 0.12727273 0.15446061 0.1754386 0.6511628 0.7023255 0.76744187
51 0.1764706 0.25882354 0.39215687 1.0 54.9 57.0 0.12727273 0.15665042 0.1754386 0.627907 0.69883716 0.7790698
52 0.17307693 0.2576923 0.3846154 1.0 55.0 57.0 0.12727273 0.1563474 0.1754386 0.627907 0.68953484 0.7790698
53 0.16981132 0.26037735 0.3962264 1.0 55.1 57.0 0.12727273 0.15780959 0.19298245 0.627907 0.69186044 0.7790698
54 0.16666667 0.2611111 0.3888889 1.0 55.1 57.0 0.12727273 0.15780959 0.19298245 0.61627907 0.68953484 0.76744187
55 0.16363636 0.26000002 0.4 1.0 55.2 57.0 0.12727273 0.15752763 0.19298245 0.627907 0.6976744 0.81395346
56 0.16071428 0.2607143 0.4107143 1.0 55.2 57.0 0.12727273 0.15752763 0.19298245 0.627907 0.6976744 0.81395346
57 0.15789473 0.25964913 0.40350878 1.0 55.1 57.0 0.12727273 0.15779683 0.19298245 0.627907 0.705814 0.8023256
58 0.15517241 0.25862068 0.39655173 1.0 55.1 58.0 0.12727273 0.15955284 0.18965517 0.6395349 0.6976744 0.75581396
59 0.15254237 0.2576271 0.40677965 1.0 55.0 57.0 0.12727273 0.1617061 0.19298245 0.6395349 0.69651157 0.74418604
60 0.15 0.26000002 0.4 1.0 55.0 58.0 0.12962963 0.16166955 0.19298245 0.61627907 0.68953484 0.74418604
61 0.16393442 0.2590164 0.39344263 1.0 55.0 58.0 0.12962963 0.161681 0.19298245 0.59302324 0.68372095 0.74418604
62 0.16129032 0.26451614 0.38709676 1.0 54.9 58.0 0.12962963 0.16198264 0.19298245 0.59302324 0.67674416 0.73255813
63 0.17460318 0.26825398 0.3968254 1.0 55.0 58.0 0.14285715 0.16522592 0.20689656 0.59302324 0.67093027 0.7209302
64 0.1875 0.271875 0.390625 1.0 55.2 59.0 0.14285715 0.16640401 0.20689656 0.55813956 0.67093027 0.73255813
65 0.2 0.2769231 0.4 1.0 55.2 59.0 0.14285715 0.16640401 0.20689656 0.55813956 0.6674419 0.73255813
66 0.1969697 0.27575758 0.3939394 1.0 55.1 59.0 0.14285715 0.16867925 0.20689656 0.55813956 0.6534884 0.73255813
67 0.19402985 0.2761194 0.40298507 1.0 55.2 59.0 0.14285715 0.16838704 0.20689656 0.55813956 0.655814 0.73255813
68 0.19117647 0.27794117 0.3970588 1.0 55.2 59.0 0.14285715 0.17195746 0.20689656 0.55813956 0.65116274 0.73255813
69 0.1884058 0.27681157 0.39130434 1.0 55.2 59.0 0.14285715 0.17385782 0.21052632 0.5697674 0.6523256 0.7209302
70 0.18571429 0.27857143 0.4 1.0 55.1 59.0 0.14285715 0.17416085 0.21052632 0.5697674 0.65 0.7209302
71 0.18309858 0.27605635 0.3943662 1.0 55.5 60.0 0.14285715 0.17297468 0.21052632 0.55813956 0.65348834 0.7209302
72 0.18055555 0.27361113 0.3888889 1.0 55.3 60.0 0.14285715 0.17357467 0.21052632 0.55813956 0.64534885 0.7209302
73 0.1780822 0.2739726 0.38356164 1.0 55.0 60.0 0.14285715 0.17449266 0.21052632 0.53488374 0.6372093 0.7209302
74 0.1891892 0.27432433 0.3783784 1.0 55.0 60.0 0.14285715 0.17449266 0.21052632 0.53488374 0.64069766 0.7209302
75 0.18666667 0.27466667 0.37333333 1.0 54.9 60.0 0.14035088 0.17492385 0.21052632 0.53488374 0.63372093 0.7209302
76 0.18421052 0.2763158 0.38157895 1.0 55.0 60.0 0.14035088 0.17635354 0.22807017 0.53488374 0.6430233 0.73255813
77 0.18181819 0.2779221 0.38961038 1.0 55.0 60.0 0.14285715 0.1762897 0.22807017 0.5116279 0.6418605 0.73255813
78 0.17948718 0.28076926 0.3846154 1.0 55.3 60.0 0.14285715 0.17729762 0.22413793 0.5232558 0.65 0.76744187
79 0.17721519 0.28101262 0.39240506 1.0 55.4 60.0 0.14285715 0.17699459 0.22413793 0.5232558 0.6488372 0.74418604
80 0.175 0.28375 0.4 1.0 55.4 60.0 0.15 0.18071789 0.22413793 0.5232558 0.65116274 0.74418604
81 0.17283951 0.28641975 0.4074074 1.0 55.5 60.0 0.15 0.18028651 0.22413793 0.5232558 0.6465116 0.74418604
82 0.17073171 0.2878049 0.41463414 1.0 55.6 61.0 0.14754099 0.1835569 0.23728813 0.5232558 0.64767444 0.75581396
83 0.16867469 0.2879518 0.40963855 1.0 55.4 60.0 0.15 0.18602629 0.23728813 0.5232558 0.64767444 0.75581396
84 0.16666667 0.28690475 0.41666666 1.0 55.4 60.0 0.15 0.18602629 0.23728813 0.47674417 0.6488372 0.7790698
85 0.1764706 0.29058823 0.42352942 1.0 55.6 61.0 0.14754099 0.18731779 0.23728813 0.4883721 0.6465116 0.76744187
86 0.1744186 0.29069766 0.41860464 1.0 55.6 60.0 0.15 0.18729144 0.23728813 0.4883721 0.6418604 0.76744187
87 0.18390805 0.29195398 0.41379312 1.0 55.5 60.0 0.15 0.18764085 0.23728813 0.4883721 0.64069766 0.76744187
88 0.18181819 0.29204544 0.4090909 1.0 55.5 61.0 0.14754099 0.18780407 0.2413793 0.47674417 0.6372093 0.75581396
89 0.17977528 0.2898876 0.40449437 1.0 55.5 61.0 0.14754099 0.18775226 0.2413793 0.47674417 0.622093 0.75581396
90 0.17777778 0.29 0.4 1.0 55.4 60.0 0.15 0.1880688 0.2413793 0.47674417 0.6209303 0.75581396
91 0.17582418 0.2912088 0.3956044 1.0 55.4 60.0 0.15 0.18800434 0.2413793 0.5116279 0.6244186 0.75581396
92 0.17391305 0.29130432 0.39130434 1.0 55.5 60.0 0.15789473 0.1912694 0.2413793 0.5116279 0.6209303 0.75581396
93 0.1827957 0.29247314 0.39784947 1.0 55.4 60.0 0.15789473 0.19520544 0.25862068 0.5116279 0.6174419 0.74418604
94 0.19148937 0.293617 0.39361703 1.0 55.3 60.0 0.15789473 0.19563681 0.25862068 0.5116279 0.61860466 0.7093023
95 0.18947369 0.29157892 0.38947368 1.0 55.5 60.0 0.15517241 0.19492623 0.2542373 0.5116279 0.61627907 0.7209302
96 0.1875 0.29270834 0.39583334 1.0 55.7 60.0 0.15517241 0.19764762 0.2542373 0.5116279 0.6127907 0.7209302
97 0.19587629 0.2958763 0.40206185 1.0 55.8 60.0 0.15517241 0.19721624 0.2542373 0.5116279 0.61162794 0.7209302
98 0.19387755 0.2979592 0.40816328 1.0 55.8 60.0 0.15789473 0.1988327 0.2542373 0.5116279 0.61744183 0.76744187
99 0.2020202 0.3010101 0.41414142 1.0 55.8 60.0 0.15789473 0.2007195 0.2542373 0.5116279 0.6197674 0.76744187
100 0.2 0.3 0.42 1.0 55.6 59.0 0.15789473 0.20136698 0.2542373 0.5 0.6116279 0.7209302
101 0.20792079 0.3009901 0.41584158 1.0 55.7 59.0 0.15789473 0.202828 0.2542373 0.5 0.61162794 0.7209302
102 0.20588236 0.3019608 0.42156863 1.0 55.4 59.0 0.16071428 0.2073982 0.27118644 0.4883721 0.6058139 0.7209302
103 0.21359223 0.30291262 0.42718446 1.0 55.3 59.0 0.16071428 0.20776105 0.27118644 0.45348838 0.60232556 0.7209302
104 0.21153846 0.30288464 0.43269232 1.0 55.5 60.0 0.16071428 0.20709316 0.27118644 0.4651163 0.6034884 0.7209302
105 0.20952381 0.30380955 0.42857143 1.0 55.7 60.0 0.16071428 0.20960729 0.28333333 0.4651163 0.60697675 0.7209302
106 0.20754717 0.304717 0.4245283 1.0 56.0 61.0 0.16071428 0.21366529 0.28333333 0.4883721 0.61162794 0.73255813
107 0.21495327 0.3046729 0.42056075 1.0 55.9 61.0 0.16071428 0.21404123 0.28333333 0.5116279 0.60930234 0.73255813
108 0.21296297 0.30277774 0.42592594 1.0 55.9 61.0 0.16071428 0.21737507 0.28333333 0.5 0.5976744 0.7209302
109 0.22018349 0.30366975 0.43119267 1.0 55.8 61.0 0.16071428 0.21780643 0.28333333 0.5 0.59069765 0.7209302
110 0.21818182 0.30454546 0.42727274 1.0 55.9 61.0 0.16071428 0.21750589 0.28333333 0.5116279 0.59069765 0.7209302
111 0.21621622 0.3054054 0.4234234 1.0 56.0 61.0 0.15789473 0.21709311 0.28333333 0.5116279 0.5906977 0.7093023
112 0.21428572 0.30446428 0.42857143 1.0 55.8 61.0 0.16071428 0.21777909 0.28333333 0.47674417 0.5883721 0.74418604
113 0.21238938 0.3035398 0.42477876 1.0 55.7 61.0 0.16363636 0.21990022 0.28333333 0.47674417 0.5895349 0.74418604
114 0.21052632 0.30438596 0.42105263 1.0 55.6 61.0 0.16363636 0.22022025 0.28333333 0.4651163 0.57790697 0.6976744
115 0.2173913 0.30521742 0.42608696 1.0 55.6 61.0 0.16363636 0.22028658 0.28333333 0.4651163 0.5697674 0.6976744
116 0.21551724 0.30431032 0.4224138 1.0 55.5 61.0 0.16363636 0.22075967 0.28333333 0.43023255 0.5639535 0.73255813
117 0.21367522 0.30427355 0.41880342 1.0 55.6 61.0 0.18181819 0.22403648 0.28333333 0.43023255 0.55930233 0.73255813
118 0.21186441 0.3042373 0.41525424 1.0 55.9 61.0 0.18181819 0.22654887 0.28333333 0.43023255 0.5511628 0.7209302
119 0.21008404 0.30504203 0.4117647 1.0 55.7 61.0 0.18181819 0.22729096 0.28333333 0.43023255 0.5465116 0.7209302
120 0.20833333 0.30666667 0.41666666 1.0 55.5 61.0 0.18518518 0.22794911 0.28333333 0.43023255 0.54418606 0.7209302
121 0.20661157 0.30495867 0.41322315 1.0 55.4 61.0 0.18518518 0.2284205 0.28333333 0.43023255 0.5453488 0.6976744
