rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.0 54.0 0.11111111 0.112962976 0.12962963 0.8372093 0.8837209 0.95348835
2 0.0 0.25 0.5 1.0 54.0 54.0 0.11111111 0.112962976 0.12962963 0.8023256 0.877907 0.94186044
3 0.0 0.23333332 0.6666667 1.0 53.9 54.0 0.11111111 0.11317261 0.12962963 0.7790698 0.86744183 0.94186044
4 0.0 0.275 0.5 1.0 54.0 54.0 0.11111111 0.11481482 0.12962963 0.76744187 0.8662791 0.94186044
5 0.0 0.32000002 0.6 1.0 54.0 54.0 0.11111111 0.11481482 0.12962963 0.76744187 0.8651163 0.94186044
6 0.0 0.3 0.6666667 1.0 54.0 54.0 0.11111111 0.11481482 0.12962963 0.74418604 0.85930234 0.94186044
7 0.0 0.28571433 0.5714286 1.0 54.0 54.0 0.11111111 0.11481482 0.12962963 0.74418604 0.8639535 0.94186044
8 0.0 0.275 0.625 1.0 54.0 54.0 0.11111111 0.116666675 0.14814815 0.74418604 0.85930234 0.94186044
9 0.0 0.3 0.5555556 1.0 54.1 55.0 0.11111111 0.11828283 0.14814815 0.74418604 0.855814 0.9186047
10 0.0 0.29000002 0.5 1.0 54.1 55.0 0.11111111 0.11828283 0.14814815 0.74418604 0.855814 0.9186047
11 0.09090909 0.3 0.54545456 1.0 54.2 55.0 0.10909091 0.11808082 0.14814815 0.73255813 0.8500001 0.9186047
12 0.083333336 0.29166666 0.5 1.0 54.2 55.0 0.10909091 0.11808082 0.14814815 0.74418604 0.85 0.9186047
13 0.07692308 0.2923077 0.46153846 1.0 54.3 55.0 0.10909091 0.119696975 0.14814815 0.74418604 0.8418604 0.90697676
14 0.14285715 0.2857143 0.5 1.0 54.4 55.0 0.10909091 0.11949496 0.14814815 0.73255813 0.8418605 0.90697676
15 0.13333334 0.28000003 0.46666667 1.0 54.3 55.0 0.10909091 0.12155773 0.14814815 0.7209302 0.833721 0.90697676
16 0.125 0.28125 0.5 1.0 54.3 55.0 0.10909091 0.12337591 0.16363636 0.73255813 0.82790697 0.90697676
17 0.11764706 0.2764706 0.5294118 1.0 54.2 55.0 0.10909091 0.123585545 0.16363636 0.7209302 0.81976736 0.90697676
18 0.11111111 0.27222222 0.5 1.0 54.2 55.0 0.10909091 0.123585545 0.16363636 0.7209302 0.8127907 0.90697676
19 0.10526316 0.2736842 0.5263158 1.0 54.2 55.0 0.10909091 0.12917604 0.16363636 0.7093023 0.8127907 0.90697676
20 0.15 0.275 0.5 1.0 54.3 56.0 0.10909091 0.13261881 0.18181819 0.68604654 0.80465114 0.872093
21 0.14285715 0.2809524 0.52380955 1.0 54.3 56.0 0.10909091 0.13447067 0.18181819 0.6627907 0.7953489 0.872093
