rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.11313131 0.12727273 0.8372093 0.8930233 0.95348835
2 0.0 0.25 0.5 1.0 55.6 57.0 0.10714286 0.11150148 0.12727273 0.8372093 0.8918605 0.95348835
3 0.0 0.23333332 0.6666667 1.0 56.5 59.0 0.10526316 0.118544176 0.14285715 0.8372093 0.8930233 0.95348835
4 0.0 0.3 0.5 1.0 57.0 60.0 0.10714286 0.12101762 0.14035088 0.8372093 0.89418614 0.95348835
5 0.0 0.3 0.6 1.0 57.8 60.0 0.10526316 0.12279884 0.14035088 0.8372093 0.8953489 0.95348835
6 0.0 0.3 0.5 1.0 58.6 60.0 0.10344828 0.12622027 0.15517241 0.8372093 0.8953489 0.95348835
7 0.0 0.3 0.42857143 1.0 59.3 61.0 0.10169491 0.12817189 0.15517241 0.8372093 0.8965117 0.94186044
8 0.0 0.3 0.5 1.0 60.1 63.0 0.11666667 0.13137653 0.15254237 0.8372093 0.8918605 0.94186044
9 0.0 0.3333333 0.5555556 1.0 60.5 63.0 0.11666667 0.13220349 0.15254237 0.8372093 0.8918605 0.94186044
10 0.0 0.33 0.6 1.0 61.2 64.0 0.114754096 0.13561474 0.15625 0.8372093 0.89418614 0.94186044
11 0.09090909 0.3272727 0.54545456 1.0 62.0 65.0 0.11290322 0.1354566 0.15384616 0.8372093 0.8918605 0.94186044
12 0.083333336 0.33333334 0.5 1.0 62.5 65.0 0.11290322 0.13751721 0.15873016 0.8372093 0.8930233 0.94186044
13 0.07692308 0.33076924 0.46153846 1.0 63.1 65.0 0.11290322 0.13948181 0.16393442 0.8372093 0.8930233 0.94186044
14 0.14285715 0.32857144 0.5 1.0 63.7 65.0 0.11111111 0.13978958 0.16129032 0.8372093 0.8930233 0.94186044
15 0.13333334 0.32666665 0.53333336 1.0 64.1 66.0 0.109375 0.14220631 0.16393442 0.8372093 0.89418614 0.94186044
16 0.125 0.31875 0.5 1.0 64.9 67.0 0.10769231 0.14504267 0.16923077 0.8488372 0.8965117 0.94186044
17 0.11764706 0.31764707 0.5294118 1.0 65.3 68.0 0.10606061 0.1474291 0.17741935 0.8488372 0.8953489 0.94186044
18 0.11111111 0.3166667 0.5 1.0 66.1 68.0 0.104477614 0.14559677 0.17460318 0.8255814 0.89767444 0.95348835
19 0.10526316 0.3105263 0.47368422 1.0 66.7 69.0 0.104477614 0.14568524 0.17460318 0.81395346 0.8930233 0.95348835
20 0.1 0.305 0.45 1.0 67.2 70.0 0.104477614 0.14762 0.1904762 0.8255814 0.8953489 0.95348835
21 0.14285715 0.30952382 0.42857143 1.0 67.7 70.0 0.10294118 0.14939132 0.1875 0.81395346 0.8930233 0.95348835
22 0.13636364 0.31363636 0.4090909 1.0 68.4 72.0 0.10294118 0.15235132 0.1875 0.81395346 0.8918605 0.95348835
23 0.13043478 0.3043478 0.39130434 1.0 69.5 73.0 0.10144927 0.15123172 0.18181819 0.81395346 0.894186 0.94186044
24 0.125 0.30833334 0.41666666 1.0 70.0 74.0 0.1 0.15023687 0.18181819 0.81395346 0.8930233 0.94186044
25 0.12 0.30800003 0.44 1.0 70.5 75.0 0.1 0.14918604 0.18181819 0.81395346 0.89069766 0.94186044
26 0.115384616 0.30384618 0.42307693 1.0 71.2 75.0 0.1 0.1504627 0.19402985 0.81395346 0.88953495 0.94186044
27 0.14814815 0.30740744 0.44444445 1.0 71.6 75.0 0.1 0.1496118 0.19402985 0.81395346 0.8860466 0.94186044
28 0.14285715 0.3 0.42857143 1.0 72.0 75.0 0.09859155 0.15014794 0.19117647 0.81395346 0.8860466 0.94186044
29 0.13793103 0.29310346 0.44827586 1.0 73.0 76.0 0.097222224 0.15086825 0.19178082 0.81395346 0.883721 0.94186044
