rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 54.7 55.0 0.10909091 0.11333333 0.12727273 0.8372093 0.88720924 0.95348835
2 0.0 0.35 1.0 1.0 55.4 57.0 0.10714286 0.11369125 0.12727273 0.8372093 0.8860464 0.95348835
3 0.0 0.33333334 1.0 1.0 56.3 59.0 0.10526316 0.12075804 0.14285715 0.8372093 0.8860464 0.95348835
4 0.0 0.4 0.75 1.0 56.7 60.0 0.10526316 0.119921505 0.14285715 0.8372093 0.8883721 0.95348835
5 0.0 0.38000003 0.6 1.0 57.3 60.0 0.10344828 0.12212268 0.14285715 0.8372093 0.8883721 0.95348835
6 0.0 0.36666667 0.6666667 1.0 57.9 60.0 0.10344828 0.124260485 0.15789473 0.8372093 0.8918605 0.95348835
7 0.14285715 0.34285715 0.5714286 1.0 58.7 61.0 0.10169491 0.124289855 0.15517241 0.8372093 0.8872093 0.94186044
8 0.125 0.3375 0.625 1.0 59.5 63.0 0.1 0.12763268 0.15254237 0.8372093 0.883721 0.94186044
9 0.11111111 0.37777779 0.6666667 1.0 59.9 63.0 0.09836066 0.12850145 0.15254237 0.8372093 0.883721 0.94186044
10 0.2 0.39000005 0.7 1.0 60.4 63.0 0.09836066 0.13243288 0.15254237 0.8372093 0.883721 0.94186044
11 0.18181819 0.3818182 0.72727275 1.0 61.3 65.0 0.09836066 0.13382417 0.16666667 0.8372093 0.88255817 0.94186044
12 0.16666667 0.37500003 0.6666667 1.0 61.8 65.0 0.09836066 0.1343397 0.16666667 0.8488372 0.88255817 0.9302326
13 0.23076923 0.3692308 0.61538464 1.0 62.1 64.0 0.09836066 0.14015652 0.18032786 0.8372093 0.877907 0.9186047
14 0.21428572 0.36428574 0.64285713 1.0 63.0 67.0 0.09836066 0.13818547 0.18032786 0.8372093 0.88255817 0.94186044
15 0.2 0.36 0.6666667 1.0 63.5 68.0 0.09836066 0.14031473 0.19354838 0.8372093 0.88023263 0.9186047
16 0.25 0.35625 0.625 1.0 64.2 68.0 0.09677419 0.14197712 0.19354838 0.8372093 0.88488376 0.9186047
17 0.23529412 0.35882354 0.64705884 1.0 64.6 68.0 0.09677419 0.14267692 0.20634921 0.8372093 0.883721 0.9186047
18 0.22222222 0.3555556 0.6111111 1.0 65.2 69.0 0.0952381 0.14288032 0.21875 0.81395346 0.877907 0.9186047
19 0.21052632 0.34736842 0.57894737 1.0 66.0 70.0 0.11111111 0.1441933 0.21875 0.8372093 0.88023263 0.9186047
20 0.2 0.34999996 0.55 1.0 66.4 71.0 0.11111111 0.14789724 0.234375 0.8372093 0.88139534 0.9186047
21 0.23809524 0.36190477 0.52380955 1.0 66.7 71.0 0.11111111 0.15018818 0.23076923 0.8372093 0.88139534 0.9186047
22 0.22727273 0.36818185 0.5 1.0 67.5 72.0 0.11111111 0.15119892 0.22058824 0.8372093 0.88139534 0.9186047
23 0.2173913 0.3521739 0.47826087 1.0 68.4 73.0 0.109375 0.15062174 0.22058824 0.8372093 0.88255817 0.9186047
24 0.20833333 0.34999996 0.5 1.0 68.7 74.0 0.10769231 0.15000153 0.22058824 0.8255814 0.88255817 0.9186047
25 0.2 0.34400004 0.48 1.0 69.5 75.0 0.10769231 0.15131767 0.22058824 0.8255814 0.88255817 0.9186047
26 0.1923077 0.33846155 0.46153846 1.0 70.1 75.0 0.10606061 0.15141998 0.23188406 0.8255814 0.8790699 0.9186047
27 0.18518518 0.3333333 0.44444445 1.0 70.9 76.0 0.104477614 0.15111735 0.23188406 0.8255814 0.87558144 0.9186047
28 0.17857143 0.32500002 0.42857143 1.0 71.3 76.0 0.10294118 0.15302487 0.22857143 0.8255814 0.8767443 0.9186047
29 0.20689656 0.32068965 0.41379312 1.0 71.9 76.0 0.10294118 0.15444219 0.22857143 0.81395346 0.8697675 0.9186047
30 0.23333333 0.32 0.4 1.0 72.6 76.0 0.118421055 0.15868106 0.24285714 0.81395346 0.86744183 0.89534885
31 0.22580644 0.31612903 0.41935483 1.0 73.2 77.0 0.118421055 0.15733556 0.23943663 0.81395346 0.8639535 0.89534885
32 0.25 0.3125 0.40625 1.0 73.9 77.0 0.12857144 0.16098131 0.23287672 0.8255814 0.8639535 0.89534885
33 0.24242425 0.3121212 0.3939394 1.0 74.1 77.0 0.12857144 0.1604894 0.23287672 0.8255814 0.86162794 0.89534885
34 0.23529412 0.3147059 0.4117647 1.0 74.3 77.0 0.12857144 0.16264887 0.22972973 0.8255814 0.86046517 0.89534885
35 0.22857143 0.31428573 0.42857143 1.0 75.0 78.0 0.12676056 0.16376689 0.22666667 0.8023256 0.8569768 0.89534885
36 0.22222222 0.31666666 0.41666666 1.0 75.5 79.0 0.12676056 0.1640298 0.22666667 0.81395346 0.86046517 0.89534885
37 0.21621622 0.31081083 0.4054054 1.0 76.2 80.0 0.1369863 0.16397972 0.22666667 0.8023256 0.85465115 0.89534885
38 0.23684211 0.3105263 0.39473686 1.0 76.6 80.0 0.13513513 0.16579479 0.22666667 0.8023256 0.8569767 0.9186047
39 0.23076923 0.31025642 0.41025642 1.0 77.0 81.0 0.13513513 0.16751476 0.22666667 0.8023256 0.8627907 0.9186047
40 0.25 0.31 0.4 1.0 77.6 82.0 0.13333334 0.16750385 0.22666667 0.8023256 0.8627907 0.90697676
41 0.24390244 0.3097561 0.3902439 1.0 77.9 83.0 0.13513513 0.16829173 0.22666667 0.8023256 0.8627907 0.90697676
42 0.23809524 0.31190476 0.4047619 1.0 78.1 83.0 0.1392405 0.17175283 0.23684211 0.8023256 0.8639535 0.90697676
43 0.23255815 0.31395352 0.39534885 1.0 78.8 84.0 0.1375 0.17275289 0.24675325 0.8023256 0.8651163 0.90697676
44 0.25 0.31363636 0.4090909 1.0 79.5 85.0 0.13580246 0.1764442 0.24675325 0.8023256 0.8639535 0.89534885
45 0.24444444 0.31555554 0.4 1.0 79.6 85.0 0.13580246 0.17745295 0.24675325 0.7790698 0.85930234 0.89534885
46 0.23913044 0.31521738 0.39130434 1.0 80.5 85.0 0.13095239 0.17809618 0.25641027 0.7790698 0.8639535 0.9186047
47 0.23404256 0.31276596 0.38297874 1.0 81.1 87.0 0.13095239 0.18062687 0.25974026 0.7906977 0.86860466 0.9302326
48 0.22916667 0.30833334 0.375 1.0 81.6 87.0 0.12941177 0.183193 0.26923078 0.7906977 0.8651163 0.9186047
49 0.2244898 0.30816323 0.3877551 1.0 82.1 87.0 0.13953489 0.18317623 0.2658228 0.7906977 0.8662791 0.9186047
50 0.22 0.308 0.38 1.0 82.7 87.0 0.14942528 0.18298188 0.2625 0.7906977 0.8662791 0.90697676
51 0.21568628 0.30980393 0.39215687 1.0 83.1 88.0 0.14772727 0.18349601 0.2625 0.7906977 0.8662791 0.90697676
52 0.23076923 0.31153846 0.3846154 1.0 83.5 88.0 0.14772727 0.1838021 0.25925925 0.7906977 0.8662791 0.90697676
53 0.2264151 0.31509432 0.3962264 1.0 83.8 88.0 0.14772727 0.18558174 0.25925925 0.7906977 0.86744195 0.9186047
54 0.22222222 0.31296298 0.3888889 1.0 83.9 88.0 0.14942528 0.1853092 0.25925925 0.7906977 0.86744195 0.9186047
55 0.23636363 0.31272727 0.38181818 1.0 84.3 88.0 0.14942528 0.18549535 0.25609756 0.7906977 0.8697675 0.9186047
56 0.23214285 0.3125 0.39285713 1.0 84.7 89.0 0.15730338 0.1881848 0.25609756 0.76744187 0.8662791 0.9186047
57 0.22807017 0.3140351 0.3859649 1.0 85.0 89.0 0.15730338 0.18860142 0.25301206 0.75581396 0.8651163 0.9186047
