rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.11131313 0.12727273 0.8372093 0.88720924 0.95348835
2 0.0 0.25 0.5 1.0 55.5 56.0 0.10714286 0.10993507 0.12727273 0.8372093 0.8860465 0.95348835
3 0.0 0.23333332 0.6666667 1.0 56.2 57.0 0.10526316 0.11391661 0.125 0.81395346 0.8802325 0.94186044
4 0.0 0.275 0.5 1.0 56.7 58.0 0.10344828 0.11470594 0.125 0.8023256 0.8790698 0.94186044
5 0.0 0.28000003 0.6 1.0 57.3 59.0 0.10169491 0.115234956 0.13793103 0.8023256 0.877907 0.94186044
6 0.0 0.28333333 0.5 1.0 57.9 60.0 0.1 0.11581377 0.15517241 0.8023256 0.87558144 0.95348835
7 0.0 0.28571433 0.42857143 1.0 58.6 61.0 0.09836066 0.11619139 0.15517241 0.8023256 0.8767443 0.95348835
8 0.0 0.2875 0.5 1.0 59.2 62.0 0.09677419 0.11844875 0.15517241 0.8023256 0.87558144 0.95348835
9 0.0 0.3222222 0.5555556 1.0 59.5 63.0 0.0952381 0.11784705 0.15254237 0.8023256 0.877907 0.95348835
10 0.0 0.32000002 0.6 1.0 60.2 64.0 0.09375 0.11813428 0.15 0.8023256 0.88139546 0.95348835
11 0.09090909 0.3181818 0.54545456 1.0 60.9 64.0 0.09375 0.12009402 0.14754099 0.81395346 0.88255817 0.95348835
12 0.083333336 0.31666666 0.5 1.0 61.5 65.0 0.09375 0.122154966 0.16129032 0.8023256 0.87674415 0.95348835
13 0.07692308 0.30769235 0.46153846 1.0 62.2 65.0 0.092307694 0.12249295 0.16129032 0.81395346 0.877907 0.95348835
14 0.14285715 0.3214286 0.5 1.0 62.7 66.0 0.092307694 0.12307495 0.16129032 0.81395346 0.88139534 0.95348835
15 0.13333334 0.31333333 0.46666667 1.0 63.3 67.0 0.092307694 0.12513566 0.15873016 0.81395346 0.883721 0.95348835
16 0.125 0.30625 0.4375 1.0 64.0 68.0 0.09090909 0.12996587 0.15873016 0.8255814 0.8860465 0.95348835
17 0.11764706 0.30588236 0.47058824 1.0 64.5 68.0 0.09090909 0.13207331 0.16393442 0.8255814 0.8860465 0.95348835
18 0.11111111 0.30555555 0.44444445 1.0 65.0 69.0 0.08955224 0.13251266 0.16393442 0.8255814 0.883721 0.95348835
19 0.15789473 0.30526316 0.42105263 1.0 65.5 69.0 0.08955224 0.13150233 0.16393442 0.8255814 0.88255817 0.95348835
20 0.15 0.3 0.4 1.0 66.1 69.0 0.0882353 0.13190003 0.17741935 0.8255814 0.883721 0.95348835
21 0.1904762 0.3 0.3809524 1.0 66.6 69.0 0.10144927 0.13393065 0.17460318 0.8255814 0.88255817 0.95348835
22 0.18181819 0.30454546 0.4090909 1.0 67.0 70.0 0.10144927 0.13315949 0.17460318 0.8255814 0.8802325 0.95348835
23 0.17391305 0.29999995 0.4347826 1.0 67.8 71.0 0.1 0.13460815 0.17460318 0.8255814 0.8790698 0.95348835
24 0.16666667 0.29999998 0.45833334 1.0 68.1 72.0 0.09859155 0.13415343 0.17460318 0.8255814 0.8790698 0.95348835
25 0.16 0.304 0.48 1.0 68.4 73.0 0.09859155 0.13359955 0.17460318 0.81395346 0.8767443 0.95348835
26 0.15384616 0.30384618 0.46153846 1.0 69.0 73.0 0.097222224 0.1323565 0.171875 0.8023256 0.87558144 0.95348835
27 0.18518518 0.3037037 0.4814815 1.0 69.4 73.0 0.097222224 0.13299346 0.171875 0.8023256 0.87674415 0.95348835
28 0.17857143 0.3 0.4642857 1.0 69.6 73.0 0.097222224 0.13256341 0.16923077 0.8023256 0.87558144 0.95348835
29 0.1724138 0.2931034 0.4827586 1.0 70.4 73.0 0.09589041 0.1324913 0.16923077 0.81395346 0.88023263 0.95348835
30 0.16666667 0.30333334 0.5 1.0 70.7 74.0 0.0945946 0.1320247 0.16923077 0.81395346 0.877907 0.95348835
31 0.16129032 0.3064516 0.48387095 1.0 70.9 74.0 0.10810811 0.13289832 0.16666667 0.81395346 0.8744186 0.95348835
32 0.15625 0.309375 0.46875 1.0 71.1 74.0 0.10810811 0.13389772 0.16666667 0.81395346 0.872093 0.95348835
33 0.15151516 0.3090909 0.45454547 1.0 71.5 75.0 0.10666667 0.1344963 0.1641791 0.81395346 0.8697675 0.95348835
34 0.14705883 0.30588236 0.44117647 1.0 71.6 75.0 0.10666667 0.13421711 0.1641791 0.81395346 0.86744195 0.95348835
35 0.17142858 0.30857146 0.42857143 1.0 72.1 76.0 0.10666667 0.1346666 0.16176471 0.81395346 0.8639535 0.95348835
36 0.16666667 0.30555555 0.41666666 1.0 72.4 77.0 0.10666667 0.1355227 0.16176471 0.81395346 0.8697675 0.95348835
37 0.1891892 0.3027027 0.43243244 1.0 72.8 78.0 0.10666667 0.1360751 0.16666667 0.81395346 0.872093 0.95348835
38 0.18421052 0.3026316 0.42105263 1.0 73.1 78.0 0.10666667 0.13555142 0.16666667 0.81395346 0.86976737 0.95348835
39 0.17948718 0.30512822 0.41025642 1.0 73.5 79.0 0.10810811 0.13741551 0.17721519 0.81395346 0.8709302 0.95348835
40 0.175 0.30749997 0.425 1.0 73.7 79.0 0.10810811 0.13706873 0.17721519 0.81395346 0.8709302 0.95348835
41 0.17073171 0.30731708 0.4390244 1.0 73.8 80.0 0.10810811 0.13687937 0.175 0.81395346 0.8709302 0.95348835
42 0.16666667 0.30238098 0.42857143 1.0 74.0 80.0 0.10666667 0.13918132 0.175 0.8023256 0.8709303 0.95348835
43 0.1627907 0.3023256 0.41860464 1.0 74.5 81.0 0.10526316 0.13828734 0.17283951 0.8023256 0.8709303 0.95348835
44 0.18181819 0.30454546 0.4318182 1.0 74.8 81.0 0.103896104 0.14050016 0.17283951 0.81395346 0.86744183 0.94186044
45 0.17777778 0.30666667 0.42222223 1.0 75.0 81.0 0.103896104 0.14017513 0.17283951 0.81395346 0.86162794 0.9302326
46 0.17391305 0.3065217 0.41304347 1.0 75.5 81.0 0.103896104 0.13922709 0.17283951 0.81395346 0.86860466 0.9186047
47 0.17021276 0.30638295 0.40425533 1.0 75.7 81.0 0.103896104 0.13881579 0.17283951 0.81395346 0.8639535 0.9186047
48 0.16666667 0.30624998 0.39583334 1.0 76.2 81.0 0.102564104 0.13796403 0.17283951 0.81395346 0.8662791 0.9186047
49 0.1632653 0.3 0.3877551 1.0 76.6 80.0 0.101265825 0.1398727 0.175 0.81395346 0.86860466 0.9186047
50 0.16 0.3 0.4 1.0 77.0 81.0 0.101265825 0.1390532 0.17283951 0.81395346 0.8662791 0.94186044
51 0.15686275 0.3 0.4117647 1.0 77.5 81.0 0.1125 0.1408169 0.17283951 0.81395346 0.8651163 0.9186047
52 0.15384616 0.3 0.40384614 1.0 77.9 82.0 0.1125 0.14007679 0.17073171 0.81395346 0.8639535 0.9186047
53 0.1509434 0.3 0.41509435 1.0 78.1 82.0 0.1125 0.1396707 0.17073171 0.76744187 0.8534883 0.9186047
