rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.7 55.0 0.10909091 0.10969697 0.11111111 0.8372093 0.8848837 0.95348835
2 0.0 0.25 0.5 1.0 55.4 56.0 0.10714286 0.11009741 0.125 0.8372093 0.8872093 0.95348835
3 0.0 0.23333332 0.6666667 1.0 56.1 57.0 0.10526316 0.11223172 0.14035088 0.81395346 0.8848837 0.95348835
4 0.0 0.3 0.5 1.0 56.6 58.0 0.10526316 0.11474051 0.13793103 0.8023256 0.88488376 0.95348835
5 0.0 0.3 0.6 1.0 57.3 59.0 0.10344828 0.11336881 0.13559322 0.8023256 0.883721 0.95348835
6 0.0 0.31666666 0.5 1.0 57.9 60.0 0.10169491 0.11389761 0.13333334 0.8023256 0.88139534 0.95348835
7 0.0 0.31428576 0.42857143 1.0 58.4 61.0 0.10169491 0.11292897 0.13114753 0.8023256 0.883721 0.95348835
8 0.0 0.3125 0.5 1.0 58.9 62.0 0.1 0.111985944 0.12903225 0.8023256 0.88023263 0.95348835
9 0.0 0.34444445 0.5555556 1.0 59.3 63.0 0.09836066 0.1112149 0.12698413 0.8023256 0.88255817 0.95348835
10 0.0 0.34 0.6 1.0 60.0 64.0 0.1 0.11325131 0.125 0.8023256 0.8860465 0.95348835
11 0.09090909 0.3363636 0.54545456 1.0 60.5 64.0 0.1 0.113985434 0.125 0.8023256 0.88255817 0.9302326
12 0.083333336 0.34166667 0.5 1.0 60.9 64.0 0.09836066 0.11488088 0.12698413 0.8023256 0.88488376 0.94186044
13 0.07692308 0.3461539 0.46153846 1.0 61.5 65.0 0.09677419 0.113791905 0.12698413 0.8023256 0.8848837 0.95348835
14 0.14285715 0.34285715 0.5 1.0 62.1 65.0 0.0952381 0.11427323 0.140625 0.8023256 0.8883721 0.95348835
15 0.13333334 0.3333333 0.46666667 1.0 62.6 65.0 0.09375 0.11501099 0.13846155 0.8023256 0.88953483 0.95348835
16 0.1875 0.33125 0.4375 1.0 63.3 66.0 0.10769231 0.11846145 0.13636364 0.81395346 0.88953483 0.95348835
17 0.1764706 0.32352942 0.4117647 1.0 63.7 67.0 0.10606061 0.119348966 0.13432837 0.81395346 0.8930232 0.95348835
18 0.16666667 0.32222223 0.3888889 1.0 64.3 68.0 0.104477614 0.11983313 0.14285715 0.81395346 0.894186 0.95348835
19 0.15789473 0.31578946 0.42105263 1.0 64.7 69.0 0.104477614 0.11908809 0.14285715 0.81395346 0.8930232 0.95348835
20 0.15 0.31 0.4 1.0 65.2 70.0 0.104477614 0.11812611 0.140625 0.81395346 0.8930233 0.95348835
21 0.1904762 0.3142857 0.42857143 1.0 65.5 70.0 0.10294118 0.11759938 0.140625 0.81395346 0.8860465 0.95348835
22 0.18181819 0.31818184 0.45454547 1.0 65.9 71.0 0.10294118 0.116895035 0.140625 0.8023256 0.8848837 0.95348835
23 0.17391305 0.3086956 0.4347826 1.0 66.7 72.0 0.10294118 0.11683643 0.1388889 0.8372093 0.8872093 0.96511626
24 0.16666667 0.31250003 0.45833334 1.0 67.2 72.0 0.10144927 0.11897204 0.1388889 0.8255814 0.8883721 0.96511626
25 0.16 0.32000002 0.48 1.0 67.5 72.0 0.10144927 0.121543325 0.1388889 0.7906977 0.8872093 0.96511626
26 0.15384616 0.31153846 0.46153846 1.0 68.2 72.0 0.1 0.120287634 0.1388889 0.75581396 0.88139546 0.96511626
27 0.18518518 0.31111112 0.4814815 1.0 68.4 72.0 0.09859155 0.1199071 0.1388889 0.75581396 0.877907 0.96511626
28 0.17857143 0.30714288 0.4642857 1.0 68.8 73.0 0.10294118 0.12205622 0.1369863 0.76744187 0.87674415 0.96511626
29 0.1724138 0.3 0.4827586 1.0 69.3 74.0 0.11111111 0.12267921 0.13513513 0.76744187 0.87674415 0.96511626
30 0.16666667 0.30333334 0.46666667 1.0 69.6 74.0 0.11111111 0.12365446 0.14925373 0.76744187 0.8790698 0.96511626
31 0.16129032 0.3064516 0.4516129 1.0 69.9 75.0 0.11111111 0.12444614 0.14705883 0.76744187 0.8790698 0.96511626
32 0.15625 0.30625 0.4375 1.0 70.3 75.0 0.10958904 0.12810054 0.14705883 0.76744187 0.87674415 0.96511626
33 0.15151516 0.3090909 0.42424244 1.0 70.7 75.0 0.10958904 0.12735994 0.14705883 0.76744187 0.8744186 0.96511626
34 0.1764706 0.31176472 0.4117647 1.0 71.0 75.0 0.10810811 0.1267918 0.14492753 0.76744187 0.8744186 0.96511626
35 0.2 0.30857143 0.4 1.0 71.5 76.0 0.114285715 0.12862502 0.14285715 0.7790698 0.8744186 0.96511626
36 0.19444445 0.3027778 0.41666666 1.0 72.1 76.0 0.11594203 0.12898132 0.14084508 0.8023256 0.88023263 0.94186044
37 0.21621622 0.2972973 0.4054054 1.0 72.5 77.0 0.116883114 0.12974277 0.14084508 0.7790698 0.86744183 0.9186047
38 0.21052632 0.2947368 0.42105263 1.0 72.7 77.0 0.116883114 0.13209036 0.14473684 0.7790698 0.86744183 0.9186047
39 0.20512821 0.29487184 0.41025642 1.0 72.9 77.0 0.12328767 0.1344217 0.14473684 0.7790698 0.8697675 0.94186044
40 0.2 0.2975 0.425 1.0 73.2 77.0 0.12162162 0.13524455 0.14473684 0.74418604 0.8639535 0.94186044
41 0.2195122 0.3 0.41463414 1.0 73.5 78.0 0.12162162 0.13471119 0.14473684 0.74418604 0.8639535 0.94186044
42 0.21428572 0.29523808 0.4047619 1.0 73.7 78.0 0.12 0.13435878 0.14473684 0.74418604 0.8662791 0.94186044
43 0.20930232 0.2930233 0.39534885 1.0 74.3 79.0 0.12 0.1332607 0.14473684 0.74418604 0.8744186 0.95348835
44 0.22727273 0.29318184 0.4090909 1.0 74.6 79.0 0.118421055 0.13547568 0.15277778 0.74418604 0.8697675 0.95348835
45 0.22222222 0.29555556 0.4 1.0 74.9 79.0 0.12328767 0.13762219 0.15277778 0.74418604 0.8651163 0.9302326
