rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.0 0.0 1.0 54.9 55.0 0.10909091 0.1129293 0.12727273 0.8372093 0.8872093 0.95348835
100 0.2 0.35300002 0.44 1.0 89.1 94.0 0.17582418 0.21676454 0.25842696 0.73255813 0.8209303 0.90697676
200 0.325 0.409 0.45 1.0 95.6 105.0 0.21348314 0.2993217 0.35238096 0.7209302 0.82325584 0.90697676
300 0.38 0.458 0.5133333 1.0 94.3 101.0 0.31034482 0.38056627 0.43564355 0.7209302 0.777907 0.872093
400 0.44 0.49650002 0.5625 1.0 92.8 101.0 0.42553192 0.46413213 0.5529412 0.60465115 0.7569768 0.8255814
500 0.486 0.5314 0.588 1.0 91.6 99.0 0.46464646 0.5079231 0.56179774 0.61627907 0.7488372 0.8255814
600 0.52 0.5618333 0.6116667 1.0 89.2 101.0 0.46534654 0.5691229 0.6321839 0.627907 0.7255814 0.8255814
700 0.5542857 0.5855714 0.6185714 1.0 87.4 101.0 0.4950495 0.6166008 0.70238096 0.627907 0.7069768 0.8023256
800 0.58375 0.60812503 0.6275 1.0 85.2 98.0 0.5408163 0.6630768 0.7241379 0.6395349 0.7046512 0.76744187
900 0.60555553 0.62900007 0.64555556 1.0 83.3 98.0 0.5816327 0.7028353 0.7702703 0.6511628 0.72209305 0.8604651
1000 0.631 0.6478 0.663 1.0 84.2 95.0 0.6105263 0.71820706 0.79761904 0.6627907 0.7348837 0.8255814
1100 0.65272725 0.6639091 0.68454546 1.0 82.1 89.0 0.6516854 0.7486768 0.8333333 0.6627907 0.7139535 0.8372093
1200 0.6691667 0.6797501 0.70166665 1.0 80.0 86.0 0.68235296 0.772527 0.8518519 0.6395349 0.705814 0.8023256
1300 0.6823077 0.69461536 0.7153846 1.0 78.1 86.0 0.68604654 0.8050481 0.8974359 0.6511628 0.6941861 0.8023256
1400 0.69 0.7066428 0.73214287 1.0 77.5 85.0 0.7375 0.82678765 0.92105263 0.6395349 0.6872093 0.76744187
1500 0.70533335 0.72019994 0.7453333 1.0 77.5 83.0 0.75641024 0.833337 0.92105263 0.60465115 0.68372095 0.75581396
1600 0.71625 0.73187494 0.758125 1.0 77.0 84.0 0.7710843 0.8426653 0.9041096 0.60465115 0.6848837 0.74418604
1700 0.7270588 0.7423529 0.7664706 1.0 76.2 84.0 0.7619048 0.85733306 0.9220779 0.627907 0.67674416 0.74418604
1800 0.73333335 0.7522222 0.7772222 1.0 75.1 81.0 0.7875 0.8732807 0.9315069 0.627907 0.677907 0.73255813
1900 0.74263155 0.76121056 0.7842105 1.0 74.7 77.0 0.8181818 0.88237983 0.9315069 0.60465115 0.6732558 0.74418604
2000 0.7545 0.7702 0.794 1.0 74.7 79.0 0.8101266 0.883927 0.93421054 0.6395349 0.68372095 0.74418604
2100 0.76428574 0.7777619 0.80190474 1.0 74.2 77.0 0.84415585 0.89094514 0.93421054 0.61627907 0.6697675 0.74418604
2200 0.77363634 0.7848636 0.80727273 1.0 73.5 77.0 0.8513514 0.90386856 0.95714283 0.627907 0.6709302 0.75581396
2300 0.78217393 0.7923044 0.81347823 1.0 72.4 77.0 0.8666667 0.9206656 0.9852941 0.627907 0.67093027 0.76744187
2400 0.7891667 0.798875 0.8208333 1.0 71.3 75.0 0.8918919 0.93860424 0.9726027 0.627907 0.67209303 0.75581396
2500 0.7952 0.8058001 0.828 1.0 71.2 77.0 0.8918919 0.9431912 0.9726027 0.627907 0.6732558 0.75581396
2600 0.8 0.811923 0.83384615 1.0 70.4 76.0 0.92105263 0.9604751 0.98630136 0.627907 0.67093027 0.74418604
2700 0.8062963 0.8175926 0.83962965 1.0 71.1 75.0 0.9305556 0.9508168 0.972973 0.6395349 0.6802326 0.74418604
2800 0.81107146 0.82289284 0.8446429 1.0 70.2 74.0 0.92753625 0.96589434 1.0 0.6395349 0.67209303 0.73255813
2900 0.81655174 0.8282069 0.85 1.0 70.5 74.0 0.9411765 0.96300334 0.9859155 0.6395349 0.6744186 0.7209302
3000 0.82166666 0.833 0.85466665 1.0 70.2 73.0 0.94285715 0.9673482 1.0 0.6395349 0.6755814 0.73255813
3100 0.8267742 0.83745164 0.8590323 1.0 70.4 72.0 0.9166667 0.96885586 1.0 0.6395349 0.6755814 0.73255813
3200 0.8321875 0.8420313 0.8625 1.0 70.7 74.0 0.9166667 0.9647275 0.9861111 0.6395349 0.6744186 0.73255813
3300 0.8372727 0.84618187 0.8666667 1.0 70.4 74.0 0.92957747 0.9690381 1.0 0.6395349 0.6744186 0.73255813
3400 0.8414706 0.85023534 0.87058824 1.0 69.9 74.0 0.942029 0.97721225 1.0 0.6395349 0.67325586 0.73255813
3500 0.8454286 0.85411435 0.8742857 1.0 69.6 74.0 0.942029 0.9814345 1.0 0.6395349 0.67325586 0.73255813
3600 0.8488889 0.8576667 0.87722224 1.0 69.4 75.0 0.9589041 0.98455876 1.0 0.6395349 0.6790698 0.73255813
3700 0.8524324 0.86116207 0.87945944 1.0 69.5 75.0 0.96 0.98442 1.0 0.6395349 0.6744186 0.73255813
3800 0.8563158 0.8645527 0.8818421 1.0 69.8 74.0 0.9705882 0.97996104 1.0 0.6395349 0.6744186 0.73255813
3900 0.8594872 0.8675898 0.88461536 1.0 69.9 74.0 0.9577465 0.98012364 1.0 0.627907 0.67209303 0.73255813
4000 0.86275 0.870375 0.88725 1.0 69.4 73.0 0.9710145 0.9886042 1.0 0.627907 0.67209303 0.73255813
4100 0.86585367 0.8732195 0.8897561 1.0 69.4 72.0 0.9710145 0.9886899 1.0 0.627907 0.6732558 0.73255813
4200 0.8685714 0.8759999 0.89214283 1.0 69.2 73.0 0.9726027 0.99289054 1.0 0.627907 0.67209303 0.73255813
4300 0.8716279 0.87862796 0.8946512 1.0 68.9 72.0 0.9852941 0.9971405 1.0 0.627907 0.67209303 0.73255813
4400 0.87454545 0.8812955 0.89704543 1.0 68.8 72.0 0.98571426 0.9985714 1.0 0.627907 0.67209303 0.73255813
4500 0.87733334 0.88386667 0.89933336 1.0 69.0 72.0 0.98507464 0.995648 1.0 0.627907 0.6732558 0.73255813
4600 0.88 0.88628256 0.901087 1.0 69.0 72.0 0.98507464 0.99566925 1.0 0.627907 0.6732558 0.73255813
4700 0.88212764 0.88861704 0.9031915 1.0 69.0 72.0 0.98550725 0.9971221 1.0 0.627907 0.6732558 0.73255813
4800 0.88416666 0.8908542 0.90479165 1.0 69.2 73.0 0.9852941 0.99428165 1.0 0.627907 0.6732558 0.73255813
4900 0.88653064 0.8929795 0.9065306 1.0 69.2 74.0 0.972973 0.9943981 1.0 0.627907 0.6732558 0.73255813
5000 0.8886 0.8949801 0.9084 1.0 69.5 74.0 0.9710145 0.9901107 1.0 0.627907 0.6732558 0.73255813
5100 0.8907843 0.8969019 0.91 1.0 69.3 74.0 0.9726027 0.99312896 1.0 0.627907 0.6732558 0.73255813
5200 0.8928846 0.8988654 0.91173077 1.0 69.2 74.0 0.972973 0.99447984 1.0 0.627907 0.6732558 0.73255813
5300 0.8949057 0.90075475 0.91320753 1.0 69.1 73.0 0.98571426 0.9958127 1.0 0.627907 0.6732558 0.73255813
5400 0.89666665 0.90253717 0.91481483 1.0 69.1 73.0 0.98571426 0.9958127 1.0 0.627907 0.6732558 0.73255813
5500 0.89854544 0.90427274 0.91636366 1.0 69.0 73.0 0.98571426 0.99720156 1.0 0.627907 0.6732558 0.73255813
5600 0.9003571 0.90596426 0.91785717 1.0 68.9 73.0 0.98630136 0.99863017 1.0 0.627907 0.6732558 0.73255813
5700 0.9021053 0.90757895 0.9191228 1.0 68.8 72.0 1.0 1.0 1.0 0.627907 0.6732558 0.73255813
5800 0.9037931 0.9091724 0.92051727 1.0 69.0 72.0 0.9852941 0.99710083 1.0 0.627907 0.6732558 0.73255813
5900 0.9054237 0.91066104 0.9218644 1.0 68.8 72.0 1.0 1.0 1.0 0.627907 0.6732558 0.73255813
6000 0.90683335 0.9121334 0.9231667 1.0 68.8 72.0 1.0 1.0 1.0 0.627907 0.6732558 0.73255813
6100 0.90836066 0.91357374 0.92442626 1.0 68.8 72.0 1.0 1.0 1.0 0.627907 0.6732558 0.73255813
6200 0.90983874 0.91496783 0.9256452 1.0 68.8 72.0 1.0 1.0 1.0 0.627907 0.6732558 0.73255813
6300 0.91126984 0.91631746 0.9268254 1.0 68.8 72.0 1.0 1.0 1.0 0.627907 0.6732558 0.73255813
6400 0.91265625 0.91762507 0.92796874 1.0 68.9 73.0 0.98630136 0.99863017 1.0 0.627907 0.6732558 0.73255813
6500 0.914 0.9188768 0.9289231 1.0 68.8 72.0 1.0 1.0 1.0 0.627907 0.6732558 0.73255813
6600 0.91530305 0.9201061 0.93 1.0 68.8 72.0 1.0 1.0 1.0 0.627907 0.6732558 0.73255813
6700 0.91656715 0.9212388 0.93104476 1.0 68.9 72.0 1.0 1.0 1.0 0.6395349 0.6744186 0.73255813
6800 0.9177941 0.922397 0.9320588 1.0 69.0 72.0 0.9852941 0.99852943 1.0 0.6395349 0.6744186 0.73255813
6900 0.9189855 0.9235072 0.9330435 1.0 69.1 72.0 0.9852941 0.99708015 1.0 0.6395349 0.6744186 0.73255813
7000 0.92 0.9245571 0.934 1.0 69.1 72.0 0.9852941 0.99705887 1.0 0.6395349 0.6744186 0.73255813
