rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 54.7 55.0 0.10909091 0.11333333 0.12727273 0.8372093 0.88720924 0.95348835
100 0.26 0.35700002 0.46 1.0 94.7 102.0 0.20408164 0.236895 0.28421053 0.74418604 0.8802325 0.95348835
200 0.36 0.4185 0.485 1.0 105.1 113.0 0.27433628 0.34223494 0.40384614 0.8023256 0.877907 0.95348835
300 0.42333335 0.46833333 0.52 1.0 108.6 112.0 0.36363637 0.4116853 0.45794392 0.81395346 0.8860465 0.95348835
400 0.4675 0.51274997 0.575 1.0 107.8 112.0 0.43636364 0.47205377 0.5089286 0.8023256 0.8662791 0.9186047
500 0.504 0.54560006 0.59 1.0 106.7 111.0 0.46728972 0.5245391 0.55140185 0.81395346 0.8639535 0.95348835
600 0.5316667 0.57533336 0.61333334 1.0 105.9 110.0 0.50980395 0.5735954 0.6090909 0.8023256 0.84651166 0.90697676
700 0.56714284 0.5988571 0.63714284 1.0 105.0 109.0 0.54285717 0.6114739 0.6666667 0.7906977 0.82674426 0.872093
800 0.58875 0.61950004 0.64375 1.0 103.7 109.0 0.58 0.64347255 0.6826923 0.8023256 0.83837205 0.88372093
900 0.60555553 0.63677776 0.6533333 1.0 102.6 108.0 0.5980392 0.66142064 0.7234042 0.7790698 0.83720934 0.90697676
1000 0.626 0.65220004 0.676 1.0 100.2 104.0 0.64646465 0.6907753 0.7346939 0.7790698 0.82325584 0.8604651
1100 0.6381818 0.66772723 0.69454545 1.0 97.9 105.0 0.67368424 0.7178358 0.7708333 0.76744187 0.81976736 0.8488372
1200 0.65166664 0.68125004 0.7083333 1.0 96.8 103.0 0.7029703 0.73310465 0.78723407 0.75581396 0.7953489 0.8372093
1300 0.6653846 0.6944615 0.7176923 1.0 94.6 100.0 0.71 0.75654566 0.8131868 0.75581396 0.7930232 0.81395346
1400 0.6785714 0.70592856 0.7292857 1.0 95.1 103.0 0.69902915 0.76575243 0.8152174 0.75581396 0.80116284 0.8372093
1500 0.68866664 0.71666664 0.73733336 1.0 94.7 99.0 0.74489796 0.7767072 0.8021978 0.7093023 0.7930232 0.8372093
1600 0.694375 0.72512496 0.748125 1.0 93.6 101.0 0.7326733 0.7977716 0.8333333 0.6976744 0.7825581 0.8255814
1700 0.70411766 0.734 0.75411767 1.0 91.2 102.0 0.7254902 0.8195265 0.85714287 0.6976744 0.777907 0.8372093
1800 0.715 0.74344444 0.76111114 1.0 91.0 101.0 0.7425743 0.82517433 0.9166667 0.6976744 0.77558136 0.8255814
1900 0.7242105 0.7514737 0.7705263 1.0 90.2 99.0 0.75757575 0.8321724 0.9166667 0.7093023 0.7813954 0.81395346
2000 0.7325 0.75930005 0.781 1.0 89.1 98.0 0.7755102 0.844648 0.92771083 0.74418604 0.7767441 0.81395346
2100 0.74142855 0.7668095 0.79 1.0 87.5 93.0 0.8172043 0.85939085 0.9166667 0.7209302 0.7790698 0.81395346
2200 0.7490909 0.7738637 0.7968182 1.0 86.3 94.0 0.80851066 0.8735242 0.90588236 0.7209302 0.7697674 0.8023256
2300 0.7552174 0.78047824 0.8021739 1.0 85.6 92.0 0.82608694 0.88149226 0.9166667 0.73255813 0.772093 0.8023256
2400 0.75875 0.78625 0.80833334 1.0 85.0 92.0 0.8369565 0.89074695 0.9506173 0.6976744 0.76627904 0.8023256
2500 0.7656 0.79252 0.8152 1.0 83.4 90.0 0.8333333 0.9084071 0.9506173 0.6976744 0.76744187 0.8255814
2600 0.77192307 0.79873073 0.8211538 1.0 82.5 91.0 0.82417583 0.91875994 0.9625 0.6976744 0.7662791 0.8023256
2700 0.7774074 0.8048148 0.82666665 1.0 82.0 90.0 0.8333333 0.92436296 0.9746835 0.6976744 0.76627904 0.7906977
2800 0.7839286 0.81046426 0.83214283 1.0 81.2 87.0 0.86206895 0.9331897 0.9746835 0.6976744 0.7639535 0.7906977
2900 0.79 0.8155862 0.83793104 1.0 82.0 86.0 0.8780488 0.9251394 0.9746835 0.6976744 0.7627907 0.7906977
3000 0.79433334 0.8203333 0.843 1.0 80.9 85.0 0.90361446 0.93753254 0.98717946 0.6976744 0.76395345 0.7906977
3100 0.8 0.8251613 0.8474194 1.0 80.5 85.0 0.89411765 0.9421867 0.98717946 0.6976744 0.76395345 0.7906977
3200 0.8059375 0.8295 0.8521875 1.0 80.4 85.0 0.9047619 0.94338495 0.98717946 0.6976744 0.76395345 0.7906977
3300 0.8112121 0.833697 0.85636365 1.0 79.4 85.0 0.9230769 0.9563615 1.0 0.6976744 0.76395345 0.7906977
3400 0.8167647 0.83785295 0.86 1.0 79.0 85.0 0.9230769 0.9613271 1.0 0.6976744 0.76395345 0.7906977
3500 0.82114285 0.84180003 0.864 1.0 78.6 85.0 0.92941177 0.9661744 1.0 0.6976744 0.76627904 0.7906977
3600 0.82472223 0.8458889 0.8675 1.0 78.7 85.0 0.92941177 0.9648442 1.0 0.6976744 0.76627904 0.7906977
3700 0.8286486 0.8495946 0.8708108 1.0 78.6 83.0 0.9480519 0.9658232 1.0 0.6976744 0.76395345 0.7906977
3800 0.83289474 0.8532368 0.8731579 1.0 78.2 83.0 0.9375 0.970888 1.0 0.6976744 0.76395345 0.7906977
3900 0.83692306 0.8565898 0.8761538 1.0 78.2 84.0 0.9404762 0.9708643 1.0 0.6976744 0.76395345 0.7906977
4000 0.8405 0.8595751 0.879 1.0 78.5 83.0 0.8674699 0.9677631 1.0 0.6976744 0.7651163 0.7906977
4100 0.8441464 0.86253655 0.8817073 1.0 78.2 82.0 0.8888889 0.9711546 1.0 0.7209302 0.76627904 0.7906977
4200 0.8466667 0.8654524 0.8845238 1.0 77.8 82.0 0.9350649 0.9757398 1.0 0.7209302 0.76627904 0.7906977
4300 0.85 0.8684186 0.8872093 1.0 77.7 82.0 0.9493671 0.976886 1.0 0.7209302 0.76627904 0.7906977
4400 0.85318184 0.8712274 0.8897727 1.0 77.8 82.0 0.9375 0.97576493 1.0 0.6976744 0.76395345 0.7906977
4500 0.8562222 0.8738222 0.892 1.0 77.6 82.0 0.96 0.97833425 1.0 0.6976744 0.76395345 0.7906977
4600 0.8593478 0.8761956 0.89434785 1.0 77.5 82.0 0.9506173 0.97977525 1.0 0.6976744 0.76395345 0.7906977
4700 0.86234045 0.8785532 0.8965957 1.0 77.6 84.0 0.9166667 0.97910213 1.0 0.6976744 0.7709302 0.8255814
4800 0.8652083 0.8808333 0.89875 1.0 77.3 82.0 0.9390244 0.9825274 1.0 0.6976744 0.76627904 0.8023256
4900 0.867551 0.8830816 0.9008163 1.0 77.1 82.0 0.9390244 0.9849621 1.0 0.6976744 0.76162785 0.7906977
5000 0.8698 0.88512003 0.9028 1.0 76.8 81.0 0.9506173 0.98869115 1.0 0.6976744 0.76162785 0.7906977
5100 0.87235296 0.88721573 0.9047059 1.0 76.6 81.0 0.9625 0.9911289 1.0 0.6976744 0.76162785 0.7906977
5200 0.8748077 0.88932705 0.9065385 1.0 76.5 81.0 0.9746835 0.99234736 1.0 0.6976744 0.76162785 0.7906977
5300 0.8771698 0.8913585 0.9083019 1.0 76.6 81.0 0.9625 0.99112904 1.0 0.6976744 0.7627906 0.7906977
5400 0.8794444 0.8932222 0.91 1.0 76.4 80.0 0.9625 0.9936301 1.0 0.6976744 0.76162785 0.7906977
5500 0.8816364 0.8951273 0.91163635 1.0 76.4 80.0 0.9625 0.9936301 1.0 0.6976744 0.76162785 0.7906977
5600 0.88375 0.89694643 0.91321427 1.0 76.4 80.0 0.9746835 0.9935664 1.0 0.6976744 0.76162785 0.7906977
5700 0.88578945 0.8987193 0.91473687 1.0 76.5 80.0 0.9625 0.99231595 1.0 0.6976744 0.76162785 0.7906977
5800 0.8874138 0.90036213 0.91603446 1.0 76.6 79.0 0.9746835 0.9909334 1.0 0.6976744 0.76162785 0.7906977
5900 0.8891525 0.9019831 0.9172881 1.0 76.2 79.0 0.98630136 0.996066 1.0 0.6976744 0.76162785 0.7906977
6000 0.891 0.9036166 0.91866666 1.0 76.2 79.0 0.98630136 0.996066 1.0 0.6976744 0.76162785 0.7906977
6100 0.89278686 0.90516394 0.91983604 1.0 76.1 79.0 0.98630136 0.9973481 1.0 0.6976744 0.76162785 0.7906977
6200 0.8945161 0.9066936 0.92112905 1.0 76.1 79.0 0.98630136 0.9973481 1.0 0.6976744 0.76162785 0.7906977
6300 0.89619046 0.9081588 0.9223809 1.0 76.0 79.0 0.98630136 0.99863017 1.0 0.6976744 0.76162785 0.7906977
6400 0.8978125 0.90959376 0.92359376 1.0 76.0 79.0 0.98630136 0.99863017 1.0 0.6976744 0.76162785 0.7906977
6500 0.8993846 0.91098464 0.9247692 1.0 76.0 79.0 0.98630136 0.99863017 1.0 0.6976744 0.76162785 0.7906977
6600 0.90090907 0.91233337 0.9259091 1.0 76.0 79.0 0.98630136 0.99863017 1.0 0.6976744 0.76162785 0.7906977
6700 0.9022388 0.91362697 0.92701495 1.0 76.1 79.0 0.98630136 0.9972788 1.0 0.6976744 0.76162785 0.7906977
6800 0.9035294 0.91488236 0.92808825 1.0 76.0 79.0 0.98630136 0.99863017 1.0 0.6976744 0.76162785 0.7906977
6900 0.90492755 0.91611594 0.92913043 1.0 76.0 79.0 0.98630136 0.99863017 1.0 0.6976744 0.76162785 0.7906977
7000 0.9062857 0.91731423 0.9301429 1.0 76.0 79.0 0.98630136 0.99863017 1.0 0.6976744 0.76162785 0.7906977
7100 0.90760565 0.9184507 0.9311268 1.0 75.9 79.0 1.0 1.0 1.0 0.6976744 0.7604651 0.7906977
7200 0.9088889 0.9195833 0.9320833 1.0 75.9 79.0 1.0 1.0 1.0 0.6976744 0.7604651 0.7906977
7300 0.910137 0.9206303 0.9330137 1.0 76.0 79.0 0.98630136 0.99863017 1.0 0.6976744 0.7604651 0.7906977
7400 0.9113513 0.9217027 0.9339189 1.0 76.0 79.0 0.98630136 0.99863017 1.0 0.6976744 0.7604651 0.7906977
7500 0.91253334 0.9227333 0.9348 1.0 75.9 79.0 1.0 1.0 1.0 0.6976744 0.7604651 0.7906977
7600 0.9136842 0.9237369 0.9356579 1.0 75.9 79.0 1.0 1.0 1.0 0.6976744 0.7604651 0.7906977
7700 0.9148052 0.92472726 0.9364935 1.0 75.9 79.0 1.0 1.0 1.0 0.6976744 0.7604651 0.7906977
7800 0.9158974 0.9256795 0.9371795 1.0 76.0 79.0 0.98717946 0.9987179 1.0 0.6976744 0.7604651 0.7906977
7900 0.916962 0.9266077 0.9378481 1.0 75.9 79.0 1.0 1.0 1.0 0.6976744 0.7604651 0.7906977
8000 0.918 0.9275249 0.938625 1.0 75.9 79.0 1.0 1.0 1.0 0.6976744 0.7604651 0.7906977
