rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.1 1.0 1.0 55.0 56.0 0.10909091 0.11270203 0.12727273 0.81395346 0.8860465 0.95348835
100 0.2 0.32400003 0.38 1.0 88.8 97.0 0.08235294 0.17060848 0.23333333 0.75581396 0.8395349 0.90697676
200 0.27 0.356 0.39 1.0 93.1 97.0 0.18085106 0.24174662 0.29347825 0.7093023 0.7930232 0.8488372
300 0.34 0.39533332 0.45 1.0 90.3 101.0 0.24210526 0.30942583 0.38372093 0.6744186 0.77674425 0.872093
400 0.36 0.42550007 0.465 1.0 87.1 94.0 0.30107528 0.37298262 0.4494382 0.627907 0.73255813 0.8604651
500 0.392 0.4584 0.506 1.0 84.0 91.0 0.36263737 0.43787876 0.50549453 0.61627907 0.6965116 0.8255814
600 0.42166665 0.48283333 0.53333336 1.0 82.8 89.0 0.38636363 0.47879124 0.55172414 0.60465115 0.67209303 0.75581396
700 0.4485714 0.49942857 0.55285716 1.0 81.0 92.0 0.41304347 0.51989233 0.6081081 0.59302324 0.633721 0.73255813
800 0.4625 0.52000004 0.555 1.0 79.2 90.0 0.4698795 0.55354244 0.65822786 0.5697674 0.63953483 0.68604654
900 0.48555556 0.53833336 0.5733333 1.0 77.9 87.0 0.5316456 0.58793104 0.71428573 0.5 0.6197675 0.68604654
1000 0.511 0.5586 0.594 1.0 75.4 81.0 0.56578946 0.62706226 0.69135803 0.5232558 0.6034884 0.6511628
1100 0.52272725 0.5756364 0.6109091 1.0 77.2 81.0 0.56790125 0.6490862 0.7307692 0.60465115 0.6418604 0.6976744
1200 0.5425 0.58975 0.62416667 1.0 76.0 80.0 0.6103896 0.6856354 0.7125 0.53488374 0.6081396 0.6511628
1300 0.5653846 0.60615385 0.6392308 1.0 74.6 82.0 0.6486486 0.72674626 0.7837838 0.55813956 0.6197674 0.7093023
1400 0.5857143 0.6214286 0.6535714 1.0 73.6 81.0 0.7183099 0.7608542 0.8309859 0.54651165 0.6290698 0.73255813
1500 0.608 0.63746667 0.66466665 1.0 72.7 80.0 0.73417723 0.7894579 0.85915494 0.53488374 0.62325585 0.68604654
1600 0.624375 0.65150005 0.6825 1.0 72.0 78.0 0.7532467 0.80414724 0.86567163 0.55813956 0.62441856 0.7209302
1700 0.63941175 0.6637648 0.69529414 1.0 70.9 77.0 0.7532467 0.83029443 0.884058 0.5697674 0.6139535 0.68604654
1800 0.655 0.6767778 0.7083333 1.0 71.6 77.0 0.7532467 0.83891696 0.9130435 0.5813953 0.62906975 0.6744186
1900 0.6705263 0.6884211 0.72 1.0 70.0 74.0 0.8082192 0.86685884 0.95522386 0.60465115 0.6337209 0.68604654
2000 0.681 0.69930005 0.7335 1.0 70.2 74.0 0.8108108 0.8766159 0.9411765 0.60465115 0.6255814 0.6511628
2100 0.6919048 0.7097143 0.742381 1.0 70.3 75.0 0.8450704 0.8810975 0.92753625 0.59302324 0.6302325 0.6744186
2200 0.7009091 0.71904546 0.7531818 1.0 69.7 76.0 0.8243243 0.8949572 0.9411765 0.59302324 0.6209302 0.6511628
2300 0.7091304 0.7277826 0.7621739 1.0 69.2 75.0 0.85333335 0.905529 0.95522386 0.5697674 0.6197674 0.6744186
2400 0.71708333 0.73625004 0.76958334 1.0 68.5 73.0 0.8888889 0.9198362 0.95652175 0.5813953 0.6127907 0.6744186
2500 0.7264 0.74432 0.7756 1.0 68.2 72.0 0.87323946 0.9269718 0.96875 0.5813953 0.6116279 0.6744186
2600 0.7357692 0.7526539 0.7823077 1.0 67.8 71.0 0.9032258 0.9352878 0.984127 0.5813953 0.6127907 0.6744186
2700 0.7437037 0.76044446 0.7888889 1.0 66.9 71.0 0.91803277 0.9510399 0.984375 0.5697674 0.6127907 0.6627907
2800 0.75214285 0.7681072 0.79464287 1.0 67.3 71.0 0.90140843 0.9484674 0.9846154 0.5813953 0.61627907 0.6744186
2900 0.7589655 0.7747241 0.7996552 1.0 67.0 72.0 0.9142857 0.95757693 0.98507464 0.59302324 0.62325585 0.6744186
3000 0.76633334 0.78076667 0.8056667 1.0 66.9 72.0 0.9142857 0.9603974 0.98507464 0.59302324 0.622093 0.6627907
3100 0.7732258 0.787129 0.8112903 1.0 67.3 73.0 0.91780823 0.95911705 0.9846154 0.59302324 0.622093 0.6511628
3200 0.7790625 0.793125 0.81625 1.0 66.8 71.0 0.942029 0.9660257 0.9848485 0.59302324 0.6244186 0.6511628
3300 0.7845455 0.79884857 0.82151514 1.0 66.4 71.0 0.942029 0.97199976 1.0 0.59302324 0.6244186 0.6511628
3400 0.79 0.8042353 0.8267647 1.0 66.3 72.0 0.9305556 0.9735981 1.0 0.59302324 0.62209296 0.6511628
3500 0.79571426 0.8093715 0.83114284 1.0 66.1 71.0 0.942029 0.9764252 1.0 0.59302324 0.6209302 0.6511628
3600 0.8011111 0.8143333 0.83555555 1.0 66.2 70.0 0.9558824 0.97449416 1.0 0.59302324 0.6255814 0.6511628
3700 0.8056757 0.8187297 0.8389189 1.0 65.7 69.0 0.95652175 0.9817398 1.0 0.59302324 0.6244186 0.6511628
3800 0.8105263 0.8229736 0.8423684 1.0 65.2 68.0 0.98333335 0.9892141 1.0 0.59302324 0.61976737 0.6395349
3900 0.8151282 0.8272821 0.84615386 1.0 65.1 67.0 0.9701493 0.99234056 1.0 0.59302324 0.6209302 0.6395349
4000 0.81975 0.83152497 0.85 1.0 65.0 67.0 0.98333335 0.9938105 1.0 0.59302324 0.6209302 0.6395349
4100 0.8239024 0.835439 0.85365856 1.0 65.1 67.0 0.9701493 0.9923407 1.0 0.59302324 0.6209302 0.6395349
4200 0.82809526 0.83923817 0.85714287 1.0 65.2 68.0 0.9701493 0.9908701 1.0 0.59302324 0.6209302 0.6395349
4300 0.832093 0.84269774 0.86023253 1.0 64.9 67.0 0.9846154 0.99545383 1.0 0.59302324 0.6209302 0.6395349
4400 0.83590907 0.84620446 0.8634091 1.0 64.9 67.0 0.9846154 0.99545383 1.0 0.59302324 0.6209302 0.6395349
4500 0.83955556 0.8496 0.86644447 1.0 65.0 67.0 0.9846154 0.9939386 1.0 0.59302324 0.6209302 0.6395349
4600 0.8430435 0.85278255 0.86913043 1.0 65.0 68.0 0.9848485 0.9940065 1.0 0.59302324 0.6209302 0.6395349
