rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 54.1 55.0 0.16666667 0.19962962 0.24074075 0.10465116 0.12558141 0.15116279
2 0.0 0.2 0.5 1.0 54.4 55.0 0.16666667 0.19858587 0.24074075 0.10465116 0.12558141 0.15116279
3 0.0 0.16666667 0.33333334 1.0 54.7 56.0 0.16666667 0.19930497 0.24074075 0.10465116 0.1267442 0.15116279
4 0.0 0.225 0.5 1.0 54.9 56.0 0.16666667 0.19862314 0.24074075 0.10465116 0.1267442 0.15116279
5 0.0 0.26000002 0.4 1.0 55.2 57.0 0.16363636 0.19760513 0.24074075 0.10465116 0.1267442 0.15116279
6 0.0 0.23333335 0.33333334 1.0 55.7 57.0 0.16363636 0.19924535 0.23636363 0.10465116 0.12906978 0.15116279
7 0.14285715 0.24285714 0.42857143 1.0 56.0 57.0 0.16071428 0.19823259 0.23636363 0.10465116 0.12906978 0.15116279
8 0.125 0.225 0.375 1.0 56.5 58.0 0.15789473 0.19825456 0.23636363 0.10465116 0.13023257 0.15116279
9 0.11111111 0.23333335 0.44444445 1.0 56.6 58.0 0.15517241 0.19798233 0.23636363 0.10465116 0.13023257 0.15116279
10 0.1 0.23999998 0.4 1.0 57.0 59.0 0.15517241 0.19993395 0.23728813 0.10465116 0.13255815 0.1627907
11 0.09090909 0.23636362 0.45454547 1.0 57.4 59.0 0.15517241 0.20029959 0.23728813 0.10465116 0.13372093 0.1627907
12 0.083333336 0.23333332 0.41666666 1.0 57.7 59.0 0.15254237 0.1992937 0.23728813 0.10465116 0.13372093 0.1627907
13 0.07692308 0.22307694 0.3846154 1.0 57.7 60.0 0.15517241 0.1991521 0.23728813 0.10465116 0.13372093 0.1627907
14 0.071428575 0.20714286 0.35714287 1.0 57.9 60.0 0.15789473 0.1982841 0.23728813 0.10465116 0.13372093 0.1627907
15 0.06666667 0.21333334 0.4 1.0 57.8 60.0 0.15789473 0.19859739 0.23728813 0.10465116 0.13372093 0.1627907
16 0.0625 0.225 0.4375 1.0 57.9 60.0 0.15789473 0.20000008 0.23728813 0.10465116 0.13488372 0.1627907
17 0.05882353 0.24705884 0.47058824 1.0 58.0 60.0 0.15789473 0.2014611 0.23728813 0.10465116 0.1360465 0.1627907
18 0.055555556 0.25555557 0.44444445 1.0 58.0 61.0 0.15789473 0.20142737 0.23728813 0.10465116 0.1360465 0.1627907
19 0.05263158 0.25789472 0.42105263 1.0 58.3 61.0 0.15517241 0.20396757 0.2413793 0.10465116 0.1383721 0.1627907
20 0.1 0.26500002 0.45 1.0 58.3 61.0 0.15517241 0.20400102 0.23728813 0.10465116 0.1383721 0.1627907
21 0.0952381 0.2666667 0.42857143 1.0 58.4 61.0 0.15254237 0.20539841 0.23728813 0.10465116 0.13953488 0.1627907
22 0.09090909 0.26363635 0.4090909 1.0 58.5 61.0 0.15254237 0.20680419 0.23728813 0.10465116 0.14069767 0.1627907
23 0.08695652 0.2695652 0.39130434 1.0 58.8 61.0 0.15254237 0.20732471 0.25 0.10465116 0.14186046 0.1744186
24 0.083333336 0.26666665 0.375 1.0 58.8 61.0 0.15254237 0.20723398 0.25 0.10465116 0.14186046 0.1744186
25 0.08 0.26 0.36 1.0 58.9 61.0 0.15254237 0.21037039 0.25 0.10465116 0.14418605 0.1744186
26 0.07692308 0.26923078 0.3846154 1.0 58.6 61.0 0.15254237 0.2114557 0.25 0.10465116 0.14418605 0.1744186
27 0.11111111 0.28148147 0.37037036 1.0 58.7 61.0 0.15254237 0.2110661 0.25 0.10465116 0.14418605 0.1744186
28 0.10714286 0.28928572 0.39285713 1.0 58.7 62.0 0.15254237 0.21270248 0.25 0.10465116 0.14534883 0.1744186
29 0.13793103 0.30344826 0.41379312 1.0 58.7 62.0 0.15254237 0.21270248 0.25 0.10465116 0.14534883 0.1744186
