rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 54.0 54.0 0.11111111 0.11111112 0.11111111 0.8023256 0.89069766 0.9767442
2 0.0 0.2 0.5 1.0 54.0 54.0 0.11111111 0.11111112 0.11111111 0.8023256 0.89069766 0.9767442
3 0.0 0.16666667 0.33333334 1.0 54.0 54.0 0.11111111 0.11111112 0.11111111 0.8023256 0.89069766 0.9767442
4 0.0 0.225 0.5 1.0 54.0 54.0 0.11111111 0.11111112 0.11111111 0.8023256 0.89069766 0.9767442
5 0.0 0.26000002 0.4 1.0 54.0 54.0 0.11111111 0.11111112 0.11111111 0.8023256 0.89069766 0.9767442
6 0.0 0.23333335 0.33333334 1.0 54.0 54.0 0.11111111 0.11111112 0.11111111 0.8023256 0.89069766 0.9767442
7 0.14285715 0.24285714 0.42857143 1.0 54.0 54.0 0.11111111 0.11111112 0.11111111 0.8023256 0.89069766 0.9767442
8 0.125 0.225 0.375 1.0 54.0 54.0 0.11111111 0.11111112 0.11111111 0.8023256 0.89069766 0.9767442
9 0.11111111 0.23333335 0.44444445 1.0 54.0 54.0 0.11111111 0.11111112 0.11111111 0.8023256 0.89069766 0.9767442
10 0.1 0.22999999 0.4 1.0 54.0 54.0 0.11111111 0.11111112 0.11111111 0.8023256 0.89069766 0.9767442
11 0.09090909 0.22727272 0.45454547 1.0 54.0 54.0 0.11111111 0.11111112 0.11111111 0.8023256 0.89069766 0.9767442
12 0.083333336 0.22499998 0.41666666 1.0 54.0 54.0 0.11111111 0.11111112 0.11111111 0.8023256 0.89069766 0.9767442
13 0.07692308 0.21538463 0.3846154 1.0 54.0 54.0 0.11111111 0.11111112 0.11111111 0.8023256 0.89069766 0.9767442
14 0.071428575 0.20714286 0.35714287 1.0 54.0 54.0 0.11111111 0.11111112 0.11111111 0.8023256 0.89069766 0.9767442
15 0.06666667 0.20666666 0.4 1.0 54.0 54.0 0.11111111 0.11111112 0.11111111 0.8023256 0.89069766 0.9767442
