rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.5 1.0 1.0 91.6 92.0 0.19565217 0.24451748 0.33695653 0.8372093 0.894186 0.95348835
2 0.0 0.6 1.0 1.0 91.4 92.0 0.19565217 0.24513194 0.34065935 0.8372093 0.89186037 0.95348835
3 0.0 0.6333333 1.0 1.0 91.4 92.0 0.19565217 0.24730584 0.34065935 0.8372093 0.89186037 0.95348835
4 0.25 0.625 1.0 1.0 91.2 92.0 0.1978022 0.24775974 0.34065935 0.8372093 0.8883721 0.95348835
5 0.4 0.64000005 1.0 1.0 91.0 92.0 0.2 0.24831398 0.34065935 0.8372093 0.8883721 0.95348835
6 0.33333334 0.6 0.8333333 1.0 90.5 91.0 0.20224719 0.25085965 0.34444445 0.8372093 0.8837209 0.95348835
7 0.2857143 0.57142866 0.71428573 1.0 90.1 91.0 0.20454545 0.25411755 0.35555556 0.8372093 0.8837209 0.95348835
8 0.375 0.575 0.75 1.0 89.8 91.0 0.20454545 0.25602245 0.35555556 0.8372093 0.88139534 0.95348835
9 0.33333334 0.5555556 0.7777778 1.0 89.4 91.0 0.20689656 0.2582732 0.35955057 0.8372093 0.8802325 0.95348835
10 0.4 0.5500001 0.8 1.0 89.0 91.0 0.20930232 0.2594002 0.35955057 0.8372093 0.8790697 0.95348835
11 0.36363637 0.5454546 0.72727275 1.0 88.9 91.0 0.20930232 0.2619038 0.35955057 0.8255814 0.87674415 0.95348835
12 0.33333334 0.5416666 0.75 1.0 88.6 91.0 0.20930232 0.2628928 0.36363637 0.8255814 0.8744186 0.95348835
13 0.30769232 0.5461539 0.7692308 1.0 88.2 91.0 0.21176471 0.26405156 0.36363637 0.81395346 0.87325585 0.95348835
14 0.35714287 0.55 0.78571427 1.0 87.9 91.0 0.21176471 0.26624036 0.3678161 0.81395346 0.87325585 0.95348835
15 0.4 0.56000006 0.8 1.0 87.7 91.0 0.21176471 0.26697448 0.37209302 0.81395346 0.87325585 0.95348835
16 0.375 0.5625 0.75 1.0 87.4 90.0 0.22352941 0.26910618 0.37209302 0.81395346 0.87325585 0.95348835
17 0.4117647 0.5588235 0.7647059 1.0 87.1 90.0 0.22352941 0.27122176 0.37209302 0.7906977 0.8709302 0.95348835
18 0.3888889 0.5777778 0.7777778 1.0 87.0 90.0 0.22352941 0.27148908 0.37209302 0.7906977 0.8709302 0.95348835
19 0.42105263 0.5842105 0.7894737 1.0 86.7 90.0 0.22352941 0.27252698 0.3764706 0.7906977 0.86976737 0.95348835
20 0.45 0.575 0.75 1.0 86.4 90.0 0.22619048 0.2769866 0.3809524 0.7906977 0.86860466 0.95348835
21 0.42857143 0.5714286 0.71428573 1.0 86.0 89.0 0.22619048 0.27934462 0.3809524 0.7906977 0.8639535 0.95348835
22 0.4090909 0.5681819 0.72727275 1.0 85.8 89.0 0.22619048 0.2837143 0.38554215 0.7906977 0.8639535 0.95348835
23 0.39130434 0.5608696 0.6956522 1.0 85.4 89.0 0.22891566 0.28613624 0.38554215 0.7906977 0.8627907 0.94186044
24 0.41666666 0.5625 0.6666667 1.0 85.3 89.0 0.22891566 0.28872976 0.38554215 0.7906977 0.86046505 0.94186044
25 0.4 0.5519999 0.64 1.0 85.0 89.0 0.22891566 0.2933011 0.38554215 0.7906977 0.85930234 0.94186044
26 0.42307693 0.5538462 0.65384614 1.0 84.8 89.0 0.23170732 0.29636353 0.3902439 0.7906977 0.8569768 0.94186044
27 0.4074074 0.54444444 0.6296296 1.0 84.3 88.0 0.2345679 0.29910055 0.3902439 0.7906977 0.8523256 0.94186044
28 0.42857143 0.55714285 0.64285713 1.0 84.2 88.0 0.2345679 0.29958233 0.39506173 0.7906977 0.8523256 0.94186044
29 0.44827586 0.55862063 0.6551724 1.0 83.9 87.0 0.2345679 0.30193654 0.39506173 0.7906977 0.8511628 0.94186044
30 0.43333334 0.56333333 0.6666667 1.0 83.8 87.0 0.2345679 0.30464107 0.39506173 0.7906977 0.8511628 0.94186044
31 0.41935483 0.5612903 0.67741936 1.0 83.4 87.0 0.2345679 0.30737382 0.4 0.7906977 0.84534883 0.90697676
32 0.4375 0.56875 0.6875 1.0 83.2 86.0 0.2345679 0.30805808 0.4 0.7906977 0.8430233 0.90697676
33 0.42424244 0.56666666 0.6969697 1.0 82.7 86.0 0.2375 0.30990055 0.4 0.7790698 0.8348837 0.90697676
34 0.4117647 0.5676471 0.7058824 1.0 82.3 86.0 0.23809524 0.31135738 0.4 0.76744187 0.82674426 0.90697676
35 0.4 0.56285715 0.6857143 1.0 81.7 86.0 0.24050634 0.31358576 0.4 0.76744187 0.8197675 0.90697676
36 0.3888889 0.5611111 0.6944444 1.0 81.2 85.0 0.24050634 0.31547576 0.4 0.74418604 0.8151163 0.90697676
37 0.4054054 0.5648648 0.6756757 1.0 81.1 85.0 0.24050634 0.31697446 0.4 0.74418604 0.8127907 0.90697676
38 0.39473686 0.56052625 0.65789473 1.0 80.6 85.0 0.24050634 0.32006782 0.4 0.74418604 0.81046516 0.90697676
39 0.41025642 0.5641026 0.6666667 1.0 80.3 84.0 0.24050634 0.32129836 0.4 0.74418604 0.81046516 0.90697676
40 0.425 0.5725 0.675 1.0 80.2 84.0 0.24050634 0.32178524 0.4 0.74418604 0.8081395 0.90697676
