rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.5 1.0 1.0 92.0 92.0 0.19565217 0.2423913 0.32608697 0.8372093 0.89534885 0.95348835
2 0.0 0.6 1.0 1.0 92.0 92.0 0.19565217 0.2423913 0.32608697 0.8372093 0.89534885 0.95348835
3 0.0 0.6333333 1.0 1.0 92.0 92.0 0.19565217 0.2423913 0.32608697 0.8372093 0.89534885 0.95348835
4 0.25 0.625 1.0 1.0 92.0 92.0 0.19565217 0.2423913 0.32608697 0.8372093 0.89534885 0.95348835
5 0.4 0.64000005 1.0 1.0 92.0 92.0 0.19565217 0.2423913 0.32608697 0.8372093 0.89534885 0.95348835
6 0.33333334 0.6 0.8333333 1.0 92.0 92.0 0.19565217 0.2423913 0.32608697 0.8372093 0.89534885 0.95348835
7 0.2857143 0.57142866 0.71428573 1.0 92.0 92.0 0.19565217 0.2423913 0.32608697 0.8372093 0.89534885 0.95348835
8 0.375 0.575 0.75 1.0 92.0 92.0 0.19565217 0.2423913 0.32608697 0.8372093 0.89534885 0.95348835
9 0.33333334 0.5555556 0.7777778 1.0 92.0 92.0 0.19565217 0.2423913 0.32608697 0.8372093 0.89534885 0.95348835
10 0.4 0.5500001 0.8 1.0 92.0 92.0 0.19565217 0.2423913 0.32608697 0.8372093 0.89534885 0.95348835
11 0.36363637 0.5454546 0.72727275 1.0 92.0 92.0 0.19565217 0.2423913 0.32608697 0.8372093 0.89534885 0.95348835
12 0.33333334 0.5416666 0.75 1.0 92.0 92.0 0.19565217 0.2423913 0.32608697 0.8372093 0.89534885 0.95348835
13 0.30769232 0.5461539 0.7692308 1.0 92.0 92.0 0.19565217 0.2423913 0.32608697 0.8372093 0.89534885 0.95348835
14 0.35714287 0.55 0.78571427 1.0 92.0 92.0 0.19565217 0.2423913 0.32608697 0.8372093 0.89534885 0.95348835
15 0.4 0.56000006 0.8 1.0 92.0 92.0 0.19565217 0.2423913 0.32608697 0.8372093 0.89534885 0.95348835
16 0.375 0.5625 0.75 1.0 92.0 92.0 0.19565217 0.2423913 0.32608697 0.8372093 0.89534885 0.95348835
17 0.3529412 0.5529412 0.7647059 1.0 92.0 92.0 0.19565217 0.2423913 0.32608697 0.8372093 0.89534885 0.95348835
18 0.3888889 0.57222223 0.7777778 1.0 92.0 92.0 0.19565217 0.2423913 0.32608697 0.8372093 0.89534885 0.95348835
19 0.42105263 0.5736842 0.7894737 1.0 92.0 92.0 0.19565217 0.2423913 0.32608697 0.8372093 0.89534885 0.95348835
20 0.4 0.565 0.75 1.0 92.0 92.0 0.19565217 0.2423913 0.32608697 0.8372093 0.89534885 0.95348835
21 0.42857143 0.5619048 0.71428573 1.0 92.0 92.0 0.19565217 0.2423913 0.32608697 0.8372093 0.89534885 0.95348835
22 0.4090909 0.559091 0.72727275 1.0 92.0 92.0 0.19565217 0.2423913 0.32608697 0.8372093 0.89534885 0.95348835
23 0.39130434 0.54782605 0.6956522 1.0 92.0 92.0 0.19565217 0.2423913 0.32608697 0.8372093 0.89534885 0.95348835
24 0.41666666 0.5500001 0.6666667 1.0 92.0 92.0 0.19565217 0.2423913 0.32608697 0.8372093 0.89534885 0.95348835
25 0.4 0.53999996 0.64 1.0 92.0 92.0 0.19565217 0.2423913 0.32608697 0.8372093 0.89534885 0.95348835
26 0.42307693 0.53846157 0.65384614 1.0 92.0 92.0 0.19565217 0.2423913 0.32608697 0.8372093 0.89534885 0.95348835
27 0.4074074 0.52592593 0.6296296 1.0 92.0 92.0 0.19565217 0.2423913 0.32608697 0.8372093 0.89534885 0.95348835
28 0.42857143 0.5392857 0.64285713 1.0 92.0 92.0 0.19565217 0.2423913 0.32608697 0.8372093 0.89534885 0.95348835
29 0.41379312 0.537931 0.6551724 1.0 92.0 92.0 0.19565217 0.2423913 0.32608697 0.8372093 0.89534885 0.95348835
30 0.43333334 0.54333335 0.6666667 1.0 92.0 92.0 0.19565217 0.2423913 0.32608697 0.8372093 0.89534885 0.95348835
31 0.41935483 0.5419355 0.67741936 1.0 92.0 92.0 0.19565217 0.2423913 0.32608697 0.8372093 0.89534885 0.95348835
32 0.4375 0.546875 0.65625 1.0 92.0 92.0 0.19565217 0.2423913 0.32608697 0.8372093 0.89534885 0.95348835
33 0.42424244 0.5424242 0.6363636 1.0 92.0 92.0 0.19565217 0.2423913 0.32608697 0.8372093 0.89534885 0.95348835
34 0.4117647 0.5411765 0.64705884 1.0 92.0 92.0 0.19565217 0.2423913 0.32608697 0.8372093 0.89534885 0.95348835
35 0.4 0.5342857 0.62857145 1.0 92.0 92.0 0.19565217 0.2423913 0.32608697 0.8372093 0.89534885 0.95348835
36 0.3888889 0.5333333 0.6388889 1.0 92.0 92.0 0.19565217 0.2423913 0.32608697 0.8372093 0.89534885 0.95348835
37 0.3783784 0.53243244 0.6216216 1.0 92.0 92.0 0.19565217 0.2423913 0.32608697 0.8372093 0.89534885 0.95348835
38 0.36842105 0.52894735 0.6052632 1.0 92.0 92.0 0.19565217 0.2423913 0.32608697 0.8372093 0.89534885 0.95348835
39 0.3846154 0.5282052 0.5897436 1.0 92.0 92.0 0.19565217 0.2423913 0.32608697 0.8372093 0.89534885 0.95348835
40 0.4 0.5325 0.6 1.0 92.0 92.0 0.19565217 0.2423913 0.32608697 0.8372093 0.89534885 0.95348835
