rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 54.1 55.0 0.16666667 0.19962962 0.24074075 0.10465116 0.12558141 0.15116279
100 0.38 0.444 0.51 1.0 55.9 62.0 0.23529412 0.2692048 0.3559322 0.13953489 0.17558138 0.24418604
200 0.54 0.58900005 0.625 1.0 44.1 49.0 0.3478261 0.39574572 0.5116279 0.1744186 0.20232558 0.25581396
300 0.6433333 0.688 0.72 1.0 38.3 46.0 0.3902439 0.49560755 0.6097561 0.18604651 0.21860465 0.29069766
400 0.725 0.756 0.7725 1.0 36.0 42.0 0.43589744 0.5462469 0.65384614 0.18604651 0.22674417 0.29069766
500 0.778 0.7994 0.814 1.0 34.5 43.0 0.53333336 0.5886954 0.68 0.18604651 0.23488371 0.29069766
600 0.81 0.8298333 0.84 1.0 33.1 40.0 0.55172414 0.6202985 0.73913044 0.18604651 0.23720929 0.29069766
700 0.8371429 0.85342854 0.86285716 1.0 32.8 40.0 0.55172414 0.63120055 0.73913044 0.18604651 0.23953488 0.29069766
800 0.8575 0.87162495 0.88 1.0 32.8 40.0 0.575 0.63464886 0.73913044 0.19767442 0.24069767 0.29069766
900 0.87333333 0.8858889 0.8933333 1.0 32.8 40.0 0.575 0.63464886 0.73913044 0.19767442 0.24069767 0.29069766
1000 0.886 0.8971 0.903 1.0 32.7 40.0 0.5862069 0.6390536 0.73913044 0.19767442 0.24186046 0.29069766
1100 0.8963636 0.90645444 0.9118182 1.0 32.7 40.0 0.5862069 0.6390536 0.73913044 0.19767442 0.24186046 0.29069766
1200 0.905 0.9141666 0.9191667 1.0 32.7 40.0 0.5862069 0.6425019 0.73913044 0.19767442 0.24302325 0.29069766
1300 0.9123077 0.92076933 0.92538464 1.0 32.7 40.0 0.5862069 0.6425019 0.73913044 0.19767442 0.24302325 0.29069766
1400 0.9185714 0.92635715 0.93 1.0 32.7 40.0 0.5862069 0.6450018 0.73913044 0.19767442 0.24418604 0.29069766
1500 0.924 0.93126667 0.9346667 1.0 32.7 40.0 0.5862069 0.6450018 0.73913044 0.19767442 0.24418604 0.29069766
1600 0.92875 0.9355625 0.93875 1.0 32.7 40.0 0.5862069 0.6450018 0.73913044 0.19767442 0.24418604 0.29069766
1700 0.9329412 0.939353 0.94235295 1.0 32.7 40.0 0.5862069 0.6450018 0.73913044 0.19767442 0.24418604 0.29069766
1800 0.93666667 0.9427222 0.94555557 1.0 32.7 40.0 0.5862069 0.6450018 0.73913044 0.19767442 0.24418604 0.29069766
1900 0.94 0.94573677 0.94842106 1.0 32.7 40.0 0.5862069 0.6450018 0.73913044 0.19767442 0.24418604 0.29069766
2000 0.943 0.94844997 0.951 1.0 32.7 40.0 0.5862069 0.6450018 0.73913044 0.19767442 0.24418604 0.29069766
