rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 54.1 55.0 0.11111111 0.11272727 0.12727273 0.7790698 0.87325585 0.9767442
100 0.38 0.444 0.51 1.0 55.9 62.0 0.23214285 0.28700143 0.42372882 0.4883721 0.62093025 0.74418604
200 0.54 0.58900005 0.625 1.0 44.1 49.0 0.36956522 0.46800894 0.6744186 0.3255814 0.44767442 0.53488374
300 0.6433333 0.688 0.72 1.0 38.3 46.0 0.5121951 0.62268716 0.7804878 0.24418604 0.39418602 0.4883721
400 0.725 0.756 0.7725 1.0 36.0 42.0 0.5641026 0.68448424 0.8 0.24418604 0.37790695 0.45348838
500 0.778 0.7994 0.814 1.0 34.5 43.0 0.6744186 0.73376256 0.8 0.24418604 0.3732558 0.45348838
600 0.81 0.8298333 0.84 1.0 33.1 40.0 0.7027027 0.7754554 0.9130435 0.22093023 0.3627907 0.45348838
700 0.8371429 0.85342854 0.86285716 1.0 32.8 40.0 0.725 0.7874517 0.9130435 0.22093023 0.3616279 0.44186047
800 0.8575 0.87162495 0.88 1.0 32.8 40.0 0.725 0.7908999 0.9130435 0.22093023 0.3616279 0.44186047
900 0.87333333 0.8858889 0.8933333 1.0 32.8 40.0 0.725 0.7908999 0.9130435 0.22093023 0.3616279 0.44186047
1000 0.886 0.8971 0.903 1.0 32.7 40.0 0.75 0.7955428 0.9130435 0.22093023 0.3616279 0.44186047
1100 0.8963636 0.90645444 0.9118182 1.0 32.7 40.0 0.75 0.7955428 0.9130435 0.22093023 0.3616279 0.44186047
1200 0.905 0.9141666 0.9191667 1.0 32.7 40.0 0.75 0.798991 0.9130435 0.22093023 0.3616279 0.44186047
1300 0.9123077 0.92076933 0.92538464 1.0 32.7 40.0 0.75 0.798991 0.9130435 0.22093023 0.3616279 0.44186047
1400 0.9185714 0.92635715 0.93 1.0 32.7 40.0 0.75757575 0.80149096 0.9130435 0.22093023 0.3616279 0.44186047
1500 0.924 0.93126667 0.9346667 1.0 32.7 40.0 0.75757575 0.80149096 0.9130435 0.22093023 0.3616279 0.44186047
1600 0.92875 0.9355625 0.93875 1.0 32.7 40.0 0.75757575 0.80149096 0.9130435 0.22093023 0.3616279 0.44186047
1700 0.9329412 0.939353 0.94235295 1.0 32.7 40.0 0.75757575 0.80149096 0.9130435 0.22093023 0.3616279 0.44186047
1800 0.93666667 0.9427222 0.94555557 1.0 32.7 40.0 0.75757575 0.80149096 0.9130435 0.22093023 0.3616279 0.44186047
1900 0.94 0.94573677 0.94842106 1.0 32.7 40.0 0.75757575 0.80149096 0.9130435 0.22093023 0.3616279 0.44186047
2000 0.943 0.94844997 0.951 1.0 32.7 40.0 0.75757575 0.80149096 0.9130435 0.22093023 0.3616279 0.44186047
