rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 54.0 54.0 0.11111111 0.11111112 0.11111111 0.8023256 0.89069766 0.9767442
100 0.17 0.25700003 0.35 1.0 54.0 54.0 0.11111111 0.11111112 0.11111111 0.8023256 0.89069766 0.9767442
200 0.205 0.264 0.375 1.0 54.0 54.0 0.11111111 0.11111112 0.11111111 0.8023256 0.89069766 0.9767442
300 0.18666667 0.25933334 0.33666667 1.0 54.0 54.0 0.11111111 0.11111112 0.11111111 0.8023256 0.89069766 0.9767442
400 0.2 0.25975 0.3275 1.0 54.0 54.0 0.11111111 0.11111112 0.11111111 0.8023256 0.89069766 0.9767442
500 0.204 0.259 0.312 1.0 54.0 54.0 0.11111111 0.11111112 0.11111111 0.8023256 0.89069766 0.9767442
600 0.20166667 0.259 0.30833334 1.0 54.0 54.0 0.11111111 0.11111112 0.11111111 0.8023256 0.89069766 0.9767442
700 0.19428572 0.25685716 0.3157143 1.0 54.0 54.0 0.11111111 0.11111112 0.11111111 0.8023256 0.89069766 0.9767442
800 0.2 0.25875002 0.31375 1.0 54.0 54.0 0.11111111 0.11111112 0.11111111 0.8023256 0.89069766 0.9767442
900 0.20555556 0.2582222 0.30666667 1.0 54.0 54.0 0.11111111 0.11111112 0.11111111 0.8023256 0.89069766 0.9767442
1000 0.21 0.2573 0.305 1.0 54.0 54.0 0.11111111 0.11111112 0.11111111 0.8023256 0.89069766 0.9767442
1100 0.22090909 0.25772727 0.3009091 1.0 54.0 54.0 0.11111111 0.11111112 0.11111111 0.8023256 0.89069766 0.9767442
1200 0.21666667 0.25691667 0.2975 1.0 54.0 54.0 0.11111111 0.11111112 0.11111111 0.8023256 0.89069766 0.9767442
1300 0.21461539 0.2563077 0.29538462 1.0 54.0 54.0 0.11111111 0.11111112 0.11111111 0.8023256 0.89069766 0.9767442
1400 0.21857142 0.25635713 0.30071428 1.0 54.0 54.0 0.11111111 0.11111112 0.11111111 0.8023256 0.89069766 0.9767442
1500 0.214 0.25660002 0.30733332 1.0 54.0 54.0 0.11111111 0.11111112 0.11111111 0.8023256 0.89069766 0.9767442
1600 0.21375 0.2565 0.313125 1.0 54.0 54.0 0.11111111 0.11111112 0.11111111 0.8023256 0.89069766 0.9767442
1700 0.21235295 0.25670588 0.31176472 1.0 54.0 54.0 0.11111111 0.11111112 0.11111111 0.8023256 0.89069766 0.9767442
1800 0.20888889 0.25555554 0.3127778 1.0 54.0 54.0 0.11111111 0.11111112 0.11111111 0.8023256 0.89069766 0.9767442
1900 0.21052632 0.2553158 0.31473684 1.0 54.0 54.0 0.11111111 0.11111112 0.11111111 0.8023256 0.89069766 0.9767442
2000 0.2135 0.25665 0.3155 1.0 54.0 54.0 0.11111111 0.11111112 0.11111111 0.8023256 0.89069766 0.9767442
