rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.5 1.0 1.0 91.9 92.0 0.08695652 0.14469661 0.20652173 0.093023255 0.15465117 0.22093023
100 0.4 0.569 0.66 1.0 79.0 85.0 0.12941177 0.19538236 0.26027396 0.12790698 0.17906979 0.23255815
200 0.54 0.632 0.72 1.0 66.6 74.0 0.1891892 0.26149648 0.3275862 0.15116279 0.20232558 0.27906978
300 0.61333334 0.69266665 0.75666666 1.0 58.6 69.0 0.26984128 0.33154255 0.40625 0.18604651 0.2267442 0.30232558
400 0.675 0.73775005 0.7975 1.0 52.7 65.0 0.34 0.39396802 0.45454547 0.18604651 0.24186048 0.30232558
500 0.726 0.77779996 0.822 1.0 49.8 62.0 0.36734694 0.42652068 0.46938777 0.18604651 0.24767444 0.3255814
600 0.77 0.81000006 0.845 1.0 48.5 61.0 0.3877551 0.446146 0.509434 0.18604651 0.2523256 0.3255814
700 0.80285716 0.834 0.86142856 1.0 47.3 60.0 0.41860464 0.4620832 0.5192308 0.19767442 0.25465116 0.3255814
800 0.82625 0.8535 0.87875 1.0 46.6 60.0 0.43589744 0.4712966 0.5294118 0.19767442 0.255814 0.3255814
900 0.84555554 0.8692223 0.89111114 1.0 46.3 59.0 0.43589744 0.47400683 0.5294118 0.19767442 0.255814 0.3255814
1000 0.861 0.8818 0.901 1.0 46.1 59.0 0.43589744 0.48008385 0.5294118 0.19767442 0.25813955 0.3255814
1100 0.87363636 0.8922728 0.90909094 1.0 45.9 58.0 0.43589744 0.48388237 0.54901963 0.19767442 0.25930232 0.3255814
1200 0.88416666 0.90116674 0.91583335 1.0 45.8 57.0 0.43589744 0.4847293 0.54901963 0.19767442 0.25930232 0.3255814
1300 0.8930769 0.9086154 0.9207692 1.0 45.7 56.0 0.43589744 0.4856065 0.54901963 0.19767442 0.25930232 0.3255814
1400 0.9007143 0.9151429 0.92642856 1.0 45.7 56.0 0.43589744 0.4856065 0.54901963 0.19767442 0.25930232 0.3255814
1500 0.9073333 0.92080003 0.93133336 1.0 45.7 56.0 0.43589744 0.4856065 0.54901963 0.19767442 0.25930232 0.3255814
1600 0.913125 0.92574996 0.935625 1.0 45.7 56.0 0.43589744 0.4856065 0.54901963 0.19767442 0.25930232 0.3255814
1700 0.9182353 0.9301176 0.93941176 1.0 45.7 56.0 0.43589744 0.4856065 0.54901963 0.19767442 0.25930232 0.3255814
1800 0.9227778 0.9339999 0.94277775 1.0 45.7 56.0 0.43589744 0.4856065 0.54901963 0.19767442 0.25930232 0.3255814
1900 0.9268421 0.93747365 0.94578946 1.0 45.7 56.0 0.43589744 0.4856065 0.54901963 0.19767442 0.25930232 0.3255814
2000 0.9305 0.94060004 0.9485 1.0 45.7 56.0 0.43589744 0.4856065 0.54901963 0.19767442 0.25930232 0.3255814
