rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.5 1.0 1.0 91.6 92.0 0.08791209 0.14621356 0.2173913 0.093023255 0.15581396 0.23255815
100 0.53 0.633 0.7 1.0 66.4 72.0 0.17391305 0.24864297 0.33333334 0.13953489 0.19186047 0.25581396
200 0.695 0.7235 0.79 1.0 54.6 66.0 0.29411766 0.35396475 0.42 0.1744186 0.22558141 0.30232558
300 0.75333333 0.78933334 0.83666664 1.0 49.6 63.0 0.35416666 0.4199493 0.5 0.18604651 0.24302328 0.3139535
400 0.81 0.83274996 0.8725 1.0 47.3 62.0 0.37777779 0.4558921 0.509434 0.19767442 0.25116283 0.3139535
500 0.848 0.8636001 0.89 1.0 46.5 59.0 0.43589744 0.47158474 0.5121951 0.19767442 0.255814 0.3255814
600 0.87333333 0.8855001 0.905 1.0 46.1 57.0 0.43589744 0.47737536 0.5294118 0.19767442 0.25697675 0.3255814
700 0.8914286 0.9011428 0.91714287 1.0 45.8 56.0 0.43589744 0.48254234 0.5294118 0.19767442 0.25813955 0.3255814
800 0.90375 0.913375 0.9275 1.0 45.8 56.0 0.43589744 0.48254234 0.5294118 0.19767442 0.25813955 0.3255814
900 0.9122222 0.92277783 0.9355556 1.0 45.7 56.0 0.43589744 0.48364574 0.5294118 0.19767442 0.25813955 0.3255814
1000 0.921 0.93050003 0.942 1.0 45.7 56.0 0.43589744 0.48364574 0.5294118 0.19767442 0.25813955 0.3255814
1100 0.9281818 0.9367272 0.9472727 1.0 45.7 56.0 0.43589744 0.4856065 0.54901963 0.19767442 0.25930232 0.3255814
1200 0.93416667 0.9419999 0.95166665 1.0 45.7 56.0 0.43589744 0.4856065 0.54901963 0.19767442 0.25930232 0.3255814
1300 0.93923074 0.94646156 0.9553846 1.0 45.7 56.0 0.43589744 0.4856065 0.54901963 0.19767442 0.25930232 0.3255814
1400 0.94357145 0.95028573 0.95857143 1.0 45.7 56.0 0.43589744 0.4856065 0.54901963 0.19767442 0.25930232 0.3255814
1500 0.94733334 0.95359993 0.96133333 1.0 45.7 56.0 0.43589744 0.4856065 0.54901963 0.19767442 0.25930232 0.3255814
1600 0.950625 0.95649993 0.96375 1.0 45.7 56.0 0.43589744 0.4856065 0.54901963 0.19767442 0.25930232 0.3255814
1700 0.9535294 0.9590589 0.96588236 1.0 45.7 56.0 0.43589744 0.4856065 0.54901963 0.19767442 0.25930232 0.3255814
1800 0.95611113 0.9613334 0.9677778 1.0 45.7 56.0 0.43589744 0.4856065 0.54901963 0.19767442 0.25930232 0.3255814
1900 0.95842105 0.9633684 0.96947366 1.0 45.7 56.0 0.43589744 0.4856065 0.54901963 0.19767442 0.25930232 0.3255814
2000 0.9605 0.96519995 0.971 1.0 45.7 56.0 0.43589744 0.4856065 0.54901963 0.19767442 0.25930232 0.3255814
