rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.5 1.0 1.0 91.6 92.0 0.19565217 0.24451748 0.33695653 0.8372093 0.894186 0.95348835
100 0.53 0.633 0.7 1.0 66.4 72.0 0.33846155 0.44380647 0.53968257 0.53488374 0.6732558 0.74418604
200 0.695 0.7235 0.79 1.0 54.6 66.0 0.54901963 0.610417 0.7 0.45348838 0.5395349 0.6627907
300 0.75333333 0.78933334 0.83666664 1.0 49.6 63.0 0.625 0.7092678 0.77272725 0.40697673 0.48488373 0.60465115
400 0.81 0.83274996 0.8725 1.0 47.3 62.0 0.6888889 0.76731795 0.82051283 0.3488372 0.4616279 0.60465115
500 0.848 0.8636001 0.89 1.0 46.5 59.0 0.7457627 0.7875571 0.82051283 0.3488372 0.44883722 0.55813956
600 0.87333333 0.8855001 0.905 1.0 46.1 57.0 0.76744187 0.7952612 0.82051283 0.3488372 0.44534883 0.54651165
700 0.8914286 0.9011428 0.91714287 1.0 45.8 56.0 0.78431374 0.80235213 0.82608694 0.3488372 0.44186044 0.54651165
800 0.90375 0.913375 0.9275 1.0 45.8 56.0 0.78431374 0.80235213 0.82608694 0.3488372 0.44186044 0.54651165
900 0.9122222 0.92277783 0.9355556 1.0 45.7 56.0 0.78431374 0.80426854 0.82608694 0.3488372 0.44069767 0.54651165
1000 0.921 0.93050003 0.942 1.0 45.7 56.0 0.78431374 0.80426854 0.82608694 0.3488372 0.44069767 0.54651165
1100 0.9281818 0.9367272 0.9472727 1.0 45.7 56.0 0.78431374 0.8062293 0.82608694 0.3488372 0.44069767 0.54651165
1200 0.93416667 0.9419999 0.95166665 1.0 45.7 56.0 0.78431374 0.8062293 0.82608694 0.3488372 0.44069767 0.54651165
1300 0.93923074 0.94646156 0.9553846 1.0 45.7 56.0 0.78431374 0.8062293 0.82608694 0.3488372 0.44069767 0.54651165
1400 0.94357145 0.95028573 0.95857143 1.0 45.7 56.0 0.78431374 0.8062293 0.82608694 0.3488372 0.44069767 0.54651165
1500 0.94733334 0.95359993 0.96133333 1.0 45.7 56.0 0.78431374 0.8062293 0.82608694 0.3488372 0.44069767 0.54651165
1600 0.950625 0.95649993 0.96375 1.0 45.7 56.0 0.78431374 0.8062293 0.82608694 0.3488372 0.44069767 0.54651165
1700 0.9535294 0.9590589 0.96588236 1.0 45.7 56.0 0.78431374 0.8062293 0.82608694 0.3488372 0.44069767 0.54651165
1800 0.95611113 0.9613334 0.9677778 1.0 45.7 56.0 0.78431374 0.8062293 0.82608694 0.3488372 0.44069767 0.54651165
1900 0.95842105 0.9633684 0.96947366 1.0 45.7 56.0 0.78431374 0.8062293 0.82608694 0.3488372 0.44069767 0.54651165
2000 0.9605 0.96519995 0.971 1.0 45.7 56.0 0.78431374 0.8062293 0.82608694 0.3488372 0.44069767 0.54651165
