rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 13.0 13.0 0.9230769 0.9384615 1.0 0.069767445 0.07325582 0.08139535
2 0.0 0.3 1.0 1.0 14.0 14.0 0.85714287 0.8714286 0.9285714 0.069767445 0.079069756 0.093023255
3 0.0 0.33333334 1.0 1.0 15.0 15.0 0.8 0.8466667 0.93333334 0.069767445 0.08837209 0.11627907
4 0.0 0.275 0.75 1.0 16.0 16.0 0.75 0.80625 0.875 0.069767445 0.097674415 0.13953489
5 0.0 0.3 0.8 1.0 17.0 17.0 0.7058824 0.7705882 0.8235294 0.069767445 0.10697675 0.15116279
6 0.0 0.3 0.8333333 1.0 17.8 18.0 0.6666667 0.74183 0.8235294 0.069767445 0.11395349 0.1744186
7 0.0 0.28571427 0.71428573 1.0 18.7 19.0 0.6315789 0.7274854 0.8333333 0.08139535 0.12093023 0.18604651
8 0.0 0.3125 0.625 1.0 19.6 20.0 0.6315789 0.7147368 0.84210527 0.093023255 0.13255815 0.19767442
9 0.11111111 0.32222226 0.6666667 1.0 20.4 21.0 0.6 0.7014286 0.8 0.08139535 0.13604651 0.20930232
10 0.1 0.3 0.6 1.0 21.2 22.0 0.5714286 0.68452376 0.7619048 0.093023255 0.14302325 0.20930232
11 0.09090909 0.3 0.6363636 1.0 21.9 23.0 0.5714286 0.661773 0.72727275 0.093023255 0.14767441 0.20930232
12 0.083333336 0.3 0.5833333 1.0 22.7 24.0 0.54545456 0.6429512 0.72727275 0.093023255 0.15813954 0.23255815
13 0.07692308 0.30769232 0.61538464 1.0 23.5 25.0 0.5416667 0.63438666 0.72727275 0.10465116 0.16744187 0.24418604
14 0.14285715 0.3142857 0.5714286 1.0 24.2 26.0 0.52 0.62420183 0.6956522 0.10465116 0.17325583 0.26744187
15 0.13333334 0.3 0.53333336 1.0 24.9 27.0 0.52 0.62260365 0.6956522 0.10465116 0.17325583 0.24418604
16 0.125 0.3 0.5 1.0 25.5 28.0 0.5 0.6168794 0.7083333 0.10465116 0.17558141 0.24418604
17 0.1764706 0.31764707 0.47058824 1.0 26.2 29.0 0.4814815 0.61567885 0.72 0.10465116 0.17558141 0.24418604
18 0.16666667 0.32222223 0.5 1.0 26.9 29.0 0.5 0.6064912 0.6923077 0.10465116 0.1872093 0.27906978
19 0.21052632 0.33684212 0.47368422 1.0 27.7 30.0 0.4827586 0.5966568 0.6666667 0.10465116 0.19069767 0.27906978
20 0.2 0.33999997 0.5 1.0 28.5 31.0 0.4827586 0.5968715 0.6666667 0.11627907 0.1988372 0.27906978
21 0.1904762 0.3476191 0.52380955 1.0 29.2 32.0 0.46666667 0.58903223 0.65625 0.11627907 0.20232558 0.27906978
22 0.18181819 0.3409091 0.5 1.0 29.9 32.0 0.4516129 0.5788672 0.65625 0.11627907 0.21046512 0.27906978
23 0.17391305 0.33478257 0.47826087 1.0 30.6 33.0 0.4375 0.56882125 0.6363636 0.11627907 0.21511629 0.30232558
24 0.16666667 0.3291667 0.5 1.0 31.3 33.0 0.42424244 0.56600624 0.6666667 0.13953489 0.2267442 0.3139535
25 0.16 0.34 0.52 1.0 32.1 34.0 0.44117647 0.564112 0.6764706 0.13953489 0.23604651 0.3255814
26 0.15384616 0.34615386 0.53846157 1.0 32.4 34.0 0.44117647 0.5592953 0.6764706 0.15116279 0.23023255 0.30232558
27 0.14814815 0.35185188 0.5555556 1.0 33.0 35.0 0.45714286 0.5551547 0.6764706 0.15116279 0.23488371 0.3139535
28 0.14285715 0.34999996 0.53571427 1.0 33.5 35.0 0.45714286 0.5527776 0.6764706 0.1627907 0.2406977 0.3255814
29 0.13793103 0.34827584 0.51724136 1.0 34.3 36.0 0.44444445 0.5516422 0.6571429 0.1627907 0.25 0.3372093
30 0.13333334 0.34666666 0.5 1.0 34.9 37.0 0.45945945 0.54775137 0.6388889 0.1627907 0.25697678 0.3372093
31 0.12903225 0.34516126 0.516129 1.0 35.6 37.0 0.45945945 0.5396082 0.6388889 0.1744186 0.2639535 0.3372093
32 0.125 0.346875 0.5 1.0 36.2 37.0 0.45945945 0.5331167 0.6216216 0.1744186 0.2674419 0.3372093
33 0.121212125 0.35151514 0.4848485 1.0 36.8 38.0 0.45945945 0.532306 0.6315789 0.1744186 0.26511627 0.3372093
34 0.11764706 0.35 0.47058824 1.0 37.2 39.0 0.4722222 0.5289771 0.64102566 0.1744186 0.27441862 0.3488372
35 0.114285715 0.35142857 0.4857143 1.0 37.6 40.0 0.4722222 0.52869356 0.64102566 0.1744186 0.27906978 0.3488372
36 0.11111111 0.3555555 0.4722222 1.0 38.3 40.0 0.4864865 0.52958405 0.625 0.1744186 0.28488374 0.37209302
37 0.13513513 0.36216217 0.4864865 1.0 38.4 41.0 0.4864865 0.5310871 0.625 0.1744186 0.28139538 0.37209302
38 0.13157895 0.35526317 0.47368422 1.0 39.0 42.0 0.47368422 0.5252861 0.6097561 0.1744186 0.28139538 0.37209302
39 0.15384616 0.35641026 0.4871795 1.0 39.3 43.0 0.46153846 0.5241908 0.6097561 0.1744186 0.2860465 0.37209302
40 0.15 0.35 0.475 1.0 39.6 43.0 0.45 0.5230073 0.625 0.20930232 0.3011628 0.37209302
41 0.14634146 0.35365853 0.46341464 1.0 40.3 44.0 0.45 0.5209803 0.63414633 0.20930232 0.3034884 0.38372093
42 0.16666667 0.3547619 0.47619048 1.0 41.0 45.0 0.4390244 0.51917577 0.64285713 0.20930232 0.30813956 0.39534885
43 0.18604651 0.3604651 0.4651163 1.0 41.4 45.0 0.4390244 0.51911205 0.64285713 0.19767442 0.31046513 0.41860464
44 0.20454545 0.36136362 0.45454547 1.0 41.9 45.0 0.4390244 0.51516163 0.64285713 0.19767442 0.31860468 0.41860464
45 0.2 0.35777777 0.44444445 1.0 42.4 45.0 0.46341464 0.5137253 0.6511628 0.19767442 0.3267442 0.44186047
46 0.2173913 0.3630435 0.45652175 1.0 43.2 46.0 0.45238096 0.5134664 0.65909094 0.20930232 0.33139533 0.44186047
47 0.23404256 0.36595744 0.4680851 1.0 43.6 46.0 0.46341464 0.5157874 0.65909094 0.20930232 0.327907 0.44186047
48 0.22916667 0.3666667 0.47916666 1.0 44.0 47.0 0.46341464 0.5157822 0.65909094 0.20930232 0.33023256 0.44186047
49 0.24489796 0.3693878 0.48979592 1.0 44.7 48.0 0.46341464 0.51401174 0.6666667 0.20930232 0.33255816 0.44186047
50 0.24 0.36799997 0.48 1.0 45.4 48.0 0.45454547 0.5059968 0.65217394 0.20930232 0.33255813 0.44186047
51 0.23529412 0.3705882 0.49019608 1.0 46.1 49.0 0.44444445 0.5004577 0.65957445 0.20930232 0.34069768 0.44186047
52 0.23076923 0.375 0.48076922 1.0 46.3 49.0 0.44186047 0.49842778 0.65957445 0.20930232 0.34069768 0.44186047
53 0.24528302 0.3773585 0.4716981 1.0 46.8 50.0 0.44444445 0.5018072 0.68085104 0.20930232 0.3488372 0.44186047
54 0.25925925 0.37592593 0.4814815 1.0 47.4 50.0 0.44444445 0.49940556 0.6666667 0.27906978 0.35697675 0.44186047
55 0.25454545 0.3763636 0.4909091 1.0 48.0 51.0 0.4347826 0.50314313 0.67346936 0.27906978 0.35116273 0.43023255
56 0.25 0.375 0.48214287 1.0 48.7 52.0 0.4509804 0.5024284 0.67346936 0.30232558 0.36395344 0.44186047
57 0.24561404 0.37543863 0.47368422 1.0 49.2 53.0 0.44230768 0.4992345 0.66 0.30232558 0.3686046 0.4651163
58 0.2413793 0.3775862 0.4827586 1.0 49.9 53.0 0.43396226 0.49425668 0.64705884 0.30232558 0.37790695 0.4651163
59 0.2542373 0.3779661 0.4915254 1.0 50.5 54.0 0.43396226 0.4943543 0.63461536 0.29069766 0.37790695 0.47674417
60 0.25 0.38 0.48333332 1.0 50.8 54.0 0.43396226 0.4955093 0.63461536 0.29069766 0.3802325 0.4883721
61 0.26229507 0.3786885 0.4918033 1.0 51.2 55.0 0.4375 0.49754733 0.63461536 0.29069766 0.3813953 0.47674417
62 0.27419356 0.38225806 0.5 1.0 51.7 56.0 0.44444445 0.49862456 0.63461536 0.30232558 0.39069766 0.47674417
63 0.26984128 0.38095242 0.4920635 1.0 51.9 57.0 0.44 0.49848837 0.63461536 0.27906978 0.3802325 0.47674417
64 0.265625 0.38125 0.5 1.0 52.1 57.0 0.43636364 0.4982373 0.6226415 0.27906978 0.3860465 0.47674417
65 0.2769231 0.38307694 0.50769234 1.0 52.5 58.0 0.43636364 0.5018677 0.6415094 0.29069766 0.38837206 0.47674417
66 0.27272728 0.38636363 0.5151515 1.0 53.0 58.0 0.43636364 0.5004729 0.6481481 0.29069766 0.38953486 0.47674417
67 0.2835821 0.38805968 0.5074627 1.0 53.2 59.0 0.44 0.50248325 0.6481481 0.29069766 0.39069766 0.47674417
68 0.27941176 0.3867647 0.5 1.0 53.6 59.0 0.44 0.50410813 0.6545454 0.29069766 0.39186043 0.47674417
