rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 13.0 13.0 0.9230769 0.9615385 1.0 0.069767445 0.07906977 0.093023255
2 0.0 0.3 1.0 1.0 14.0 14.0 0.85714287 0.9142858 1.0 0.069767445 0.08255813 0.10465116
3 0.0 0.33333334 0.6666667 1.0 15.0 15.0 0.8 0.87333333 0.93333334 0.069767445 0.094186045 0.11627907
4 0.0 0.325 0.75 1.0 16.0 16.0 0.75 0.83125 0.9375 0.069767445 0.10930233 0.15116279
5 0.0 0.34 0.6 1.0 16.9 17.0 0.7058824 0.7930147 0.88235295 0.069767445 0.116279066 0.15116279
6 0.0 0.31666666 0.6666667 1.0 17.8 18.0 0.6666667 0.7640523 0.8888889 0.069767445 0.12209302 0.1627907
7 0.14285715 0.35714287 0.71428573 1.0 18.8 19.0 0.6315789 0.73391813 0.8947368 0.08139535 0.13604651 0.19767442
8 0.125 0.35 0.625 1.0 19.6 20.0 0.6315789 0.7086842 0.85 0.08139535 0.14186047 0.20930232
9 0.11111111 0.33333334 0.6666667 1.0 20.1 21.0 0.6 0.696391 0.8095238 0.08139535 0.14534885 0.22093023
10 0.1 0.32 0.6 1.0 21.0 22.0 0.5714286 0.6664502 0.77272725 0.093023255 0.1511628 0.22093023
11 0.09090909 0.3272727 0.6363636 1.0 21.7 23.0 0.54545456 0.650368 0.7619048 0.08139535 0.16046512 0.25581396
12 0.083333336 0.31666666 0.6666667 1.0 22.5 24.0 0.5217391 0.63687646 0.7619048 0.08139535 0.16162792 0.25581396
13 0.07692308 0.30769232 0.6923077 1.0 23.4 25.0 0.5 0.61242425 0.72727275 0.10465116 0.1744186 0.25581396
14 0.071428575 0.31428573 0.71428573 1.0 24.0 25.0 0.5 0.6091884 0.6956522 0.10465116 0.1872093 0.25581396
15 0.06666667 0.31333333 0.73333335 1.0 24.9 26.0 0.5 0.59558976 0.6666667 0.10465116 0.19534883 0.26744187
16 0.0625 0.3 0.6875 1.0 25.8 27.0 0.4814815 0.57451284 0.64 0.10465116 0.20348838 0.27906978
