rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.0 0.0 1.0 13.0 13.0 0.9230769 0.9230769 0.9230769 0.069767445 0.07906977 0.093023255
2 0.0 0.05 0.5 1.0 13.9 14.0 0.85714287 0.8708792 0.9285714 0.069767445 0.08372092 0.093023255
3 0.0 0.033333335 0.33333334 1.0 14.9 15.0 0.8 0.81904763 0.8666667 0.069767445 0.093023255 0.12790698
4 0.0 0.125 0.5 1.0 15.8 16.0 0.75 0.7919643 0.85714287 0.069767445 0.1 0.13953489
5 0.0 0.120000005 0.4 1.0 16.7 17.0 0.7058824 0.755 0.8 0.069767445 0.1116279 0.15116279
6 0.0 0.15 0.5 1.0 17.7 18.0 0.6666667 0.72369283 0.7777778 0.08139535 0.123255804 0.1744186
7 0.0 0.1857143 0.5714286 1.0 18.5 19.0 0.6315789 0.6980737 0.7777778 0.08139535 0.12674418 0.1744186
8 0.0 0.175 0.5 1.0 19.1 20.0 0.6 0.6758772 0.7368421 0.08139535 0.12325581 0.15116279
9 0.0 0.23333335 0.44444445 1.0 20.0 21.0 0.6 0.66091484 0.7368421 0.08139535 0.12790696 0.1627907
10 0.0 0.24000001 0.5 1.0 21.0 22.0 0.59090906 0.6438961 0.7 0.093023255 0.13255814 0.1627907
11 0.0 0.23636362 0.45454547 1.0 21.6 23.0 0.5652174 0.63617915 0.7 0.093023255 0.14418605 0.20930232
12 0.083333336 0.25833336 0.5 1.0 22.4 24.0 0.5652174 0.62220025 0.6818182 0.093023255 0.14999999 0.22093023
13 0.07692308 0.25384617 0.46153846 1.0 22.9 25.0 0.56 0.6126205 0.6666667 0.10465116 0.15581395 0.25581396
14 0.071428575 0.25 0.5 1.0 23.8 26.0 0.53846157 0.5975912 0.6363636 0.10465116 0.16511628 0.25581396
15 0.06666667 0.25333336 0.46666667 1.0 24.5 26.0 0.52 0.5844442 0.625 0.10465116 0.1755814 0.25581396
16 0.125 0.25 0.4375 1.0 25.4 27.0 0.5 0.5674416 0.61538464 0.11627907 0.18604651 0.26744187
17 0.1764706 0.2529412 0.4117647 1.0 26.1 27.0 0.5 0.551886 0.61538464 0.11627907 0.19418605 0.26744187
18 0.16666667 0.25555557 0.44444445 1.0 26.6 28.0 0.5185185 0.5493423 0.61538464 0.12790698 0.19651163 0.26744187
19 0.15789473 0.25789472 0.42105263 1.0 27.5 29.0 0.5 0.5312464 0.5925926 0.12790698 0.20465116 0.26744187
20 0.15 0.25500003 0.45 1.0 28.3 30.0 0.4827586 0.5232987 0.5714286 0.12790698 0.21511626 0.26744187
21 0.1904762 0.25714287 0.42857143 1.0 28.7 31.0 0.4827586 0.5234054 0.5714286 0.12790698 0.21860464 0.29069766
22 0.18181819 0.26363638 0.4090909 1.0 29.1 32.0 0.46666667 0.52027214 0.5714286 0.12790698 0.2244186 0.3255814
23 0.17391305 0.26521736 0.39130434 1.0 29.7 32.0 0.4516129 0.5099832 0.5714286 0.12790698 0.22441861 0.3372093
24 0.16666667 0.26666668 0.375 1.0 30.1 33.0 0.4516129 0.5059362 0.55172414 0.13953489 0.22906975 0.3372093
25 0.2 0.276 0.36 1.0 30.7 34.0 0.4375 0.4994251 0.53333336 0.13953489 0.23139533 0.3372093
26 0.1923077 0.2769231 0.34615386 1.0 31.1 35.0 0.4375 0.499259 0.53333336 0.13953489 0.23720932 0.3604651
27 0.22222222 0.2851852 0.37037036 1.0 31.8 35.0 0.4375 0.4939169 0.53333336 0.13953489 0.24302325 0.37209302
28 0.21428572 0.27857143 0.35714287 1.0 32.5 36.0 0.42424244 0.48354897 0.516129 0.1744186 0.25232556 0.40697673
29 0.20689656 0.28275862 0.37931034 1.0 32.8 36.0 0.42424244 0.48184198 0.516129 0.1627907 0.24883719 0.39534885
30 0.2 0.28 0.36666667 1.0 33.5 37.0 0.43243244 0.47798228 0.53125 0.1744186 0.26162788 0.39534885
31 0.19354838 0.28064516 0.38709676 1.0 33.9 37.0 0.43243244 0.47246867 0.53125 0.1744186 0.26511627 0.39534885
32 0.1875 0.278125 0.375 1.0 34.5 38.0 0.42105263 0.46748433 0.53125 0.1744186 0.26976743 0.41860464
33 0.18181819 0.27878788 0.36363637 1.0 35.3 38.0 0.41666666 0.45963678 0.54545456 0.18604651 0.27906975 0.41860464
34 0.1764706 0.27941176 0.38235295 1.0 35.6 38.0 0.4054054 0.4560411 0.54545456 0.18604651 0.2767442 0.41860464
35 0.2 0.28571433 0.37142858 1.0 36.0 39.0 0.4054054 0.4566148 0.54545456 0.18604651 0.27558142 0.41860464
36 0.19444445 0.2833333 0.3611111 1.0 36.8 40.0 0.41666666 0.45476475 0.5588235 0.19767442 0.2883721 0.43023255
37 0.21621622 0.28648648 0.35135135 1.0 37.2 41.0 0.41025642 0.45017785 0.5588235 0.19767442 0.2895349 0.43023255
38 0.21052632 0.28947368 0.36842105 1.0 37.5 41.0 0.41025642 0.44937268 0.5588235 0.20930232 0.2860465 0.43023255
39 0.20512821 0.2846154 0.35897437 1.0 38.1 42.0 0.4 0.44254413 0.5588235 0.19767442 0.2860465 0.44186047
40 0.2 0.2825 0.35 1.0 38.4 42.0 0.39473686 0.4388934 0.54285717 0.19767442 0.29883724 0.44186047
41 0.19512194 0.28048784 0.36585367 1.0 39.0 43.0 0.3846154 0.4376236 0.54285717 0.20930232 0.30465117 0.4651163
42 0.1904762 0.27857146 0.35714287 1.0 39.6 44.0 0.375 0.43389207 0.54285717 0.20930232 0.30465117 0.40697673
43 0.20930232 0.28139535 0.37209302 1.0 40.1 45.0 0.375 0.43073708 0.5277778 0.20930232 0.31162792 0.45348838
44 0.20454545 0.27954546 0.36363637 1.0 40.3 45.0 0.36585367 0.4287327 0.5277778 0.20930232 0.31046513 0.45348838
45 0.2 0.27555558 0.35555556 1.0 40.8 46.0 0.35714287 0.42879948 0.5277778 0.20930232 0.32674417 0.4883721
46 0.19565217 0.27391306 0.3478261 1.0 41.3 46.0 0.35714287 0.42294675 0.5135135 0.23255815 0.3325581 0.4883721
47 0.21276596 0.2787234 0.3617021 1.0 41.5 46.0 0.3488372 0.42083496 0.5 0.23255815 0.32906973 0.5
48 0.20833333 0.27916664 0.375 1.0 41.8 46.0 0.3488372 0.41765523 0.4878049 0.23255815 0.3325581 0.5
49 0.20408164 0.28163266 0.36734694 1.0 42.3 46.0 0.3488372 0.41255984 0.47619048 0.24418604 0.34302324 0.5
50 0.2 0.28599998 0.38 1.0 42.7 47.0 0.3488372 0.41302133 0.4883721 0.26744187 0.3488372 0.5
51 0.19607843 0.28431374 0.39215687 1.0 43.2 47.0 0.3488372 0.41027117 0.47727272 0.26744187 0.35232556 0.5
52 0.21153846 0.28846154 0.40384614 1.0 43.7 47.0 0.3488372 0.40736908 0.46666667 0.26744187 0.35465115 0.5
53 0.2264151 0.29622644 0.41509435 1.0 44.1 48.0 0.3488372 0.40592584 0.46666667 0.26744187 0.36162788 0.5
54 0.22222222 0.3 0.4074074 1.0 44.8 48.0 0.3478261 0.4042573 0.45652175 0.26744187 0.3697674 0.5
55 0.21818182 0.2981818 0.4 1.0 45.3 49.0 0.3478261 0.40417814 0.45652175 0.30232558 0.3802325 0.5
56 0.21428572 0.29642856 0.4107143 1.0 45.8 49.0 0.34042552 0.4066201 0.4651163 0.29069766 0.38720927 0.5
57 0.22807017 0.2982456 0.42105263 1.0 46.3 49.0 0.33333334 0.40428096 0.45454547 0.30232558 0.3965116 0.5
58 0.22413793 0.29655176 0.41379312 1.0 46.9 50.0 0.3265306 0.4014848 0.45454547 0.30232558 0.40348834 0.4883721
59 0.23728813 0.30169493 0.40677965 1.0 47.4 51.0 0.32 0.39963192 0.45454547 0.30232558 0.40581393 0.4883721
60 0.25 0.29999998 0.4 1.0 48.1 52.0 0.3137255 0.39592776 0.45454547 0.27906978 0.41395348 0.5232558
61 0.26229507 0.30819672 0.39344263 1.0 48.4 52.0 0.3137255 0.39551166 0.45454547 0.27906978 0.41627908 0.5232558
62 0.2580645 0.3129032 0.38709676 1.0 48.7 52.0 0.3137255 0.3949984 0.45454547 0.27906978 0.41627908 0.5232558
63 0.26984128 0.31269842 0.3809524 1.0 48.7 52.0 0.3137255 0.39684224 0.44680852 0.27906978 0.41860467 0.5232558
64 0.265625 0.309375 0.390625 1.0 49.1 52.0 0.3137255 0.39550307 0.44680852 0.27906978 0.427907 0.54651165
65 0.26153848 0.31692308 0.3846154 1.0 49.1 52.0 0.3137255 0.39550307 0.44680852 0.27906978 0.427907 0.54651165
66 0.25757575 0.31666666 0.3939394 1.0 49.5 53.0 0.3137255 0.3941064 0.4509804 0.27906978 0.42674416 0.54651165
67 0.25373134 0.31791043 0.3880597 1.0 49.8 53.0 0.3137255 0.3915107 0.4509804 0.3372093 0.43139535 0.55813956
68 0.25 0.31911767 0.3970588 1.0 50.1 53.0 0.30769232 0.38931018 0.4509804 0.3372093 0.44069773 0.5697674
69 0.26086956 0.3217391 0.39130434 1.0 50.4 53.0 0.30769232 0.3888928 0.4509804 0.3372093 0.45465118 0.6395349
70 0.27142859 0.32428572 0.4 1.0 50.7 53.0 0.30769232 0.38856065 0.4509804 0.3488372 0.4581395 0.6511628
71 0.26760563 0.32253522 0.3943662 1.0 51.1 53.0 0.30769232 0.38731351 0.44230768 0.3488372 0.46279073 0.6511628
72 0.2638889 0.325 0.4027778 1.0 51.7 53.0 0.3018868 0.38472447 0.43396226 0.3488372 0.4662791 0.6511628
73 0.26027396 0.32739726 0.39726028 1.0 51.8 54.0 0.30769232 0.38562983 0.44230768 0.3488372 0.46279073 0.6511628
74 0.25675675 0.3256757 0.3918919 1.0 52.1 54.0 0.3018868 0.38360992 0.44230768 0.3604651 0.4674419 0.6511628
75 0.25333333 0.32666665 0.4 1.0 52.1 55.0 0.3018868 0.38369584 0.44230768 0.3488372 0.4662791 0.6511628
76 0.25 0.3263158 0.39473686 1.0 52.3 55.0 0.30769232 0.38401008 0.44230768 0.3604651 0.46860465 0.6511628
77 0.24675325 0.32987013 0.4025974 1.0 52.6 55.0 0.3018868 0.38194564 0.44230768 0.3604651 0.47093025 0.6395349
78 0.24358974 0.3282051 0.3974359 1.0 52.8 56.0 0.3018868 0.38242266 0.43396226 0.3604651 0.46976748 0.6395349
79 0.25316456 0.32658228 0.39240506 1.0 53.2 56.0 0.3018868 0.3795037 0.42592594 0.37209302 0.4732558 0.6395349
