rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 13.0 13.0 0.9230769 0.9615385 1.0 0.069767445 0.07790698 0.093023255
2 0.0 0.3 1.0 1.0 14.0 14.0 0.85714287 0.9071428 1.0 0.069767445 0.08488371 0.10465116
3 0.0 0.26666665 0.6666667 1.0 15.0 15.0 0.8 0.8666667 0.93333334 0.069767445 0.09186046 0.11627907
4 0.0 0.3 0.5 1.0 15.9 16.0 0.75 0.85 1.0 0.069767445 0.10348837 0.1627907
5 0.2 0.36000004 0.6 1.0 16.9 17.0 0.7058824 0.8176471 1.0 0.069767445 0.10813954 0.1744186
6 0.16666667 0.38333333 0.6666667 1.0 17.8 18.0 0.6666667 0.7990197 1.0 0.069767445 0.111627914 0.1744186
7 0.14285715 0.3857143 0.71428573 1.0 18.7 19.0 0.6315789 0.7818714 1.0 0.069767445 0.11511628 0.1744186
8 0.125 0.35 0.625 1.0 19.6 20.0 0.6 0.76105267 0.94736844 0.08139535 0.11976744 0.18604651
9 0.11111111 0.3333334 0.5555556 1.0 20.5 21.0 0.5714286 0.732381 0.9 0.093023255 0.12790696 0.18604651
10 0.1 0.31 0.5 1.0 21.5 22.0 0.54545456 0.6982684 0.85714287 0.10465116 0.1383721 0.18604651
11 0.09090909 0.34545454 0.54545456 1.0 22.2 23.0 0.54545456 0.6938265 0.8636364 0.11627907 0.14186046 0.20930232
12 0.083333336 0.34166664 0.5 1.0 23.2 24.0 0.5217391 0.6725955 0.82608694 0.11627907 0.15 0.22093023
13 0.07692308 0.33076924 0.53846157 1.0 24.1 25.0 0.5 0.6721304 0.7916667 0.12790698 0.16046512 0.24418604
14 0.071428575 0.33571428 0.5714286 1.0 25.0 26.0 0.48 0.66001284 0.8 0.13953489 0.1732558 0.24418604
15 0.06666667 0.32666668 0.6 1.0 25.8 27.0 0.46153846 0.6397321 0.7692308 0.13953489 0.17790696 0.24418604
16 0.0625 0.325 0.5625 1.0 26.8 28.0 0.4814815 0.62694263 0.7407407 0.15116279 0.19069766 0.24418604
17 0.05882353 0.31764707 0.5294118 1.0 27.7 29.0 0.4642857 0.6097778 0.71428573 0.15116279 0.19767441 0.24418604
18 0.055555556 0.32222223 0.5555556 1.0 28.6 30.0 0.44827586 0.59098345 0.71428573 0.15116279 0.20813951 0.25581396
19 0.10526316 0.33684212 0.57894737 1.0 29.5 31.0 0.43333334 0.58321947 0.6896552 0.1627907 0.21279068 0.25581396
20 0.1 0.33499998 0.55 1.0 30.4 32.0 0.41935483 0.5760929 0.6666667 0.1627907 0.21976742 0.27906978
21 0.14285715 0.34285718 0.52380955 1.0 31.1 33.0 0.41935483 0.5623533 0.6451613 0.1627907 0.22325583 0.27906978
22 0.18181819 0.3590909 0.54545456 1.0 31.9 34.0 0.40625 0.55178845 0.6451613 0.1627907 0.22906975 0.27906978
23 0.17391305 0.35217386 0.5217391 1.0 32.7 35.0 0.40625 0.54712164 0.65625 0.1744186 0.23372093 0.27906978
24 0.16666667 0.35833332 0.5416667 1.0 33.3 36.0 0.40625 0.54288286 0.6666667 0.1744186 0.23720932 0.29069766
25 0.2 0.36 0.52 1.0 34.2 37.0 0.42424244 0.5372448 0.62857145 0.1744186 0.24069767 0.29069766
26 0.1923077 0.36153847 0.53846157 1.0 34.7 38.0 0.44117647 0.5355153 0.62857145 0.1744186 0.24302325 0.30232558
27 0.22222222 0.36666667 0.5185185 1.0 35.3 39.0 0.44117647 0.5265446 0.62857145 0.1744186 0.24651161 0.3255814
28 0.21428572 0.3607143 0.5 1.0 36.3 40.0 0.42857143 0.51488525 0.6111111 0.1744186 0.25116283 0.3255814
29 0.2413793 0.36206895 0.4827586 1.0 36.8 41.0 0.42857143 0.518448 0.6216216 0.1744186 0.25581393 0.3139535
30 0.23333333 0.35999998 0.46666667 1.0 37.6 42.0 0.44444445 0.5180013 0.6315789 0.1744186 0.2616279 0.3255814
31 0.22580644 0.36774188 0.48387095 1.0 38.2 43.0 0.44444445 0.512519 0.6315789 0.1744186 0.26744184 0.3255814
32 0.21875 0.3625 0.46875 1.0 39.0 44.0 0.44444445 0.50205904 0.61538464 0.1744186 0.27093023 0.3255814
33 0.21212122 0.36060607 0.45454547 1.0 39.7 45.0 0.44444445 0.4956233 0.6 0.1744186 0.2767442 0.3488372
34 0.20588236 0.35882354 0.47058824 1.0 40.4 46.0 0.43243244 0.4898966 0.625 0.1744186 0.2755814 0.3372093
35 0.22857143 0.35714287 0.45714286 1.0 41.3 47.0 0.42105263 0.48413962 0.6097561 0.1744186 0.2767442 0.3372093
36 0.22222222 0.35833332 0.44444445 1.0 41.9 47.0 0.42105263 0.48464638 0.6097561 0.19767442 0.2848837 0.3604651
37 0.21621622 0.35675675 0.45945945 1.0 42.4 47.0 0.42105263 0.47890753 0.5952381 0.19767442 0.29534882 0.38372093
38 0.21052632 0.35526317 0.47368422 1.0 43.1 47.0 0.41025642 0.47347373 0.5813953 0.19767442 0.29767442 0.38372093
39 0.20512821 0.35128206 0.46153846 1.0 43.8 47.0 0.4 0.47261578 0.5813953 0.20930232 0.30465117 0.39534885
40 0.2 0.34750003 0.45 1.0 44.5 48.0 0.4 0.47115326 0.5777778 0.20930232 0.30465117 0.39534885
41 0.2195122 0.34878048 0.4390244 1.0 45.2 49.0 0.4 0.47078332 0.5777778 0.20930232 0.30697674 0.39534885
42 0.21428572 0.35238093 0.45238096 1.0 45.7 50.0 0.39130434 0.47228098 0.5777778 0.20930232 0.31744185 0.39534885
43 0.20930232 0.35348836 0.44186047 1.0 46.4 51.0 0.40425533 0.47430992 0.5869565 0.20930232 0.3232558 0.41860464
44 0.22727273 0.35454544 0.45454547 1.0 47.1 52.0 0.41666666 0.4763624 0.5869565 0.22093023 0.33023256 0.43023255
45 0.22222222 0.35777777 0.44444445 1.0 47.8 53.0 0.41860464 0.47942576 0.5744681 0.23255815 0.33837208 0.44186047
46 0.2173913 0.35217392 0.45652175 1.0 48.5 53.0 0.41860464 0.47816306 0.5625 0.24418604 0.34069768 0.44186047
47 0.23404256 0.35531917 0.44680852 1.0 48.9 53.0 0.4117647 0.47848186 0.5625 0.25581396 0.34186047 0.44186047
48 0.22916667 0.3541667 0.4375 1.0 49.5 53.0 0.40384614 0.47451705 0.5510204 0.25581396 0.34302327 0.45348838
49 0.2244898 0.35306126 0.42857143 1.0 50.3 54.0 0.3962264 0.47095075 0.5510204 0.26744187 0.3488372 0.45348838
50 0.22 0.352 0.42 1.0 50.6 54.0 0.3962264 0.47204667 0.5510204 0.29069766 0.35232556 0.45348838
51 0.21568628 0.3529412 0.43137255 1.0 50.9 54.0 0.3962264 0.4731514 0.54 0.29069766 0.35581392 0.4651163
52 0.21153846 0.3480769 0.42307693 1.0 51.7 55.0 0.39583334 0.46963874 0.5471698 0.29069766 0.35697672 0.4651163
53 0.2264151 0.34905663 0.43396226 1.0 52.2 55.0 0.3877551 0.46697316 0.5660377 0.30232558 0.36511627 0.4651163
54 0.24074075 0.35185185 0.42592594 1.0 52.7 56.0 0.38 0.46633616 0.5740741 0.25581396 0.36395347 0.4651163
55 0.23636363 0.35272723 0.4181818 1.0 53.7 57.0 0.38 0.46504775 0.58181816 0.25581396 0.36627907 0.47674417
56 0.23214285 0.35714284 0.42857143 1.0 54.3 58.0 0.38 0.4653812 0.5714286 0.25581396 0.3732558 0.47674417
57 0.22807017 0.35614035 0.4385965 1.0 55.0 59.0 0.37254903 0.4612558 0.5614035 0.26744187 0.37558138 0.47674417
58 0.22413793 0.3586207 0.44827586 1.0 55.7 60.0 0.37254903 0.46099788 0.5614035 0.26744187 0.38023257 0.4883721
59 0.23728813 0.36101693 0.45762712 1.0 56.3 61.0 0.37254903 0.4593803 0.55172414 0.26744187 0.38720933 0.4883721
60 0.23333333 0.3633333 0.45 1.0 56.6 62.0 0.37254903 0.45712098 0.55172414 0.26744187 0.3872093 0.47674417
61 0.24590164 0.36393446 0.45901638 1.0 57.1 62.0 0.3846154 0.45658135 0.5423729 0.26744187 0.39186046 0.47674417
62 0.24193548 0.3645161 0.4516129 1.0 57.6 63.0 0.3846154 0.4561596 0.55 0.26744187 0.39302325 0.47674417
63 0.25396827 0.36666664 0.44444445 1.0 57.9 63.0 0.3773585 0.45391434 0.55 0.29069766 0.40232557 0.47674417
64 0.25 0.365625 0.453125 1.0 58.2 64.0 0.3898305 0.45856532 0.5409836 0.29069766 0.40465117 0.47674417
65 0.24615385 0.36461538 0.44615385 1.0 58.7 64.0 0.3962264 0.45965633 0.5483871 0.29069766 0.39999998 0.4883721
