rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.4 1.0 1.0 13.0 13.0 0.9230769 0.9615385 1.0 0.069767445 0.076744184 0.08139535
2 0.0 0.2 0.5 1.0 14.0 14.0 0.85714287 0.9071428 0.9285714 0.069767445 0.08023255 0.093023255
3 0.0 0.26666665 0.6666667 1.0 15.0 15.0 0.8 0.8666667 0.93333334 0.069767445 0.0872093 0.11627907
4 0.0 0.35 0.75 1.0 16.0 16.0 0.75 0.83125 0.875 0.069767445 0.095348835 0.11627907
5 0.0 0.36000004 0.6 1.0 16.9 17.0 0.7058824 0.8047794 0.88235295 0.069767445 0.10232558 0.12790698
6 0.16666667 0.33333334 0.5 1.0 17.8 18.0 0.7222222 0.7807189 0.8333333 0.069767445 0.10581396 0.13953489
7 0.14285715 0.34285715 0.5714286 1.0 18.8 19.0 0.68421054 0.76023394 0.84210527 0.08139535 0.11511628 0.13953489
8 0.125 0.3625 0.625 1.0 19.7 20.0 0.65 0.7505263 0.85 0.08139535 0.12093022 0.15116279
9 0.11111111 0.36666667 0.5555556 1.0 20.5 21.0 0.61904764 0.72619045 0.8095238 0.08139535 0.12906976 0.1744186
10 0.1 0.35 0.6 1.0 21.5 22.0 0.59090906 0.70194805 0.77272725 0.093023255 0.13488372 0.1744186
11 0.09090909 0.3454545 0.54545456 1.0 22.3 23.0 0.5652174 0.6855072 0.7826087 0.093023255 0.14069767 0.1744186
12 0.083333336 0.3333333 0.5 1.0 23.3 24.0 0.5833333 0.6602437 0.75 0.093023255 0.14534883 0.19767442
13 0.07692308 0.30769232 0.46153846 1.0 24.3 25.0 0.5652174 0.6492391 0.72 0.10465116 0.15813953 0.23255815
14 0.071428575 0.3214286 0.5 1.0 25.2 26.0 0.56 0.6416499 0.7307692 0.10465116 0.16511628 0.23255815
15 0.06666667 0.31333333 0.46666667 1.0 26.0 27.0 0.56 0.6216785 0.7037037 0.10465116 0.17093022 0.23255815
16 0.0625 0.3125 0.5 1.0 26.9 28.0 0.5416667 0.61205226 0.6785714 0.11627907 0.17790696 0.23255815
17 0.05882353 0.29411763 0.47058824 1.0 27.7 29.0 0.56 0.6054867 0.6785714 0.13953489 0.19069767 0.23255815
18 0.11111111 0.29444447 0.44444445 1.0 28.5 30.0 0.53846157 0.59923023 0.6896552 0.13953489 0.19186047 0.24418604
19 0.10526316 0.29473683 0.47368422 1.0 29.4 31.0 0.5483871 0.5950269 0.7 0.13953489 0.20116279 0.26744187
20 0.15 0.305 0.45 1.0 30.0 32.0 0.55172414 0.5930519 0.7 0.15116279 0.20930234 0.26744187
21 0.14285715 0.30952382 0.42857143 1.0 30.6 33.0 0.53333336 0.5845811 0.7096774 0.15116279 0.2139535 0.26744187
22 0.13636364 0.3 0.45454547 1.0 31.5 34.0 0.516129 0.57425845 0.6875 0.1627907 0.22325583 0.29069766
23 0.13043478 0.29565215 0.4347826 1.0 32.4 34.0 0.516129 0.5612074 0.6666667 0.1627907 0.23255816 0.3139535
24 0.16666667 0.3 0.41666666 1.0 33.1 35.0 0.5151515 0.5580574 0.6764706 0.1744186 0.23604651 0.3139535
25 0.16 0.30399996 0.44 1.0 33.9 36.0 0.5 0.5565883 0.6857143 0.1744186 0.23372093 0.3139535
26 0.1923077 0.3 0.42307693 1.0 34.8 37.0 0.4848485 0.55671006 0.6666667 0.18604651 0.23837209 0.3139535
27 0.18518518 0.3 0.4074074 1.0 35.7 38.0 0.47058824 0.54786015 0.6315789 0.18604651 0.24534884 0.37209302
28 0.17857143 0.29999998 0.39285713 1.0 36.4 38.0 0.47058824 0.5427382 0.6315789 0.18604651 0.24767442 0.37209302
29 0.1724138 0.29999998 0.41379312 1.0 37.1 39.0 0.45714286 0.54302984 0.6315789 0.18604651 0.24767442 0.37209302
30 0.16666667 0.29999998 0.4 1.0 37.9 40.0 0.45714286 0.53689754 0.61538464 0.19767442 0.2523256 0.38372093
31 0.19354838 0.29999998 0.41935483 1.0 38.5 41.0 0.44444445 0.53382653 0.61538464 0.19767442 0.26046515 0.38372093
32 0.21875 0.303125 0.40625 1.0 39.0 41.0 0.44444445 0.52966046 0.61538464 0.19767442 0.26744187 0.38372093
33 0.21212122 0.3030303 0.42424244 1.0 39.8 42.0 0.45945945 0.5297855 0.61538464 0.19767442 0.2744186 0.38372093
34 0.23529412 0.30294117 0.44117647 1.0 40.3 43.0 0.4473684 0.5283271 0.61538464 0.19767442 0.27790698 0.38372093
35 0.22857143 0.30285713 0.42857143 1.0 40.9 44.0 0.44186047 0.52571976 0.61538464 0.19767442 0.28720933 0.38372093
36 0.25 0.31666666 0.44444445 1.0 41.7 45.0 0.45454547 0.53232366 0.625 0.19767442 0.29302326 0.39534885
37 0.24324325 0.3216216 0.45945945 1.0 42.2 45.0 0.44444445 0.5284771 0.625 0.19767442 0.3011628 0.40697673
38 0.23684211 0.3210526 0.4473684 1.0 43.0 46.0 0.44444445 0.5230137 0.6097561 0.20930232 0.30232558 0.40697673
39 0.25641027 0.33076924 0.43589744 1.0 43.4 46.0 0.4390244 0.5253574 0.6097561 0.20930232 0.30232558 0.40697673
40 0.25 0.32750002 0.425 1.0 44.0 47.0 0.44444445 0.522864 0.5952381 0.22093023 0.30930233 0.40697673
41 0.2682927 0.32439023 0.41463414 1.0 44.7 48.0 0.4347826 0.5194095 0.5952381 0.22093023 0.31279072 0.43023255
42 0.26190478 0.32857144 0.42857143 1.0 45.1 48.0 0.44186047 0.5193494 0.5952381 0.25581396 0.32093024 0.43023255
43 0.27906978 0.33255813 0.41860464 1.0 45.7 48.0 0.4375 0.5214466 0.60465115 0.25581396 0.32325584 0.43023255
