rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 13.0 13.0 0.9230769 0.9384616 1.0 0.069767445 0.08488371 0.093023255
2 0.0 0.2 0.5 1.0 13.8 14.0 0.85714287 0.89175814 0.9285714 0.069767445 0.08837209 0.11627907
3 0.0 0.2 0.6666667 1.0 14.8 15.0 0.8 0.8380953 0.8666667 0.069767445 0.096511625 0.12790698
4 0.0 0.175 0.5 1.0 15.7 16.0 0.75 0.7969643 0.875 0.093023255 0.10581394 0.15116279
5 0.0 0.17999999 0.4 1.0 16.7 17.0 0.7058824 0.7608824 0.8235294 0.093023255 0.11395349 0.1627907
6 0.0 0.18333335 0.33333334 1.0 17.6 18.0 0.6666667 0.73353755 0.8125 0.093023255 0.12209304 0.1744186
7 0.0 0.2 0.42857143 1.0 18.3 19.0 0.6666667 0.72136223 0.8235294 0.08139535 0.12906976 0.1744186
8 0.0 0.2125 0.375 1.0 19.3 20.0 0.6315789 0.68918127 0.7777778 0.08139535 0.14186046 0.22093023
9 0.0 0.23333332 0.44444445 1.0 20.1 21.0 0.6 0.6671679 0.7894737 0.08139535 0.14418605 0.22093023
10 0.0 0.24000001 0.4 1.0 21.0 22.0 0.5714286 0.65373087 0.7894737 0.093023255 0.15465117 0.24418604
11 0.09090909 0.26363638 0.45454547 1.0 21.7 23.0 0.54545456 0.65122056 0.8 0.093023255 0.1616279 0.24418604
12 0.083333336 0.26666668 0.5 1.0 22.6 24.0 0.5217391 0.6340462 0.7619048 0.093023255 0.16511628 0.24418604
13 0.15384616 0.2923077 0.53846157 1.0 23.4 25.0 0.5416667 0.62070817 0.72727275 0.093023255 0.172093 0.24418604
14 0.14285715 0.2857143 0.5714286 1.0 24.0 25.0 0.5416667 0.6043116 0.6956522 0.093023255 0.18139534 0.24418604
15 0.13333334 0.29333335 0.6 1.0 24.9 26.0 0.52 0.5862564 0.6666667 0.093023255 0.18372092 0.24418604
16 0.125 0.2875 0.5625 1.0 25.8 27.0 0.5 0.56573784 0.64 0.093023255 0.19767441 0.26744187
17 0.1764706 0.29411766 0.5294118 1.0 26.6 28.0 0.4814815 0.5525844 0.61538464 0.093023255 0.19999999 0.26744187
18 0.16666667 0.29444447 0.5 1.0 27.5 29.0 0.4642857 0.54578084 0.6296296 0.093023255 0.20232558 0.26744187
19 0.15789473 0.29473683 0.47368422 1.0 28.3 30.0 0.44827586 0.53387517 0.60714287 0.093023255 0.20697674 0.26744187
20 0.15 0.29 0.45 1.0 29.1 31.0 0.44827586 0.52254885 0.5862069 0.093023255 0.20813954 0.26744187
21 0.14285715 0.2904762 0.42857143 1.0 29.7 32.0 0.43333334 0.511954 0.56666666 0.10465116 0.21511629 0.29069766
22 0.18181819 0.29545456 0.45454547 1.0 30.4 33.0 0.41935483 0.5068868 0.58064514 0.10465116 0.22209303 0.29069766
23 0.17391305 0.29565215 0.4347826 1.0 31.0 34.0 0.40625 0.5004967 0.5625 0.10465116 0.22209303 0.29069766
24 0.20833333 0.30416667 0.41666666 1.0 31.8 35.0 0.3939394 0.4978233 0.5625 0.10465116 0.22790699 0.30232558
25 0.24 0.30800003 0.4 1.0 32.5 35.0 0.3939394 0.48946124 0.54545456 0.1744186 0.23720932 0.30232558
