rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 12.9 13.0 0.9230769 0.9615385 1.0 0.069767445 0.08255813 0.093023255
2 0.0 0.4 1.0 1.0 13.9 14.0 0.85714287 0.90659344 1.0 0.069767445 0.0860465 0.10465116
3 0.0 0.36666667 1.0 1.0 14.9 15.0 0.8 0.8590477 1.0 0.08139535 0.09534883 0.11627907
4 0.0 0.325 1.0 1.0 15.8 16.0 0.75 0.8358334 0.9375 0.08139535 0.110465124 0.15116279
5 0.0 0.34 0.8 1.0 16.7 17.0 0.7058824 0.80294114 0.88235295 0.08139535 0.11976743 0.15116279
6 0.0 0.33333334 0.6666667 1.0 17.7 18.0 0.6666667 0.7689543 0.8333333 0.08139535 0.123255804 0.1627907
7 0.14285715 0.31428573 0.5714286 1.0 18.3 19.0 0.6666667 0.74840045 0.8333333 0.08139535 0.12674418 0.1744186
8 0.125 0.3 0.5 1.0 19.2 20.0 0.6315789 0.7183626 0.84210527 0.10465116 0.14302325 0.18604651
9 0.11111111 0.32222223 0.5555556 1.0 19.9 21.0 0.6 0.7034127 0.8 0.10465116 0.14418605 0.19767442
10 0.2 0.32 0.5 1.0 20.8 22.0 0.61904764 0.68754464 0.7619048 0.11627907 0.15465117 0.19767442
11 0.18181819 0.3181818 0.54545456 1.0 21.6 23.0 0.59090906 0.6665591 0.77272725 0.11627907 0.16279069 0.20930232
12 0.16666667 0.325 0.5 1.0 22.6 24.0 0.5652174 0.6413044 0.7826087 0.12790698 0.17674418 0.20930232
13 0.15384616 0.30769232 0.46153846 1.0 23.2 25.0 0.56 0.6333965 0.75 0.13953489 0.18604651 0.23255815
14 0.14285715 0.3 0.5 1.0 23.9 25.0 0.56 0.62308264 0.72 0.13953489 0.19069767 0.23255815
15 0.13333334 0.29333335 0.46666667 1.0 24.6 26.0 0.53846157 0.60977876 0.72 0.13953489 0.20232558 0.26744187
