rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.1 1.0 1.0 13.0 13.0 0.9230769 0.93076926 1.0 0.069767445 0.07906978 0.093023255
2 0.0 0.1 1.0 1.0 14.0 14.0 0.85714287 0.86428565 0.9285714 0.069767445 0.0860465 0.11627907
3 0.0 0.16666667 0.6666667 1.0 14.9 15.0 0.8 0.8257143 0.8666667 0.069767445 0.095348835 0.11627907
4 0.0 0.2 0.5 1.0 15.8 16.0 0.75 0.785 0.8125 0.069767445 0.10465117 0.12790698
5 0.0 0.24000001 0.6 1.0 16.7 17.0 0.7058824 0.748897 0.8125 0.069767445 0.11046511 0.13953489
6 0.0 0.23333332 0.5 1.0 17.4 18.0 0.7058824 0.7305964 0.8125 0.069767445 0.11395349 0.13953489
7 0.0 0.27142859 0.5714286 1.0 18.3 19.0 0.6666667 0.7058652 0.8235294 0.08139535 0.11976744 0.15116279
8 0.125 0.275 0.5 1.0 19.3 20.0 0.6315789 0.67970765 0.7777778 0.08139535 0.13023254 0.1744186
9 0.11111111 0.2777778 0.44444445 1.0 20.3 21.0 0.6 0.6461278 0.7368421 0.10465116 0.14069767 0.18604651
10 0.1 0.28000003 0.4 1.0 21.3 22.0 0.59090906 0.6254762 0.7 0.11627907 0.14651163 0.18604651
11 0.09090909 0.2727273 0.36363637 1.0 22.0 23.0 0.5652174 0.60604084 0.6666667 0.11627907 0.15581393 0.20930232
12 0.16666667 0.2833333 0.41666666 1.0 22.9 24.0 0.5416667 0.58690715 0.6666667 0.11627907 0.15930231 0.20930232
13 0.15384616 0.3 0.3846154 1.0 23.6 25.0 0.52 0.5818359 0.65217394 0.12790698 0.16627905 0.20930232
14 0.14285715 0.28571433 0.35714287 1.0 24.4 26.0 0.5 0.5673701 0.65217394 0.12790698 0.1732558 0.24418604
15 0.13333334 0.2733333 0.4 1.0 25.1 27.0 0.4814815 0.5560562 0.65217394 0.12790698 0.18139534 0.23255815
16 0.125 0.26875 0.375 1.0 26.0 28.0 0.5 0.5440134 0.625 0.12790698 0.18604651 0.23255815
17 0.11764706 0.2764706 0.3529412 1.0 26.7 29.0 0.4827586 0.5367066 0.64 0.13953489 0.19999999 0.25581396
18 0.11111111 0.27777776 0.3888889 1.0 27.3 30.0 0.46666667 0.5323893 0.64 0.15116279 0.20581396 0.27906978
19 0.10526316 0.28947368 0.42105263 1.0 28.0 31.0 0.4516129 0.52630943 0.61538464 0.15116279 0.20348838 0.27906978
20 0.15 0.29 0.4 1.0 28.5 31.0 0.4516129 0.52395755 0.61538464 0.15116279 0.21162792 0.29069766
21 0.14285715 0.29523808 0.42857143 1.0 29.0 31.0 0.4516129 0.5179755 0.5925926 0.15116279 0.21627907 0.29069766
22 0.13636364 0.30454546 0.4090909 1.0 29.9 32.0 0.46666667 0.5124086 0.5714286 0.15116279 0.22209303 0.29069766
23 0.13043478 0.3043478 0.39130434 1.0 30.7 33.0 0.4516129 0.5022399 0.55172414 0.15116279 0.23604651 0.3139535
24 0.125 0.30833334 0.375 1.0 31.7 34.0 0.4375 0.495752 0.5483871 0.1627907 0.24651165 0.3255814
25 0.12 0.316 0.4 1.0 32.1 34.0 0.42424244 0.49289638 0.5625 0.1627907 0.24651165 0.3255814
26 0.115384616 0.31538463 0.42307693 1.0 32.7 35.0 0.4117647 0.48754263 0.5625 0.1744186 0.25581396 0.3255814
27 0.11111111 0.32592592 0.44444445 1.0 33.4 36.0 0.4 0.483049 0.5588235 0.19767442 0.26162794 0.3372093
28 0.10714286 0.32142857 0.42857143 1.0 34.1 36.0 0.3888889 0.47594604 0.5588235 0.19767442 0.26860467 0.3255814
29 0.13793103 0.32413793 0.44827586 1.0 34.7 37.0 0.3783784 0.47689182 0.54285717 0.20930232 0.28139538 0.3372093
30 0.13333334 0.31666666 0.43333334 1.0 35.5 38.0 0.36842105 0.46884602 0.54285717 0.20930232 0.29418606 0.3604651
