rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 13.0 13.0 0.9230769 0.9615385 1.0 0.069767445 0.07906977 0.093023255
100 0.28 0.361 0.47 1.0 58.8 63.0 0.30508474 0.36380517 0.44444445 0.41860464 0.50581396 0.60465115
200 0.35 0.3965 0.46 1.0 71.0 77.0 0.32394367 0.377859 0.41935483 0.44186047 0.57790697 0.7093023
300 0.36666667 0.43933335 0.49333334 1.0 75.7 82.0 0.33802816 0.41547853 0.46153846 0.5232558 0.627907 0.6976744
400 0.3875 0.46249995 0.51 1.0 77.7 85.0 0.40789473 0.4574553 0.5058824 0.5 0.63953495 0.8023256
500 0.426 0.48840004 0.532 1.0 77.0 86.0 0.4520548 0.49641067 0.54545456 0.47674417 0.6162791 0.75581396
600 0.44833332 0.5126667 0.5566667 1.0 78.2 87.0 0.4857143 0.5265836 0.58666664 0.53488374 0.6116279 0.74418604
700 0.47714287 0.53057146 0.5714286 1.0 75.1 86.0 0.53521127 0.58214194 0.6376812 0.5116279 0.59999996 0.6976744
800 0.51 0.555 0.59375 1.0 74.8 86.0 0.57894737 0.622147 0.6984127 0.44186047 0.59069765 0.7093023
900 0.5411111 0.57544446 0.61444443 1.0 74.4 87.0 0.6 0.65451765 0.7058824 0.4883721 0.5906977 0.68604654
1000 0.565 0.5963 0.627 1.0 74.3 80.0 0.6315789 0.6798661 0.72 0.5232558 0.5709302 0.6627907
1100 0.58272725 0.61563635 0.64454544 1.0 74.4 80.0 0.6619718 0.69725734 0.74666667 0.5 0.57790697 0.6511628
1200 0.60083336 0.6333333 0.6616667 1.0 72.9 85.0 0.68115944 0.7291191 0.8055556 0.4883721 0.572093 0.6627907
1300 0.62153846 0.651 0.67846155 1.0 72.6 83.0 0.6849315 0.7457234 0.8194444 0.5 0.57790697 0.6627907
1400 0.64357144 0.66821426 0.695 1.0 73.1 81.0 0.6849315 0.7527051 0.7972973 0.5232558 0.5802325 0.6976744
1500 0.66333336 0.6827333 0.7073333 1.0 72.8 79.0 0.7123288 0.7648545 0.7941176 0.5232558 0.57906973 0.6395349
1600 0.676875 0.6951875 0.716875 1.0 71.8 77.0 0.74025977 0.7871754 0.82666665 0.5232558 0.5813953 0.6395349
1700 0.6888235 0.708353 0.7294118 1.0 72.7 80.0 0.74285716 0.7839861 0.82191783 0.5 0.5883721 0.6744186
1800 0.70111114 0.7197223 0.74 1.0 72.3 79.0 0.7605634 0.7952484 0.82608694 0.5 0.58139527 0.6627907
1900 0.7121053 0.7305263 0.7526316 1.0 71.6 79.0 0.7605634 0.8101632 0.8507463 0.5116279 0.58488375 0.6627907
2000 0.724 0.74125 0.7625 1.0 72.3 82.0 0.7605634 0.8057585 0.8405797 0.5116279 0.5860465 0.6627907
2100 0.7342857 0.75042856 0.7714286 1.0 72.1 82.0 0.7605634 0.8135365 0.8611111 0.5232558 0.5895349 0.6744186
2200 0.7440909 0.7594999 0.78090906 1.0 72.1 84.0 0.7714286 0.82049435 0.8630137 0.5 0.59069765 0.6976744
2300 0.7526087 0.76795655 0.78782606 1.0 72.3 82.0 0.75 0.82202864 0.90140843 0.5 0.5930233 0.68604654
2400 0.7625 0.7762083 0.79541665 1.0 72.2 81.0 0.7605634 0.8282768 0.8888889 0.5116279 0.5918605 0.68604654
2500 0.7716 0.78388 0.8028 1.0 72.0 80.0 0.7714286 0.8344197 0.8767123 0.5116279 0.59534883 0.68604654
2600 0.7792308 0.7909231 0.8088462 1.0 71.8 80.0 0.7714286 0.8385054 0.90140843 0.5 0.59999996 0.68604654
2700 0.7862963 0.7979259 0.8151852 1.0 72.2 80.0 0.7826087 0.8366138 0.90140843 0.5 0.59534883 0.68604654
2800 0.79285717 0.80432147 0.8214286 1.0 71.9 80.0 0.80597013 0.84144133 0.90140843 0.5 0.59534883 0.68604654
2900 0.7993103 0.8105172 0.82724136 1.0 71.6 80.0 0.80597013 0.84638435 0.9027778 0.5116279 0.5965116 0.68604654
3000 0.8053333 0.8164667 0.833 1.0 71.8 80.0 0.80597013 0.8439991 0.9027778 0.5116279 0.59883726 0.68604654
3100 0.8116129 0.8219032 0.8383871 1.0 71.7 80.0 0.80263156 0.84532595 0.9027778 0.5 0.59767437 0.68604654
3200 0.8165625 0.8269062 0.8428125 1.0 72.2 81.0 0.80263156 0.8412072 0.9041096 0.5 0.60465115 0.68604654
3300 0.82151514 0.8315455 0.84727275 1.0 71.7 81.0 0.80263156 0.8481557 0.9054054 0.5 0.6 0.68604654
3400 0.82617646 0.8361471 0.8514706 1.0 71.8 80.0 0.80263156 0.8470956 0.9054054 0.5 0.60232556 0.68604654
3500 0.83085716 0.8406285 0.85571426 1.0 71.8 80.0 0.80263156 0.847016 0.9054054 0.5116279 0.6034883 0.68604654
3600 0.835 0.84466666 0.8597222 1.0 71.9 80.0 0.80263156 0.8456594 0.8933333 0.5116279 0.6046511 0.68604654
3700 0.8391892 0.8486757 0.8635135 1.0 72.2 80.0 0.80263156 0.8421217 0.8933333 0.5232558 0.6069767 0.68604654
3800 0.8431579 0.85239476 0.86710525 1.0 72.0 80.0 0.80263156 0.8444443 0.9054054 0.5 0.6034883 0.68604654
