rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 13.0 13.0 0.9230769 0.9615385 1.0 0.069767445 0.07790698 0.093023255
100 0.28 0.406 0.46 1.0 71.6 80.0 0.38961038 0.46203017 0.5362319 0.3604651 0.5069767 0.6395349
200 0.385 0.48450002 0.52 1.0 92.5 98.0 0.41304347 0.49039125 0.56122446 0.5813953 0.66744184 0.7906977
300 0.45333335 0.54033333 0.58666664 1.0 100.5 107.0 0.4787234 0.5155972 0.56179774 0.5697674 0.7453488 0.8372093
400 0.5125 0.5855 0.6325 1.0 104.7 110.0 0.47524753 0.5362066 0.6082474 0.627907 0.794186 0.8604651
500 0.556 0.6172 0.656 1.0 105.4 111.0 0.5135135 0.5610231 0.6262626 0.6976744 0.794186 0.8488372
600 0.605 0.6445001 0.685 1.0 105.0 112.0 0.5463917 0.5830314 0.6213592 0.7093023 0.80116284 0.872093
700 0.6314286 0.66542864 0.7185714 1.0 105.0 112.0 0.5520833 0.59509563 0.63809526 0.75581396 0.8151163 0.88372093
800 0.64875 0.679875 0.73625 1.0 104.4 111.0 0.5660377 0.60939544 0.66346157 0.73255813 0.81162786 0.9302326
900 0.66888887 0.69366664 0.74666667 1.0 103.6 110.0 0.5754717 0.62307024 0.6770833 0.75581396 0.8209303 0.94186044
1000 0.682 0.7056 0.752 1.0 102.9 109.0 0.59615386 0.6321917 0.6960784 0.7093023 0.80581397 0.90697676
1100 0.69272727 0.71754545 0.7663636 1.0 103.4 107.0 0.5904762 0.6295412 0.6826923 0.73255813 0.81627905 0.88372093
1200 0.7083333 0.7284167 0.7708333 1.0 102.6 108.0 0.6 0.6376063 0.68041235 0.6976744 0.8023256 0.872093
1300 0.7192308 0.7382308 0.7807692 1.0 99.6 107.0 0.6168224 0.6592805 0.72164947 0.68604654 0.80465114 0.88372093
1400 0.7271429 0.7458571 0.785 1.0 98.7 104.0 0.63 0.66576934 0.7070707 0.68604654 0.79651165 0.8604651
1500 0.738 0.7542666 0.79066664 1.0 97.7 103.0 0.63829786 0.6724784 0.71428573 0.68604654 0.7837209 0.8488372
1600 0.74625 0.7629374 0.79625 1.0 95.8 101.0 0.6185567 0.68776184 0.7777778 0.68604654 0.78720933 0.8255814
1700 0.75411767 0.76911765 0.80058825 1.0 95.1 102.0 0.6494845 0.69214916 0.7692308 0.68604654 0.7918605 0.8255814
1800 0.7594444 0.77661115 0.8066667 1.0 94.8 100.0 0.6494845 0.694213 0.76086956 0.68604654 0.7883721 0.8604651
1900 0.76578945 0.78200006 0.81 1.0 95.5 102.0 0.65346533 0.6893875 0.76086956 0.68604654 0.79186046 0.8604651
2000 0.772 0.78705 0.811 1.0 93.9 101.0 0.6593407 0.7028489 0.7977528 0.6627907 0.7895349 0.8488372
2100 0.7795238 0.7925238 0.81 1.0 93.3 101.0 0.67021275 0.7071389 0.7977528 0.6627907 0.7790698 0.8488372
2200 0.78409094 0.7970909 0.80954546 1.0 92.8 101.0 0.6732673 0.7106825 0.7802198 0.6627907 0.7813953 0.8488372
2300 0.78913045 0.80165225 0.8130435 1.0 91.9 98.0 0.6896552 0.717205 0.7977528 0.6627907 0.7837209 0.872093
2400 0.79541665 0.8065416 0.8179167 1.0 91.0 97.0 0.6847826 0.7241832 0.7741935 0.6627907 0.7732558 0.8372093
2500 0.7996 0.8112801 0.822 1.0 90.2 97.0 0.6847826 0.73109615 0.8068182 0.6627907 0.77441865 0.8372093
2600 0.80615383 0.8163077 0.8253846 1.0 88.8 94.0 0.6896552 0.7426415 0.8255814 0.68604654 0.77093023 0.8372093
2700 0.8111111 0.8208519 0.8285185 1.0 88.7 94.0 0.6847826 0.74392897 0.8352941 0.68604654 0.76860464 0.8372093
2800 0.815 0.82535714 0.83357143 1.0 87.5 93.0 0.6847826 0.75382286 0.8452381 0.68604654 0.77093023 0.8372093
2900 0.8196552 0.82937926 0.8375862 1.0 87.4 91.0 0.6923077 0.75447583 0.8352941 0.68604654 0.76976746 0.8372093
3000 0.8233333 0.8330334 0.84033334 1.0 87.1 92.0 0.7078652 0.75709516 0.8352941 0.6627907 0.76511633 0.8372093
3100 0.8267742 0.836871 0.84451616 1.0 86.4 92.0 0.7078652 0.763227 0.8452381 0.6627907 0.76511633 0.8372093
3200 0.83125 0.84018755 0.8478125 1.0 86.4 91.0 0.7 0.7631988 0.8372093 0.6627907 0.7662791 0.8372093
3300 0.83454543 0.8436667 0.85212123 1.0 84.4 89.0 0.71590906 0.78097683 0.84705883 0.6627907 0.76395357 0.8255814
3400 0.83911765 0.8475294 0.85588235 1.0 84.4 89.0 0.71590906 0.7810832 0.85714287 0.6627907 0.76046515 0.8255814
3500 0.8437143 0.8511143 0.85971427 1.0 84.2 90.0 0.7 0.7833155 0.8674699 0.6627907 0.7627908 0.8255814
3600 0.8472222 0.8545555 0.86333334 1.0 84.5 93.0 0.67741936 0.7808435 0.8674699 0.6627907 0.7662791 0.8255814
3700 0.85 0.85770273 0.8664865 1.0 83.9 91.0 0.6923077 0.7861723 0.8674699 0.6627907 0.76511633 0.8255814
3800 0.8531579 0.8609211 0.87 1.0 83.5 93.0 0.67741936 0.7904379 0.8674699 0.6627907 0.76395357 0.8255814
3900 0.85641026 0.8639487 0.8730769 1.0 83.8 92.0 0.6847826 0.7872476 0.84705883 0.6627907 0.76395357 0.8255814
4000 0.85975 0.866975 0.87625 1.0 83.3 89.0 0.7078652 0.79169416 0.8674699 0.6627907 0.76279074 0.8255814
4100 0.86292684 0.8698537 0.8792683 1.0 82.8 87.0 0.7241379 0.7962011 0.8674699 0.6627907 0.76279074 0.8255814
4200 0.8661905 0.8725952 0.8819048 1.0 82.9 85.0 0.7411765 0.79484046 0.85714287 0.6627907 0.76279074 0.8255814
4300 0.86930233 0.87525576 0.8839535 1.0 82.6 85.0 0.7411765 0.79762465 0.85714287 0.6627907 0.76279074 0.8255814
4400 0.87227273 0.8779546 0.8865909 1.0 82.3 84.0 0.75 0.8004793 0.85714287 0.6627907 0.76279074 0.8255814
4500 0.8751111 0.8804444 0.8886667 1.0 82.4 85.0 0.75 0.79942876 0.84705883 0.6627907 0.76046515 0.8255814
4600 0.8776087 0.88265216 0.89086956 1.0 82.7 86.0 0.73255813 0.7967147 0.85714287 0.68604654 0.76279074 0.8255814
4700 0.88 0.8849575 0.8931915 1.0 82.6 87.0 0.7411765 0.79760134 0.85714287 0.7093023 0.76511633 0.8255814
4800 0.88208336 0.8871667 0.8954167 1.0 82.4 86.0 0.7411765 0.7996029 0.8674699 0.7093023 0.7662791 0.8255814
4900 0.8838776 0.88928574 0.897551 1.0 82.6 88.0 0.71590906 0.7980458 0.8674699 0.68604654 0.76395357 0.8255814
5000 0.8852 0.89128 0.899 1.0 82.7 90.0 0.7 0.7974954 0.8674699 0.6627907 0.76046515 0.8255814
5100 0.8862745 0.8931373 0.9003922 1.0 82.6 89.0 0.7078652 0.79828197 0.8674699 0.6627907 0.761628 0.8255814
5200 0.88769233 0.8950192 0.90192306 1.0 82.3 87.0 0.7241379 0.8009509 0.8674699 0.6627907 0.76046515 0.8255814
5300 0.8896226 0.8969245 0.9037736 1.0 82.4 87.0 0.7241379 0.7999986 0.8674699 0.6627907 0.76046515 0.8255814
5400 0.89129627 0.89874077 0.90555555 1.0 82.1 85.0 0.7411765 0.8027714 0.8765432 0.6627907 0.76046515 0.8255814
5500 0.89254546 0.90040004 0.9070909 1.0 81.8 85.0 0.75 0.8056243 0.8765432 0.6627907 0.76046515 0.8255814
5600 0.89410716 0.9020715 0.90875 1.0 81.4 84.0 0.76829267 0.80940485 0.8765432 0.6627907 0.76046515 0.8255814
5700 0.8959649 0.903772 0.91035086 1.0 81.4 84.0 0.76829267 0.80940485 0.8765432 0.6627907 0.76046515 0.8255814
5800 0.8977586 0.90541375 0.9118965 1.0 81.5 84.0 0.76829267 0.80841124 0.8765432 0.6627907 0.76046515 0.8255814
5900 0.89932203 0.90694916 0.9133898 1.0 81.5 84.0 0.7590361 0.8084556 0.8765432 0.6627907 0.76046515 0.8255814
6000 0.901 0.90843344 0.91466665 1.0 81.7 84.0 0.7590361 0.806489 0.8765432 0.6627907 0.76046515 0.8255814
6100 0.902459 0.9099181 0.9160656 1.0 81.6 84.0 0.76829267 0.8074147 0.8765432 0.6627907 0.76046515 0.8255814
6200 0.90403223 0.9113388 0.9172581 1.0 81.4 84.0 0.76829267 0.8093813 0.8765432 0.6627907 0.76046515 0.8255814
6300 0.90555555 0.9127143 0.9185714 1.0 81.5 84.0 0.75949365 0.8084076 0.8765432 0.6627907 0.76046515 0.8255814
6400 0.90703124 0.9140469 0.91984373 1.0 81.4 84.0 0.76829267 0.8093813 0.8765432 0.6627907 0.76046515 0.8255814
6500 0.9084615 0.9153077 0.9210769 1.0 81.5 84.0 0.76829267 0.8084059 0.8765432 0.6627907 0.76046515 0.8255814
6600 0.9098485 0.9165454 0.92227274 1.0 81.6 85.0 0.76829267 0.8074535 0.8765432 0.6627907 0.76046515 0.8255814
6700 0.911194 0.9177164 0.9234328 1.0 81.5 84.0 0.76829267 0.8084059 0.8765432 0.6627907 0.76046515 0.8255814
6800 0.9125 0.91891176 0.9245588 1.0 81.5 84.0 0.76829267 0.8084059 0.8765432 0.6627907 0.76046515 0.8255814
6900 0.9137681 0.92007244 0.92565215 1.0 81.5 84.0 0.76829267 0.8084059 0.8765432 0.6627907 0.76046515 0.8255814
7000 0.915 0.9211857 0.9267143 1.0 81.3 84.0 0.76829267 0.8103803 0.8765432 0.6627907 0.76046515 0.8255814
7100 0.9161972 0.92229575 0.9277465 1.0 81.3 84.0 0.76829267 0.8103803 0.8765432 0.6627907 0.76046515 0.8255814
7200 0.91736114 0.923375 0.92875 1.0 81.3 84.0 0.76829267 0.8103803 0.8765432 0.6627907 0.76046515 0.8255814
7300 0.91849315 0.92442465 0.929726 1.0 81.3 84.0 0.76829267 0.8103803 0.8765432 0.6627907 0.76046515 0.8255814
7400 0.9195946 0.9254459 0.9306757 1.0 81.3 84.0 0.76829267 0.8103803 0.8765432 0.6627907 0.76046515 0.8255814
7500 0.9206667 0.92644006 0.9316 1.0 81.3 84.0 0.76829267 0.8103803 0.8765432 0.6627907 0.76046515 0.8255814
7600 0.92171055 0.92740786 0.9325 1.0 81.3 84.0 0.76829267 0.8103803 0.8765432 0.6627907 0.76046515 0.8255814
7700 0.9227273 0.9283506 0.9333766 1.0 81.3 84.0 0.76829267 0.8103803 0.8765432 0.6627907 0.76046515 0.8255814
7800 0.923718 0.9292692 0.93423074 1.0 81.3 84.0 0.76829267 0.8103803 0.8765432 0.6627907 0.76046515 0.8255814
7900 0.9246836 0.9301645 0.9350633 1.0 81.3 84.0 0.76829267 0.8103803 0.8765432 0.6627907 0.76046515 0.8255814
8000 0.925625 0.93103755 0.935875 1.0 81.3 84.0 0.76829267 0.8103803 0.8765432 0.6627907 0.76046515 0.8255814
8100 0.92654324 0.93188894 0.93666667 1.0 81.3 84.0 0.76829267 0.8103803 0.8765432 0.6627907 0.76046515 0.8255814
8200 0.92743903 0.9327195 0.937439 1.0 81.3 84.0 0.76829267 0.8103803 0.8765432 0.6627907 0.76046515 0.8255814
8300 0.92831326 0.93353003 0.9381928 1.0 81.3 84.0 0.76829267 0.8103803 0.8765432 0.6627907 0.76046515 0.8255814
8400 0.9291667 0.9343214 0.93892854 1.0 81.3 84.0 0.76829267 0.8103803 0.8765432 0.6627907 0.76046515 0.8255814
8500 0.93 0.9350942 0.9396471 1.0 81.3 84.0 0.76829267 0.8103803 0.8765432 0.6627907 0.76046515 0.8255814
8600 0.93081397 0.93584883 0.94034886 1.0 81.3 84.0 0.76829267 0.8103803 0.8765432 0.6627907 0.76046515 0.8255814
8700 0.9316092 0.93658626 0.9410345 1.0 81.3 84.0 0.76829267 0.8103803 0.8765432 0.6627907 0.76046515 0.8255814
8800 0.93238634 0.9372841 0.9417046 1.0 81.3 84.0 0.76829267 0.8103803 0.8765432 0.6627907 0.76046515 0.8255814
8900 0.93314606 0.93798876 0.94235957 1.0 81.3 84.0 0.76829267 0.8103803 0.8765432 0.6627907 0.76046515 0.8255814
9000 0.9338889 0.9386778 0.943 1.0 81.3 84.0 0.76829267 0.8103803 0.8765432 0.6627907 0.76046515 0.8255814
9100 0.9346154 0.93935174 0.94362634 1.0 81.3 84.0 0.76829267 0.8103803 0.8765432 0.6627907 0.76046515 0.8255814
9200 0.9353261 0.9400109 0.94423914 1.0 81.3 84.0 0.76829267 0.8103803 0.8765432 0.6627907 0.76046515 0.8255814
9300 0.9360215 0.9406559 0.9448387 1.0 81.3 84.0 0.76829267 0.8103803 0.8765432 0.6627907 0.76046515 0.8255814
9400 0.93670213 0.94127655 0.9454255 1.0 81.3 84.0 0.76829267 0.8103803 0.8765432 0.6627907 0.76046515 0.8255814
9500 0.9373684 0.94189465 0.946 1.0 81.3 84.0 0.76829267 0.8103803 0.8765432 0.6627907 0.76046515 0.8255814
9600 0.9380208 0.9425 0.9465625 1.0 81.3 84.0 0.76829267 0.8103803 0.8765432 0.6627907 0.76046515 0.8255814
9700 0.9386598 0.9430927 0.9471134 1.0 81.3 84.0 0.76829267 0.8103803 0.8765432 0.6627907 0.76046515 0.8255814
9800 0.9392857 0.94367343 0.94765306 1.0 81.3 84.0 0.76829267 0.8103803 0.8765432 0.6627907 0.76046515 0.8255814
9900 0.93989897 0.9442425 0.9481818 1.0 81.3 84.0 0.76829267 0.8103803 0.8765432 0.6627907 0.76046515 0.8255814
10000 0.9405 0.9448 0.9487 1.0 81.3 84.0 0.76829267 0.8103803 0.8765432 0.6627907 0.76046515 0.8255814
