rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 13.0 13.0 0.9230769 0.9384616 1.0 0.069767445 0.08488371 0.093023255
100 0.31 0.34699997 0.41 1.0 65.7 75.0 0.28985506 0.35383505 0.42424244 0.37209302 0.4976744 0.60465115
200 0.355 0.3985 0.47 1.0 84.4 90.0 0.2875 0.36982185 0.41463414 0.5813953 0.65116274 0.7209302
300 0.38666666 0.43300003 0.49 1.0 89.4 98.0 0.33333334 0.3949751 0.46341464 0.59302324 0.7302326 0.8023256
400 0.4225 0.46150002 0.5125 1.0 91.4 101.0 0.3678161 0.43541583 0.47674417 0.6744186 0.71395344 0.76744187
500 0.458 0.4938 0.538 1.0 90.7 99.0 0.41379312 0.4786648 0.5232558 0.59302324 0.7116279 0.7906977
600 0.47166666 0.5195 0.5733333 1.0 89.4 99.0 0.45882353 0.5173597 0.5647059 0.59302324 0.68604654 0.8023256
700 0.49 0.5387143 0.58428574 1.0 89.6 97.0 0.5051546 0.54027325 0.5833333 0.60465115 0.68720925 0.74418604
800 0.52 0.559375 0.59875 1.0 88.3 97.0 0.52272725 0.5792769 0.6292135 0.5697674 0.68139535 0.73255813
900 0.53555554 0.57955563 0.61444443 1.0 89.0 99.0 0.52272725 0.5967239 0.65822786 0.53488374 0.677907 0.75581396
1000 0.56 0.59679997 0.625 1.0 88.3 95.0 0.5609756 0.61826813 0.6627907 0.5232558 0.67093027 0.7790698
1100 0.58454543 0.6137272 0.64 1.0 87.3 94.0 0.57831323 0.64362466 0.686747 0.61627907 0.6802325 0.75581396
1200 0.6041667 0.62991667 0.6566667 1.0 87.9 93.0 0.6136364 0.6598289 0.7176471 0.59302324 0.705814 0.7790698
1300 0.6138462 0.64376926 0.6707692 1.0 86.4 92.0 0.627907 0.677029 0.72619045 0.627907 0.6976744 0.75581396
1400 0.62642854 0.65500003 0.68642855 1.0 84.2 92.0 0.64935064 0.70473486 0.75641024 0.5813953 0.68139535 0.73255813
1500 0.64133334 0.67046666 0.704 1.0 82.8 89.0 0.6627907 0.72534305 0.78571427 0.5813953 0.68604654 0.74418604
1600 0.65125 0.68243754 0.719375 1.0 81.9 89.0 0.6933333 0.7451663 0.825 0.59302324 0.68139535 0.74418604
1700 0.6647059 0.6948823 0.7323529 1.0 81.9 89.0 0.6883117 0.75399417 0.8148148 0.59302324 0.68953484 0.7790698
1800 0.6761111 0.70588887 0.74333334 1.0 82.9 89.0 0.6708861 0.7531503 0.81707317 0.61627907 0.7034884 0.75581396
1900 0.68473685 0.7165264 0.7526316 1.0 81.8 86.0 0.7105263 0.7677772 0.8271605 0.61627907 0.7046511 0.74418604
2000 0.6935 0.72650003 0.761 1.0 81.6 87.0 0.73493975 0.7724448 0.8271605 0.627907 0.6988372 0.75581396
2100 0.7047619 0.7364762 0.7709524 1.0 81.6 87.0 0.74390244 0.7761815 0.8375 0.60465115 0.6965116 0.75581396
2200 0.7163636 0.74568176 0.7772727 1.0 81.7 87.0 0.7586207 0.7763263 0.81707317 0.61627907 0.6976744 0.74418604
2300 0.7273913 0.7545217 0.783913 1.0 81.2 88.0 0.75 0.7838747 0.8072289 0.60465115 0.7023255 0.75581396
2400 0.7370833 0.76275 0.78875 1.0 81.1 87.0 0.74712646 0.78462327 0.81707317 0.61627907 0.7011628 0.75581396
2500 0.7472 0.77092 0.7948 1.0 80.8 86.0 0.75581396 0.7887978 0.8271605 0.61627907 0.7023256 0.75581396
2600 0.75576925 0.77819234 0.80115384 1.0 80.8 85.0 0.7619048 0.7910624 0.8292683 0.61627907 0.7034884 0.75581396
2700 0.7633333 0.78503704 0.80777776 1.0 80.3 85.0 0.7733333 0.7968899 0.8292683 0.60465115 0.70581394 0.75581396
2800 0.77107143 0.7916072 0.8142857 1.0 80.1 85.0 0.7721519 0.8003478 0.85 0.627907 0.7069767 0.76744187
2900 0.77793103 0.79768974 0.82 1.0 80.0 85.0 0.7721519 0.80381995 0.83950615 0.60465115 0.7081395 0.7790698
