rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 13.0 13.0 0.9230769 0.94615394 1.0 0.069767445 0.08139535 0.093023255
100 0.26 0.36499998 0.46 1.0 65.8 72.0 0.31944445 0.3820293 0.45454547 0.40697673 0.5046512 0.59302324
200 0.33 0.40749997 0.49 1.0 83.3 93.0 0.3375 0.4039143 0.525641 0.54651165 0.61744183 0.73255813
300 0.35 0.44166666 0.52 1.0 90.7 98.0 0.35955057 0.41902217 0.5487805 0.5697674 0.6755814 0.76744187
400 0.3875 0.46800002 0.5375 1.0 93.3 97.0 0.39534885 0.46106464 0.56179774 0.5697674 0.7023256 0.8023256
500 0.432 0.4908 0.568 1.0 91.6 97.0 0.43333334 0.51509416 0.5955056 0.59302324 0.67093027 0.76744187
600 0.45166665 0.51483333 0.57666665 1.0 90.3 96.0 0.5106383 0.56105036 0.64705884 0.53488374 0.6732558 0.76744187
700 0.47285715 0.5371429 0.5957143 1.0 91.3 98.0 0.5319149 0.59261775 0.6813187 0.5813953 0.68372095 0.8023256
800 0.49375 0.556375 0.6175 1.0 90.5 96.0 0.6 0.6265948 0.6631579 0.59302324 0.6802325 0.73255813
900 0.5144445 0.5732222 0.6311111 1.0 90.3 97.0 0.6091954 0.6478244 0.6818182 0.5697674 0.64767444 0.68604654
1000 0.54 0.59230006 0.644 1.0 90.5 97.0 0.6185567 0.673539 0.7294118 0.5813953 0.666279 0.74418604
1100 0.56 0.6066364 0.65636367 1.0 89.5 95.0 0.62222224 0.6936318 0.77272725 0.5813953 0.65465117 0.73255813
1200 0.58166665 0.62333333 0.6675 1.0 86.8 93.0 0.6551724 0.72554183 0.7906977 0.55813956 0.6406977 0.7093023
1300 0.59692305 0.63815385 0.6838462 1.0 86.7 91.0 0.68235296 0.74160177 0.7777778 0.5697674 0.64302325 0.6744186
1400 0.6142857 0.64928573 0.69857144 1.0 86.0 94.0 0.7011494 0.77189314 0.86585367 0.5697674 0.65 0.7790698
1500 0.62733334 0.6626667 0.71066666 1.0 85.0 91.0 0.72727275 0.7993671 0.8888889 0.5813953 0.63837206 0.6976744
1600 0.63875 0.67512494 0.715 1.0 82.9 92.0 0.76086956 0.8277852 0.9113924 0.5813953 0.64069766 0.7093023
1700 0.65117645 0.6872353 0.72588235 1.0 82.9 90.0 0.78651685 0.84002364 0.9 0.59302324 0.63488376 0.6744186
1800 0.665 0.6988889 0.73444444 1.0 81.9 88.0 0.81395346 0.8601039 0.93670887 0.5813953 0.64767444 0.6976744
1900 0.6778947 0.70894736 0.7410526 1.0 81.6 89.0 0.8202247 0.8724588 0.9493671 0.5813953 0.6488372 0.68604654
2000 0.69 0.7189001 0.7495 1.0 80.6 86.0 0.8372093 0.88706905 0.9268293 0.59302324 0.6372093 0.68604654
2100 0.70238096 0.7283809 0.75857145 1.0 79.2 88.0 0.82954544 0.9077388 0.9714286 0.5697674 0.644186 0.74418604
2200 0.7145454 0.73804545 0.7663636 1.0 78.8 85.0 0.86904764 0.9155094 0.98550725 0.5697674 0.63953483 0.6627907
2300 0.7247826 0.7470435 0.77434784 1.0 78.1 84.0 0.88095236 0.9295662 0.98550725 0.5697674 0.63488376 0.6744186
2400 0.735 0.7557083 0.7808333 1.0 77.4 83.0 0.90361446 0.9375876 0.98550725 0.5697674 0.63372093 0.6627907
2500 0.7452 0.76404005 0.7892 1.0 76.8 84.0 0.89285713 0.94648373 1.0 0.5697674 0.63139534 0.6627907
2600 0.7519231 0.7715384 0.7957692 1.0 77.0 84.0 0.902439 0.9479686 1.0 0.5813953 0.6372093 0.6627907
2700 0.76 0.7784815 0.80333334 1.0 77.2 84.0 0.8915663 0.9478661 0.98571426 0.59302324 0.63837206 0.6627907
2800 0.7664286 0.78446424 0.8075 1.0 76.9 85.0 0.91358024 0.95397586 1.0 0.5813953 0.63953483 0.6744186
2900 0.7734483 0.7907586 0.81310344 1.0 76.6 85.0 0.93670887 0.9587704 1.0 0.5813953 0.6418605 0.68604654
3000 0.7786667 0.79699993 0.81866664 1.0 76.6 82.0 0.925 0.95964193 1.0 0.59302324 0.64069766 0.68604654
3100 0.7835484 0.8021935 0.82387096 1.0 75.9 82.0 0.94871795 0.9684311 1.0 0.5813953 0.6395349 0.68604654
3200 0.78875 0.80771875 0.8284375 1.0 75.3 82.0 0.96103895 0.9760435 1.0 0.5813953 0.64069766 0.68604654
3300 0.7945455 0.81315154 0.83272725 1.0 74.9 82.0 0.97333336 0.98141944 1.0 0.5813953 0.6395349 0.68604654
3400 0.8002941 0.8183235 0.8364706 1.0 75.0 82.0 0.9444444 0.9799097 1.0 0.5813953 0.6395349 0.68604654
3500 0.8057143 0.82308567 0.84085715 1.0 74.4 81.0 0.9577465 0.98783696 1.0 0.5813953 0.63837206 0.68604654
3600 0.81083333 0.82777774 0.845 1.0 74.6 81.0 0.9444444 0.98507816 1.0 0.5813953 0.64069766 0.68604654
3700 0.8156757 0.8321621 0.8489189 1.0 74.5 81.0 0.9444444 0.9864295 1.0 0.5813953 0.64069766 0.68604654
3800 0.82 0.8360526 0.8523684 1.0 74.3 81.0 0.9444444 0.99052525 1.0 0.5813953 0.6395349 0.68604654
3900 0.82461536 0.8400513 0.855641 1.0 74.4 81.0 0.94871795 0.98941195 1.0 0.5813953 0.6395349 0.68604654
4000 0.829 0.843775 0.85875 1.0 74.2 81.0 0.96103895 0.9920122 1.0 0.5813953 0.6395349 0.68604654
4100 0.8331707 0.847439 0.86219513 1.0 73.9 81.0 0.98550725 0.99601746 1.0 0.5813953 0.6395349 0.68604654
4200 0.8371429 0.85095245 0.8652381 1.0 74.1 81.0 0.98550725 0.9932555 1.0 0.61627907 0.64302325 0.68604654
4300 0.8409302 0.85420924 0.8683721 1.0 74.1 80.0 0.9714286 0.99308234 1.0 0.5813953 0.6395349 0.68604654
4400 0.8443182 0.8573864 0.87113637 1.0 74.1 80.0 0.9714286 0.99319506 1.0 0.5813953 0.6395349 0.68604654
4500 0.8475556 0.8604223 0.874 1.0 73.9 80.0 0.98550725 0.9959362 1.0 0.5813953 0.6395349 0.68604654
4600 0.8502174 0.86328256 0.87652177 1.0 73.8 80.0 0.98550725 0.99719936 1.0 0.5813953 0.6395349 0.68604654
4700 0.8534043 0.8661064 0.8787234 1.0 73.8 80.0 0.9714286 0.9971429 1.0 0.5813953 0.6395349 0.68604654
4800 0.8564583 0.86881244 0.88104165 1.0 73.9 80.0 0.98550725 0.99577075 1.0 0.5813953 0.6395349 0.68604654
4900 0.85918367 0.8713878 0.8832653 1.0 73.8 80.0 0.98550725 0.99719936 1.0 0.5813953 0.64069766 0.68604654
5000 0.862 0.87384003 0.8856 1.0 73.8 80.0 0.98571426 0.99722004 1.0 0.5813953 0.64069766 0.68604654
5100 0.86470586 0.87627447 0.88784313 1.0 73.6 80.0 1.0 1.0 1.0 0.5813953 0.6395349 0.68604654
5200 0.86730766 0.8785192 0.8898077 1.0 73.7 80.0 0.9864865 0.99864864 1.0 0.5813953 0.6395349 0.68604654
5300 0.8698113 0.88077354 0.8918868 1.0 73.6 80.0 1.0 1.0 1.0 0.5813953 0.6395349 0.68604654
5400 0.87222224 0.8829629 0.8937037 1.0 73.6 80.0 1.0 1.0 1.0 0.5813953 0.6395349 0.68604654
5500 0.87454545 0.8850727 0.8954545 1.0 73.7 80.0 0.9866667 0.99866664 1.0 0.5813953 0.6395349 0.68604654
5600 0.8767857 0.8871072 0.8973214 1.0 73.7 80.0 0.9866667 0.99866664 1.0 0.5813953 0.6395349 0.68604654
5700 0.8789474 0.8890702 0.89912283 1.0 73.7 80.0 0.9866667 0.99866664 1.0 0.5813953 0.6395349 0.68604654
5800 0.8810345 0.8909828 0.9008621 1.0 73.7 80.0 0.9866667 0.99866664 1.0 0.5813953 0.6395349 0.68604654
5900 0.88305086 0.8927965 0.90254235 1.0 73.6 80.0 1.0 1.0 1.0 0.5813953 0.6395349 0.68604654
6000 0.885 0.89455 0.90416664 1.0 73.6 80.0 1.0 1.0 1.0 0.5813953 0.6395349 0.68604654
6100 0.8868852 0.8962787 0.9057377 1.0 73.6 80.0 1.0 1.0 1.0 0.5813953 0.6395349 0.68604654
6200 0.88870966 0.8979516 0.9072581 1.0 73.6 80.0 1.0 1.0 1.0 0.5813953 0.6395349 0.68604654
6300 0.89047617 0.8995714 0.90873015 1.0 73.6 80.0 1.0 1.0 1.0 0.5813953 0.6395349 0.68604654
6400 0.8921875 0.9011251 0.91015625 1.0 73.6 80.0 1.0 1.0 1.0 0.5813953 0.6395349 0.68604654
6500 0.89384615 0.90264606 0.9115385 1.0 73.6 80.0 1.0 1.0 1.0 0.5813953 0.6395349 0.68604654
6600 0.8954545 0.904106 0.9127273 1.0 73.6 80.0 1.0 1.0 1.0 0.5813953 0.6395349 0.68604654
6700 0.8970149 0.9055373 0.91402984 1.0 73.6 80.0 1.0 1.0 1.0 0.5813953 0.6395349 0.68604654
6800 0.8985294 0.9069265 0.9152941 1.0 73.6 80.0 1.0 1.0 1.0 0.5813953 0.6395349 0.68604654
6900 0.9 0.9082753 0.9165217 1.0 73.6 80.0 1.0 1.0 1.0 0.5813953 0.6395349 0.68604654
7000 0.9014286 0.9095858 0.9177143 1.0 73.6 80.0 1.0 1.0 1.0 0.5813953 0.6395349 0.68604654
7100 0.9028169 0.9108592 0.91887325 1.0 73.6 80.0 1.0 1.0 1.0 0.5813953 0.6395349 0.68604654
7200 0.90416664 0.9120973 0.92 1.0 73.6 80.0 1.0 1.0 1.0 0.5813953 0.6395349 0.68604654
7300 0.90534246 0.91328764 0.9210959 1.0 73.6 80.0 1.0 1.0 1.0 0.5813953 0.6395349 0.68604654
7400 0.90662163 0.9144594 0.9221622 1.0 73.6 80.0 1.0 1.0 1.0 0.5813953 0.6395349 0.68604654
7500 0.90786666 0.9156 0.9232 1.0 73.6 80.0 1.0 1.0 1.0 0.5813953 0.6395349 0.68604654
7600 0.90907896 0.91671056 0.92421055 1.0 73.6 80.0 1.0 1.0 1.0 0.5813953 0.6395349 0.68604654
7700 0.9102597 0.9177402 0.9251948 1.0 73.7 80.0 0.98550725 0.9985507 1.0 0.5813953 0.6395349 0.68604654
7800 0.9114103 0.91878206 0.92615384 1.0 73.6 80.0 1.0 1.0 1.0 0.5813953 0.6395349 0.68604654
7900 0.9125317 0.9198101 0.9270886 1.0 73.6 80.0 1.0 1.0 1.0 0.5813953 0.6395349 0.68604654
8000 0.913625 0.9208126 0.928 1.0 73.6 80.0 1.0 1.0 1.0 0.5813953 0.6395349 0.68604654
8100 0.9146913 0.9217901 0.9288889 1.0 73.6 80.0 1.0 1.0 1.0 0.5813953 0.6395349 0.68604654
8200 0.9157317 0.9227439 0.9297561 1.0 73.6 80.0 1.0 1.0 1.0 0.5813953 0.6395349 0.68604654
8300 0.916747 0.92366266 0.93060243 1.0 73.6 80.0 1.0 1.0 1.0 0.5813953 0.6395349 0.68604654
8400 0.9177381 0.92457134 0.93142855 1.0 73.6 80.0 1.0 1.0 1.0 0.5813953 0.6395349 0.68604654
8500 0.9187059 0.9254588 0.9322353 1.0 73.6 80.0 1.0 1.0 1.0 0.5813953 0.6395349 0.68604654
8600 0.91965115 0.9263256 0.9330233 1.0 73.6 80.0 1.0 1.0 1.0 0.5813953 0.6395349 0.68604654
8700 0.9205747 0.9271725 0.9337931 1.0 73.6 80.0 1.0 1.0 1.0 0.5813953 0.6395349 0.68604654
8800 0.92147726 0.9280001 0.93454546 1.0 73.6 80.0 1.0 1.0 1.0 0.5813953 0.6395349 0.68604654
8900 0.9223595 0.92880887 0.9352809 1.0 73.6 80.0 1.0 1.0 1.0 0.5813953 0.6395349 0.68604654
9000 0.92322224 0.92960006 0.936 1.0 73.6 80.0 1.0 1.0 1.0 0.5813953 0.6395349 0.68604654
9100 0.92406595 0.93037367 0.9367033 1.0 73.6 80.0 1.0 1.0 1.0 0.5813953 0.6395349 0.68604654
9200 0.9248913 0.9311305 0.9373913 1.0 73.6 80.0 1.0 1.0 1.0 0.5813953 0.6395349 0.68604654
9300 0.92569894 0.93187106 0.9380645 1.0 73.6 80.0 1.0 1.0 1.0 0.5813953 0.6395349 0.68604654
9400 0.92648935 0.93259585 0.9387234 1.0 73.6 80.0 1.0 1.0 1.0 0.5813953 0.6395349 0.68604654
9500 0.92726314 0.93330526 0.9393684 1.0 73.6 80.0 1.0 1.0 1.0 0.5813953 0.6395349 0.68604654
9600 0.92802083 0.934 0.94 1.0 73.6 80.0 1.0 1.0 1.0 0.5813953 0.6395349 0.68604654
9700 0.9287629 0.93468034 0.9406186 1.0 73.6 80.0 1.0 1.0 1.0 0.5813953 0.6395349 0.68604654
9800 0.9294898 0.93534696 0.9412245 1.0 73.6 80.0 1.0 1.0 1.0 0.5813953 0.6395349 0.68604654
9900 0.930202 0.93600005 0.9418182 1.0 73.6 80.0 1.0 1.0 1.0 0.5813953 0.6395349 0.68604654
10000 0.9309 0.9366401 0.9424 1.0 73.6 80.0 1.0 1.0 1.0 0.5813953 0.6395349 0.68604654
