rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 12.9 13.0 0.9230769 0.9615385 1.0 0.069767445 0.08255813 0.093023255
100 0.3 0.365 0.48 1.0 58.9 66.0 0.33333334 0.389062 0.45454547 0.3139535 0.4732558 0.5813953
200 0.37 0.41300002 0.505 1.0 73.0 83.0 0.3493976 0.4034368 0.44594595 0.4883721 0.60465115 0.6976744
300 0.38666666 0.44066674 0.54333335 1.0 78.9 91.0 0.36263737 0.4323671 0.5131579 0.5232558 0.63372093 0.76744187
400 0.4225 0.473 0.57 1.0 79.9 87.0 0.40963855 0.45914626 0.49367088 0.5116279 0.6302326 0.73255813
500 0.456 0.49499997 0.56 1.0 79.5 87.0 0.41860464 0.49918118 0.5769231 0.5813953 0.6569767 0.81395346
600 0.49166667 0.5186666 0.5783333 1.0 76.9 87.0 0.47126436 0.5492271 0.6363636 0.5232558 0.6011628 0.7906977
700 0.51285714 0.53885716 0.5985714 1.0 75.3 82.0 0.5277778 0.5916824 0.6805556 0.5 0.60930234 0.6976744
800 0.545 0.562625 0.60875 1.0 74.7 83.0 0.5479452 0.62194896 0.76119405 0.4651163 0.58488375 0.68604654
900 0.5611111 0.5828889 0.6155556 1.0 75.7 85.0 0.5822785 0.6569507 0.7297297 0.53488374 0.61511624 0.75581396
1000 0.588 0.60249996 0.635 1.0 75.5 80.0 0.5822785 0.67608315 0.74285716 0.5232558 0.6104651 0.7209302
1100 0.60545456 0.6201818 0.65727276 1.0 74.9 82.0 0.6097561 0.6933023 0.7826087 0.5 0.6034884 0.6976744
1200 0.6275 0.6400833 0.68083334 1.0 73.9 79.0 0.6315789 0.7182007 0.7826087 0.5 0.59418607 0.6627907
1300 0.6392308 0.654923 0.6969231 1.0 73.7 81.0 0.6805556 0.73307174 0.78571427 0.4883721 0.59069765 0.6627907
1400 0.6564286 0.6702143 0.7064286 1.0 72.5 80.0 0.7 0.7580318 0.8309859 0.47674417 0.5895349 0.68604654
1500 0.6706667 0.68473333 0.7173333 1.0 71.8 76.0 0.73333335 0.77202666 0.8695652 0.4651163 0.5837209 0.6744186
1600 0.681875 0.6971251 0.728125 1.0 72.1 77.0 0.72727275 0.775905 0.85915494 0.4651163 0.5883721 0.6744186
1700 0.69235295 0.7097059 0.7411765 1.0 71.8 80.0 0.7 0.7885508 0.85915494 0.4883721 0.5930232 0.6976744
1800 0.70555556 0.7225 0.75166667 1.0 72.1 78.0 0.71794873 0.79477465 0.85915494 0.5116279 0.6034883 0.6976744
1900 0.71894735 0.7341579 0.7631579 1.0 72.3 78.0 0.72727275 0.7954578 0.8484849 0.47674417 0.59883714 0.6976744
2000 0.7295 0.7444 0.773 1.0 71.8 79.0 0.7532467 0.80943614 0.875 0.47674417 0.5965116 0.6976744
2100 0.73761904 0.7543334 0.7814286 1.0 72.7 82.0 0.73170733 0.80698824 0.87142855 0.5 0.6058139 0.6976744
2200 0.7459091 0.7632727 0.7895455 1.0 72.2 77.0 0.7532467 0.8141202 0.884058 0.5 0.60930234 0.68604654
2300 0.7547826 0.77156514 0.79565215 1.0 72.4 77.0 0.76623374 0.81828195 0.85915494 0.5 0.6034883 0.6744186
2400 0.7625 0.7794167 0.8016667 1.0 71.7 76.0 0.7763158 0.82636034 0.87142855 0.5 0.60232556 0.6744186
2500 0.7704 0.78708 0.8092 1.0 71.6 77.0 0.76623374 0.8274848 0.884058 0.5 0.5965116 0.6744186
2600 0.7784615 0.79415387 0.81653845 1.0 72.2 77.0 0.76623374 0.82066566 0.86153847 0.5 0.6011628 0.6744186
2700 0.78518516 0.8005185 0.82185185 1.0 71.7 78.0 0.7692308 0.8295802 0.875 0.5 0.6 0.6744186
2800 0.7910714 0.807 0.82785714 1.0 71.7 78.0 0.7692308 0.83116734 0.89855075 0.5116279 0.6034884 0.68604654
2900 0.7982759 0.8130344 0.8334483 1.0 71.7 77.0 0.77922076 0.8310305 0.89855075 0.5 0.6058139 0.68604654
3000 0.80466664 0.81866664 0.8386667 1.0 71.5 76.0 0.7808219 0.8332181 0.89855075 0.5 0.5965116 0.6744186
3100 0.8103226 0.8240323 0.84354836 1.0 71.3 76.0 0.7894737 0.8353812 0.89855075 0.5 0.5988372 0.6744186
3200 0.8153125 0.82906246 0.8478125 1.0 71.5 77.0 0.7894737 0.8331009 0.89855075 0.5232558 0.60232556 0.6744186
3300 0.82 0.8337576 0.85242426 1.0 72.0 78.0 0.7808219 0.82872313 0.8857143 0.5116279 0.6034883 0.6744186
3400 0.8238235 0.8380588 0.85676473 1.0 72.1 79.0 0.7808219 0.8306238 0.89855075 0.5116279 0.6058139 0.6744186
3500 0.8274286 0.84228563 0.86057144 1.0 72.0 79.0 0.7721519 0.8318906 0.89855075 0.5232558 0.6046511 0.6744186
3600 0.83166665 0.8464445 0.86388886 1.0 72.2 79.0 0.7721519 0.82984334 0.8857143 0.5232558 0.6058139 0.6744186
3700 0.83594596 0.8504054 0.8672973 1.0 72.3 79.0 0.7721519 0.8286341 0.875 0.5116279 0.61162794 0.6744186
3800 0.8392105 0.8539737 0.87078947 1.0 72.3 78.0 0.77922076 0.8282779 0.875 0.54651165 0.6093023 0.6744186
3900 0.84307694 0.85756415 0.8741026 1.0 72.3 79.0 0.7721519 0.82846755 0.875 0.5232558 0.6081395 0.6744186
4000 0.84675 0.8609501 0.87675 1.0 72.4 78.0 0.77922076 0.8284815 0.875 0.53488374 0.6104651 0.6744186
4100 0.8502439 0.86419517 0.8797561 1.0 72.2 78.0 0.77922076 0.83089876 0.875 0.5116279 0.6069767 0.6744186
4200 0.85380954 0.867119 0.8819048 1.0 72.1 78.0 0.78205127 0.83167684 0.8630137 0.5116279 0.6069767 0.6744186
4300 0.8572093 0.8700698 0.8846512 1.0 72.0 78.0 0.78205127 0.83298475 0.875 0.5232558 0.6058139 0.6744186
4400 0.86045456 0.87288636 0.8872727 1.0 72.1 78.0 0.78205127 0.83178395 0.875 0.53488374 0.6069767 0.6744186
4500 0.86333334 0.87566674 0.8897778 1.0 72.1 77.0 0.7808219 0.831715 0.875 0.53488374 0.60697675 0.6744186
4600 0.86630434 0.8783696 0.8921739 1.0 72.1 77.0 0.7808219 0.831715 0.875 0.53488374 0.60697675 0.6744186
4700 0.8691489 0.8807872 0.89446807 1.0 71.8 77.0 0.7894737 0.8352515 0.875 0.5116279 0.6034883 0.6744186
4800 0.871875 0.8832083 0.89666665 1.0 71.9 77.0 0.7894737 0.83390534 0.87323946 0.5116279 0.6046511 0.6744186
4900 0.8742857 0.885551 0.8987755 1.0 72.0 77.0 0.7894737 0.834133 0.87323946 0.5116279 0.60581386 0.6744186
5000 0.8768 0.88778 0.9008 1.0 72.0 77.0 0.7894737 0.834133 0.87323946 0.5116279 0.60581386 0.6744186
5100 0.87921566 0.8899215 0.9027451 1.0 72.0 77.0 0.7894737 0.83426636 0.875 0.5116279 0.6046511 0.6744186
5200 0.88153845 0.89196146 0.9046154 1.0 72.1 77.0 0.7894737 0.83292025 0.8630137 0.5116279 0.60581386 0.6744186
5300 0.88377357 0.89396226 0.9064151 1.0 72.0 77.0 0.7894737 0.83426636 0.875 0.5116279 0.6046511 0.6744186
5400 0.88592595 0.8958704 0.90814817 1.0 72.1 78.0 0.7894737 0.83316743 0.875 0.5116279 0.6046511 0.6744186
5500 0.88781816 0.8977273 0.9098182 1.0 72.0 77.0 0.7894737 0.83426636 0.875 0.5116279 0.6046511 0.6744186
5600 0.8898214 0.8995535 0.9114286 1.0 72.1 77.0 0.7894737 0.8345138 0.875 0.5116279 0.6058139 0.68604654
5700 0.8917544 0.9013157 0.91298246 1.0 72.1 77.0 0.7894737 0.8345138 0.875 0.5116279 0.6058139 0.68604654
5800 0.89362067 0.9030172 0.9144828 1.0 72.1 77.0 0.7894737 0.8345138 0.875 0.5116279 0.6058139 0.68604654
5900 0.8954237 0.90462714 0.9159322 1.0 72.2 77.0 0.7894737 0.833403 0.875 0.5116279 0.6069767 0.6976744
6000 0.89716667 0.90620005 0.9173333 1.0 72.3 77.0 0.7894737 0.83365524 0.875 0.5116279 0.6081395 0.7093023
6100 0.89885247 0.90773773 0.91868854 1.0 72.3 77.0 0.7894737 0.83365524 0.875 0.5116279 0.6081395 0.7093023
6200 0.90048385 0.9092096 0.9198387 1.0 72.3 77.0 0.7894737 0.83365524 0.875 0.5116279 0.6081395 0.7093023
6300 0.9020635 0.9106348 0.9211111 1.0 72.2 77.0 0.7894737 0.83475435 0.875 0.5116279 0.6069767 0.6976744
6400 0.9035938 0.912 0.92234373 1.0 72.2 77.0 0.7894737 0.83475435 0.875 0.5116279 0.6069767 0.6976744
6500 0.9050769 0.9133538 0.92353845 1.0 72.2 77.0 0.7894737 0.83475435 0.875 0.5116279 0.6069767 0.6976744
6600 0.9065152 0.91466665 0.924697 1.0 72.2 77.0 0.7894737 0.83475435 0.875 0.5116279 0.6069767 0.6976744
6700 0.90791047 0.9159403 0.9258209 1.0 72.2 77.0 0.7894737 0.83475435 0.875 0.5116279 0.6069767 0.6976744
6800 0.90911764 0.91716176 0.9269118 1.0 72.2 77.0 0.7894737 0.83475435 0.875 0.5116279 0.6069767 0.6976744
6900 0.9104348 0.9183623 0.927971 1.0 72.3 78.0 0.7894737 0.8336555 0.875 0.5116279 0.6069767 0.6976744
7000 0.9117143 0.9195286 0.929 1.0 72.3 78.0 0.7894737 0.8336555 0.875 0.5116279 0.6069767 0.6976744
7100 0.9129577 0.9206338 0.93 1.0 72.2 77.0 0.7894737 0.83475435 0.875 0.5116279 0.6069767 0.6976744
7200 0.9141667 0.9217361 0.9309722 1.0 72.2 77.0 0.7894737 0.83475435 0.875 0.5116279 0.6069767 0.6976744
7300 0.91534245 0.9228082 0.9319178 1.0 72.2 77.0 0.7894737 0.83475435 0.875 0.5116279 0.6069767 0.6976744
7400 0.9164865 0.9238108 0.93283784 1.0 72.2 77.0 0.7894737 0.83475435 0.875 0.5116279 0.6069767 0.6976744
7500 0.9176 0.9248266 0.93373334 1.0 72.2 77.0 0.7894737 0.83475435 0.875 0.5116279 0.6069767 0.6976744
7600 0.9186842 0.9258157 0.93460524 1.0 72.2 77.0 0.7894737 0.83475435 0.875 0.5116279 0.6069767 0.6976744
7700 0.91974026 0.92677927 0.93545455 1.0 72.2 77.0 0.7894737 0.83475435 0.875 0.5116279 0.6069767 0.6976744
7800 0.9207692 0.927718 0.93628204 1.0 72.2 77.0 0.7894737 0.83475435 0.875 0.5116279 0.6069767 0.6976744
7900 0.9217721 0.92860764 0.9370886 1.0 72.2 77.0 0.7894737 0.83475435 0.875 0.5116279 0.6069767 0.6976744
8000 0.92275 0.9294999 0.937875 1.0 72.2 77.0 0.7894737 0.83475435 0.875 0.5116279 0.6069767 0.6976744
8100 0.92370373 0.93037045 0.93864197 1.0 72.2 77.0 0.7894737 0.83475435 0.875 0.5116279 0.6069767 0.6976744
8200 0.92463416 0.93120736 0.93939024 1.0 72.2 77.0 0.7894737 0.83475435 0.875 0.5116279 0.6069767 0.6976744
8300 0.9255422 0.9320361 0.94012046 1.0 72.2 77.0 0.7894737 0.83475435 0.875 0.5116279 0.6069767 0.6976744
8400 0.92642856 0.9328334 0.94083333 1.0 72.2 77.0 0.7894737 0.83475435 0.875 0.5116279 0.6069767 0.6976744
8500 0.92729414 0.9336236 0.9415294 1.0 72.2 77.0 0.7894737 0.83475435 0.875 0.5116279 0.6069767 0.6976744
8600 0.9281395 0.9343953 0.9422093 1.0 72.2 77.0 0.7894737 0.83475435 0.875 0.5116279 0.6069767 0.6976744
8700 0.9289655 0.9351494 0.94287354 1.0 72.3 78.0 0.78205127 0.8337387 0.875 0.5116279 0.6081395 0.6976744
8800 0.92965907 0.93587494 0.94352275 1.0 72.2 77.0 0.7894737 0.83475435 0.875 0.5116279 0.6069767 0.6976744
8900 0.9304494 0.93659544 0.9441573 1.0 72.2 77.0 0.7894737 0.83475435 0.875 0.5116279 0.6069767 0.6976744
9000 0.9312222 0.9372778 0.9447778 1.0 72.2 77.0 0.7894737 0.83475435 0.875 0.5116279 0.6069767 0.6976744
9100 0.93197805 0.937967 0.9453846 1.0 72.2 77.0 0.7894737 0.83475435 0.875 0.5116279 0.6069767 0.6976744
9200 0.9327174 0.93863046 0.9459783 1.0 72.3 77.0 0.7894737 0.83356726 0.875 0.5116279 0.6069767 0.6976744
9300 0.93344086 0.93929034 0.94655913 1.0 72.3 77.0 0.7894737 0.83356726 0.875 0.5116279 0.6069767 0.6976744
9400 0.9341489 0.93993616 0.94712764 1.0 72.3 77.0 0.7894737 0.83356726 0.875 0.5116279 0.6069767 0.6976744
9500 0.9348421 0.9405683 0.9476842 1.0 72.3 77.0 0.7894737 0.83356726 0.875 0.5116279 0.6069767 0.6976744
9600 0.9355208 0.9411875 0.9482292 1.0 72.3 77.0 0.7894737 0.83356726 0.875 0.5116279 0.6069767 0.6976744
