rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 54.6 55.0 0.10909091 0.109899 0.11111111 0.8372093 0.88720924 0.95348835
2 0.0 0.35 1.0 1.0 55.0 56.0 0.10714286 0.10911256 0.11111111 0.8372093 0.8837209 0.95348835
3 0.0 0.26666668 0.6666667 1.0 55.9 57.0 0.10526316 0.11278025 0.12727273 0.8255814 0.88255817 0.95348835
4 0.0 0.35 0.75 1.0 56.3 58.0 0.10344828 0.11200352 0.12727273 0.8255814 0.88255817 0.95348835
5 0.0 0.34 0.6 1.0 57.0 58.0 0.10344828 0.110584654 0.125 0.8255814 0.8732557 0.95348835
6 0.0 0.31666666 0.6666667 1.0 57.5 59.0 0.10169491 0.1096704 0.125 0.8255814 0.872093 0.94186044
7 0.14285715 0.3142857 0.5714286 1.0 58.0 60.0 0.1 0.1104004 0.12280702 0.8255814 0.872093 0.94186044
8 0.125 0.3125 0.625 1.0 58.7 61.0 0.09836066 0.10915589 0.12280702 0.8255814 0.872093 0.94186044
9 0.11111111 0.33333334 0.6666667 1.0 59.1 62.0 0.09677419 0.11180127 0.13114753 0.8255814 0.872093 0.94186044
10 0.1 0.34 0.7 1.0 59.7 63.0 0.0952381 0.114017606 0.14516129 0.81395346 0.86860466 0.94186044
11 0.09090909 0.35454544 0.6363636 1.0 60.2 63.0 0.0952381 0.11464111 0.15254237 0.81395346 0.86744183 0.94186044
12 0.083333336 0.35000002 0.5833333 1.0 60.8 64.0 0.09375 0.11351253 0.15254237 0.81395346 0.8697675 0.96511626
13 0.15384616 0.3461539 0.53846157 1.0 61.2 64.0 0.09375 0.11282271 0.15254237 0.7906977 0.8569768 0.94186044
14 0.14285715 0.35 0.5714286 1.0 61.4 64.0 0.09375 0.11097528 0.15254237 0.7906977 0.855814 0.94186044
15 0.13333334 0.34666666 0.6 1.0 61.9 65.0 0.09375 0.11166545 0.16666667 0.7906977 0.855814 0.94186044
16 0.125 0.35 0.5625 1.0 62.4 66.0 0.092307694 0.113985226 0.16666667 0.7906977 0.855814 0.94186044
