rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 54.2 55.0 0.10909091 0.11252526 0.12727273 0.81395346 0.88255805 0.95348835
2 0.0 0.35 1.0 1.0 54.3 56.0 0.10909091 0.11229799 0.125 0.81395346 0.877907 0.95348835
3 0.0 0.3 0.6666667 1.0 54.9 57.0 0.10909091 0.12015949 0.12727273 0.8023256 0.87441856 0.95348835
4 0.0 0.35 0.75 1.0 55.1 58.0 0.10909091 0.12156391 0.12727273 0.7906977 0.87325585 0.95348835
5 0.0 0.32000002 0.6 1.0 55.3 58.0 0.10909091 0.1229528 0.12727273 0.7906977 0.8616279 0.95348835
6 0.0 0.3 0.6666667 1.0 55.5 58.0 0.10909091 0.12788787 0.14545454 0.7906977 0.8581395 0.94186044
7 0.0 0.3142857 0.5714286 1.0 55.6 58.0 0.11111111 0.1293977 0.14545454 0.7790698 0.85465115 0.94186044
8 0.0 0.3125 0.625 1.0 55.7 58.0 0.11111111 0.13095614 0.14545454 0.76744187 0.83953494 0.94186044
9 0.0 0.3555556 0.6666667 1.0 56.0 58.0 0.10909091 0.13215098 0.14545454 0.76744187 0.83953494 0.94186044
10 0.0 0.36 0.7 1.0 56.4 58.0 0.10909091 0.13655989 0.15789473 0.76744187 0.8360465 0.9186047
11 0.09090909 0.35454544 0.6363636 1.0 56.5 58.0 0.10909091 0.13810362 0.16071428 0.76744187 0.8313953 0.9186047
12 0.083333336 0.34166664 0.5833333 1.0 56.3 59.0 0.10909091 0.14032844 0.16363636 0.74418604 0.8255814 0.90697676
13 0.07692308 0.33846155 0.53846157 1.0 56.6 59.0 0.12068965 0.1413965 0.16363636 0.73255813 0.81046504 0.90697676
14 0.14285715 0.34285712 0.5714286 1.0 56.8 59.0 0.12068965 0.14092657 0.16363636 0.73255813 0.8058139 0.90697676
15 0.13333334 0.34666666 0.6 1.0 56.8 59.0 0.12068965 0.14276302 0.18181819 0.73255813 0.80116284 0.88372093
16 0.125 0.34375 0.625 1.0 56.8 59.0 0.12068965 0.14451638 0.18181819 0.73255813 0.7953489 0.872093
17 0.11764706 0.34117645 0.64705884 1.0 56.6 59.0 0.12068965 0.14698473 0.18518518 0.73255813 0.7953489 0.872093
18 0.16666667 0.34444448 0.6111111 1.0 56.6 59.0 0.12068965 0.14698473 0.18518518 0.6976744 0.7872094 0.872093
19 0.15789473 0.34210527 0.57894737 1.0 56.7 59.0 0.12068965 0.14837214 0.18181819 0.6976744 0.7813954 0.872093
20 0.15 0.33999997 0.55 1.0 56.4 59.0 0.12068965 0.14924884 0.18181819 0.68604654 0.7744186 0.872093
21 0.1904762 0.34285718 0.5714286 1.0 56.6 59.0 0.12068965 0.14854813 0.1754386 0.68604654 0.772093 0.872093
22 0.18181819 0.34545454 0.54545456 1.0 57.0 59.0 0.118644066 0.15260902 0.18965517 0.6976744 0.76976746 0.872093
23 0.2173913 0.3347826 0.5217391 1.0 57.2 59.0 0.118644066 0.15385303 0.18965517 0.68604654 0.7697674 0.872093
24 0.20833333 0.32916665 0.5 1.0 57.2 60.0 0.125 0.15734914 0.20689656 0.68604654 0.76744187 0.8604651
25 0.2 0.332 0.48 1.0 57.1 60.0 0.125 0.15939784 0.20689656 0.6744186 0.7593023 0.8604651
26 0.1923077 0.32692307 0.46153846 1.0 57.1 60.0 0.125 0.16282281 0.20689656 0.6744186 0.75581396 0.872093
27 0.18518518 0.32592592 0.44444445 1.0 57.2 60.0 0.12727273 0.16251485 0.20689656 0.6744186 0.74651164 0.872093
28 0.17857143 0.3321429 0.42857143 1.0 57.2 60.0 0.12962963 0.16581893 0.22033899 0.6744186 0.7418605 0.872093
29 0.20689656 0.33103448 0.41379312 1.0 57.4 60.0 0.12727273 0.16688268 0.23333333 0.6744186 0.73720926 0.872093
30 0.2 0.33666667 0.43333334 1.0 57.2 60.0 0.12727273 0.16566756 0.23333333 0.6744186 0.73255813 0.8488372
31 0.22580644 0.33548388 0.4516129 1.0 57.1 60.0 0.12727273 0.16587055 0.23333333 0.6744186 0.72790694 0.81395346
32 0.21875 0.334375 0.4375 1.0 57.3 61.0 0.14035088 0.17033866 0.24590164 0.627907 0.71976745 0.81395346
33 0.21212122 0.33636364 0.42424244 1.0 57.1 61.0 0.14285715 0.17084903 0.24590164 0.627907 0.71627903 0.7906977
34 0.20588236 0.3382353 0.44117647 1.0 56.7 61.0 0.14545454 0.17197728 0.24590164 0.5813953 0.7081395 0.7906977
35 0.22857143 0.34 0.42857143 1.0 56.8 61.0 0.14545454 0.17496088 0.26229507 0.5813953 0.7023255 0.76744187
