rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 53.3 54.0 0.11111111 0.112578616 0.11320755 0.8372093 0.88139534 0.95348835
2 0.0 0.25 0.5 1.0 52.5 53.0 0.11320755 0.11429609 0.115384616 0.8023256 0.86860466 0.94186044
3 0.0 0.26666668 0.6666667 1.0 51.8 53.0 0.11320755 0.11585419 0.11764706 0.75581396 0.85465115 0.9186047
4 0.0 0.35 0.75 1.0 51.4 53.0 0.11320755 0.11676873 0.12 0.73255813 0.8418605 0.9186047
5 0.0 0.32 0.6 1.0 50.6 52.0 0.115384616 0.11863458 0.12244898 0.7093023 0.8290698 0.9186047
6 0.0 0.31666666 0.5 1.0 49.9 51.0 0.11764706 0.12029352 0.125 0.7093023 0.8209302 0.9186047
7 0.14285715 0.31428573 0.5714286 1.0 49.2 51.0 0.11764706 0.12201921 0.125 0.6744186 0.80930233 0.9186047
8 0.125 0.325 0.5 1.0 48.6 50.0 0.12 0.12353257 0.12765957 0.6744186 0.7906977 0.88372093
9 0.11111111 0.36666667 0.5555556 1.0 48.3 50.0 0.12 0.1243427 0.13043478 0.6744186 0.7872093 0.88372093
10 0.1 0.37 0.6 1.0 47.7 50.0 0.12 0.12595569 0.13333334 0.6744186 0.7825581 0.88372093
11 0.09090909 0.3545455 0.54545456 1.0 46.9 49.0 0.12244898 0.12807983 0.13636364 0.6511628 0.772093 0.88372093
12 0.083333336 0.35 0.5833333 1.0 46.2 49.0 0.12244898 0.1300784 0.13953489 0.627907 0.76511633 0.872093
13 0.07692308 0.3538462 0.61538464 1.0 45.6 49.0 0.12244898 0.13183862 0.14285715 0.627907 0.7523256 0.872093
14 0.071428575 0.35 0.5714286 1.0 44.9 48.0 0.125 0.13389403 0.14634146 0.60465115 0.7430232 0.9186047
15 0.06666667 0.34666666 0.53333336 1.0 44.2 47.0 0.12765957 0.13604385 0.15 0.5813953 0.7267442 0.88372093
16 0.125 0.34375 0.5 1.0 43.5 46.0 0.13043478 0.13821682 0.15 0.5232558 0.71511626 0.88372093
17 0.11764706 0.34705883 0.47058824 1.0 42.9 45.0 0.13333334 0.14013354 0.15384616 0.5232558 0.7127907 0.88372093
18 0.11111111 0.34444445 0.5 1.0 42.2 45.0 0.13333334 0.1425232 0.15789473 0.4883721 0.69534886 0.90697676
19 0.10526316 0.33684212 0.47368422 1.0 41.4 44.0 0.13636364 0.14528582 0.16216215 0.4883721 0.6848837 0.88372093
20 0.15 0.33499998 0.45 1.0 40.7 43.0 0.13953489 0.14775237 0.16216215 0.4883721 0.6639534 0.8255814
21 0.14285715 0.33809525 0.42857143 1.0 40.1 42.0 0.14285715 0.1499662 0.16666667 0.47674417 0.65116274 0.8255814
22 0.13636364 0.3318182 0.45454547 1.0 39.3 42.0 0.14285715 0.15312335 0.17142858 0.4651163 0.63372093 0.8255814
23 0.17391305 0.3217391 0.4347826 1.0 38.4 41.0 0.14634146 0.15664221 0.17142858 0.45348838 0.6139535 0.8023256
24 0.16666667 0.31666666 0.45833334 1.0 37.6 41.0 0.14634146 0.16008186 0.1764706 0.44186047 0.6058139 0.7906977
25 0.16 0.31599998 0.44 1.0 36.9 40.0 0.15 0.16314903 0.18181819 0.43023255 0.58255816 0.75581396
26 0.15384616 0.31153846 0.42307693 1.0 36.1 39.0 0.15384616 0.16684479 0.1875 0.43023255 0.5755814 0.75581396
27 0.14814815 0.31111112 0.4074074 1.0 35.4 38.0 0.15789473 0.1702835 0.19354838 0.43023255 0.5604651 0.73255813
28 0.14285715 0.3214286 0.42857143 1.0 35.0 38.0 0.15789473 0.17228204 0.2 0.43023255 0.5523256 0.73255813
29 0.1724138 0.32068965 0.41379312 1.0 34.3 37.0 0.16216215 0.17566931 0.2 0.43023255 0.53255814 0.6744186
30 0.2 0.33 0.4 1.0 33.9 36.0 0.16666667 0.17770982 0.2 0.43023255 0.522093 0.6511628
31 0.22580644 0.34193546 0.41935483 1.0 33.6 36.0 0.16666667 0.17923038 0.2 0.43023255 0.51860464 0.6511628
32 0.21875 0.346875 0.4375 1.0 33.1 36.0 0.16666667 0.18203679 0.20689656 0.43023255 0.50581396 0.6511628
33 0.24242425 0.35151514 0.42424244 1.0 32.6 35.0 0.17142858 0.18480194 0.20689656 0.41860464 0.4895349 0.6511628
34 0.23529412 0.3647059 0.44117647 1.0 32.4 35.0 0.17142858 0.18607561 0.21428572 0.41860464 0.48720932 0.6511628
35 0.22857143 0.36857146 0.45714286 1.0 31.9 35.0 0.17142858 0.1890507 0.22222222 0.41860464 0.4755814 0.627907
36 0.22222222 0.36944446 0.44444445 1.0 31.3 34.0 0.1764706 0.19284737 0.23076923 0.40697673 0.47209302 0.627907
37 0.21621622 0.372973 0.45945945 1.0 30.8 34.0 0.1764706 0.19620451 0.24 0.39534885 0.46279067 0.59302324
38 0.23684211 0.37631577 0.47368422 1.0 30.3 34.0 0.1764706 0.19937013 0.24 0.38372093 0.45697674 0.5697674
39 0.23076923 0.3820513 0.4871795 1.0 29.9 34.0 0.1764706 0.20245829 0.25 0.37209302 0.45116282 0.5697674
40 0.25 0.38499996 0.5 1.0 29.4 34.0 0.1764706 0.20574169 0.25 0.3488372 0.4360465 0.5232558
41 0.24390244 0.38536587 0.5121951 1.0 28.8 34.0 0.1764706 0.21034119 0.26086956 0.3372093 0.42674416 0.5232558
42 0.26190478 0.38571426 0.5 1.0 28.2 33.0 0.18181819 0.21449403 0.26086956 0.3372093 0.41976744 0.5
43 0.27906978 0.38837206 0.4883721 1.0 27.7 32.0 0.1875 0.21826856 0.26086956 0.3372093 0.40697676 0.5
44 0.29545453 0.38863635 0.47727272 1.0 27.1 31.0 0.19354838 0.22312269 0.26086956 0.3255814 0.39302322 0.4883721
45 0.31111112 0.39777774 0.46666667 1.0 26.9 30.0 0.2 0.22476788 0.26086956 0.3255814 0.38720927 0.4883721
46 0.3043478 0.4 0.47826087 1.0 26.4 30.0 0.2 0.22971484 0.27272728 0.3255814 0.3837209 0.4883721
47 0.31914893 0.4042553 0.4893617 1.0 26.0 30.0 0.2 0.23379579 0.27272728 0.3255814 0.3802325 0.4883721
48 0.3125 0.4041667 0.47916666 1.0 25.4 29.0 0.20689656 0.23922391 0.2857143 0.30232558 0.3732558 0.4883721
49 0.3265306 0.4081633 0.46938777 1.0 25.0 28.0 0.21428572 0.24249539 0.2857143 0.30232558 0.36279064 0.4651163
50 0.32 0.40800005 0.48 1.0 24.4 28.0 0.21428572 0.24879411 0.3 0.26744187 0.3511628 0.45348838
51 0.33333334 0.41372547 0.47058824 1.0 24.1 27.0 0.22222222 0.25159776 0.3 0.26744187 0.34418604 0.45348838
52 0.34615386 0.41538462 0.48076922 1.0 23.6 27.0 0.22222222 0.25639412 0.3 0.26744187 0.33953488 0.43023255
53 0.35849056 0.4188679 0.49056605 1.0 23.2 27.0 0.22222222 0.2606769 0.3 0.26744187 0.33255813 0.41860464
54 0.37037036 0.4259259 0.5 1.0 23.0 27.0 0.22222222 0.2629756 0.3 0.26744187 0.3232558 0.40697673
55 0.38181818 0.42909092 0.5090909 1.0 22.6 27.0 0.22222222 0.26756892 0.3 0.24418604 0.31046513 0.40697673
56 0.39285713 0.43214282 0.51785713 1.0 22.2 27.0 0.22222222 0.27225327 0.3 0.24418604 0.30813953 0.40697673
57 0.3859649 0.4385965 0.5263158 1.0 22.0 27.0 0.22222222 0.2752608 0.31578946 0.24418604 0.30813953 0.40697673
58 0.37931034 0.44310346 0.5344828 1.0 21.7 27.0 0.22222222 0.2795307 0.33333334 0.23255815 0.29767442 0.40697673
59 0.3898305 0.4525424 0.5423729 1.0 21.7 27.0 0.22222222 0.2795307 0.33333334 0.23255815 0.29767442 0.40697673
60 0.4 0.45499998 0.53333336 1.0 21.3 26.0 0.23076923 0.2843359 0.33333334 0.23255815 0.28604653 0.39534885
61 0.40983605 0.46229511 0.5409836 1.0 21.2 26.0 0.23076923 0.2856346 0.33333334 0.23255815 0.28604653 0.39534885
62 0.41935483 0.4709677 0.5483871 1.0 21.2 26.0 0.23076923 0.2856346 0.33333334 0.23255815 0.28720933 0.39534885
63 0.42857143 0.47142857 0.53968257 1.0 20.7 25.0 0.24 0.29222512 0.33333334 0.23255815 0.27790698 0.37209302
64 0.4375 0.4796875 0.546875 1.0 20.7 25.0 0.24 0.29222512 0.33333334 0.23255815 0.27790698 0.37209302
65 0.44615385 0.4846154 0.5538462 1.0 20.5 25.0 0.24 0.29523265 0.33333334 0.23255815 0.2767442 0.37209302
66 0.45454547 0.4909091 0.56060606 1.0 20.4 25.0 0.24 0.29681158 0.33333334 0.23255815 0.2767442 0.37209302
67 0.46268657 0.49253732 0.5522388 1.0 20.0 24.0 0.25 0.3024231 0.33333334 0.20930232 0.26860467 0.37209302
68 0.45588234 0.49411765 0.5588235 1.0 19.6 24.0 0.25 0.30897036 0.3529412 0.18604651 0.255814 0.37209302
69 0.46376812 0.4985507 0.5652174 1.0 19.4 24.0 0.25 0.311848 0.3529412 0.18604651 0.24883723 0.3372093
70 0.47142857 0.5028571 0.5714286 1.0 19.2 24.0 0.25 0.31538776 0.3529412 0.18604651 0.24418607 0.3372093
71 0.47887325 0.5056338 0.57746476 1.0 18.9 24.0 0.25 0.32032508 0.3529412 0.18604651 0.24418607 0.3372093
72 0.4722222 0.5083333 0.5694444 1.0 18.6 23.0 0.26086956 0.32519686 0.375 0.18604651 0.24302325 0.3255814
73 0.47945204 0.5095891 0.56164384 1.0 18.2 22.0 0.27272728 0.33205858 0.375 0.18604651 0.23488374 0.3255814
74 0.4864865 0.51216215 0.5675676 1.0 17.9 22.0 0.27272728 0.33843115 0.375 0.18604651 0.23023257 0.3255814
75 0.49333334 0.5186666 0.5733333 1.0 17.9 22.0 0.27272728 0.33843115 0.375 0.1744186 0.22906978 0.3255814
76 0.5 0.5210526 0.56578946 1.0 17.6 21.0 0.2857143 0.3432386 0.375 0.1744186 0.22093025 0.3255814
77 0.4935065 0.52597404 0.5714286 1.0 17.5 21.0 0.2857143 0.3457386 0.4 0.1744186 0.22093025 0.3255814
78 0.4871795 0.52948713 0.5769231 1.0 17.3 21.0 0.2857143 0.35055655 0.42857143 0.1627907 0.21976745 0.3255814
79 0.49367088 0.5303798 0.5822785 1.0 16.9 21.0 0.2857143 0.3592227 0.42857143 0.1627907 0.21162792 0.30232558
