rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.11313131 0.12727273 0.8372093 0.8883721 0.95348835
2 0.0 0.25 0.5 1.0 55.5 57.0 0.10714286 0.1117035 0.12727273 0.8372093 0.883721 0.95348835
3 0.0 0.23333332 0.6666667 1.0 56.5 59.0 0.10526316 0.118551016 0.14285715 0.8255814 0.88488376 0.95348835
4 0.0 0.275 0.5 1.0 57.0 60.0 0.10526316 0.11923876 0.14035088 0.8372093 0.8848837 0.95348835
5 0.0 0.28000003 0.6 1.0 57.8 60.0 0.10344828 0.12274585 0.14035088 0.8372093 0.87674415 0.95348835
6 0.0 0.28333333 0.5 1.0 58.6 60.0 0.10169491 0.126191 0.15517241 0.8372093 0.8755814 0.95348835
7 0.0 0.28571433 0.42857143 1.0 59.3 61.0 0.10169491 0.12815045 0.15517241 0.8372093 0.87674415 0.94186044
8 0.0 0.2875 0.5 1.0 60.2 64.0 0.10169491 0.12803482 0.15254237 0.8255814 0.87325585 0.94186044
9 0.0 0.32222223 0.5555556 1.0 60.5 64.0 0.1 0.13065082 0.15254237 0.8255814 0.87325585 0.94186044
10 0.0 0.33 0.6 1.0 61.1 64.0 0.09836066 0.13432877 0.16393442 0.8372093 0.877907 0.94186044
11 0.09090909 0.33636364 0.54545456 1.0 61.8 65.0 0.09836066 0.13435142 0.16129032 0.8372093 0.87558144 0.94186044
12 0.083333336 0.325 0.5 1.0 62.3 66.0 0.09836066 0.1348582 0.15873016 0.8255814 0.8732559 0.9302326
13 0.07692308 0.33076924 0.46153846 1.0 62.8 66.0 0.11290322 0.13546847 0.15873016 0.81395346 0.8639535 0.9302326
14 0.14285715 0.34285715 0.5 1.0 63.2 66.0 0.11111111 0.13465436 0.15873016 0.81395346 0.8639535 0.9302326
15 0.13333334 0.34666666 0.53333336 1.0 63.7 67.0 0.109375 0.13367924 0.16393442 0.81395346 0.86162794 0.90697676
16 0.125 0.3375 0.5 1.0 64.5 68.0 0.10769231 0.13510218 0.16129032 0.81395346 0.8662791 0.90697676
