rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 54.6 56.0 0.10714286 0.11172439 0.12727273 0.8372093 0.88720924 0.95348835
2 0.0 0.3 1.0 1.0 54.9 57.0 0.10714286 0.111083016 0.12280702 0.8372093 0.88255817 0.95348835
3 0.0 0.3 0.6666667 1.0 55.7 59.0 0.10714286 0.118445255 0.14285715 0.8255814 0.88139534 0.95348835
4 0.0 0.35 0.75 1.0 56.0 60.0 0.10714286 0.11958666 0.14285715 0.8255814 0.8790698 0.95348835
5 0.0 0.34 0.6 1.0 56.4 61.0 0.10714286 0.12051894 0.13793103 0.8255814 0.8697675 0.95348835
6 0.0 0.31666666 0.6666667 1.0 56.8 61.0 0.10526316 0.124846354 0.14285715 0.81395346 0.8662791 0.95348835
7 0.0 0.31428573 0.5714286 1.0 57.3 62.0 0.10714286 0.1271996 0.15254237 0.81395346 0.8651163 0.94186044
8 0.0 0.3125 0.625 1.0 57.8 64.0 0.10714286 0.13108447 0.15625 0.81395346 0.85930234 0.94186044
9 0.0 0.3555556 0.6666667 1.0 58.1 64.0 0.10526316 0.1321823 0.15625 0.81395346 0.85930234 0.94186044
10 0.1 0.37 0.7 1.0 58.3 64.0 0.10526316 0.13515808 0.15625 0.8023256 0.85813963 0.94186044
11 0.18181819 0.3909091 0.72727275 1.0 58.5 64.0 0.10526316 0.13638958 0.15625 0.8023256 0.8511628 0.94186044
12 0.16666667 0.375 0.6666667 1.0 58.6 65.0 0.10526316 0.1377727 0.16666667 0.7906977 0.8441861 0.9302326
13 0.15384616 0.3769231 0.61538464 1.0 58.8 65.0 0.118644066 0.13917127 0.16666667 0.7790698 0.833721 0.9186047
14 0.14285715 0.37142855 0.64285713 1.0 59.5 65.0 0.114754096 0.13596717 0.16666667 0.7790698 0.8290698 0.9186047
15 0.2 0.38000005 0.6666667 1.0 59.6 65.0 0.114754096 0.13747157 0.1724138 0.7790698 0.82790697 0.89534885
16 0.1875 0.3875 0.6875 1.0 59.7 65.0 0.114754096 0.13718739 0.1724138 0.75581396 0.82441866 0.89534885
17 0.1764706 0.3882353 0.7058824 1.0 59.5 66.0 0.114754096 0.13941589 0.1754386 0.75581396 0.82441866 0.89534885
18 0.16666667 0.38333336 0.6666667 1.0 59.6 67.0 0.114754096 0.1392102 0.1754386 0.74418604 0.80930233 0.89534885
19 0.15789473 0.37368423 0.6315789 1.0 59.8 67.0 0.12068965 0.14024815 0.16949153 0.74418604 0.80581397 0.89534885
20 0.2 0.38000003 0.65 1.0 59.8 68.0 0.12068965 0.1402404 0.16949153 0.7209302 0.80116284 0.89534885
21 0.23809524 0.3952381 0.6666667 1.0 59.8 68.0 0.12068965 0.13850982 0.15517241 0.7209302 0.7976745 0.89534885
22 0.22727273 0.3909091 0.6363636 1.0 60.8 69.0 0.118644066 0.14089939 0.1594203 0.7209302 0.7965116 0.89534885
23 0.2173913 0.373913 0.6086956 1.0 61.4 70.0 0.118644066 0.14118174 0.15873016 0.7209302 0.7965116 0.89534885
24 0.20833333 0.37499997 0.5833333 1.0 61.5 70.0 0.118644066 0.14263074 0.15873016 0.7209302 0.7953488 0.89534885
25 0.24 0.376 0.56 1.0 62.0 71.0 0.118644066 0.1446809 0.15873016 0.7093023 0.7895349 0.89534885
26 0.23076923 0.3692308 0.53846157 1.0 62.5 71.0 0.11666667 0.1450641 0.16923077 0.6976744 0.78604656 0.89534885
27 0.22222222 0.362963 0.5185185 1.0 63.3 71.0 0.11666667 0.143436 0.16923077 0.6976744 0.78023255 0.89534885
28 0.21428572 0.35357141 0.53571427 1.0 63.4 71.0 0.11666667 0.14477189 0.17460318 0.6976744 0.7744186 0.89534885
29 0.20689656 0.35172415 0.51724136 1.0 63.7 71.0 0.11290322 0.14568524 0.1875 0.6976744 0.7709302 0.89534885
30 0.2 0.35666668 0.53333336 1.0 63.9 73.0 0.11290322 0.14378496 0.1875 0.6976744 0.76860464 0.872093
31 0.19354838 0.3580645 0.5483871 1.0 63.9 72.0 0.11290322 0.14527568 0.203125 0.6976744 0.7651163 0.8488372
32 0.1875 0.35625 0.5625 1.0 64.1 72.0 0.12068965 0.14782138 0.21212122 0.6976744 0.7593023 0.8488372
33 0.18181819 0.36060604 0.54545456 1.0 64.0 71.0 0.12068965 0.14800546 0.21212122 0.6976744 0.7581395 0.8488372
34 0.1764706 0.35882354 0.5294118 1.0 63.8 70.0 0.12068965 0.14999102 0.21212122 0.6976744 0.7581395 0.8488372
35 0.2 0.36 0.54285717 1.0 64.1 70.0 0.12280702 0.15219386 0.2238806 0.6976744 0.75232553 0.8488372
36 0.22222222 0.3611111 0.5277778 1.0 64.3 70.0 0.118644066 0.15181313 0.2238806 0.6976744 0.7569767 0.8488372
37 0.24324325 0.3648649 0.5135135 1.0 64.2 70.0 0.118644066 0.15215234 0.22727273 0.68604654 0.75348836 0.8488372
38 0.23684211 0.35789472 0.5 1.0 64.7 70.0 0.118644066 0.15397796 0.22058824 0.68604654 0.7546511 0.8372093
39 0.23076923 0.36153847 0.51282054 1.0 65.0 71.0 0.118644066 0.15331456 0.22058824 0.68604654 0.75581396 0.8372093
40 0.25 0.3675 0.5 1.0 65.2 71.0 0.11666667 0.15129079 0.22058824 0.6976744 0.75813955 0.8255814
41 0.24390244 0.36585367 0.4878049 1.0 65.2 71.0 0.118644066 0.15266545 0.2173913 0.7209302 0.75581396 0.8255814
42 0.23809524 0.3619048 0.47619048 1.0 65.4 71.0 0.12698413 0.15383554 0.2173913 0.7093023 0.7546512 0.8255814
43 0.23255815 0.35813954 0.4651163 1.0 65.7 71.0 0.13846155 0.15796347 0.2173913 0.7093023 0.7546512 0.8255814
44 0.22727273 0.35227275 0.45454547 1.0 66.2 71.0 0.14285715 0.16305545 0.2173913 0.68604654 0.75 0.8255814
45 0.22222222 0.35777777 0.46666667 1.0 66.1 71.0 0.14285715 0.16332826 0.2173913 0.6744186 0.74418604 0.81395346
46 0.2173913 0.35869566 0.47826087 1.0 66.0 71.0 0.12903225 0.16331072 0.21428572 0.6744186 0.7430233 0.81395346
47 0.21276596 0.35531914 0.4680851 1.0 66.4 72.0 0.14285715 0.16710033 0.22857143 0.6744186 0.7430232 0.8255814
48 0.20833333 0.35416663 0.45833334 1.0 66.6 73.0 0.14285715 0.16810834 0.22857143 0.6744186 0.7406976 0.8255814
49 0.20408164 0.3510204 0.4489796 1.0 66.8 74.0 0.14285715 0.1704013 0.22857143 0.6744186 0.7395348 0.81395346
50 0.2 0.35200006 0.46 1.0 67.2 74.0 0.1388889 0.1694832 0.22857143 0.6744186 0.73488367 0.81395346
51 0.19607843 0.35490197 0.47058824 1.0 67.4 75.0 0.1388889 0.1717895 0.22857143 0.6744186 0.73488367 0.81395346
52 0.21153846 0.35192308 0.46153846 1.0 68.0 78.0 0.13513513 0.17049237 0.23188406 0.6744186 0.7302325 0.81395346
53 0.20754717 0.3584906 0.4716981 1.0 68.2 78.0 0.13513513 0.16992868 0.23188406 0.6744186 0.72790694 0.81395346
54 0.2037037 0.35555553 0.46296296 1.0 68.3 79.0 0.12987013 0.16581938 0.23188406 0.68604654 0.7267441 0.81395346
55 0.21818182 0.3527273 0.45454547 1.0 68.5 79.0 0.13157895 0.16675477 0.22857143 0.68604654 0.72558135 0.81395346
56 0.21428572 0.35 0.4642857 1.0 69.1 79.0 0.12987013 0.16816357 0.23943663 0.6627907 0.7232558 0.81395346
57 0.21052632 0.34736842 0.47368422 1.0 69.3 78.0 0.12987013 0.16909663 0.2535211 0.6627907 0.7186047 0.81395346
58 0.20689656 0.34655172 0.46551725 1.0 69.7 79.0 0.12987013 0.17080474 0.26027396 0.6627907 0.71744186 0.81395346
59 0.20338982 0.34915257 0.47457626 1.0 69.9 80.0 0.12987013 0.170392 0.26027396 0.6627907 0.7186047 0.81395346
60 0.2 0.35333332 0.48333332 1.0 70.3 80.0 0.12987013 0.1680653 0.24657534 0.6627907 0.71511626 0.81395346
61 0.19672132 0.35245904 0.4918033 1.0 70.3 80.0 0.13043478 0.16951571 0.24657534 0.6627907 0.71279067 0.81395346
62 0.20967741 0.35483873 0.48387095 1.0 70.5 80.0 0.13043478 0.16904928 0.24657534 0.6627907 0.71162784 0.81395346
63 0.20634921 0.35396826 0.4920635 1.0 70.9 80.0 0.13043478 0.16927484 0.24 0.6627907 0.71162784 0.81395346
64 0.21875 0.35625 0.5 1.0 71.0 79.0 0.13043478 0.1705409 0.24324325 0.6627907 0.7093023 0.81395346
65 0.23076923 0.35846156 0.50769234 1.0 71.3 79.0 0.12857144 0.16989669 0.24324325 0.6511628 0.7069767 0.81395346
66 0.24242425 0.36060607 0.5151515 1.0 71.4 80.0 0.12857144 0.17073254 0.24324325 0.6511628 0.7046512 0.8023256
67 0.25373134 0.361194 0.5074627 1.0 71.8 80.0 0.12676056 0.16701454 0.24 0.6511628 0.6988372 0.8023256
68 0.25 0.3617647 0.5 1.0 71.7 80.0 0.125 0.16738577 0.24 0.6511628 0.7 0.8023256
69 0.24637681 0.36521736 0.49275362 1.0 71.7 80.0 0.125 0.16745102 0.24324325 0.6511628 0.6999999 0.8255814
70 0.24285714 0.3657143 0.4857143 1.0 71.6 80.0 0.12658228 0.16609883 0.23684211 0.6511628 0.6999999 0.8372093
71 0.23943663 0.36619717 0.47887325 1.0 71.6 80.0 0.12658228 0.16760516 0.23684211 0.6511628 0.6976744 0.8372093
72 0.2361111 0.36805558 0.4861111 1.0 71.7 80.0 0.12658228 0.16745324 0.2236842 0.6511628 0.6999999 0.8372093
73 0.24657534 0.369863 0.49315068 1.0 72.0 80.0 0.1125 0.16825761 0.2236842 0.6511628 0.69883716 0.8372093
74 0.25675675 0.36891893 0.5 1.0 71.7 79.0 0.11392405 0.1703945 0.22727273 0.6395349 0.6976744 0.8372093
75 0.25333333 0.372 0.50666666 1.0 71.6 79.0 0.11392405 0.17074415 0.23076923 0.6395349 0.69534886 0.8372093
76 0.25 0.37236843 0.5131579 1.0 71.6 79.0 0.11392405 0.17090361 0.234375 0.6395349 0.69186044 0.8372093
77 0.24675325 0.374026 0.5064935 1.0 71.5 79.0 0.11392405 0.17241675 0.234375 0.61627907 0.68953484 0.8372093
78 0.25641027 0.37435898 0.5 1.0 71.1 78.0 0.115384616 0.1720367 0.23809524 0.61627907 0.68953484 0.8255814
79 0.2658228 0.37468356 0.5063291 1.0 71.0 78.0 0.115384616 0.17366034 0.23809524 0.61627907 0.6860465 0.8255814
80 0.275 0.37625 0.5125 1.0 70.9 78.0 0.115384616 0.17391008 0.23809524 0.6511628 0.688372 0.81395346
81 0.27160493 0.37901238 0.50617284 1.0 71.0 78.0 0.115384616 0.17641798 0.23809524 0.6511628 0.688372 0.81395346
82 0.2682927 0.3792683 0.5 1.0 70.7 78.0 0.115384616 0.18007141 0.25396827 0.6511628 0.68720925 0.81395346
83 0.27710843 0.38072288 0.4939759 1.0 70.7 78.0 0.115384616 0.17860794 0.25396827 0.6511628 0.6837208 0.81395346
84 0.2857143 0.38214284 0.48809522 1.0 70.9 80.0 0.1125 0.17810676 0.25 0.6511628 0.6837208 0.81395346
85 0.28235295 0.38235298 0.49411765 1.0 70.9 80.0 0.125 0.18231778 0.25 0.6511628 0.68139523 0.7906977
86 0.29069766 0.3848837 0.5 1.0 71.0 80.0 0.125 0.18182178 0.24242425 0.6511628 0.68139523 0.7906977
87 0.29885057 0.38505748 0.49425286 1.0 71.0 80.0 0.1375 0.18278357 0.24242425 0.6395349 0.6790697 0.7906977
88 0.3068182 0.3863636 0.48863637 1.0 71.2 80.0 0.140625 0.18354398 0.24242425 0.6395349 0.67674416 0.7906977
89 0.31460676 0.3865168 0.48314607 1.0 71.1 80.0 0.14285715 0.18376139 0.24242425 0.6395349 0.6755814 0.8023256
90 0.31111112 0.38777778 0.4888889 1.0 71.2 80.0 0.14084508 0.18212223 0.24615385 0.61627907 0.67441857 0.81395346
91 0.30769232 0.3879121 0.48351648 1.0 71.2 80.0 0.14084508 0.18203153 0.24242425 0.61627907 0.6732558 0.81395346
92 0.3043478 0.38804346 0.48913044 1.0 71.5 81.0 0.1388889 0.18544933 0.24242425 0.61627907 0.67209303 0.81395346
93 0.30107528 0.38817203 0.49462366 1.0 71.3 80.0 0.14516129 0.1873938 0.24242425 0.60465115 0.6639534 0.81395346
94 0.30851063 0.38723403 0.4893617 1.0 71.2 80.0 0.14516129 0.19036597 0.25333333 0.60465115 0.66279066 0.81395346
95 0.31578946 0.3884211 0.49473685 1.0 71.0 80.0 0.14516129 0.18928865 0.25333333 0.60465115 0.66279066 0.81395346
96 0.32291666 0.38958335 0.48958334 1.0 71.2 80.0 0.14516129 0.1886087 0.24675325 0.60465115 0.66046506 0.81395346
97 0.3298969 0.3938144 0.49484536 1.0 71.3 80.0 0.14516129 0.189825 0.24675325 0.60465115 0.6593023 0.81395346
98 0.3265306 0.3969388 0.5 1.0 71.5 81.0 0.13846155 0.1863304 0.24675325 0.60465115 0.6604651 0.81395346
99 0.32323232 0.4 0.5050505 1.0 71.6 81.0 0.140625 0.18736246 0.24675325 0.60465115 0.6593023 0.81395346
100 0.32 0.398 0.5 1.0 71.5 81.0 0.140625 0.18926735 0.24675325 0.60465115 0.66046506 0.81395346
101 0.31683168 0.4 0.4950495 1.0 71.4 81.0 0.14285715 0.19248632 0.24675325 0.60465115 0.66046506 0.81395346
102 0.32352942 0.40294117 0.5 1.0 71.2 81.0 0.14285715 0.19305834 0.25 0.60465115 0.66046506 0.81395346
103 0.33009708 0.40485436 0.5048544 1.0 71.5 82.0 0.14285715 0.19221553 0.25 0.60465115 0.6569767 0.81395346
104 0.32692307 0.40480766 0.5 1.0 71.4 82.0 0.14516129 0.19378445 0.25 0.59302324 0.6546511 0.81395346
105 0.33333334 0.40571427 0.4952381 1.0 71.2 82.0 0.14516129 0.19561012 0.25333333 0.59302324 0.6523256 0.8023256
106 0.3301887 0.40660375 0.5 1.0 71.7 82.0 0.15853658 0.197117 0.26666668 0.59302324 0.65116274 0.8023256
107 0.3364486 0.40747666 0.5046729 1.0 71.7 82.0 0.15853658 0.19584745 0.26666668 0.59302324 0.65116274 0.8023256
