rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.5 1.0 1.0 13.0 13.0 0.9230769 0.9461538 1.0 0.069767445 0.08139535 0.093023255
2 0.0 0.3 0.5 1.0 14.0 14.0 0.85714287 0.8571428 0.85714287 0.069767445 0.08488371 0.10465116
3 0.0 0.3 0.6666667 1.0 15.0 15.0 0.8 0.8266667 0.8666667 0.069767445 0.08953488 0.11627907
4 0.0 0.275 0.75 1.0 16.0 16.0 0.75 0.7625 0.8125 0.08139535 0.10232557 0.12790698
5 0.0 0.3 0.6 1.0 16.9 17.0 0.7058824 0.7397059 0.8235294 0.08139535 0.10930232 0.13953489
6 0.0 0.3 0.6666667 1.0 17.9 18.0 0.6666667 0.70392156 0.7222222 0.08139535 0.116279066 0.15116279
7 0.0 0.3 0.5714286 1.0 18.9 19.0 0.6315789 0.67222226 0.7368421 0.08139535 0.12209301 0.15116279
8 0.125 0.325 0.625 1.0 19.8 20.0 0.6 0.6413158 0.7 0.093023255 0.1360465 0.19767442
9 0.22222222 0.3333333 0.5555556 1.0 20.7 21.0 0.5714286 0.60380954 0.6666667 0.093023255 0.14534883 0.19767442
10 0.2 0.33 0.5 1.0 21.7 22.0 0.54545456 0.5761905 0.61904764 0.10465116 0.15116279 0.20930232
11 0.18181819 0.35454547 0.45454547 1.0 22.5 23.0 0.5217391 0.5598813 0.6086956 0.10465116 0.15697674 0.20930232
12 0.16666667 0.35833335 0.5 1.0 23.3 24.0 0.5 0.5453228 0.5652174 0.10465116 0.15697674 0.19767442
13 0.15384616 0.33846158 0.53846157 1.0 24.2 25.0 0.48 0.52919567 0.5652174 0.10465116 0.16976742 0.22093023
14 0.14285715 0.32857144 0.5714286 1.0 25.1 26.0 0.48 0.51001287 0.5416667 0.10465116 0.17558138 0.25581396
15 0.13333334 0.30666667 0.53333336 1.0 25.8 27.0 0.46153846 0.50385183 0.53846157 0.10465116 0.17790696 0.25581396
16 0.125 0.29375 0.5 1.0 26.8 28.0 0.44444445 0.488873 0.53846157 0.11627907 0.18953487 0.26744187
17 0.11764706 0.29411766 0.47058824 1.0 27.5 29.0 0.44444445 0.48012915 0.5185185 0.13953489 0.19302325 0.26744187
