rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.1149495 0.12727273 0.8372093 0.8930233 0.95348835
2 0.0 0.25 1.0 1.0 55.5 56.0 0.10714286 0.115299426 0.14285715 0.8372093 0.89069766 0.95348835
3 0.0 0.23333332 0.6666667 1.0 56.3 57.0 0.10526316 0.11715027 0.15789473 0.8255814 0.8848837 0.94186044
4 0.0 0.3 0.75 1.0 56.6 58.0 0.10526316 0.11649418 0.15789473 0.8372093 0.8848837 0.94186044
5 0.0 0.32 0.6 1.0 57.2 59.0 0.10344828 0.11524241 0.15517241 0.81395346 0.88023263 0.94186044
6 0.0 0.29999998 0.5 1.0 58.0 60.0 0.10169491 0.11885381 0.15517241 0.81395346 0.8802325 0.94186044
7 0.0 0.28571433 0.5714286 1.0 58.8 60.0 0.1 0.118964896 0.15254237 0.8255814 0.8767443 0.9302326
8 0.0 0.275 0.5 1.0 59.5 61.0 0.09836066 0.12090967 0.16393442 0.8255814 0.87558144 0.9302326
9 0.0 0.31111112 0.5555556 1.0 59.7 62.0 0.09677419 0.12061659 0.16393442 0.8255814 0.877907 0.9302326
10 0.0 0.31 0.5 1.0 60.3 63.0 0.0952381 0.11944757 0.16129032 0.8372093 0.8744186 0.9302326
11 0.09090909 0.3272727 0.54545456 1.0 60.7 64.0 0.0952381 0.12024005 0.15873016 0.8372093 0.872093 0.90697676
12 0.083333336 0.31666666 0.5 1.0 61.3 65.0 0.09375 0.11903264 0.15625 0.8255814 0.8732559 0.9186047
13 0.07692308 0.32307696 0.46153846 1.0 61.8 65.0 0.092307694 0.11814513 0.15625 0.8023256 0.8709303 0.9186047
14 0.14285715 0.32857144 0.5 1.0 62.4 66.0 0.09090909 0.11549459 0.15384616 0.7906977 0.8720931 0.9186047
15 0.13333334 0.32666668 0.53333336 1.0 63.1 67.0 0.08955224 0.11722908 0.16666667 0.7906977 0.8709303 0.9186047
16 0.125 0.31875 0.5 1.0 63.8 68.0 0.09090909 0.12066243 0.16666667 0.7906977 0.87325585 0.9186047
17 0.11764706 0.32352942 0.5294118 1.0 64.1 68.0 0.09090909 0.1217476 0.16666667 0.7906977 0.87325585 0.9186047
18 0.16666667 0.32222223 0.5 1.0 64.6 68.0 0.08955224 0.11919953 0.1641791 0.7906977 0.8732557 0.94186044
19 0.15789473 0.3157895 0.5263158 1.0 65.0 69.0 0.08955224 0.11843391 0.16176471 0.7906977 0.872093 0.94186044
20 0.15 0.315 0.5 1.0 65.2 69.0 0.092307694 0.121078156 0.16176471 0.76744187 0.87325585 0.95348835
21 0.1904762 0.31428573 0.52380955 1.0 65.3 69.0 0.092307694 0.120852016 0.16176471 0.75581396 0.86162794 0.95348835
22 0.18181819 0.3090909 0.5 1.0 65.8 70.0 0.092307694 0.11998628 0.1594203 0.76744187 0.85813963 0.95348835
23 0.17391305 0.3043478 0.47826087 1.0 66.5 70.0 0.092307694 0.121524945 0.17142858 0.7906977 0.8546513 0.95348835
24 0.16666667 0.30833334 0.45833334 1.0 66.9 71.0 0.09090909 0.12090768 0.17142858 0.7790698 0.85813963 0.95348835
25 0.16 0.30800003 0.44 1.0 67.2 71.0 0.09375 0.12189146 0.17142858 0.7790698 0.8569768 0.95348835
26 0.15384616 0.30384618 0.42307693 1.0 68.1 72.0 0.097222224 0.12186383 0.16901408 0.7790698 0.8651163 0.95348835
27 0.14814815 0.30370367 0.4074074 1.0 68.7 73.0 0.09589041 0.12091466 0.16901408 0.7790698 0.86162794 0.9302326
28 0.14285715 0.29642856 0.39285713 1.0 69.0 73.0 0.09589041 0.12038009 0.16901408 0.76744187 0.8639536 0.9302326
29 0.13793103 0.28965515 0.41379312 1.0 69.8 74.0 0.0945946 0.12052383 0.16901408 0.74418604 0.86162794 0.9302326
30 0.13333334 0.30333334 0.43333334 1.0 70.0 75.0 0.0945946 0.11870624 0.16901408 0.74418604 0.86162794 0.9302326
31 0.12903225 0.30322582 0.41935483 1.0 70.3 75.0 0.0945946 0.115207925 0.16666667 0.74418604 0.855814 0.9302326
32 0.125 0.303125 0.40625 1.0 70.7 75.0 0.093333334 0.117474735 0.16666667 0.73255813 0.8523256 0.9302326
33 0.121212125 0.3090909 0.3939394 1.0 70.9 76.0 0.093333334 0.11704053 0.16666667 0.73255813 0.84651166 0.9302326
34 0.11764706 0.31176472 0.4117647 1.0 71.0 76.0 0.09210526 0.11690573 0.16666667 0.73255813 0.844186 0.9186047
35 0.114285715 0.30857146 0.4 1.0 71.5 77.0 0.09090909 0.11756108 0.16666667 0.73255813 0.8418605 0.9186047
36 0.11111111 0.31111112 0.41666666 1.0 71.8 77.0 0.09090909 0.11837344 0.16666667 0.7093023 0.84069765 0.9186047
37 0.13513513 0.31621623 0.4054054 1.0 72.0 77.0 0.09090909 0.11948061 0.16666667 0.7093023 0.84534883 0.9186047
38 0.13157895 0.31578946 0.42105263 1.0 72.3 77.0 0.09090909 0.11902331 0.16666667 0.7093023 0.84534883 0.9186047
39 0.12820514 0.31794873 0.41025642 1.0 72.5 78.0 0.09859155 0.119973764 0.16666667 0.7093023 0.8418605 0.9186047
40 0.15 0.32 0.425 1.0 72.8 78.0 0.097222224 0.11811539 0.15277778 0.75581396 0.8430233 0.9186047
41 0.14634146 0.32195124 0.4390244 1.0 73.1 79.0 0.09589041 0.117571935 0.14285715 0.75581396 0.8395349 0.9186047
42 0.14285715 0.31904763 0.45238096 1.0 73.3 79.0 0.097222224 0.1171932 0.14285715 0.75581396 0.833721 0.9302326
43 0.13953489 0.31860468 0.44186047 1.0 73.4 79.0 0.09859155 0.11560999 0.14102565 0.73255813 0.82441866 0.89534885
44 0.13636364 0.3159091 0.4318182 1.0 73.9 79.0 0.097222224 0.11755552 0.1392405 0.6976744 0.8197675 0.90697676
45 0.13333334 0.32000002 0.42222223 1.0 74.0 79.0 0.097222224 0.117379464 0.1392405 0.68604654 0.8162791 0.90697676
46 0.13043478 0.31956524 0.41304347 1.0 74.3 80.0 0.097222224 0.11813197 0.15 0.68604654 0.8151162 0.90697676
47 0.12765957 0.31702128 0.40425533 1.0 74.6 81.0 0.097222224 0.11760919 0.14814815 0.68604654 0.8151163 0.9186047
