rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.1 1.0 1.0 54.4 55.0 0.10909091 0.11393939 0.12727273 0.8372093 0.8837209 0.95348835
2 0.0 0.25 0.5 1.0 54.7 55.0 0.10909091 0.115151525 0.12727273 0.8372093 0.8790697 0.95348835
3 0.0 0.2 0.6666667 1.0 55.1 56.0 0.10714286 0.11620972 0.12962963 0.81395346 0.8697675 0.94186044
4 0.0 0.275 0.5 1.0 55.2 56.0 0.10714286 0.11597403 0.12727273 0.7906977 0.86744183 0.94186044
5 0.0 0.26000002 0.6 1.0 55.5 57.0 0.10526316 0.11536398 0.12727273 0.7790698 0.86046517 0.94186044
6 0.0 0.26666668 0.5 1.0 55.7 57.0 0.10526316 0.116792545 0.14545454 0.7790698 0.8569768 0.94186044
7 0.0 0.27142859 0.5714286 1.0 56.0 58.0 0.10344828 0.11798153 0.14545454 0.74418604 0.8511628 0.94186044
8 0.0 0.2875 0.625 1.0 56.3 58.0 0.10344828 0.119098745 0.16071428 0.74418604 0.8430233 0.9302326
9 0.0 0.3222222 0.6666667 1.0 56.4 58.0 0.10344828 0.118910775 0.16071428 0.74418604 0.84069777 0.9302326
10 0.0 0.33 0.6 1.0 56.4 58.0 0.10344828 0.118910775 0.16071428 0.74418604 0.8418605 0.9302326
11 0.09090909 0.34545454 0.54545456 1.0 56.8 59.0 0.10169491 0.11985643 0.16071428 0.73255813 0.83953494 0.9302326
12 0.083333336 0.3333333 0.5 1.0 57.0 58.0 0.10344828 0.119380355 0.15789473 0.7209302 0.8360465 0.94186044
13 0.07692308 0.33846158 0.53846157 1.0 57.2 59.0 0.10169491 0.11898571 0.15789473 0.7209302 0.8255814 0.9186047
14 0.14285715 0.34285715 0.5 1.0 57.4 59.0 0.10169491 0.11680029 0.15789473 0.7209302 0.822093 0.9186047
15 0.13333334 0.34 0.46666667 1.0 57.4 59.0 0.10169491 0.1185684 0.15789473 0.7093023 0.8127907 0.9186047
16 0.125 0.33125 0.4375 1.0 57.8 59.0 0.10169491 0.1228945 0.15789473 0.7093023 0.81046516 0.90697676
17 0.11764706 0.32941177 0.47058824 1.0 57.7 60.0 0.1 0.12497463 0.15789473 0.7093023 0.80930233 0.90697676
18 0.11111111 0.3277778 0.44444445 1.0 57.6 61.0 0.09836066 0.1252064 0.15789473 0.6744186 0.7988372 0.90697676
19 0.10526316 0.31578946 0.42105263 1.0 57.6 61.0 0.09836066 0.12507908 0.15789473 0.6627907 0.79186046 0.90697676
20 0.1 0.315 0.4 1.0 57.4 61.0 0.09836066 0.12547418 0.15789473 0.6627907 0.78488374 0.90697676
21 0.14285715 0.3142857 0.42857143 1.0 57.3 61.0 0.09836066 0.12571616 0.15789473 0.6627907 0.77558136 0.88372093
22 0.13636364 0.3090909 0.4090909 1.0 57.6 62.0 0.09677419 0.12677994 0.15789473 0.6511628 0.7674418 0.88372093
23 0.17391305 0.29999998 0.39130434 1.0 57.9 62.0 0.09677419 0.12779514 0.16949153 0.6511628 0.7627906 0.8604651
24 0.16666667 0.3041667 0.41666666 1.0 57.9 63.0 0.0952381 0.1279718 0.1724138 0.6395349 0.7616278 0.8604651
25 0.16 0.31200004 0.4 1.0 58.0 64.0 0.09375 0.12777889 0.1724138 0.6395349 0.75348836 0.8488372
26 0.15384616 0.30769235 0.3846154 1.0 58.3 64.0 0.09375 0.12899897 0.1724138 0.6395349 0.75116277 0.8488372
27 0.14814815 0.30740738 0.4074074 1.0 58.7 64.0 0.09375 0.12810102 0.1724138 0.6395349 0.7453488 0.8488372
28 0.14285715 0.3 0.39285713 1.0 58.5 63.0 0.0952381 0.13025562 0.1754386 0.627907 0.7372093 0.8488372
29 0.13793103 0.3 0.37931034 1.0 58.6 63.0 0.0952381 0.13001993 0.1754386 0.627907 0.73139536 0.8488372
30 0.13333334 0.31333336 0.4 1.0 58.9 65.0 0.092307694 0.127844 0.1754386 0.627907 0.73488367 0.8488372
31 0.12903225 0.31612906 0.38709676 1.0 58.8 65.0 0.092307694 0.12627502 0.1754386 0.627907 0.73139536 0.8255814
32 0.125 0.31875 0.375 1.0 59.1 65.0 0.092307694 0.12901147 0.1754386 0.627907 0.7186046 0.8255814
33 0.121212125 0.32121214 0.3939394 1.0 58.9 64.0 0.09375 0.12939139 0.1754386 0.61627907 0.7127906 0.81395346
34 0.11764706 0.32352942 0.4117647 1.0 58.6 63.0 0.0952381 0.13001445 0.1754386 0.61627907 0.7046512 0.81395346
35 0.14285715 0.3257143 0.4 1.0 58.8 63.0 0.0952381 0.1312273 0.1754386 0.61627907 0.7034884 0.81395346
36 0.1388889 0.325 0.41666666 1.0 59.0 63.0 0.0952381 0.13263193 0.1754386 0.61627907 0.7011628 0.81395346
37 0.16216215 0.32702702 0.4054054 1.0 58.9 63.0 0.0952381 0.13277605 0.1754386 0.5697674 0.6918605 0.81395346
38 0.15789473 0.32368422 0.39473686 1.0 59.1 63.0 0.0952381 0.13422145 0.17857143 0.5697674 0.6895349 0.7906977
39 0.15384616 0.32820517 0.3846154 1.0 59.0 63.0 0.0952381 0.13605312 0.17857143 0.5697674 0.69069767 0.8023256
40 0.15 0.33 0.4 1.0 59.1 63.0 0.0952381 0.13412257 0.16071428 0.53488374 0.6813953 0.7906977
41 0.14634146 0.32926828 0.41463414 1.0 59.3 63.0 0.0952381 0.13358954 0.16071428 0.53488374 0.6813953 0.7906977
42 0.14285715 0.3285714 0.42857143 1.0 59.2 63.0 0.0952381 0.13371278 0.15873016 0.5 0.67325574 0.7790698
43 0.13953489 0.32790694 0.44186047 1.0 59.3 63.0 0.0952381 0.13521086 0.15873016 0.5 0.66744184 0.7790698
44 0.13636364 0.325 0.4318182 1.0 59.3 63.0 0.0952381 0.13700268 0.15873016 0.47674417 0.6581395 0.7790698
45 0.13333334 0.33111113 0.44444445 1.0 59.3 63.0 0.0952381 0.13700268 0.15873016 0.47674417 0.65116274 0.76744187
46 0.13043478 0.3347826 0.45652175 1.0 59.2 63.0 0.0952381 0.13564578 0.15789473 0.47674417 0.65116274 0.76744187
47 0.12765957 0.3361702 0.4680851 1.0 59.2 63.0 0.0952381 0.13729288 0.15789473 0.47674417 0.65116274 0.76744187
48 0.125 0.33333334 0.47916666 1.0 59.4 64.0 0.09375 0.13855752 0.1724138 0.47674417 0.6465116 0.76744187
49 0.12244898 0.33061224 0.46938777 1.0 59.3 64.0 0.09375 0.14035943 0.16949153 0.47674417 0.6360465 0.76744187
50 0.12 0.33199996 0.46 1.0 59.2 64.0 0.09375 0.14060533 0.16949153 0.45348838 0.6325581 0.75581396
51 0.11764706 0.33529413 0.47058824 1.0 59.3 64.0 0.09375 0.14206824 0.16949153 0.45348838 0.6302325 0.75581396
52 0.13461539 0.3326923 0.46153846 1.0 59.1 64.0 0.09375 0.14257021 0.1724138 0.45348838 0.6302325 0.75581396
53 0.13207547 0.33773583 0.4528302 1.0 59.2 64.0 0.09375 0.14236566 0.1724138 0.45348838 0.62906975 0.75581396
54 0.12962963 0.3351852 0.44444445 1.0 58.9 64.0 0.0952381 0.13972016 0.1724138 0.44186047 0.6232558 0.75581396
55 0.14545454 0.3363636 0.43636364 1.0 59.1 64.0 0.09375 0.13935277 0.1724138 0.44186047 0.6197674 0.75581396
56 0.14285715 0.33571428 0.42857143 1.0 58.8 64.0 0.09375 0.14009409 0.1724138 0.44186047 0.61162794 0.75581396
57 0.14035088 0.33684212 0.42105263 1.0 58.8 65.0 0.0952381 0.13826866 0.16071428 0.44186047 0.6034884 0.75581396
58 0.13793103 0.3362069 0.41379312 1.0 58.9 64.0 0.0952381 0.13966267 0.16071428 0.44186047 0.6011628 0.75581396
59 0.13559322 0.33898306 0.42372882 1.0 58.6 64.0 0.09677419 0.14033537 0.16363636 0.44186047 0.59999996 0.74418604
60 0.15 0.34333333 0.41666666 1.0 58.6 64.0 0.09677419 0.14033537 0.16363636 0.44186047 0.5976744 0.73255813
61 0.16393442 0.3442623 0.40983605 1.0 58.5 64.0 0.09677419 0.14058356 0.16363636 0.43023255 0.59069765 0.7209302
62 0.17741935 0.34838706 0.41935483 1.0 58.3 63.0 0.09677419 0.14106037 0.16363636 0.43023255 0.5895349 0.7209302
63 0.17460318 0.3476191 0.42857143 1.0 58.1 63.0 0.09836066 0.1415581 0.16666667 0.43023255 0.5837209 0.6976744
64 0.1875 0.35 0.4375 1.0 58.1 63.0 0.09836066 0.14126654 0.16666667 0.43023255 0.5813953 0.6976744
65 0.2 0.35230768 0.43076923 1.0 58.0 63.0 0.1 0.14143047 0.16666667 0.41860464 0.57558143 0.6744186
66 0.21212122 0.3560606 0.43939394 1.0 57.8 63.0 0.10169491 0.14182594 0.16666667 0.41860464 0.57558143 0.6744186
67 0.2238806 0.35820895 0.43283582 1.0 58.0 63.0 0.10169491 0.13950221 0.16071428 0.41860464 0.5697675 0.6744186
68 0.22058824 0.35735297 0.42647058 1.0 58.1 63.0 0.10169491 0.14088693 0.15873016 0.40697673 0.56627905 0.6744186
69 0.2173913 0.3565217 0.4347826 1.0 58.4 65.0 0.10169491 0.14173302 0.16923077 0.39534885 0.5616279 0.6744186
70 0.21428572 0.35857144 0.42857143 1.0 58.2 65.0 0.10169491 0.14230028 0.16923077 0.39534885 0.5604651 0.6744186
71 0.2112676 0.3605634 0.4225352 1.0 57.9 65.0 0.10169491 0.14312185 0.16923077 0.39534885 0.55116284 0.6744186
72 0.20833333 0.3625 0.43055555 1.0 57.7 65.0 0.10344828 0.1435431 0.16923077 0.39534885 0.5476744 0.6627907
73 0.21917808 0.36712328 0.43835616 1.0 57.6 65.0 0.12068965 0.14550519 0.16923077 0.37209302 0.54418606 0.6627907
74 0.21621622 0.3648649 0.43243244 1.0 57.3 65.0 0.12068965 0.14628442 0.16923077 0.37209302 0.54186046 0.6627907
75 0.21333334 0.36800003 0.44 1.0 57.0 65.0 0.12068965 0.14708707 0.16923077 0.37209302 0.5406977 0.6627907
76 0.21052632 0.37105262 0.4473684 1.0 56.9 65.0 0.12068965 0.14576015 0.16923077 0.37209302 0.5360465 0.6627907
77 0.20779221 0.3727273 0.44155845 1.0 56.9 64.0 0.12068965 0.14568248 0.171875 0.37209302 0.5244186 0.6627907
78 0.21794872 0.37435898 0.44871795 1.0 56.5 64.0 0.12280702 0.14664003 0.171875 0.37209302 0.51976746 0.6511628
79 0.2278481 0.37594938 0.443038 1.0 56.4 63.0 0.12280702 0.14691284 0.17460318 0.38372093 0.51860464 0.6511628
80 0.2375 0.3775 0.4375 1.0 56.1 62.0 0.10344828 0.14602682 0.17741935 0.37209302 0.5116279 0.6395349
81 0.2345679 0.37901238 0.44444445 1.0 56.0 62.0 0.10344828 0.14827645 0.17741935 0.37209302 0.50581396 0.627907
82 0.23170732 0.3780488 0.4512195 1.0 55.5 61.0 0.10526316 0.14969149 0.18032786 0.37209302 0.5011628 0.627907
83 0.24096386 0.3807229 0.44578314 1.0 55.2 60.0 0.10526316 0.15061434 0.18333334 0.38372093 0.49767438 0.627907
84 0.25 0.38214284 0.45238096 1.0 55.2 60.0 0.10526316 0.15061434 0.18333334 0.38372093 0.49534884 0.627907
85 0.24705882 0.3811765 0.44705883 1.0 54.8 59.0 0.10714286 0.15161352 0.18644068 0.37209302 0.49186048 0.627907
86 0.25581396 0.3848837 0.45348838 1.0 54.9 59.0 0.10714286 0.15134957 0.18644068 0.37209302 0.49186048 0.627907
87 0.26436782 0.38505745 0.44827586 1.0 54.5 59.0 0.10909091 0.15247697 0.18644068 0.3604651 0.48720932 0.627907
88 0.27272728 0.3840909 0.45454547 1.0 54.3 59.0 0.11111111 0.15300944 0.18965517 0.3604651 0.48720932 0.60465115
89 0.28089887 0.38426962 0.4494382 1.0 53.9 58.0 0.11111111 0.15422615 0.19298245 0.3604651 0.48488373 0.60465115
90 0.2777778 0.38555557 0.44444445 1.0 53.9 58.0 0.12727273 0.15611455 0.19298245 0.3604651 0.48255816 0.59302324
91 0.2747253 0.3879121 0.45054945 1.0 53.7 58.0 0.12727273 0.1567314 0.19642857 0.3604651 0.47906977 0.59302324
92 0.27173913 0.3891304 0.45652175 1.0 53.4 58.0 0.12727273 0.15764825 0.19642857 0.3488372 0.47674417 0.5813953
93 0.2795699 0.39139786 0.4623656 1.0 53.4 58.0 0.12962963 0.15941103 0.2 0.3488372 0.46976748 0.5813953
94 0.27659574 0.39148942 0.4680851 1.0 53.1 59.0 0.13207547 0.16026492 0.2 0.3488372 0.46511626 0.5813953
95 0.28421053 0.3926316 0.4631579 1.0 52.8 58.0 0.13207547 0.16116185 0.2 0.3488372 0.4616279 0.55813956
96 0.29166666 0.39375 0.46875 1.0 53.0 59.0 0.13207547 0.16075207 0.2 0.3488372 0.45813957 0.55813956
97 0.29896906 0.39690718 0.46391752 1.0 53.1 59.0 0.13207547 0.1604504 0.2 0.3488372 0.45581397 0.55813956
98 0.29591838 0.39897963 0.46938777 1.0 52.7 58.0 0.13207547 0.16191193 0.2037037 0.3488372 0.4534884 0.55813956
99 0.2929293 0.4 0.46464646 1.0 52.4 58.0 0.13207547 0.16299687 0.20754717 0.3372093 0.45 0.55813956
100 0.29 0.39800006 0.46 1.0 52.1 57.0 0.13207547 0.1638451 0.20754717 0.3372093 0.44883722 0.54651165
101 0.2970297 0.4009901 0.46534654 1.0 51.8 57.0 0.13207547 0.16485831 0.20754717 0.3372093 0.44651166 0.53488374
102 0.30392158 0.40490198 0.47058824 1.0 51.6 57.0 0.13207547 0.16549815 0.20754717 0.3372093 0.44302326 0.5232558
103 0.3106796 0.40679613 0.47572815 1.0 51.7 58.0 0.13207547 0.16525617 0.20754717 0.3372093 0.4372093 0.5116279
104 0.30769232 0.40769228 0.48076922 1.0 51.5 57.0 0.13207547 0.16575415 0.20754717 0.3255814 0.4360465 0.5116279
105 0.31428573 0.40857142 0.4857143 1.0 51.2 57.0 0.13207547 0.16677757 0.20754717 0.3255814 0.43255815 0.5116279
106 0.3207547 0.41132075 0.49056605 1.0 51.1 58.0 0.13207547 0.16714679 0.20754717 0.3255814 0.42906976 0.5116279
107 0.3271028 0.4149533 0.48598132 1.0 51.0 57.0 0.13207547 0.16550198 0.2 0.3255814 0.42906976 0.5116279
108 0.32407406 0.41574073 0.49074075 1.0 50.7 57.0 0.13207547 0.16826259 0.2 0.3139535 0.4244186 0.5116279
109 0.32110092 0.41926605 0.49541286 1.0 50.6 57.0 0.13207547 0.1685602 0.2 0.30232558 0.422093 0.5116279
110 0.3181818 0.4218182 0.5 1.0 50.3 57.0 0.13207547 0.169727 0.20454545 0.30232558 0.41976744 0.5116279
111 0.3153153 0.42252254 0.5045045 1.0 50.2 58.0 0.13461539 0.16997066 0.2 0.30232558 0.4127907 0.4883721
112 0.32142857 0.4232143 0.5089286 1.0 49.9 57.0 0.13725491 0.17086992 0.2 0.30232558 0.40697676 0.4883721
113 0.32743362 0.4256637 0.50442475 1.0 49.7 57.0 0.14 0.17147096 0.2 0.30232558 0.40697676 0.4883721
114 0.33333334 0.42807016 0.5 1.0 49.5 57.0 0.14 0.17215046 0.2 0.30232558 0.40581393 0.4883721
115 0.33913043 0.4295652 0.5043478 1.0 49.2 56.0 0.14 0.17316435 0.20408164 0.30232558 0.40581393 0.4883721
116 0.33620688 0.43103448 0.5086207 1.0 49.3 56.0 0.14 0.17299381 0.20454545 0.30232558 0.40348834 0.4883721
117 0.33333334 0.4307692 0.51282054 1.0 48.8 55.0 0.14 0.17491727 0.20930232 0.29069766 0.39883718 0.4651163
118 0.33050847 0.42966104 0.5169492 1.0 48.4 55.0 0.13725491 0.17472598 0.21428572 0.27906978 0.39534882 0.45348838
119 0.3277311 0.43025213 0.5126051 1.0 48.0 54.0 0.13725491 0.17647675 0.23255815 0.27906978 0.39302322 0.45348838
120 0.325 0.43249997 0.51666665 1.0 47.7 54.0 0.14 0.17769219 0.23255815 0.27906978 0.38953486 0.45348838
121 0.3305785 0.4347108 0.5206612 1.0 47.6 53.0 0.14 0.17800665 0.23255815 0.27906978 0.38953486 0.45348838
122 0.32786885 0.43442622 0.52459013 1.0 47.3 53.0 0.14 0.17916745 0.23255815 0.27906978 0.3848837 0.45348838
123 0.33333334 0.43577236 0.5203252 1.0 47.2 53.0 0.14285715 0.17932357 0.22727273 0.27906978 0.37790695 0.45348838
124 0.33870968 0.43870968 0.5241935 1.0 47.0 53.0 0.14285715 0.18000878 0.22727273 0.27906978 0.37674415 0.45348838
125 0.344 0.4392 0.52 1.0 46.5 52.0 0.14285715 0.18185791 0.23255815 0.27906978 0.37441856 0.45348838
126 0.34920636 0.4420635 0.52380955 1.0 46.3 52.0 0.14285715 0.18258819 0.23255815 0.26744187 0.3732558 0.45348838
127 0.35433072 0.4433071 0.52755904 1.0 46.0 52.0 0.14583333 0.1835505 0.23255815 0.26744187 0.372093 0.44186047
128 0.3515625 0.44375 0.53125 1.0 45.9 52.0 0.14893617 0.1838608 0.23255815 0.26744187 0.372093 0.44186047
129 0.35658914 0.44573647 0.5271318 1.0 45.9 52.0 0.14893617 0.18592075 0.23255815 0.26744187 0.37093022 0.44186047
130 0.35384616 0.4476923 0.5307692 1.0 45.8 52.0 0.14893617 0.18853185 0.24390244 0.26744187 0.36860463 0.44186047
