rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.7 55.0 0.10909091 0.11151515 0.12727273 0.8372093 0.8918605 0.95348835
2 0.0 0.3 1.0 1.0 55.3 56.0 0.10714286 0.11212482 0.12727273 0.8372093 0.8883721 0.95348835
3 0.0 0.26666665 0.6666667 1.0 56.1 57.0 0.10526316 0.11230234 0.12727273 0.8255814 0.883721 0.94186044
4 0.0 0.325 0.75 1.0 56.5 58.0 0.10344828 0.11328608 0.14285715 0.8255814 0.8779071 0.94186044
5 0.0 0.33999997 0.6 1.0 57.1 59.0 0.10169491 0.11381861 0.14285715 0.81395346 0.8720931 0.94186044
6 0.0 0.28333333 0.5 1.0 58.0 60.0 0.1 0.11540196 0.15 0.8023256 0.8639535 0.94186044
7 0.0 0.2857143 0.5714286 1.0 58.7 61.0 0.09836066 0.115728915 0.15 0.8255814 0.86976737 0.94186044
8 0.0 0.2875 0.5 1.0 59.4 62.0 0.09677419 0.114381865 0.15 0.8255814 0.872093 0.94186044
9 0.0 0.31111112 0.5555556 1.0 59.8 63.0 0.0952381 0.11360924 0.15 0.8255814 0.8709302 0.94186044
10 0.0 0.32000002 0.5 1.0 60.4 64.0 0.09375 0.11244632 0.14754099 0.8372093 0.8697675 0.94186044
11 0.09090909 0.3272727 0.54545456 1.0 60.9 64.0 0.09375 0.11313076 0.14516129 0.8372093 0.86744195 0.9186047
12 0.083333336 0.325 0.5 1.0 61.4 65.0 0.092307694 0.11227019 0.14516129 0.8372093 0.8651164 0.9186047
13 0.15384616 0.3461539 0.53846157 1.0 61.8 65.0 0.092307694 0.1115613 0.14516129 0.81395346 0.8569768 0.89534885
14 0.14285715 0.35000002 0.5 1.0 62.2 66.0 0.092307694 0.1092491 0.14285715 0.8023256 0.8558141 0.89534885
15 0.13333334 0.3466667 0.53333336 1.0 62.5 66.0 0.092307694 0.111842595 0.15625 0.8023256 0.8511628 0.89534885
16 0.125 0.34375 0.5 1.0 63.1 67.0 0.092307694 0.11553919 0.15384616 0.8023256 0.85348845 0.89534885
17 0.11764706 0.34705883 0.5294118 1.0 63.4 67.0 0.092307694 0.11671959 0.15384616 0.8023256 0.85465115 0.89534885
18 0.11111111 0.34444445 0.5 1.0 63.9 68.0 0.092307694 0.11575534 0.15151516 0.7790698 0.85 0.90697676
19 0.10526316 0.3421053 0.5263158 1.0 64.5 69.0 0.09090909 0.11619679 0.15151516 0.7790698 0.84069777 0.90697676
20 0.1 0.335 0.5 1.0 64.8 69.0 0.09090909 0.11718591 0.14925373 0.76744187 0.8360466 0.90697676
21 0.0952381 0.33809525 0.52380955 1.0 65.1 70.0 0.08955224 0.11960729 0.1641791 0.75581396 0.82790697 0.872093
22 0.09090909 0.3409091 0.5 1.0 65.6 71.0 0.0882353 0.11868517 0.16176471 0.75581396 0.8279071 0.872093
23 0.13043478 0.33043474 0.47826087 1.0 66.4 71.0 0.08695652 0.11867718 0.17391305 0.75581396 0.83255816 0.88372093
24 0.125 0.325 0.45833334 1.0 66.8 72.0 0.08571429 0.1196121 0.17391305 0.74418604 0.8290698 0.88372093
25 0.12 0.32 0.44 1.0 67.0 73.0 0.08571429 0.12084895 0.17391305 0.76744187 0.82441866 0.872093
26 0.115384616 0.31538463 0.46153846 1.0 67.5 74.0 0.08695652 0.119836435 0.17142858 0.76744187 0.82790697 0.89534885
27 0.11111111 0.31111115 0.44444445 1.0 68.1 75.0 0.08571429 0.11885027 0.17142858 0.73255813 0.8209303 0.88372093
28 0.10714286 0.30714285 0.42857143 1.0 68.1 75.0 0.08571429 0.12036055 0.17142858 0.75581396 0.82674426 0.88372093
29 0.13793103 0.31034482 0.44827586 1.0 68.3 75.0 0.08450704 0.12004362 0.17142858 0.75581396 0.82441866 0.88372093
30 0.16666667 0.31666666 0.46666667 1.0 68.6 75.0 0.083333336 0.119569756 0.17142858 0.75581396 0.82674426 0.9186047
31 0.16129032 0.31612903 0.4516129 1.0 68.9 75.0 0.08219178 0.11886847 0.16901408 0.76744187 0.8313953 0.9186047
32 0.15625 0.321875 0.46875 1.0 69.1 76.0 0.08219178 0.118517436 0.16901408 0.76744187 0.82325584 0.90697676
33 0.18181819 0.3242424 0.4848485 1.0 69.3 76.0 0.08219178 0.118178226 0.16901408 0.76744187 0.8209302 0.88372093
34 0.1764706 0.33823532 0.5 1.0 69.4 77.0 0.08219178 0.11800735 0.16901408 0.76744187 0.8209302 0.88372093
35 0.17142858 0.33714285 0.4857143 1.0 69.8 78.0 0.08219178 0.1188066 0.16901408 0.75581396 0.8174418 0.88372093
36 0.16666667 0.3333333 0.5 1.0 70.2 79.0 0.0945946 0.119548455 0.16901408 0.74418604 0.8197675 0.89534885
37 0.16216215 0.33513513 0.4864865 1.0 70.5 80.0 0.0945946 0.11906121 0.16901408 0.74418604 0.8162791 0.89534885
38 0.18421052 0.32894737 0.47368422 1.0 70.9 80.0 0.093333334 0.11843331 0.16901408 0.74418604 0.8127907 0.89534885
39 0.17948718 0.33076924 0.46153846 1.0 71.3 81.0 0.09210526 0.11905928 0.16901408 0.74418604 0.81046516 0.89534885
40 0.175 0.32999998 0.45 1.0 71.4 82.0 0.104477614 0.11880304 0.15492958 0.74418604 0.81046504 0.89534885
41 0.17073171 0.3317073 0.4390244 1.0 71.9 83.0 0.10294118 0.11802447 0.15492958 0.75581396 0.8139535 0.89534885
42 0.1904762 0.32619047 0.42857143 1.0 72.1 83.0 0.10144927 0.11625248 0.15492958 0.75581396 0.81162786 0.89534885
43 0.18604651 0.32093024 0.41860464 1.0 72.5 83.0 0.1 0.11445937 0.15492958 0.73255813 0.80930233 0.89534885
44 0.18181819 0.3181818 0.4090909 1.0 72.9 84.0 0.09859155 0.118046425 0.15714286 0.73255813 0.8034884 0.89534885
45 0.17777778 0.32444447 0.42222223 1.0 73.0 84.0 0.10294118 0.11785223 0.15714286 0.7093023 0.80232555 0.89534885
46 0.17391305 0.323913 0.41304347 1.0 73.2 84.0 0.10294118 0.117562294 0.15714286 0.7093023 0.79999995 0.89534885
47 0.17021276 0.3212766 0.42553192 1.0 73.2 83.0 0.104477614 0.11891534 0.15714286 0.7093023 0.8011627 0.89534885
48 0.16666667 0.32083338 0.4375 1.0 73.2 83.0 0.104477614 0.11892368 0.15714286 0.7093023 0.8 0.89534885
49 0.1632653 0.31632656 0.42857143 1.0 73.5 83.0 0.10294118 0.119762816 0.15492958 0.7093023 0.7918605 0.89534885
50 0.16 0.316 0.42 1.0 73.9 83.0 0.10294118 0.120464146 0.15277778 0.7093023 0.7976744 0.90697676
51 0.15686275 0.3156863 0.43137255 1.0 74.2 83.0 0.10144927 0.1213912 0.15277778 0.68604654 0.79418606 0.90697676
52 0.15384616 0.3153846 0.42307693 1.0 74.6 83.0 0.10144927 0.12070702 0.15068494 0.68604654 0.79651165 0.90697676
53 0.1509434 0.3169811 0.41509435 1.0 74.7 83.0 0.10144927 0.11915598 0.15068494 0.68604654 0.8023256 0.90697676
54 0.14814815 0.31851852 0.4074074 1.0 75.0 83.0 0.1 0.118676245 0.16438356 0.6976744 0.7988373 0.90697676
55 0.16363636 0.3181818 0.4 1.0 75.4 83.0 0.10843374 0.11948564 0.16438356 0.7093023 0.8023256 0.89534885
56 0.16071428 0.31607145 0.39285713 1.0 75.7 83.0 0.10810811 0.11902883 0.16438356 0.68604654 0.8081395 0.89534885
57 0.15789473 0.31578943 0.3859649 1.0 75.7 83.0 0.10810811 0.11903863 0.16438356 0.68604654 0.8174418 0.90697676
58 0.15517241 0.31724137 0.39655173 1.0 76.0 84.0 0.10714286 0.11852081 0.16216215 0.68604654 0.8162791 0.90697676
59 0.15254237 0.31694913 0.40677965 1.0 75.8 84.0 0.10714286 0.118815824 0.16216215 0.6976744 0.8139535 0.90697676
60 0.16666667 0.31833333 0.41666666 1.0 76.1 84.0 0.10666667 0.11836259 0.16216215 0.6976744 0.8151163 0.90697676
61 0.16393442 0.3131148 0.40983605 1.0 76.2 84.0 0.10526316 0.11683629 0.16 0.7093023 0.81162786 0.88372093
62 0.17741935 0.31935483 0.4032258 1.0 76.1 84.0 0.10526316 0.11705251 0.16216215 0.7093023 0.8058139 0.88372093
63 0.17460318 0.31587303 0.3968254 1.0 75.9 83.0 0.097222224 0.115952656 0.16216215 0.7093023 0.8127907 0.88372093
64 0.171875 0.3171875 0.40625 1.0 75.9 83.0 0.097222224 0.115952656 0.16216215 0.7093023 0.80581397 0.88372093
65 0.16923077 0.31538463 0.41538462 1.0 75.8 83.0 0.09589041 0.11493899 0.16216215 0.7093023 0.80116284 0.872093
66 0.18181819 0.31666666 0.4090909 1.0 76.1 83.0 0.09589041 0.115883216 0.16216215 0.7093023 0.79534894 0.872093
67 0.17910448 0.31641793 0.41791046 1.0 76.5 83.0 0.09589041 0.114000216 0.16 0.7093023 0.8 0.872093
68 0.1764706 0.31764707 0.42647058 1.0 76.8 84.0 0.0952381 0.113628015 0.15789473 0.7093023 0.80116284 0.872093
69 0.17391305 0.31884056 0.4347826 1.0 77.0 84.0 0.0952381 0.1133037 0.15789473 0.7209302 0.80581397 0.872093
70 0.17142858 0.31714287 0.42857143 1.0 77.0 83.0 0.09589041 0.11323527 0.15789473 0.7209302 0.80465114 0.872093
71 0.16901408 0.3169014 0.43661973 1.0 76.9 82.0 0.09589041 0.113347135 0.15789473 0.75581396 0.8081395 0.88372093
72 0.16666667 0.3166667 0.44444445 1.0 77.0 83.0 0.09638554 0.1157735 0.15789473 0.73255813 0.7976744 0.88372093
73 0.1780822 0.32054794 0.43835616 1.0 77.1 83.0 0.09638554 0.116889045 0.15789473 0.73255813 0.79883724 0.872093
74 0.1891892 0.32297295 0.43243244 1.0 77.4 83.0 0.09638554 0.11505456 0.15584415 0.73255813 0.80581397 0.872093
75 0.18666667 0.32399997 0.44 1.0 77.4 83.0 0.09638554 0.115065955 0.15584415 0.7093023 0.8 0.872093
76 0.18421052 0.32368422 0.43421054 1.0 77.2 83.0 0.09638554 0.11661439 0.15584415 0.7093023 0.79418606 0.8604651
77 0.18181819 0.32727274 0.44155845 1.0 77.3 83.0 0.09638554 0.11649394 0.15584415 0.7093023 0.79186046 0.8604651
78 0.1923077 0.33076924 0.44871795 1.0 77.4 83.0 0.09638554 0.11766511 0.15584415 0.7093023 0.7953488 0.8604651
79 0.18987341 0.32911393 0.443038 1.0 77.6 83.0 0.09638554 0.11736323 0.15584415 0.7093023 0.79651165 0.8604651
80 0.2 0.3325 0.45 1.0 77.8 84.0 0.097222224 0.11699909 0.15584415 0.68604654 0.7895349 0.8604651
81 0.19753087 0.33333334 0.45679012 1.0 77.8 84.0 0.097222224 0.11699909 0.15584415 0.68604654 0.7883721 0.8604651
82 0.19512194 0.33414632 0.46341464 1.0 77.9 84.0 0.097222224 0.11684924 0.15584415 0.68604654 0.78953487 0.8604651
83 0.19277108 0.33493975 0.4698795 1.0 77.9 84.0 0.097222224 0.11809863 0.16883117 0.68604654 0.78837204 0.8604651
84 0.1904762 0.33452383 0.4642857 1.0 78.0 84.0 0.097222224 0.119145095 0.16883117 0.68604654 0.7837209 0.8604651
85 0.1882353 0.3329412 0.45882353 1.0 77.9 84.0 0.097222224 0.12062398 0.18181819 0.68604654 0.7872093 0.8604651
86 0.18604651 0.33023256 0.45348838 1.0 77.8 84.0 0.09859155 0.12076092 0.18181819 0.68604654 0.78488374 0.8604651
87 0.18390805 0.32988504 0.44827586 1.0 78.0 84.0 0.09756097 0.12040883 0.17948718 0.68604654 0.7813953 0.872093
88 0.19318181 0.32727274 0.4431818 1.0 78.1 84.0 0.09756097 0.124000214 0.17948718 0.68604654 0.7755815 0.872093
89 0.19101124 0.32471907 0.43820226 1.0 78.2 85.0 0.09756097 0.12526715 0.17948718 0.6976744 0.7802326 0.872093
90 0.18888889 0.32555553 0.44444445 1.0 78.1 84.0 0.09876543 0.12535161 0.17948718 0.6976744 0.7813953 0.8604651
