rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.4 1.0 1.0 54.0 54.0 0.11111111 0.11111112 0.11111111 0.8372093 0.8848837 0.95348835
2 0.0 0.35 1.0 1.0 53.9 54.0 0.11111111 0.11132076 0.11320755 0.8372093 0.8790697 0.95348835
3 0.0 0.3 0.6666667 1.0 53.9 54.0 0.11111111 0.11317261 0.12962963 0.7906977 0.866279 0.94186044
4 0.0 0.325 0.5 1.0 53.9 54.0 0.11111111 0.11502446 0.14814815 0.76744187 0.8569767 0.94186044
5 0.0 0.32000002 0.6 1.0 53.9 54.0 0.11111111 0.11502446 0.14814815 0.76744187 0.85232556 0.94186044
6 0.0 0.31666666 0.5 1.0 53.9 54.0 0.11111111 0.11687632 0.14814815 0.76744187 0.85 0.94186044
7 0.0 0.28571433 0.42857143 1.0 53.9 54.0 0.11111111 0.11872816 0.14814815 0.76744187 0.8383721 0.90697676
8 0.0 0.275 0.5 1.0 53.9 54.0 0.11111111 0.11872816 0.14814815 0.76744187 0.82325584 0.90697676
9 0.0 0.3 0.5555556 1.0 53.8 54.0 0.11111111 0.118972756 0.14814815 0.76744187 0.81627905 0.89534885
10 0.0 0.31 0.6 1.0 53.8 54.0 0.11111111 0.118972756 0.14814815 0.76744187 0.8127907 0.89534885
11 0.09090909 0.3181818 0.54545456 1.0 53.7 54.0 0.11111111 0.11918239 0.14814815 0.75581396 0.80930233 0.89534885
12 0.083333336 0.3 0.5 1.0 53.4 54.0 0.11111111 0.11981939 0.14814815 0.73255813 0.8023256 0.89534885
13 0.07692308 0.31538466 0.46153846 1.0 53.4 54.0 0.11111111 0.11981939 0.14814815 0.73255813 0.79186046 0.89534885
14 0.14285715 0.3142857 0.5 1.0 53.4 54.0 0.11111111 0.11796753 0.14814815 0.7093023 0.7860465 0.89534885
15 0.13333334 0.30666667 0.46666667 1.0 53.4 54.0 0.11111111 0.11989061 0.14814815 0.6976744 0.7767442 0.89534885
16 0.125 0.30625 0.5 1.0 53.4 54.0 0.11111111 0.12362927 0.14814815 0.6976744 0.77441853 0.89534885
17 0.11764706 0.31176472 0.5294118 1.0 53.1 54.0 0.11111111 0.12623425 0.14814815 0.6976744 0.77441853 0.89534885
18 0.16666667 0.31666666 0.5 1.0 52.9 54.0 0.11111111 0.12670593 0.14814815 0.6627907 0.75581396 0.89534885
19 0.15789473 0.31578952 0.47368422 1.0 52.7 54.0 0.11111111 0.12718616 0.14814815 0.6627907 0.74883723 0.8604651
20 0.15 0.305 0.45 1.0 52.2 54.0 0.11111111 0.12846029 0.14814815 0.6627907 0.7325582 0.8604651
21 0.14285715 0.3 0.42857143 1.0 51.8 54.0 0.11111111 0.13139953 0.15686275 0.6511628 0.72558147 0.8604651
22 0.13636364 0.30000004 0.4090909 1.0 51.8 54.0 0.11111111 0.13328631 0.15686275 0.6511628 0.71627903 0.8255814
23 0.13043478 0.29130432 0.39130434 1.0 51.8 54.0 0.11111111 0.1351731 0.16981132 0.6511628 0.71162784 0.8255814
24 0.125 0.2875 0.41666666 1.0 51.7 54.0 0.11111111 0.13543704 0.16981132 0.6395349 0.7069768 0.8255814
25 0.12 0.292 0.4 1.0 51.7 54.0 0.11111111 0.13739784 0.16981132 0.627907 0.69883716 0.8255814
26 0.115384616 0.28846154 0.3846154 1.0 51.6 53.0 0.11320755 0.13953055 0.16981132 0.55813956 0.6918605 0.8255814
27 0.11111111 0.28518516 0.37037036 1.0 51.5 53.0 0.11320755 0.1397945 0.16981132 0.55813956 0.67441857 0.7906977
28 0.10714286 0.28571433 0.35714287 1.0 51.2 53.0 0.11320755 0.14253865 0.1764706 0.54651165 0.66511625 0.76744187
29 0.10344828 0.28275865 0.37931034 1.0 51.1 53.0 0.115384616 0.14275636 0.1764706 0.54651165 0.65 0.76744187
30 0.1 0.29333335 0.4 1.0 51.0 53.0 0.115384616 0.14107007 0.1764706 0.53488374 0.6465116 0.76744187
31 0.12903225 0.3 0.38709676 1.0 50.8 53.0 0.115384616 0.13963029 0.1764706 0.5232558 0.644186 0.76744187
32 0.125 0.30625 0.40625 1.0 50.7 53.0 0.115384616 0.1418854 0.1764706 0.5232558 0.6360465 0.76744187
33 0.121212125 0.30606064 0.42424244 1.0 50.5 53.0 0.115384616 0.14246872 0.1764706 0.5232558 0.627907 0.76744187
34 0.14705883 0.31764704 0.4117647 1.0 50.4 53.0 0.11764706 0.14465576 0.19607843 0.5232558 0.6255814 0.74418604
35 0.17142858 0.32000002 0.42857143 1.0 50.3 53.0 0.11764706 0.14694147 0.19607843 0.5116279 0.6209302 0.7209302
36 0.16666667 0.32222223 0.41666666 1.0 50.2 53.0 0.11764706 0.14720742 0.19607843 0.5116279 0.616279 0.7093023
37 0.1891892 0.3297297 0.4054054 1.0 50.1 53.0 0.11764706 0.14753397 0.19607843 0.47674417 0.60697675 0.7093023
38 0.18421052 0.32894737 0.39473686 1.0 49.8 52.0 0.11764706 0.14839205 0.19607843 0.47674417 0.60116273 0.7093023
39 0.17948718 0.33846158 0.41025642 1.0 49.7 52.0 0.11764706 0.14868966 0.19607843 0.47674417 0.60232556 0.73255813
40 0.175 0.34000003 0.425 1.0 49.5 52.0 0.12 0.14956795 0.2 0.47674417 0.5930233 0.6976744
41 0.19512194 0.34390244 0.41463414 1.0 49.3 52.0 0.12 0.15025063 0.20408164 0.47674417 0.5883721 0.6976744
42 0.1904762 0.3404762 0.42857143 1.0 49.1 52.0 0.12 0.15088642 0.20408164 0.4651163 0.57790697 0.6976744
43 0.18604651 0.33953488 0.44186047 1.0 49.0 52.0 0.12244898 0.1490905 0.18367347 0.44186047 0.5697675 0.7093023
44 0.18181819 0.33636364 0.4318182 1.0 48.5 51.0 0.13725491 0.15267102 0.18367347 0.43023255 0.55930233 0.7093023
45 0.17777778 0.34444445 0.44444445 1.0 48.4 51.0 0.13725491 0.1529948 0.18367347 0.43023255 0.55116284 0.6395349
46 0.17391305 0.35 0.45652175 1.0 48.3 51.0 0.13725491 0.15129413 0.16666667 0.43023255 0.5523256 0.6511628
47 0.17021276 0.35106382 0.4680851 1.0 48.0 51.0 0.13725491 0.15224019 0.16666667 0.43023255 0.54883724 0.6511628
48 0.16666667 0.3479167 0.47916666 1.0 47.6 51.0 0.14 0.15345082 0.16666667 0.40697673 0.54186046 0.6511628
49 0.1632653 0.34489796 0.46938777 1.0 47.4 51.0 0.14285715 0.15631336 0.17777778 0.40697673 0.5348838 0.6511628
50 0.16 0.342 0.46 1.0 47.1 51.0 0.14285715 0.15738505 0.18181819 0.39534885 0.5290698 0.6511628
51 0.15686275 0.34509805 0.47058824 1.0 46.9 51.0 0.14583333 0.16021869 0.18604651 0.39534885 0.52558136 0.6511628
52 0.17307693 0.34423077 0.46153846 1.0 46.5 50.0 0.14893617 0.16158375 0.18604651 0.39534885 0.5139535 0.6511628
53 0.16981132 0.34905657 0.4528302 1.0 46.3 50.0 0.14893617 0.16229513 0.18604651 0.39534885 0.5093023 0.6511628
54 0.16666667 0.35185188 0.44444445 1.0 45.9 49.0 0.14285715 0.16163489 0.18604651 0.39534885 0.5034884 0.6511628
55 0.18181819 0.35090908 0.43636364 1.0 45.7 49.0 0.14285715 0.1623771 0.18604651 0.39534885 0.49883723 0.61627907
56 0.17857143 0.34999996 0.42857143 1.0 45.3 49.0 0.14285715 0.16389067 0.18604651 0.38372093 0.4883721 0.61627907
57 0.1754386 0.3508772 0.42105263 1.0 45.0 49.0 0.13043478 0.16286793 0.1904762 0.3604651 0.47906977 0.61627907
58 0.1724138 0.35344827 0.43103448 1.0 44.8 49.0 0.13333334 0.16354427 0.1904762 0.3604651 0.47674417 0.61627907
59 0.16949153 0.35593224 0.44067797 1.0 44.5 49.0 0.13333334 0.16470006 0.1904762 0.3604651 0.47209302 0.60465115
60 0.18333334 0.36000004 0.45 1.0 44.3 49.0 0.13333334 0.16549763 0.1904762 0.3488372 0.46744186 0.59302324
61 0.19672132 0.3590164 0.44262296 1.0 44.0 49.0 0.13333334 0.16673622 0.19512194 0.3488372 0.45930228 0.59302324
62 0.20967741 0.36612904 0.4516129 1.0 43.9 49.0 0.13333334 0.1648511 0.19512194 0.3372093 0.4581395 0.59302324
63 0.20634921 0.36349207 0.44444445 1.0 43.5 49.0 0.13636364 0.16649754 0.19512194 0.3255814 0.4488372 0.5813953
