rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.10949495 0.11111111 0.8372093 0.8883721 0.95348835
100 0.2 0.293 0.41 1.0 88.2 93.0 0.07954545 0.12119646 0.16483517 0.7790698 0.8697675 0.9302326
200 0.26 0.3265 0.37 1.0 94.6 100.0 0.097826086 0.13554412 0.2 0.75581396 0.85 0.94186044
300 0.31 0.34066668 0.37666667 1.0 97.1 100.0 0.1122449 0.15246439 0.18367347 0.7906977 0.8569768 0.90697676
400 0.3375 0.3625 0.395 1.0 97.6 100.0 0.1 0.16622245 0.21875 0.81395346 0.8616279 0.90697676
500 0.36 0.38500002 0.42 1.0 96.6 102.0 0.12631579 0.17193556 0.19387755 0.76744187 0.8348837 0.90697676
600 0.38666666 0.4073333 0.445 1.0 97.1 103.0 0.15053764 0.19235931 0.23 0.75581396 0.8430233 0.9302326
700 0.38714287 0.41814286 0.4557143 1.0 98.3 103.0 0.15306123 0.21942791 0.25 0.76744187 0.84651166 0.9302326
800 0.39125 0.4335 0.47875 1.0 97.0 104.0 0.18085106 0.23622647 0.28282827 0.6976744 0.82674426 0.89534885
900 0.41666666 0.44844446 0.48444444 1.0 96.4 102.0 0.20618556 0.24147825 0.27659574 0.7790698 0.833721 0.88372093
1000 0.433 0.4626 0.497 1.0 96.5 106.0 0.19607843 0.25129467 0.3 0.76744187 0.83837205 0.90697676
1100 0.45545456 0.47499996 0.5018182 1.0 96.4 107.0 0.20560747 0.25462678 0.3263158 0.7906977 0.8255814 0.88372093
1200 0.465 0.48674998 0.5108333 1.0 96.5 105.0 0.2244898 0.2742989 0.33684212 0.8023256 0.8430232 0.872093
1300 0.47076923 0.49623075 0.52384615 1.0 96.2 106.0 0.26732674 0.30326268 0.3655914 0.7906977 0.8418605 0.90697676
1400 0.48 0.5055715 0.5307143 1.0 95.3 103.0 0.28431374 0.34309956 0.43956044 0.8023256 0.8430233 0.89534885
1500 0.49066666 0.5148 0.544 1.0 93.5 103.0 0.2795699 0.36678103 0.42696628 0.7906977 0.8313953 0.872093
1600 0.504375 0.52425003 0.55 1.0 92.1 100.0 0.3478261 0.37898082 0.41111112 0.74418604 0.8174418 0.8604651
