rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 54.6 55.0 0.10909091 0.109899 0.11111111 0.8372093 0.88720924 0.95348835
100 0.25 0.341 0.4 1.0 75.5 84.0 0.08108108 0.13022228 0.17857143 0.627907 0.72325575 0.7906977
200 0.385 0.417 0.465 1.0 66.9 80.0 0.11764706 0.15487365 0.2125 0.5 0.6 0.6976744
300 0.45 0.47466668 0.49333334 1.0 56.6 64.0 0.13559322 0.20364635 0.27419356 0.37209302 0.5197674 0.6511628
400 0.5125 0.52525 0.5525 1.0 48.8 56.0 0.21568628 0.24753419 0.26923078 0.3604651 0.43953484 0.53488374
500 0.554 0.57299995 0.598 1.0 42.7 50.0 0.20408164 0.2998269 0.37209302 0.3139535 0.4069767 0.5116279
600 0.59166664 0.6146667 0.6433333 1.0 38.3 44.0 0.23076923 0.34033147 0.44827586 0.29069766 0.3837209 0.4651163
700 0.61714286 0.6474285 0.68142855 1.0 35.2 42.0 0.33333334 0.39258963 0.4814815 0.3139535 0.372093 0.43023255
800 0.6475 0.676 0.69625 1.0 33.2 41.0 0.3939394 0.42601052 0.47058824 0.25581396 0.35581395 0.43023255
900 0.6811111 0.70144445 0.72 1.0 31.4 39.0 0.36363637 0.46093336 0.61538464 0.24418604 0.34186047 0.44186047
1000 0.707 0.72349995 0.739 1.0 30.0 37.0 0.42307693 0.5201544 0.6666667 0.23255815 0.32674417 0.40697673
1100 0.72545457 0.7420909 0.7609091 1.0 28.9 34.0 0.46875 0.5678314 0.7241379 0.24418604 0.31976742 0.40697673
1200 0.74 0.7581667 0.7758333 1.0 27.9 33.0 0.45833334 0.5855676 0.73333335 0.24418604 0.31744188 0.39534885
1300 0.7523077 0.7716924 0.79 1.0 27.0 32.0 0.5 0.63346696 0.7692308 0.24418604 0.3127907 0.38372093
1400 0.76714283 0.7846428 0.80214286 1.0 26.5 31.0 0.60714287 0.6773085 0.7777778 0.23255815 0.30581394 0.37209302
1500 0.782 0.79693335 0.814 1.0 26.1 31.0 0.5714286 0.6798444 0.75 0.22093023 0.30465117 0.3604651
1600 0.7925 0.80656254 0.8225 1.0 25.9 30.0 0.6666667 0.7508612 0.84615386 0.22093023 0.29767442 0.3604651
1700 0.80235296 0.8161764 0.8317647 1.0 25.5 30.0 0.71428573 0.779284 0.8333333 0.22093023 0.29186046 0.3488372
1800 0.81222224 0.8250555 0.8388889 1.0 25.3 30.0 0.73333335 0.79795796 0.88461536 0.22093023 0.29069766 0.3488372
1900 0.8205263 0.83305264 0.8468421 1.0 25.1 30.0 0.76 0.82188463 0.9 0.22093023 0.28953487 0.3488372
2000 0.8275 0.8400501 0.853 1.0 24.8 29.0 0.8076923 0.89437085 0.9310345 0.22093023 0.28372094 0.3372093
2100 0.8352381 0.84728575 0.85952383 1.0 24.7 29.0 0.8076923 0.89820415 0.9310345 0.22093023 0.28372094 0.3372093
2200 0.84181815 0.85377276 0.86545455 1.0 24.6 29.0 0.875 0.9146333 0.94736844 0.22093023 0.28372094 0.3372093
2300 0.8482609 0.85960865 0.8708696 1.0 24.3 29.0 0.8076923 0.9068268 0.9583333 0.22093023 0.28372094 0.3372093
2400 0.85333335 0.86500007 0.8754167 1.0 24.2 29.0 0.84 0.93001336 1.0 0.22093023 0.28255814 0.3372093
2500 0.8584 0.86988 0.88 1.0 24.2 29.0 0.8947368 0.94110715 1.0 0.22093023 0.28255814 0.3372093
