rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.6 55.0 0.10909091 0.109899 0.11111111 0.8372093 0.88720924 0.95348835
100 0.24 0.33900002 0.43 1.0 73.6 80.0 0.097222224 0.13648756 0.1875 0.60465115 0.72325575 0.8255814
200 0.365 0.41950002 0.46 1.0 66.4 78.0 0.11940298 0.15478362 0.18461539 0.53488374 0.6104651 0.73255813
300 0.45333335 0.47800002 0.5133333 1.0 56.9 62.0 0.12903225 0.19915232 0.23636363 0.45348838 0.5453488 0.68604654
400 0.515 0.53024995 0.55 1.0 48.9 56.0 0.18867925 0.25383264 0.2857143 0.41860464 0.477907 0.60465115
500 0.562 0.5804 0.594 1.0 44.0 51.0 0.22727273 0.28248787 0.3488372 0.3139535 0.4465116 0.5813953
600 0.6116667 0.61883336 0.6333333 1.0 39.9 47.0 0.25641027 0.33463925 0.4318182 0.3139535 0.4244186 0.5232558
700 0.6357143 0.65099996 0.6642857 1.0 37.0 43.0 0.25 0.38105088 0.51428574 0.30232558 0.40348834 0.5116279
800 0.66125 0.677625 0.69125 1.0 35.6 41.0 0.25641027 0.42143172 0.5588235 0.30232558 0.39069766 0.5
900 0.69 0.70244443 0.71666664 1.0 33.8 40.0 0.275 0.4392515 0.5151515 0.29069766 0.38604647 0.5116279
1000 0.709 0.7232 0.741 1.0 32.4 38.0 0.3529412 0.4970684 0.59375 0.29069766 0.3802325 0.5116279
1100 0.7245455 0.74209094 0.76 1.0 31.6 37.0 0.3783784 0.49982676 0.67741936 0.29069766 0.38139534 0.5
1200 0.74083334 0.7574166 0.7783333 1.0 30.6 35.0 0.40625 0.54031074 0.7096774 0.29069766 0.37558135 0.4883721
1300 0.7561538 0.7716923 0.7915385 1.0 30.1 35.0 0.48387095 0.5755938 0.67741936 0.30232558 0.372093 0.47674417
1400 0.7707143 0.7845 0.80214286 1.0 29.8 35.0 0.5483871 0.63256514 0.7037037 0.29069766 0.3686046 0.47674417
1500 0.78333336 0.79693335 0.81266665 1.0 29.6 34.0 0.5294118 0.64206684 0.7241379 0.29069766 0.36744183 0.47674417
1600 0.795 0.8073125 0.823125 1.0 29.5 34.0 0.5588235 0.6789186 0.8214286 0.29069766 0.36511627 0.47674417
1700 0.80588233 0.817294 0.83117646 1.0 29.3 34.0 0.5862069 0.6932347 0.8214286 0.29069766 0.36395347 0.47674417
1800 0.8155556 0.82644445 0.84 1.0 29.1 34.0 0.5862069 0.7202342 0.85714287 0.29069766 0.36395347 0.4651163
1900 0.82473683 0.8346842 0.84842104 1.0 29.1 34.0 0.5882353 0.72758496 0.8214286 0.29069766 0.36279067 0.4651163
2000 0.832 0.842 0.8545 1.0 29.1 34.0 0.61764705 0.7614845 0.85714287 0.29069766 0.36395347 0.47674417
2100 0.8390476 0.84909517 0.8604762 1.0 29.0 34.0 0.61764705 0.76082253 0.85714287 0.29069766 0.3627907 0.47674417
2200 0.8454546 0.8555454 0.8668182 1.0 28.9 34.0 0.6551724 0.77338725 0.85714287 0.29069766 0.3627907 0.47674417
2300 0.8521739 0.86139137 0.8721739 1.0 28.6 34.0 0.61764705 0.77656925 0.8636364 0.29069766 0.3627907 0.47674417
2400 0.85791665 0.8668333 0.8775 1.0 28.6 34.0 0.64705884 0.7831483 0.875 0.29069766 0.3627907 0.47674417
2500 0.8624 0.8718399 0.8824 1.0 28.6 34.0 0.6785714 0.7901778 0.875 0.29069766 0.3616279 0.4651163
2600 0.86730766 0.87661535 0.8869231 1.0 28.6 34.0 0.6785714 0.7961438 0.8666667 0.29069766 0.3616279 0.4651163
2700 0.87222224 0.88107395 0.89111114 1.0 28.6 34.0 0.6764706 0.7932026 0.8666667 0.29069766 0.3616279 0.4651163
2800 0.8767857 0.88525 0.895 1.0 28.6 34.0 0.6764706 0.7963276 0.875 0.29069766 0.3616279 0.4651163
2900 0.8810345 0.88917243 0.89862067 1.0 28.6 34.0 0.6764706 0.7963276 0.875 0.29069766 0.3616279 0.4651163
3000 0.8846667 0.89283335 0.902 1.0 28.6 34.0 0.6785714 0.7992688 0.875 0.29069766 0.3616279 0.4651163
3100 0.8883871 0.8961934 0.90516126 1.0 28.6 34.0 0.6785714 0.7992688 0.875 0.29069766 0.3616279 0.4651163
3200 0.891875 0.8993438 0.9078125 1.0 28.5 34.0 0.6785714 0.8020465 0.875 0.29069766 0.3616279 0.4651163
3300 0.8951515 0.9023938 0.9106061 1.0 28.5 34.0 0.6785714 0.8020465 0.875 0.29069766 0.3616279 0.4651163
3400 0.8982353 0.9052647 0.9132353 1.0 28.5 34.0 0.6785714 0.8020465 0.875 0.29069766 0.3616279 0.4651163
3500 0.90114284 0.9079429 0.91571426 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
3600 0.9038889 0.91049993 0.91805553 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
3700 0.9064865 0.9129189 0.92027026 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
3800 0.90894735 0.9152104 0.9223684 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
3900 0.91128206 0.9173845 0.92435896 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
4000 0.9135 0.91945 0.92625 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
4100 0.9156098 0.92141455 0.9280488 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
4200 0.91761905 0.92328566 0.9297619 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
4300 0.91953486 0.9250697 0.93139535 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
4400 0.92136365 0.9267727 0.93295455 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
4500 0.92311114 0.9283999 0.9344444 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
4600 0.92478263 0.92995656 0.9358696 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
4700 0.92638296 0.93144685 0.93723404 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
4800 0.92791665 0.932875 0.93854165 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
4900 0.92938775 0.93424493 0.9397959 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
5000 0.9308 0.93556005 0.941 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
5100 0.93215686 0.93682355 0.94215685 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
5200 0.93346155 0.93803847 0.94326925 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
5300 0.934717 0.93920755 0.94433963 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
5400 0.9359259 0.94033325 0.9453704 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
5500 0.93709093 0.94141805 0.9463636 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
5600 0.9382143 0.94246423 0.9473214 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
5700 0.9392983 0.9434737 0.9482456 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
5800 0.9403448 0.9444483 0.9491379 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
5900 0.94135594 0.94538975 0.95 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
6000 0.94233334 0.9463 0.9508333 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
6100 0.9432787 0.9471803 0.95163935 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
6200 0.94419354 0.94803226 0.95241934 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
6300 0.9450794 0.9488572 0.9531746 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
6400 0.9459375 0.9496562 0.95390624 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
6500 0.94676924 0.95043087 0.9546154 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
6600 0.94757575 0.95118177 0.955303 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
6700 0.94835824 0.9519105 0.95597017 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
6800 0.94911766 0.95261765 0.95661765 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
6900 0.9498551 0.9533044 0.95724636 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
7000 0.9505714 0.9539714 0.95785713 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
7100 0.9512676 0.9546197 0.9584507 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
7200 0.9519445 0.95524997 0.95902777 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
7300 0.95260274 0.955863 0.95958906 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
7400 0.95324326 0.9564595 0.96013516 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
7500 0.95386666 0.95704 0.96066666 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
7600 0.9544737 0.95760524 0.9611842 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
7700 0.95506495 0.9581558 0.96168834 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
7800 0.95564103 0.9586924 0.9621795 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
7900 0.9562025 0.95921516 0.9626582 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
8000 0.95675 0.959725 0.963125 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
8100 0.957284 0.96022224 0.96358025 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
8200 0.95780486 0.9607073 0.96402436 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
8300 0.9583132 0.9611807 0.9644578 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
8400 0.9588095 0.9616429 0.96488094 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
8500 0.95929414 0.9620941 0.9652941 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
8600 0.95976746 0.9625349 0.96569765 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
8700 0.9602299 0.9629656 0.96609193 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
8800 0.9606818 0.96338636 0.9664773 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
8900 0.9611236 0.96379775 0.9668539 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
9000 0.96155554 0.9642 0.9672222 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
9100 0.961978 0.9645934 0.9675824 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
9200 0.9623913 0.9649782 0.9679348 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
9300 0.9627957 0.96535474 0.96827954 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
9400 0.9631915 0.9657234 0.968617 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
9500 0.96357894 0.9660842 0.96894735 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
9600 0.9639583 0.9664375 0.9692708 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
9700 0.9643299 0.9667835 0.9695876 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
9800 0.9646939 0.96712255 0.969898 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
9900 0.9650505 0.96745455 0.970202 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
10000 0.9654 0.96777993 0.9705 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
