rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 13.0 13.0 0.9230769 0.9615385 1.0 0.069767445 0.07441862 0.093023255
100 0.33 0.381 0.42 1.0 65.1 74.0 0.2753623 0.31860417 0.38333333 0.44186047 0.51279074 0.5697674
200 0.38 0.423 0.48 1.0 81.6 88.0 0.26190478 0.31802613 0.36708862 0.59302324 0.6732558 0.7209302
300 0.41 0.452 0.47666666 1.0 87.8 95.0 0.28735632 0.32087165 0.37931034 0.68604654 0.7255814 0.75581396
400 0.435 0.46675 0.5 1.0 90.3 100.0 0.29885057 0.36009496 0.4065934 0.6395349 0.7476744 0.81395346
500 0.456 0.48439997 0.51 1.0 91.3 98.0 0.35106382 0.39693063 0.44444445 0.7093023 0.7779069 0.8372093
600 0.48833334 0.5073333 0.5233333 1.0 91.9 98.0 0.36666667 0.43493137 0.4888889 0.7093023 0.7732558 0.8372093
700 0.50285715 0.52400005 0.5542857 1.0 89.7 93.0 0.375 0.4414093 0.49411765 0.74418604 0.78953487 0.8372093
800 0.515 0.5398749 0.5775 1.0 91.1 94.0 0.3723404 0.451991 0.5730337 0.7790698 0.81046516 0.872093
900 0.5366667 0.5552222 0.58666664 1.0 90.9 95.0 0.42105263 0.48215 0.56666666 0.7790698 0.81279075 0.8488372
1000 0.545 0.57000005 0.597 1.0 89.4 96.0 0.43010753 0.5085884 0.5824176 0.74418604 0.82790697 0.872093
1100 0.5618182 0.5853636 0.6109091 1.0 89.1 93.0 0.4659091 0.5418935 0.64044946 0.8023256 0.82790697 0.872093
1200 0.5683333 0.59833336 0.61833334 1.0 88.3 94.0 0.49425286 0.58807695 0.64772725 0.75581396 0.8151163 0.8604651
1300 0.58076924 0.6118461 0.62846154 1.0 87.3 92.0 0.5568182 0.61668223 0.68292683 0.7906977 0.82558143 0.8604651
1400 0.5964286 0.62392855 0.63785714 1.0 86.7 92.0 0.59302324 0.6555641 0.7111111 0.7790698 0.8209303 0.8604651
1500 0.612 0.63680005 0.65066665 1.0 86.5 94.0 0.5744681 0.6914181 0.7777778 0.76744187 0.8151163 0.8604651
