rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.11131313 0.12727273 0.8372093 0.88720924 0.95348835
100 0.23 0.294 0.38 1.0 90.2 94.0 0.14893617 0.17862691 0.20930232 0.73255813 0.8197675 0.88372093
200 0.295 0.351 0.385 1.0 94.3 98.0 0.15306123 0.20669118 0.28125 0.81395346 0.85465115 0.90697676
300 0.34 0.38233334 0.41666666 1.0 93.1 98.0 0.17582418 0.24026796 0.28421053 0.76744187 0.8302326 0.9186047
400 0.395 0.41725 0.4425 1.0 90.5 96.0 0.22222222 0.2610812 0.3181818 0.76744187 0.8209303 0.8604651
500 0.42 0.44379997 0.464 1.0 89.3 97.0 0.21649484 0.27117512 0.30952382 0.74418604 0.8267442 0.872093
600 0.44 0.46283334 0.47833332 1.0 87.6 96.0 0.2795699 0.33665127 0.39285713 0.7790698 0.833721 0.89534885
700 0.46 0.48428574 0.51 1.0 87.4 97.0 0.30952382 0.3487169 0.4556962 0.7906977 0.85465115 0.90697676
800 0.4725 0.505125 0.53125 1.0 85.9 92.0 0.3478261 0.3921649 0.4556962 0.8023256 0.84069777 0.8604651
900 0.4911111 0.52455556 0.5466667 1.0 85.9 96.0 0.3483146 0.41197306 0.4888889 0.76744187 0.84069765 0.89534885
1000 0.509 0.5423 0.566 1.0 84.4 95.0 0.34117648 0.42760974 0.49333334 0.7906977 0.8441861 0.88372093
1100 0.5272727 0.55645454 0.58181816 1.0 82.6 90.0 0.3580247 0.47708663 0.53246754 0.7906977 0.8418606 0.89534885
1200 0.55083334 0.5725 0.5966667 1.0 82.4 87.0 0.41975307 0.5104062 0.5647059 0.7906977 0.833721 0.88372093
1300 0.5669231 0.58884615 0.60923076 1.0 81.0 84.0 0.43209878 0.53935593 0.6419753 0.7790698 0.8302326 0.8604651
1400 0.57857144 0.60164285 0.61785716 1.0 80.3 84.0 0.5125 0.5827755 0.67469877 0.74418604 0.822093 0.872093
1500 0.6 0.6159333 0.63133335 1.0 81.1 85.0 0.5176471 0.5949246 0.7051282 0.75581396 0.8290698 0.8604651
1600 0.61375 0.62799996 0.645 1.0 80.5 87.0 0.5294118 0.6327291 0.71794873 0.75581396 0.8209303 0.8604651
1700 0.62941176 0.6410588 0.6576471 1.0 78.7 84.0 0.5925926 0.6519824 0.74647886 0.7790698 0.8162791 0.8604651
1800 0.6427778 0.6524445 0.6677778 1.0 76.9 83.0 0.60493827 0.70728695 0.7916667 0.76744187 0.81046516 0.8488372
1900 0.6521053 0.6633684 0.6768421 1.0 75.7 81.0 0.65822786 0.75441295 0.8243243 0.75581396 0.80581397 0.8604651
2000 0.6635 0.6746 0.6865 1.0 74.9 84.0 0.67948717 0.76896036 0.84931505 0.7790698 0.8151163 0.8604651
2100 0.67333335 0.68595237 0.69714284 1.0 75.8 82.0 0.6625 0.7774006 0.8630137 0.7790698 0.81627905 0.8372093
2200 0.68454546 0.6965909 0.70681816 1.0 75.1 81.0 0.65822786 0.7880678 0.8767123 0.76744187 0.81162786 0.8372093
2300 0.6930435 0.7053913 0.7152174 1.0 75.0 79.0 0.71794873 0.8132332 0.8918919 0.76744187 0.8162791 0.8488372
2400 0.70208335 0.71370834 0.7245833 1.0 74.2 80.0 0.675 0.83194417 0.884058 0.76744187 0.8151163 0.8488372
2500 0.7084 0.72236 0.7336 1.0 74.4 78.0 0.78205127 0.8434294 0.8947368 0.76744187 0.82441854 0.8604651
2600 0.71576923 0.7299615 0.74115384 1.0 73.3 78.0 0.8076923 0.8742174 0.9142857 0.76744187 0.81976736 0.872093
2700 0.72407407 0.7382963 0.74925923 1.0 72.8 77.0 0.77922076 0.8786394 0.95522386 0.76744187 0.81976736 0.872093
2800 0.73035717 0.7454642 0.75535715 1.0 72.5 78.0 0.77922076 0.89790344 0.9701493 0.76744187 0.81976736 0.872093
2900 0.7372414 0.7525172 0.7624138 1.0 72.2 77.0 0.80263156 0.8937012 0.9558824 0.76744187 0.8151162 0.872093
3000 0.74366665 0.7591666 0.77 1.0 72.1 77.0 0.81333333 0.9130909 0.98507464 0.76744187 0.8174418 0.872093
3100 0.75064516 0.7656774 0.77548385 1.0 72.2 75.0 0.85333335 0.92184925 0.98507464 0.76744187 0.8151163 0.8604651
3200 0.7565625 0.7719687 0.781875 1.0 72.5 76.0 0.85333335 0.91644603 0.97183096 0.76744187 0.8162791 0.8604651
3300 0.76242423 0.77793944 0.78727275 1.0 72.0 76.0 0.8815789 0.92270213 0.97183096 0.76744187 0.81627905 0.8604651
3400 0.7679412 0.78358823 0.7920588 1.0 71.6 75.0 0.8666667 0.9310918 0.9859155 0.7906977 0.8209303 0.872093
3500 0.77428573 0.78917146 0.7962857 1.0 71.4 75.0 0.8666667 0.932701 1.0 0.7906977 0.8197675 0.872093
3600 0.7797222 0.79455554 0.8016667 1.0 71.5 76.0 0.8666667 0.93865144 0.9859155 0.76744187 0.81627905 0.8604651
