rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.1 1.0 1.0 54.9 55.0 0.10909091 0.11474748 0.12727273 0.81395346 0.8779069 0.94186044
100 0.29 0.349 0.4 1.0 82.9 88.0 0.13414635 0.16305646 0.20253165 0.7209302 0.7860465 0.88372093
200 0.34 0.4045 0.465 1.0 81.8 87.0 0.16867469 0.20174906 0.25287357 0.68604654 0.7546511 0.8488372
300 0.41 0.453 0.49333334 1.0 77.0 82.0 0.2 0.23892114 0.27027026 0.6395349 0.6941861 0.76744187
400 0.46 0.49300003 0.5325 1.0 72.2 77.0 0.23529412 0.26434994 0.3116883 0.60465115 0.6651163 0.73255813
500 0.502 0.5289999 0.56 1.0 67.2 74.0 0.25714287 0.30426252 0.3802817 0.61627907 0.64069766 0.6744186
600 0.53333336 0.5621667 0.59166664 1.0 62.2 68.0 0.2857143 0.34501103 0.47368422 0.60465115 0.6290697 0.6511628
700 0.55285716 0.59028566 0.62142855 1.0 57.9 63.0 0.3220339 0.4032069 0.49122807 0.54651165 0.6058139 0.6511628
800 0.58125 0.61825 0.65 1.0 54.7 61.0 0.38181818 0.4398138 0.5 0.53488374 0.60465115 0.6511628
900 0.6122222 0.6426667 0.6666667 1.0 52.7 60.0 0.41666666 0.46531254 0.58 0.55813956 0.59069765 0.6395349
1000 0.638 0.6642 0.69 1.0 50.5 55.0 0.4489796 0.5145113 0.5686275 0.53488374 0.5883721 0.627907
1100 0.6636364 0.68381816 0.7054545 1.0 49.1 54.0 0.46938777 0.5789564 0.6666667 0.54651165 0.5813953 0.627907
1200 0.68583333 0.7025833 0.7275 1.0 48.4 53.0 0.4489796 0.60693586 0.6818182 0.53488374 0.57558143 0.6395349
1300 0.7 0.7186923 0.7430769 1.0 48.0 51.0 0.6041667 0.66238016 0.7254902 0.53488374 0.5709302 0.627907
1400 0.7171429 0.7330715 0.75785714 1.0 47.3 50.0 0.64 0.69596076 0.73913044 0.53488374 0.56627905 0.61627907
1500 0.73066664 0.746 0.76933336 1.0 46.8 50.0 0.65217394 0.72940063 0.8043478 0.5232558 0.55581397 0.61627907
1600 0.74375 0.7574375 0.781875 1.0 45.9 48.0 0.70212764 0.77597773 0.84444445 0.5 0.55116284 0.61627907
1700 0.7558824 0.7694706 0.79 1.0 45.6 48.0 0.7173913 0.79643464 0.8666667 0.5116279 0.55 0.61627907
1800 0.7688889 0.7805556 0.8 1.0 45.5 48.0 0.76744187 0.81987035 0.8666667 0.5116279 0.54651165 0.61627907
1900 0.78 0.7903684 0.80789477 1.0 45.5 48.0 0.7659575 0.84672105 0.8913044 0.5 0.5430233 0.59302324
2000 0.7895 0.79899997 0.813 1.0 45.0 47.0 0.84090906 0.8893305 0.97619045 0.4883721 0.5348838 0.5813953
2100 0.7980952 0.80776197 0.8214286 1.0 45.0 47.0 0.77272725 0.8798159 0.93333334 0.5 0.53720933 0.5813953
2200 0.8068182 0.81518185 0.8281818 1.0 45.0 47.0 0.84782606 0.8930538 0.9574468 0.5 0.53372097 0.5697674
2300 0.81391305 0.82221735 0.8352174 1.0 45.0 47.0 0.82222223 0.90891343 0.9347826 0.5 0.5348838 0.5813953
2400 0.8208333 0.829 0.84166664 1.0 45.0 47.0 0.8666667 0.9180096 0.9782609 0.5 0.53372097 0.5813953
2500 0.8276 0.83551997 0.8476 1.0 44.9 47.0 0.8666667 0.9246417 0.9782609 0.4883721 0.5313953 0.5813953
2600 0.83384615 0.84123075 0.8526923 1.0 44.8 47.0 0.89361703 0.9377772 0.95652175 0.4883721 0.5290698 0.5813953
2700 0.84 0.8467037 0.8577778 1.0 44.8 47.0 0.9318182 0.94430315 0.9777778 0.4883721 0.5267442 0.55813956
2800 0.8453571 0.8519642 0.8625 1.0 44.8 47.0 0.9361702 0.95768917 0.9777778 0.4883721 0.52558136 0.55813956
2900 0.85034484 0.85662067 0.86689657 1.0 44.8 47.0 0.93333334 0.964376 0.9787234 0.4883721 0.52325577 0.54651165
3000 0.8553333 0.86126673 0.871 1.0 44.8 47.0 0.93333334 0.9618961 0.9787234 0.4883721 0.52209306 0.54651165
3100 0.8590323 0.86545163 0.8748387 1.0 44.8 47.0 0.93333334 0.97108877 1.0 0.4883721 0.522093 0.54651165
3200 0.8634375 0.8695313 0.87875 1.0 44.7 47.0 0.9361702 0.9734561 1.0 0.4883721 0.5209302 0.54651165
3300 0.8669697 0.8731818 0.8821212 1.0 44.7 47.0 0.93333334 0.9709343 1.0 0.4883721 0.5197674 0.54651165
3400 0.87088233 0.87676466 0.8855882 1.0 44.7 47.0 0.95238096 0.97977483 1.0 0.4883721 0.5197674 0.54651165
3500 0.8742857 0.8802 0.8888571 1.0 44.7 47.0 0.93333334 0.97340983 1.0 0.4883721 0.5197674 0.54651165
3600 0.87777776 0.8833889 0.89194447 1.0 44.7 47.0 0.95555556 0.9778102 1.0 0.4883721 0.5197674 0.54651165
3700 0.88054055 0.88643247 0.89486486 1.0 44.7 47.0 0.95238096 0.97542924 1.0 0.4883721 0.5197674 0.54651165
3800 0.88342106 0.8893158 0.8976316 1.0 44.7 47.0 0.93333334 0.9799379 1.0 0.4883721 0.5197674 0.54651165
3900 0.88641024 0.89207685 0.9002564 1.0 44.7 47.0 0.95555556 0.98211175 1.0 0.4883721 0.5197674 0.54651165
4000 0.88925 0.8946249 0.9025 1.0 44.7 47.0 0.93333334 0.977557 1.0 0.4883721 0.5197674 0.54651165
4100 0.8919512 0.897122 0.904878 1.0 44.7 47.0 0.95238096 0.981953 1.0 0.4883721 0.5197674 0.54651165
4200 0.89428574 0.89947623 0.9071429 1.0 44.7 47.0 0.95238096 0.9841753 1.0 0.4883721 0.5197674 0.54651165
4300 0.8967442 0.90174407 0.90930235 1.0 44.7 47.0 0.9777778 0.9889372 1.0 0.4883721 0.5197674 0.54651165
4400 0.8990909 0.9039318 0.9111364 1.0 44.7 47.0 0.95555556 0.99111116 1.0 0.4883721 0.5197674 0.54651165
4500 0.9011111 0.9059555 0.9131111 1.0 44.6 47.0 0.95652175 0.991049 1.0 0.4883721 0.51860464 0.54651165
4600 0.9032609 0.9080001 0.915 1.0 44.6 47.0 0.95238096 0.9886681 1.0 0.4883721 0.51860464 0.54651165
4700 0.90531915 0.90991485 0.9168085 1.0 44.6 47.0 0.95238096 0.990842 1.0 0.4883721 0.51860464 0.54651165
4800 0.90729165 0.91175 0.91854167 1.0 44.6 47.0 0.97619045 0.99317455 1.0 0.4883721 0.51860464 0.54651165
4900 0.9089796 0.9134897 0.9202041 1.0 44.6 47.0 0.97619045 0.9953968 1.0 0.4883721 0.51860464 0.54651165
5000 0.9108 0.91519994 0.9218 1.0 44.6 47.0 0.9777778 0.99777776 1.0 0.4883721 0.51860464 0.54651165
5100 0.912549 0.9168431 0.92333335 1.0 44.6 47.0 1.0 1.0 1.0 0.4883721 0.51860464 0.54651165
5200 0.91423076 0.91844225 0.92480767 1.0 44.6 47.0 1.0 1.0 1.0 0.4883721 0.51860464 0.54651165
5300 0.91584903 0.9199811 0.92622644 1.0 44.6 47.0 0.9777778 0.9955556 1.0 0.4883721 0.51860464 0.54651165
5400 0.9174074 0.9214629 0.9275926 1.0 44.6 47.0 0.9777778 0.9955556 1.0 0.4883721 0.51860464 0.54651165
5500 0.9189091 0.92289096 0.92890906 1.0 44.6 47.0 0.9767442 0.9911024 1.0 0.4883721 0.51860464 0.54651165
5600 0.92035717 0.9242321 0.9301786 1.0 44.6 47.0 0.9767442 0.9954522 1.0 0.4883721 0.51860464 0.54651165
5700 0.92175436 0.9255438 0.9314035 1.0 44.6 47.0 0.9767442 0.9954522 1.0 0.4883721 0.51860464 0.54651165
5800 0.92310345 0.926793 0.9325862 1.0 44.6 47.0 1.0 1.0 1.0 0.4883721 0.51860464 0.54651165
5900 0.92440677 0.92803395 0.9337288 1.0 44.6 47.0 1.0 1.0 1.0 0.4883721 0.51860464 0.54651165
6000 0.9256667 0.9292334 0.93483335 1.0 44.6 47.0 1.0 1.0 1.0 0.4883721 0.51860464 0.54651165
6100 0.92688525 0.9303771 0.93590164 1.0 44.6 47.0 1.0 1.0 1.0 0.4883721 0.51860464 0.54651165
6200 0.9280645 0.9314839 0.9369355 1.0 44.6 47.0 0.9777778 0.99777776 1.0 0.4883721 0.51860464 0.54651165
6300 0.9292064 0.93255556 0.9379365 1.0 44.6 47.0 0.9777778 0.99777776 1.0 0.4883721 0.51860464 0.54651165
6400 0.9303125 0.9336093 0.93890625 1.0 44.6 47.0 0.9777778 0.99777776 1.0 0.4883721 0.51860464 0.54651165
6500 0.9312308 0.93461543 0.93984616 1.0 44.6 47.0 1.0 1.0 1.0 0.4883721 0.51860464 0.54651165
6600 0.93227273 0.9356061 0.9407576 1.0 44.6 47.0 1.0 1.0 1.0 0.4883721 0.51860464 0.54651165
6700 0.93328357 0.9365672 0.9416418 1.0 44.6 47.0 1.0 1.0 1.0 0.4883721 0.51860464 0.54651165
6800 0.9342647 0.9375001 0.9425 1.0 44.6 47.0 1.0 1.0 1.0 0.4883721 0.51860464 0.54651165
6900 0.9352174 0.9384058 0.9433333 1.0 44.6 47.0 1.0 1.0 1.0 0.4883721 0.51860464 0.54651165
7000 0.93614286 0.93928564 0.9441429 1.0 44.6 47.0 1.0 1.0 1.0 0.4883721 0.51860464 0.54651165
7100 0.93704224 0.94014084 0.9449296 1.0 44.6 47.0 1.0 1.0 1.0 0.4883721 0.51860464 0.54651165
7200 0.9379167 0.9409723 0.94569445 1.0 44.6 47.0 1.0 1.0 1.0 0.4883721 0.51860464 0.54651165
7300 0.93876714 0.94178087 0.9464384 1.0 44.6 47.0 1.0 1.0 1.0 0.4883721 0.51860464 0.54651165
7400 0.93959457 0.9425675 0.94716215 1.0 44.6 47.0 1.0 1.0 1.0 0.4883721 0.51860464 0.54651165
7500 0.9404 0.9433333 0.9478667 1.0 44.6 47.0 1.0 1.0 1.0 0.4883721 0.51860464 0.54651165
