rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 54.2 55.0 0.10909091 0.11252526 0.12727273 0.81395346 0.88255805 0.95348835
100 0.36 0.455 0.52 1.0 52.0 59.0 0.1764706 0.22506173 0.3220339 0.45348838 0.5453489 0.6511628
200 0.53 0.577 0.615 1.0 39.4 48.0 0.23255815 0.32146746 0.47058824 0.3255814 0.3965116 0.53488374
300 0.64 0.65999997 0.67333335 1.0 32.8 43.0 0.2647059 0.39897975 0.46666667 0.25581396 0.36395344 0.4883721
400 0.6875 0.71199995 0.7225 1.0 29.1 37.0 0.42857143 0.4808413 0.5714286 0.22093023 0.33604652 0.44186047
500 0.728 0.75159997 0.766 1.0 27.2 35.0 0.37931034 0.5037131 0.61904764 0.22093023 0.33372092 0.43023255
600 0.76 0.78000003 0.79333335 1.0 26.4 34.0 0.44444445 0.57445467 0.6764706 0.23255815 0.322093 0.40697673
700 0.7828571 0.80200005 0.8142857 1.0 26.0 33.0 0.53571427 0.61331344 0.8 0.23255815 0.31976742 0.40697673
800 0.79875 0.81975 0.8325 1.0 25.2 30.0 0.44444445 0.65284336 0.75 0.23255815 0.30697674 0.38372093
900 0.81777775 0.83511114 0.8488889 1.0 25.0 30.0 0.5555556 0.6622597 0.7619048 0.23255815 0.30581397 0.37209302
1000 0.831 0.8482 0.864 1.0 24.9 30.0 0.5925926 0.68882716 0.7916667 0.23255815 0.29767442 0.3488372
1100 0.84363633 0.85881823 0.8727273 1.0 24.9 30.0 0.65217394 0.75027555 0.8333333 0.22093023 0.29534882 0.3488372
1200 0.8516667 0.8681666 0.88166666 1.0 24.6 30.0 0.72 0.7772267 0.8333333 0.22093023 0.29418603 0.3604651
1300 0.85923076 0.87592316 0.88846153 1.0 24.5 30.0 0.75 0.8424052 0.93333334 0.22093023 0.2883721 0.3488372
1400 0.8685714 0.8832857 0.895 1.0 24.5 30.0 0.7777778 0.8703682 0.9583333 0.22093023 0.2883721 0.3488372
1500 0.87666667 0.8902668 0.90066665 1.0 24.4 30.0 0.82608694 0.8870745 0.95 0.22093023 0.2883721 0.3488372
1600 0.883125 0.8961876 0.905625 1.0 24.3 30.0 0.84615386 0.902053 0.9583333 0.22093023 0.2883721 0.3488372
1700 0.88941175 0.90176475 0.91117644 1.0 24.3 30.0 0.84615386 0.9192712 0.9583333 0.22093023 0.28720927 0.3488372
