rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.2 55.0 0.10909091 0.11252526 0.12727273 0.8372093 0.88720924 0.95348835
100 0.34 0.45 0.5 1.0 52.1 57.0 0.17307693 0.22581801 0.28070176 0.45348838 0.5639535 0.6976744
200 0.545 0.579 0.62 1.0 40.6 45.0 0.2 0.31940967 0.41860464 0.37209302 0.45348835 0.59302324
300 0.63666666 0.66366667 0.68 1.0 34.4 39.0 0.2972973 0.3940465 0.5 0.3488372 0.4127907 0.5
400 0.685 0.71575004 0.7325 1.0 31.6 36.0 0.3548387 0.430252 0.516129 0.3255814 0.38720927 0.4651163
500 0.73 0.7530001 0.77 1.0 30.1 35.0 0.32352942 0.45620403 0.54285717 0.3255814 0.37906975 0.5116279
600 0.7633333 0.7806667 0.79833335 1.0 29.6 34.0 0.41379312 0.50549084 0.61290324 0.3139535 0.3802325 0.4883721
700 0.7871429 0.8022857 0.8157143 1.0 29.3 34.0 0.48387095 0.5516708 0.7083333 0.3139535 0.37558138 0.5
800 0.805 0.81825 0.8325 1.0 28.8 34.0 0.43333334 0.58022445 0.7096774 0.30232558 0.3686046 0.47674417
900 0.81777775 0.833 0.8488889 1.0 28.6 34.0 0.44117647 0.5878193 0.71428573 0.30232558 0.36976743 0.4883721
1000 0.832 0.84569997 0.863 1.0 28.6 34.0 0.5 0.6110859 0.71428573 0.29069766 0.36395344 0.47674417
1100 0.8445455 0.8569091 0.8727273 1.0 28.6 34.0 0.5588235 0.6511498 0.73333335 0.29069766 0.36395344 0.4651163
1200 0.85333335 0.86641663 0.8825 1.0 28.6 34.0 0.5294118 0.6673063 0.7741935 0.29069766 0.36627907 0.4883721
1300 0.86153847 0.87430775 0.8892308 1.0 28.5 34.0 0.61764705 0.71410936 0.875 0.29069766 0.3604651 0.4651163
1400 0.8707143 0.8818571 0.895 1.0 28.5 34.0 0.61764705 0.7435192 0.875 0.29069766 0.3604651 0.4651163
1500 0.8793333 0.88913333 0.90066665 1.0 28.5 34.0 0.64705884 0.7465852 0.7916667 0.29069766 0.3604651 0.4651163
1600 0.88625 0.89524996 0.906875 1.0 28.4 34.0 0.61764705 0.7594692 0.8333333 0.29069766 0.3604651 0.4651163
1700 0.89235294 0.90105885 0.9117647 1.0 28.4 34.0 0.61764705 0.7635186 0.8333333 0.29069766 0.3604651 0.4651163
1800 0.8983333 0.90611106 0.9166667 1.0 28.4 34.0 0.61764705 0.77935946 0.875 0.29069766 0.36162788 0.4651163
1900 0.9036842 0.91073686 0.92105263 1.0 28.4 34.0 0.61764705 0.7891444 0.875 0.29069766 0.36162788 0.4651163
2000 0.9075 0.91485006 0.9245 1.0 28.4 34.0 0.6764706 0.7955047 0.875 0.29069766 0.36162788 0.4651163
2100 0.9109524 0.91861904 0.9280952 1.0 28.4 34.0 0.6785714 0.80189407 0.875 0.29069766 0.3604651 0.4651163
2200 0.915 0.9222272 0.93136364 1.0 28.4 34.0 0.6785714 0.8051199 0.875 0.29069766 0.3604651 0.4651163
2300 0.9186956 0.92560863 0.9343478 1.0 28.4 34.0 0.6764706 0.7988454 0.875 0.29069766 0.3604651 0.4651163
2400 0.9216667 0.9285833 0.9370833 1.0 28.4 34.0 0.6785714 0.8017866 0.875 0.29069766 0.3604651 0.4651163
2500 0.9248 0.93144 0.9396 1.0 28.4 34.0 0.6785714 0.8017866 0.875 0.29069766 0.3604651 0.4651163
2600 0.92730767 0.93403846 0.9419231 1.0 28.4 34.0 0.6785714 0.8017866 0.875 0.29069766 0.3604651 0.4651163
2700 0.93 0.93644446 0.9440741 1.0 28.4 34.0 0.6785714 0.8017866 0.875 0.29069766 0.3604651 0.4651163
2800 0.9325 0.9387143 0.94607145 1.0 28.4 34.0 0.6785714 0.8017866 0.875 0.29069766 0.3604651 0.4651163
2900 0.93482757 0.94079316 0.94793105 1.0 28.4 34.0 0.6785714 0.8051199 0.875 0.29069766 0.3604651 0.4651163
3000 0.937 0.94276667 0.9496667 1.0 28.4 34.0 0.6785714 0.8051199 0.875 0.29069766 0.3604651 0.4651163
3100 0.93903226 0.9445807 0.9512903 1.0 28.4 34.0 0.6785714 0.8051199 0.875 0.29069766 0.3604651 0.4651163
3200 0.9409375 0.94631255 0.9528125 1.0 28.4 34.0 0.6785714 0.8051199 0.875 0.29069766 0.3604651 0.4651163
3300 0.94272727 0.9479394 0.9542424 1.0 28.4 34.0 0.6785714 0.8051199 0.875 0.29069766 0.3604651 0.4651163
