rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.0 54.0 0.11111111 0.116666675 0.12962963 0.8372093 0.89418614 0.95348835
100 0.22 0.27199998 0.31 1.0 56.7 63.0 0.11764706 0.15305722 0.22807017 0.47674417 0.5837209 0.7093023
200 0.26 0.30550003 0.345 1.0 59.6 66.0 0.10606061 0.14768302 0.16923077 0.45348838 0.55930233 0.6511628
300 0.29 0.32833332 0.39 1.0 59.3 70.0 0.11666667 0.14378215 0.17857143 0.43023255 0.5244186 0.6627907
400 0.2925 0.34549996 0.4025 1.0 55.4 62.0 0.12727273 0.17082104 0.2264151 0.39534885 0.48255816 0.627907
500 0.326 0.373 0.422 1.0 52.5 60.0 0.10909091 0.17896557 0.27272728 0.3139535 0.4430233 0.5813953
600 0.34666666 0.39499998 0.435 1.0 48.5 55.0 0.12727273 0.1752961 0.26530612 0.27906978 0.42325583 0.5116279
700 0.36857143 0.41171432 0.4457143 1.0 47.2 57.0 0.12 0.18130575 0.2888889 0.38372093 0.43255815 0.5232558
800 0.40125 0.42962503 0.46125 1.0 45.1 60.0 0.1 0.20039885 0.2682927 0.29069766 0.39883718 0.47674417
900 0.41777778 0.44255552 0.47555557 1.0 41.9 56.0 0.15555556 0.2232106 0.33333334 0.25581396 0.37558135 0.5232558
1000 0.431 0.46089998 0.483 1.0 39.3 50.0 0.17391305 0.2442402 0.34285715 0.24418604 0.3465116 0.47674417
1100 0.45 0.47763634 0.49363637 1.0 40.1 48.0 0.21276596 0.26323047 0.36585367 0.24418604 0.3604651 0.45348838
1200 0.47333333 0.49583334 0.5125 1.0 40.1 48.0 0.21052632 0.2641185 0.32258064 0.29069766 0.37790695 0.47674417
1300 0.48076922 0.5081538 0.52153844 1.0 39.0 47.0 0.21428572 0.29644912 0.36363637 0.24418604 0.35348836 0.45348838
1400 0.48857144 0.5200714 0.53571427 1.0 38.9 45.0 0.15555556 0.32114327 0.4047619 0.27906978 0.34767437 0.41860464
1500 0.504 0.5321333 0.54866666 1.0 36.5 43.0 0.2 0.35772368 0.4375 0.24418604 0.31976742 0.37209302
1600 0.518125 0.54375 0.56 1.0 36.5 45.0 0.35135135 0.41562504 0.5 0.25581396 0.322093 0.38372093
1700 0.5305882 0.55588233 0.57529414 1.0 35.9 41.0 0.3611111 0.43885508 0.5483871 0.25581396 0.3127907 0.3372093
1800 0.5422222 0.5686667 0.58555555 1.0 37.2 43.0 0.4047619 0.4605628 0.5294118 0.27906978 0.33139533 0.40697673
1900 0.55473685 0.58031577 0.59842104 1.0 37.8 44.0 0.4318182 0.52152663 0.6551724 0.25581396 0.32790694 0.37209302
2000 0.568 0.5925 0.6075 1.0 39.2 48.0 0.5 0.5388304 0.6451613 0.29069766 0.36162788 0.43023255
2100 0.5809524 0.60238093 0.6157143 1.0 39.8 49.0 0.44444445 0.5695714 0.6756757 0.3255814 0.36627904 0.44186047
2200 0.59181815 0.6127273 0.62454545 1.0 38.9 46.0 0.5 0.63220894 0.8518519 0.27906978 0.35930228 0.44186047
2300 0.60565215 0.62286955 0.6347826 1.0 40.0 48.0 0.57894737 0.6548878 0.7878788 0.30232558 0.36627904 0.44186047
2400 0.61625 0.63175 0.64125 1.0 39.4 46.0 0.5945946 0.69245607 0.8181818 0.27906978 0.372093 0.45348838
