rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.0 54.0 0.11111111 0.11111112 0.11111111 0.8372093 0.89069766 0.94186044
100 0.32 0.399 0.46 1.0 48.3 51.0 0.12 0.17860234 0.23913044 0.4651163 0.5430233 0.6976744
200 0.445 0.5165 0.57 1.0 40.8 44.0 0.1590909 0.19504997 0.24324325 0.3139535 0.41511625 0.4883721
300 0.5 0.5673333 0.6066667 1.0 31.6 36.0 0.18181819 0.22411981 0.31428573 0.22093023 0.29418606 0.37209302
400 0.5775 0.62175 0.65 1.0 23.8 27.0 0.24 0.2871283 0.33333334 0.10465116 0.20116279 0.29069766
500 0.632 0.66780007 0.688 1.0 18.1 22.0 0.27272728 0.38569546 0.47368422 0.11627907 0.15930232 0.20930232
600 0.675 0.70966667 0.72333336 1.0 15.2 20.0 0.3 0.432086 0.54545456 0.08139535 0.13953489 0.1744186
700 0.7114286 0.73942864 0.75 1.0 12.1 16.0 0.375 0.5314177 0.7 0.093023255 0.11627908 0.13953489
800 0.7475 0.76725 0.77875 1.0 10.3 13.0 0.46153846 0.60100234 0.6666667 0.08139535 0.10116279 0.12790698
900 0.7722222 0.7882222 0.8 1.0 8.7 10.0 0.6 0.705 0.75 0.069767445 0.0860465 0.11627907
1000 0.793 0.80719995 0.818 1.0 8.0 9.0 0.6666667 0.78253967 1.0 0.069767445 0.08372093 0.093023255
1100 0.8109091 0.8235456 0.83363634 1.0 7.5 9.0 0.6666667 0.82202375 1.0 0.069767445 0.08023255 0.093023255
1200 0.8258333 0.83708334 0.8475 1.0 7.0 9.0 0.6666667 0.8738095 1.0 0.069767445 0.072093025 0.08139535
1300 0.8376923 0.849 0.85846156 1.0 6.7 8.0 0.85714287 0.9160714 1.0 0.069767445 0.07209303 0.093023255
1400 0.8478571 0.8592857 0.86785716 1.0 6.5 8.0 0.75 0.93214285 1.0 0.069767445 0.07093024 0.08139535
1500 0.85733336 0.8684667 0.87666667 1.0 6.4 8.0 0.75 0.9464286 1.0 0.069767445 0.06976745 0.069767445
1600 0.864375 0.87631255 0.883125 1.0 6.1 7.0 0.85714287 0.9857143 1.0 0.069767445 0.06976745 0.069767445
1700 0.87235296 0.8835882 0.89 1.0 6.1 7.0 0.85714287 0.9857143 1.0 0.069767445 0.06976745 0.069767445
