rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.9 56.0 0.10714286 0.11111833 0.12727273 0.8372093 0.89069766 0.95348835
100 0.22 0.353 0.46 1.0 93.4 100.0 0.13043478 0.1848691 0.24210526 0.75581396 0.8313953 0.9302326
200 0.35 0.40399998 0.485 1.0 99.9 109.0 0.17171717 0.20032844 0.25252524 0.7906977 0.8476745 0.90697676
300 0.4 0.4356667 0.49333334 1.0 99.7 111.0 0.17894737 0.22750798 0.27722773 0.8023256 0.8488372 0.90697676
400 0.4325 0.46525002 0.515 1.0 100.4 112.0 0.18367347 0.2464974 0.36082473 0.7790698 0.86976755 0.9186047
500 0.476 0.496 0.528 1.0 99.3 111.0 0.22222222 0.2813782 0.33 0.7790698 0.8627907 0.9302326
600 0.49333334 0.51816666 0.55 1.0 99.5 109.0 0.24770643 0.3225327 0.3814433 0.76744187 0.8651163 0.9302326
700 0.5 0.5397143 0.56714284 1.0 98.5 108.0 0.28301886 0.3305133 0.38613862 0.8023256 0.87558144 0.94186044
800 0.51875 0.558375 0.58 1.0 97.9 107.0 0.29473683 0.34968153 0.42045453 0.8023256 0.8790698 0.9302326
900 0.5366667 0.574 0.59444445 1.0 96.2 107.0 0.3084112 0.37096122 0.4651163 0.8255814 0.88488376 0.9302326
1000 0.554 0.5891 0.607 1.0 94.4 105.0 0.28723404 0.40756473 0.4623656 0.8372093 0.89069766 0.94186044
1100 0.57272726 0.604 0.6218182 1.0 93.1 102.0 0.36363637 0.42143688 0.5 0.8604651 0.89767444 0.95348835
1200 0.585 0.61616665 0.6333333 1.0 90.7 102.0 0.37254903 0.48032108 0.5681818 0.8604651 0.89883727 0.95348835
1300 0.60384613 0.6300769 0.6446154 1.0 89.8 101.0 0.41584158 0.5252274 0.60227275 0.8604651 0.9000001 0.95348835
1400 0.6142857 0.6423571 0.655 1.0 87.8 98.0 0.4489796 0.56622016 0.6321839 0.8604651 0.90348846 0.95348835
1500 0.6206667 0.65433323 0.668 1.0 88.0 102.0 0.5 0.58840716 0.64044946 0.8604651 0.905814 0.95348835
1600 0.6325 0.665 0.679375 1.0 86.0 98.0 0.5102041 0.63060665 0.725 0.872093 0.9081396 0.95348835
1700 0.64235294 0.67794114 0.6917647 1.0 85.2 98.0 0.5816327 0.6386402 0.75581396 0.872093 0.9127908 0.95348835
1800 0.6522222 0.6885556 0.7022222 1.0 84.7 96.0 0.60714287 0.6732801 0.8101266 0.872093 0.9127908 0.95348835
1900 0.66473687 0.6993684 0.7126316 1.0 84.3 95.0 0.6421053 0.713308 0.825 0.872093 0.9139535 0.95348835
2000 0.6755 0.71005 0.7235 1.0 83.5 94.0 0.63829786 0.7373451 0.8607595 0.872093 0.9151163 0.95348835
2100 0.6857143 0.7204286 0.73571426 1.0 83.0 93.0 0.6741573 0.7632403 0.89873415 0.872093 0.9151163 0.95348835
2200 0.6981818 0.73054546 0.74545455 1.0 82.8 93.0 0.7 0.7615263 0.886076 0.872093 0.9151163 0.95348835
2300 0.70869565 0.73943484 0.7530435 1.0 82.7 92.0 0.7222222 0.77756757 0.87341774 0.872093 0.9151163 0.95348835
2400 0.71625 0.7469584 0.75916666 1.0 82.1 89.0 0.752809 0.8057245 0.8414634 0.872093 0.9151163 0.95348835
2500 0.7256 0.75472003 0.7672 1.0 81.8 89.0 0.752809 0.81863964 0.8780488 0.872093 0.9151163 0.95348835
2600 0.73423076 0.7622308 0.7734615 1.0 81.5 88.0 0.78409094 0.8376573 0.91463417 0.872093 0.9151163 0.95348835
2700 0.74185187 0.7692592 0.7811111 1.0 81.5 87.0 0.79268295 0.8496248 0.9259259 0.872093 0.9151163 0.95348835
2800 0.75035715 0.7760714 0.78821427 1.0 81.0 87.0 0.80246913 0.8659979 0.9259259 0.872093 0.9151163 0.95348835
2900 0.7586207 0.782931 0.79448277 1.0 80.9 87.0 0.81609195 0.853377 0.8961039 0.872093 0.91627914 0.95348835
3000 0.76633334 0.789 0.8003333 1.0 80.8 87.0 0.79310346 0.8623737 0.90909094 0.872093 0.91627914 0.95348835
3100 0.7729032 0.79467744 0.8054839 1.0 80.6 86.0 0.8235294 0.88003576 0.91358024 0.872093 0.9186047 0.95348835
3200 0.7790625 0.800375 0.810625 1.0 80.7 86.0 0.8352941 0.88801795 0.9220779 0.872093 0.9186047 0.95348835
3300 0.7848485 0.8058485 0.8160606 1.0 80.4 85.0 0.8452381 0.8912242 0.9480519 0.872093 0.9186047 0.95348835
3400 0.79058826 0.8107942 0.82058823 1.0 80.4 85.0 0.88095236 0.9020044 0.9220779 0.872093 0.9186047 0.95348835
3500 0.7962857 0.81542856 0.82514286 1.0 80.4 85.0 0.86904764 0.90068305 0.92 0.872093 0.9186047 0.95348835
3600 0.8016667 0.8199445 0.83 1.0 80.6 85.0 0.8780488 0.903535 0.9259259 0.872093 0.9186047 0.95348835
3700 0.8064865 0.8241351 0.8337838 1.0 80.3 85.0 0.8780488 0.9142998 0.9382716 0.872093 0.9186047 0.95348835
