rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.11131314 0.12727273 0.8372093 0.8860465 0.95348835
100 0.21 0.281 0.41 1.0 87.6 94.0 0.10638298 0.12576488 0.1627907 0.73255813 0.82558143 0.89534885
200 0.24 0.29099998 0.345 1.0 91.5 96.0 0.097826086 0.124797 0.15294118 0.74418604 0.8 0.872093
300 0.26333332 0.29766664 0.34 1.0 86.7 94.0 0.08235294 0.11718825 0.18181819 0.7209302 0.80116284 0.88372093
400 0.28 0.30975 0.35 1.0 80.8 85.0 0.097222224 0.12974069 0.19753087 0.59302324 0.7034884 0.7790698
500 0.302 0.32319996 0.366 1.0 73.9 81.0 0.086419754 0.11272514 0.14864865 0.5813953 0.6488372 0.76744187
600 0.315 0.3318333 0.37333333 1.0 67.4 72.0 0.10294118 0.12637916 0.15384616 0.4883721 0.5651163 0.6511628
700 0.31714284 0.34585714 0.37142858 1.0 66.2 73.0 0.104477614 0.12838289 0.15492958 0.45348838 0.53372097 0.6627907
800 0.33625 0.35700002 0.375 1.0 61.8 68.0 0.10294118 0.1411603 0.17741935 0.45348838 0.5360465 0.61627907
900 0.3511111 0.36666667 0.38 1.0 56.1 62.0 0.12 0.14818814 0.17857143 0.39534885 0.47906977 0.55813956
1000 0.364 0.3797 0.396 1.0 53.5 58.0 0.12068965 0.16123615 0.19607843 0.38372093 0.44418603 0.4883721
1100 0.37181818 0.39054546 0.41272727 1.0 51.6 59.0 0.125 0.17086875 0.23255815 0.38372093 0.45116282 0.55813956
1200 0.39 0.40741667 0.43083334 1.0 52.4 58.0 0.11111111 0.17223969 0.23076923 0.3604651 0.43139535 0.4883721
1300 0.40384614 0.41915387 0.4369231 1.0 49.8 57.0 0.14285715 0.19594927 0.25490198 0.3604651 0.41627908 0.4651163
1400 0.41142857 0.4311428 0.4542857 1.0 48.7 60.0 0.18518518 0.2189322 0.25 0.37209302 0.40581393 0.45348838
1500 0.42666668 0.44379997 0.46133333 1.0 46.5 53.0 0.1875 0.24982163 0.32608697 0.26744187 0.372093 0.45348838
1600 0.438125 0.454875 0.473125 1.0 44.0 50.0 0.24 0.30557802 0.37209302 0.27906978 0.36511627 0.45348838
1700 0.4517647 0.46770588 0.4852941 1.0 45.3 56.0 0.24489796 0.32671037 0.3902439 0.30232558 0.37441856 0.4651163
1800 0.4672222 0.4792222 0.4977778 1.0 45.0 52.0 0.2820513 0.34680992 0.42857143 0.26744187 0.36627904 0.4883721
1900 0.4763158 0.49089473 0.5121053 1.0 44.9 54.0 0.29166666 0.36943707 0.425 0.29069766 0.3686046 0.44186047
2000 0.488 0.50325 0.5255 1.0 43.4 50.0 0.32 0.4062408 0.4857143 0.26744187 0.3581395 0.43023255
2100 0.49714285 0.5131429 0.5309524 1.0 42.3 49.0 0.3125 0.43485323 0.5555556 0.3139535 0.35465115 0.40697673
2200 0.51045454 0.52427274 0.5386364 1.0 43.0 49.0 0.36956522 0.4642226 0.55 0.26744187 0.35348836 0.39534885
2300 0.5204348 0.5349565 0.54695654 1.0 40.8 48.0 0.4 0.49931055 0.57894737 0.25581396 0.34186044 0.40697673
2400 0.5325 0.54466665 0.555 1.0 38.6 49.0 0.45238096 0.5419926 0.7027027 0.27906978 0.32674417 0.43023255
2500 0.5444 0.55623996 0.568 1.0 41.1 46.0 0.4347826 0.55666435 0.7714286 0.27906978 0.34302324 0.41860464
2600 0.5538462 0.5662692 0.5780769 1.0 43.2 49.0 0.5 0.57472837 0.7111111 0.29069766 0.36627904 0.43023255
2700 0.5637037 0.57611114 0.5874074 1.0 43.5 57.0 0.5121951 0.62377495 0.77272725 0.30232558 0.3697674 0.4883721
2800 0.57357144 0.58592856 0.59821427 1.0 45.0 53.0 0.54347825 0.6342777 0.78571427 0.27906978 0.39534882 0.47674417
2900 0.5834483 0.5955862 0.6093103 1.0 45.4 52.0 0.5319149 0.6571934 0.75 0.3139535 0.4069767 0.5116279
3000 0.5923333 0.6045667 0.61766666 1.0 45.7 53.0 0.5681818 0.66606367 0.7647059 0.3139535 0.4104651 0.5116279
3100 0.59967744 0.6122259 0.62612903 1.0 45.6 54.0 0.5813953 0.68395233 0.7346939 0.29069766 0.39999998 0.4883721
3200 0.60875 0.62012506 0.6334375 1.0 43.3 52.0 0.6511628 0.73931557 0.8333333 0.26744187 0.3813953 0.45348838
3300 0.61848485 0.62896967 0.6409091 1.0 44.8 55.0 0.63829786 0.74495834 0.82857144 0.25581396 0.38604647 0.4651163
3400 0.6267647 0.63667643 0.6476471 1.0 45.0 56.0 0.70212764 0.7600228 0.825 0.29069766 0.39767438 0.4883721
3500 0.6331428 0.6437714 0.654 1.0 44.9 52.0 0.7173913 0.782389 0.86538464 0.3139535 0.39767438 0.5116279
3600 0.64 0.65133333 0.66333336 1.0 46.1 54.0 0.7083333 0.7973358 0.9268293 0.3255814 0.41860467 0.53488374
3700 0.6475676 0.65862167 0.6716216 1.0 45.6 54.0 0.7234042 0.81590307 0.8703704 0.3372093 0.40813953 0.5116279
3800 0.6552632 0.66534215 0.6784211 1.0 46.2 56.0 0.76744187 0.83621633 0.90909094 0.3488372 0.41976744 0.54651165
3900 0.6623077 0.6720257 0.6861538 1.0 46.7 55.0 0.81395346 0.8595508 0.92727274 0.3139535 0.41976744 0.5232558
4000 0.6695 0.67877495 0.692 1.0 46.6 55.0 0.82222223 0.87584937 0.94545454 0.3139535 0.41627908 0.5232558
4100 0.67560977 0.6855365 0.6985366 1.0 47.6 56.0 0.754717 0.86991054 0.9464286 0.3255814 0.4255814 0.5232558
4200 0.68142855 0.69166666 0.7052381 1.0 47.5 55.0 0.8 0.89150536 0.97619045 0.3255814 0.4244186 0.5232558
4300 0.68860465 0.69783723 0.712093 1.0 49.1 57.0 0.8333333 0.89840716 0.95652175 0.3604651 0.44418603 0.53488374
4400 0.69545454 0.7038636 0.71840906 1.0 50.3 58.0 0.7777778 0.89020795 0.94827586 0.37209302 0.4581395 0.54651165
4500 0.70177776 0.7092889 0.72444445 1.0 50.9 58.0 0.84090906 0.89478314 0.94827586 0.3604651 0.4616279 0.54651165
4600 0.70652175 0.7146522 0.73 1.0 51.1 57.0 0.84 0.90505135 0.9649123 0.38372093 0.46395344 0.54651165
4700 0.7123404 0.7200638 0.7355319 1.0 52.2 59.0 0.8305085 0.9104105 0.9649123 0.39534885 0.47674423 0.54651165
4800 0.718125 0.72520834 0.7402083 1.0 51.4 56.0 0.8979592 0.93699294 1.0 0.39534885 0.4709302 0.53488374
4900 0.72387755 0.7301632 0.74530613 1.0 51.3 57.0 0.90909094 0.94632375 0.98245615 0.39534885 0.47209302 0.53488374
5000 0.7288 0.73495996 0.7494 1.0 51.2 57.0 0.9245283 0.9570118 0.98039216 0.39534885 0.4755814 0.53488374
5100 0.7337255 0.73974514 0.75333333 1.0 52.5 59.0 0.9148936 0.9559992 0.9818182 0.41860464 0.49069768 0.55813956
5200 0.73846155 0.7443654 0.7575 1.0 52.5 59.0 0.9574468 0.9688908 1.0 0.43023255 0.49418607 0.5697674
5300 0.74301887 0.74890566 0.7618868 1.0 52.8 59.0 0.9622642 0.97752285 1.0 0.43023255 0.49883717 0.5697674
5400 0.74777776 0.75344443 0.76592594 1.0 53.3 60.0 0.9607843 0.97550905 1.0 0.43023255 0.5046512 0.5813953
5500 0.7521818 0.75772727 0.77 1.0 53.6 62.0 0.9444444 0.97801256 1.0 0.44186047 0.50581396 0.60465115
5600 0.75625 0.7618393 0.77375 1.0 53.3 62.0 0.9622642 0.9888576 1.0 0.44186047 0.5034884 0.60465115
5700 0.7605263 0.76582456 0.777193 1.0 54.1 62.0 0.9622642 0.98151433 1.0 0.44186047 0.51395357 0.59302324
5800 0.7641379 0.7696551 0.7808621 1.0 54.7 63.0 0.94545454 0.98016566 1.0 0.43023255 0.5162791 0.59302324
5900 0.7681356 0.7733729 0.78423727 1.0 54.8 63.0 0.95238096 0.9858511 1.0 0.43023255 0.51744187 0.59302324
6000 0.77183336 0.7770334 0.7875 1.0 55.1 62.0 0.9622642 0.98371685 1.0 0.43023255 0.5197674 0.5813953
6100 0.7754098 0.78055733 0.79065573 1.0 55.0 60.0 0.9649123 0.9889676 1.0 0.43023255 0.522093 0.5813953
6200 0.77903223 0.7839838 0.793871 1.0 55.3 60.0 0.9649123 0.99099827 1.0 0.44186047 0.5255814 0.5813953
