rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.1149495 0.12727273 0.8372093 0.8930233 0.95348835
100 0.23 0.30699998 0.36 1.0 82.7 90.0 0.101265825 0.12307489 0.1590909 0.7093023 0.7813953 0.8604651
200 0.305 0.3555 0.39 1.0 80.3 85.0 0.0875 0.12832703 0.16883117 0.60465115 0.71162784 0.8604651
300 0.30666667 0.37499997 0.42333335 1.0 73.1 77.0 0.097222224 0.13789144 0.18055555 0.55813956 0.65465117 0.75581396
400 0.38 0.4065 0.4375 1.0 63.9 70.0 0.10294118 0.13988158 0.20967741 0.44186047 0.53604645 0.6511628
500 0.428 0.44419998 0.47 1.0 53.7 63.0 0.10344828 0.14590238 0.18032786 0.3488372 0.4430232 0.5116279
600 0.44666666 0.4806667 0.5083333 1.0 46.6 58.0 0.11320755 0.16212998 0.19148937 0.26744187 0.38720927 0.47674417
700 0.46571428 0.51157147 0.54 1.0 39.5 50.0 0.12 0.18164629 0.225 0.22093023 0.31976742 0.43023255
800 0.5 0.542125 0.57 1.0 32.4 42.0 0.14285715 0.21027696 0.26923078 0.19767442 0.24767444 0.3372093
900 0.5222222 0.5712222 0.5933333 1.0 27.2 37.0 0.16216215 0.23822543 0.3 0.15116279 0.21511629 0.30232558
1000 0.551 0.59970003 0.616 1.0 23.7 37.0 0.1891892 0.2909323 0.4375 0.12790698 0.18837209 0.3604651
1100 0.5772727 0.6228182 0.64363635 1.0 19.7 29.0 0.2413793 0.34523994 0.46666667 0.093023255 0.15348837 0.25581396
1200 0.6091667 0.64691675 0.6691667 1.0 15.5 23.0 0.35 0.44389898 0.54545456 0.08139535 0.12790698 0.18604651
1300 0.6330769 0.66800004 0.6923077 1.0 14.1 23.0 0.3043478 0.46852046 0.54545456 0.069767445 0.11860466 0.20930232
1400 0.6578571 0.688 0.7114286 1.0 12.8 22.0 0.36363637 0.5241841 0.6666667 0.069767445 0.10813954 0.1744186
1500 0.6766667 0.70579994 0.72933334 1.0 10.8 18.0 0.42857143 0.61564153 0.85714287 0.069767445 0.10116279 0.1627907
1600 0.69375 0.7223125 0.745625 1.0 9.9 17.0 0.4117647 0.6619557 0.85714287 0.069767445 0.093023255 0.13953489
1700 0.7082353 0.73676467 0.76 1.0 9.2 13.0 0.53846157 0.69129205 0.85714287 0.069767445 0.0872093 0.11627907
1800 0.7211111 0.75000006 0.7733333 1.0 8.4 11.0 0.54545456 0.7529005 1.0 0.069767445 0.08023255 0.10465116
1900 0.7336842 0.7622105 0.7847369 1.0 7.5 10.0 0.6 0.82547617 1.0 0.069767445 0.07906976 0.093023255
2000 0.747 0.77390003 0.7955 1.0 7.3 10.0 0.6 0.8445238 1.0 0.069767445 0.07558139 0.093023255
2100 0.75809526 0.78433335 0.80523807 1.0 6.8 8.0 0.75 0.8964286 1.0 0.069767445 0.073255815 0.093023255
2200 0.7690909 0.79395455 0.8140909 1.0 6.6 8.0 0.75 0.92142856 1.0 0.069767445 0.073255815 0.093023255
