rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.7 55.0 0.10909091 0.11151515 0.12727273 0.8372093 0.8918605 0.95348835
100 0.18 0.329 0.45 1.0 78.2 83.0 0.103896104 0.12528017 0.16883117 0.6627907 0.7616279 0.8023256
200 0.28 0.3815 0.45 1.0 68.8 77.0 0.0945946 0.13170403 0.14754099 0.54651165 0.62790704 0.7209302
300 0.36 0.42833334 0.48 1.0 56.4 63.0 0.11666667 0.13945293 0.17777778 0.38372093 0.49883723 0.6395349
400 0.4025 0.475 0.5325 1.0 44.0 49.0 0.13953489 0.17611676 0.25 0.30232558 0.3965116 0.4883721
500 0.46 0.52239996 0.578 1.0 30.8 35.0 0.1875 0.24174571 0.3 0.18604651 0.25116283 0.3372093
600 0.5183333 0.5695 0.61333334 1.0 24.1 29.0 0.20689656 0.29853266 0.42857143 0.15116279 0.19302325 0.26744187
700 0.5714286 0.612 0.6614286 1.0 18.1 22.0 0.2857143 0.39462808 0.6666667 0.12790698 0.16511628 0.22093023
800 0.615 0.648875 0.69 1.0 13.9 17.0 0.3529412 0.46205568 0.6666667 0.08139535 0.1255814 0.18604651
900 0.65555555 0.68222225 0.7188889 1.0 11.2 15.0 0.4 0.5739394 0.75 0.08139535 0.10930233 0.15116279
1000 0.685 0.7103 0.745 1.0 9.6 13.0 0.46153846 0.6795954 0.85714287 0.08139535 0.09418604 0.11627907
1100 0.7072727 0.7343637 0.7672727 1.0 8.4 10.0 0.6 0.7347619 0.85714287 0.08139535 0.08953488 0.10465116
1200 0.72833335 0.7550833 0.78583336 1.0 7.5 9.0 0.6666667 0.80952376 1.0 0.069767445 0.08255814 0.093023255
1300 0.74846154 0.7731539 0.80230767 1.0 7.0 8.0 0.75 0.86428577 1.0 0.069767445 0.07558141 0.093023255
1400 0.7664286 0.78914285 0.81642854 1.0 6.7 7.0 0.85714287 0.9 1.0 0.069767445 0.07441862 0.08139535
1500 0.782 0.8030666 0.8286667 1.0 6.6 7.0 0.85714287 0.9142858 1.0 0.069767445 0.07441862 0.08139535
1600 0.795625 0.815125 0.838125 1.0 6.4 7.0 0.85714287 0.94285715 1.0 0.069767445 0.07093024 0.08139535
1700 0.80764705 0.82600003 0.8476471 1.0 6.4 7.0 0.85714287 0.94285715 1.0 0.069767445 0.07093024 0.08139535
1800 0.8183333 0.83555555 0.8561111 1.0 6.4 7.0 0.85714287 0.94285715 1.0 0.069767445 0.07093024 0.08139535
1900 0.82789475 0.844158 0.86368424 1.0 6.3 7.0 0.85714287 0.95714283 1.0 0.069767445 0.07093024 0.08139535
2000 0.8365 0.8517 0.8705 1.0 6.3 7.0 0.85714287 0.95714283 1.0 0.069767445 0.07093024 0.08139535
2100 0.8442857 0.8586191 0.87666667 1.0 6.2 7.0 0.85714287 0.9714286 1.0 0.069767445 0.07093024 0.08139535
2200 0.8509091 0.86499995 0.8822727 1.0 6.1 7.0 0.85714287 0.9857143 1.0 0.069767445 0.07093024 0.08139535
2300 0.8573913 0.87082607 0.8873913 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2400 0.86333334 0.8762083 0.89208335 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2500 0.8688 0.8811601 0.8964 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2600 0.8738462 0.88573074 0.9003846 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2700 0.8785185 0.889963 0.9040741 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2800 0.88285714 0.8938929 0.9075 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2900 0.88689655 0.8975517 0.91068965 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3000 0.89066666 0.90096664 0.91366667 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3100 0.89419353 0.9041613 0.91645163 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3200 0.8975 0.9071563 0.9190625 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3300 0.90060604 0.9099697 0.92151517 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3400 0.9035294 0.91261756 0.92382354 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3500 0.9062857 0.9151143 0.926 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3600 0.9088889 0.91747224 0.9280556 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3700 0.9113513 0.91970265 0.93 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3800 0.9136842 0.92181575 0.9318421 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3900 0.9158974 0.9238205 0.93358976 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4000 0.918 0.9257251 0.93525 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4100 0.92 0.9275366 0.93682927 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4200 0.92190474 0.92926186 0.93833333 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4300 0.92372096 0.9309071 0.9397674 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4400 0.92545456 0.93247736 0.94113636 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4500 0.9271111 0.9339778 0.94244444 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4600 0.9286957 0.93541306 0.94369566 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4700 0.9302128 0.9367873 0.9448936 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4800 0.9316667 0.9381043 0.94604164 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4900 0.93306124 0.9393673 0.94714284 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
5000 0.9344 0.94058 0.9482 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
5100 0.9356863 0.9417451 0.9492157 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
5200 0.9369231 0.94286525 0.95019233 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
5300 0.9381132 0.9439433 0.95113206 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
5400 0.93925923 0.9449814 0.95203704 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
5500 0.94036365 0.9459818 0.9529091 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
5600 0.94142854 0.94694644 0.95375 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
5700 0.9424561 0.9478772 0.9545614 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
5800 0.9434483 0.9487759 0.95534486 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
5900 0.9444068 0.9496441 0.9561017 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
6000 0.94533336 0.9504833 0.95683336 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
6100 0.9462295 0.9512951 0.957541 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
6200 0.94709677 0.9520806 0.9582258 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
6300 0.94793653 0.9528413 0.9588889 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
6400 0.94875 0.9535782 0.95953125 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
6500 0.94953847 0.9542923 0.9601538 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
6600 0.950303 0.95498484 0.96075755 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
6700 0.9510448 0.9556567 0.9613433 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
6800 0.9517647 0.9563087 0.96191174 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
6900 0.95246375 0.95694196 0.9624638 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
7000 0.9531429 0.9575572 0.963 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
7100 0.9538028 0.958155 0.9635211 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
7200 0.95444447 0.9587361 0.96402776 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
7300 0.95506847 0.95930135 0.9645206 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
7400 0.95567566 0.9598514 0.965 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
7500 0.95626664 0.96038663 0.9654667 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
7600 0.9568421 0.96090794 0.96592104 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
7700 0.9574026 0.96141565 0.9663636 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
7800 0.95794874 0.9619101 0.96679485 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
7900 0.958481 0.96239245 0.9672152 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
8000 0.959 0.9628625 0.967625 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
8100 0.95950615 0.96332103 0.9680247 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
8200 0.96 0.9637683 0.9684146 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
8300 0.96048194 0.9642049 0.9687952 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
8400 0.9609524 0.9646309 0.9691667 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
8500 0.9614118 0.9650472 0.9695294 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
8600 0.9618605 0.9654535 0.96988374 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
8700 0.96229887 0.96585065 0.97022986 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
8800 0.96272725 0.9662385 0.9705682 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
8900 0.9631461 0.96661794 0.97089887 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
9000 0.9635556 0.9669889 0.9712222 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
9100 0.96395606 0.9673516 0.9715385 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
9200 0.96434784 0.9677064 0.97184783 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
9300 0.96473116 0.9680537 0.97215056 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
9400 0.96510637 0.9683937 0.9724468 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
9500 0.9654737 0.9687263 0.97273684 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
9600 0.9658333 0.969052 0.97302085 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
9700 0.96618557 0.96937114 0.97329897 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
9800 0.9665306 0.96968377 0.9735714 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
9900 0.9668687 0.96998996 0.9738384 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
10000 0.9672 0.9702899 0.9741 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
