rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.11131313 0.12727273 0.8372093 0.8883721 0.95348835
100 0.25 0.33399996 0.39 1.0 79.3 83.0 0.1 0.12879884 0.1625 0.6511628 0.79651165 0.872093
200 0.29 0.3735 0.45 1.0 70.6 74.0 0.09859155 0.13906744 0.17391305 0.5 0.6523256 0.75581396
300 0.36666667 0.42433333 0.46333334 1.0 55.9 64.0 0.12727273 0.1616173 0.24074075 0.40697673 0.5500001 0.68604654
400 0.4375 0.47850004 0.5225 1.0 41.8 52.0 0.13043478 0.18932089 0.2857143 0.26744187 0.37906975 0.5
500 0.494 0.53 0.572 1.0 31.6 40.0 0.175 0.24162702 0.3846154 0.19767442 0.26627907 0.39534885
600 0.535 0.5765 0.6116667 1.0 24.5 29.0 0.23076923 0.28926668 0.35 0.15116279 0.19767441 0.23255815
700 0.5757143 0.61642855 0.64857143 1.0 18.7 21.0 0.2857143 0.3499146 0.4117647 0.12790698 0.16046509 0.19767442
800 0.615 0.65225 0.68 1.0 13.5 18.0 0.3888889 0.48986953 0.6363636 0.093023255 0.12093024 0.15116279
900 0.65 0.6845556 0.7133333 1.0 11.4 14.0 0.42857143 0.5499201 0.6363636 0.08139535 0.099999994 0.11627907
1000 0.682 0.7116 0.736 1.0 9.3 11.0 0.54545456 0.6794697 0.875 0.069767445 0.096511625 0.12790698
1100 0.71 0.73590904 0.7590909 1.0 8.1 11.0 0.54545456 0.773355 1.0 0.069767445 0.08604651 0.10465116
1200 0.73083335 0.757 0.77916664 1.0 7.7 10.0 0.6 0.79452384 1.0 0.069767445 0.08139536 0.10465116
1300 0.74923074 0.774923 0.79615384 1.0 7.5 10.0 0.6 0.8159524 1.0 0.069767445 0.08488372 0.11627907
1400 0.7657143 0.79007137 0.8092857 1.0 6.8 9.0 0.6666667 0.89880955 1.0 0.069767445 0.07790697 0.093023255
1500 0.7813333 0.8038667 0.822 1.0 6.7 9.0 0.6666667 0.9130953 1.0 0.069767445 0.07441861 0.093023255
1600 0.79375 0.81587505 0.833125 1.0 6.5 8.0 0.75 0.93214285 1.0 0.069767445 0.072093025 0.08139535
1700 0.8052941 0.8265294 0.84294116 1.0 6.3 7.0 0.85714287 0.95714283 1.0 0.069767445 0.07325582 0.093023255
1800 0.8155556 0.8359445 0.8516667 1.0 6.1 7.0 0.85714287 0.9857143 1.0 0.069767445 0.07209303 0.093023255
1900 0.82526314 0.8445264 0.8594737 1.0 6.1 7.0 0.85714287 0.9857143 1.0 0.069767445 0.07209303 0.093023255
2000 0.834 0.8523 0.8665 1.0 6.1 7.0 0.85714287 0.9857143 1.0 0.069767445 0.07209303 0.093023255
2100 0.84190476 0.8592857 0.87285715 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2200 0.84909093 0.8656818 0.87863636 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2300 0.85565215 0.87152165 0.88391304 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2400 0.8616667 0.87687504 0.88875 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2500 0.8672 0.8818 0.8932 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2600 0.8723077 0.88634616 0.8973077 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
