rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.4 1.0 1.0 54.0 54.0 0.11111111 0.11111112 0.11111111 0.8372093 0.8848837 0.95348835
100 0.35 0.46100003 0.53 1.0 35.1 41.0 0.17073171 0.2111829 0.2777778 0.20930232 0.327907 0.47674417
200 0.605 0.6355001 0.67 1.0 20.3 23.0 0.26086956 0.32280618 0.3888889 0.11627907 0.15930232 0.20930232
300 0.7133333 0.731 0.74333334 1.0 13.1 15.0 0.4 0.46997005 0.54545456 0.08139535 0.11511628 0.18604651
400 0.78 0.78875005 0.795 1.0 9.3 11.0 0.54545456 0.6615151 0.75 0.069767445 0.0872093 0.10465116
500 0.822 0.82839996 0.834 1.0 8.0 9.0 0.6666667 0.7682539 0.85714287 0.069767445 0.08139534 0.10465116
600 0.85 0.85599995 0.86 1.0 7.4 9.0 0.6666667 0.8261905 1.0 0.069767445 0.07790697 0.093023255
700 0.87142855 0.8759999 0.88 1.0 7.0 9.0 0.6666667 0.879762 1.0 0.069767445 0.07441861 0.093023255
800 0.8875 0.8906249 0.89375 1.0 6.3 7.0 0.85714287 0.95714283 1.0 0.069767445 0.07093024 0.08139535
900 0.8988889 0.90266675 0.90555555 1.0 6.2 7.0 0.85714287 0.9714286 1.0 0.069767445 0.07093024 0.08139535
1000 0.909 0.91239995 0.915 1.0 6.2 7.0 0.85714287 0.9714286 1.0 0.069767445 0.07093024 0.08139535
1100 0.91727275 0.9203636 0.9227273 1.0 6.2 7.0 0.85714287 0.9714286 1.0 0.069767445 0.07093024 0.08139535
1200 0.9241667 0.9269167 0.9291667 1.0 6.1 7.0 0.85714287 0.9857143 1.0 0.069767445 0.06976745 0.069767445
1300 0.93 0.93246156 0.9346154 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1400 0.935 0.9372858 0.9392857 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1500 0.9393333 0.9414667 0.9433333 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1600 0.943125 0.945125 0.946875 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1700 0.94647056 0.9483528 0.95 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1800 0.9494445 0.9512221 0.9527778 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1900 0.9521053 0.95378953 0.95526314 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2000 0.9545 0.9561 0.9575 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
