rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.0 54.0 0.11111111 0.11111112 0.11111111 0.8372093 0.8848837 0.95348835
100 0.35 0.463 0.51 1.0 34.9 39.0 0.17948718 0.20921798 0.25 0.22093023 0.33720928 0.47674417
200 0.61 0.638 0.67 1.0 19.6 23.0 0.26086956 0.336425 0.4375 0.11627907 0.16511628 0.24418604
300 0.72 0.73466665 0.74666667 1.0 12.9 15.0 0.4 0.47212785 0.6 0.069767445 0.11511628 0.18604651
400 0.7825 0.792 0.8 1.0 9.3 11.0 0.54545456 0.6524242 0.75 0.069767445 0.0860465 0.10465116
500 0.824 0.831 0.836 1.0 8.0 9.0 0.6666667 0.75714284 0.85714287 0.069767445 0.08139534 0.10465116
600 0.8516667 0.8581667 0.86333334 1.0 7.4 9.0 0.6666667 0.8202381 1.0 0.069767445 0.07790697 0.093023255
700 0.87142855 0.8778571 0.8814286 1.0 7.0 9.0 0.6666667 0.8738095 1.0 0.069767445 0.07441861 0.093023255
800 0.8875 0.89224994 0.89625 1.0 6.3 7.0 0.85714287 0.95714283 1.0 0.069767445 0.07093024 0.08139535
900 0.9 0.904 0.9066667 1.0 6.1 7.0 0.85714287 0.9857143 1.0 0.069767445 0.06976745 0.069767445
1000 0.91 0.91359997 0.916 1.0 6.1 7.0 0.85714287 0.9857143 1.0 0.069767445 0.06976745 0.069767445
1100 0.91818184 0.9214544 0.9236364 1.0 6.1 7.0 0.85714287 0.9857143 1.0 0.069767445 0.06976745 0.069767445
1200 0.925 0.928 0.93 1.0 6.1 7.0 0.85714287 0.9857143 1.0 0.069767445 0.06976745 0.069767445
1300 0.9307692 0.93346155 0.93538463 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1400 0.9357143 0.9382143 0.94 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1500 0.94 0.94233334 0.944 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1600 0.94375 0.9459375 0.9475 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1700 0.9470588 0.94911766 0.9505882 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1800 0.95 0.9519445 0.9533333 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1900 0.9526316 0.9544736 0.95578945 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2000 0.955 0.95675004 0.958 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2100 0.95714283 0.9588095 0.96 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2200 0.9590909 0.96068174 0.96181816 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
